,Fe,Ca,K,Ti,Mn,S,Si,P
Fe,1.0,0.2546055195497948,0.05449337638924286,0.5049924986381974,0.4284209766372679,0.3132527250078623,0.36553445798607415,0.3160664468917346
Ca,0.2546055195497948,1.0,0.35688984383497224,0.33781265156093143,0.38106089367815454,0.8143280619663329,0.7843572152882076,0.9802294334380934
K,0.05449337638924286,0.35688984383497224,1.0,0.2590349785636532,0.514622235205878,0.449918484436666,0.6730925338065963,0.37047913544481903
Ti,0.5049924986381974,0.33781265156093143,0.2590349785636532,1.0,0.48215242942714925,0.49659018232034263,0.5888261291291076,0.4213847103014822
Mn,0.4284209766372679,0.38106089367815454,0.514622235205878,0.48215242942714925,1.0,0.5035355826578233,0.6203983172421705,0.4255495064904948
S,0.3132527250078623,0.8143280619663329,0.449918484436666,0.49659018232034263,0.5035355826578233,1.0,0.7789467209303604,0.8245976093395981
Si,0.36553445798607415,0.7843572152882076,0.6730925338065963,0.5888261291291076,0.6203983172421705,0.7789467209303604,1.0,0.8068565536606742
P,0.3160664468917346,0.9802294334380934,0.37047913544481903,0.4213847103014822,0.4255495064904948,0.8245976093395981,0.8068565536606742,1.0
