cluster,element,n,r_pearson,p_pearson,r_spearman,p_spearman
1,Ca,51,-0.3473127366758797,0.012521714292114102,-0.43113122171945695,0.0015860721212389817
1,K,51,-0.35411044200855946,0.01079217966508057,-0.5843438914027149,6.731451893279647e-06
1,Ti,51,0.05343286413055468,0.7096001124942695,-0.02723981900452489,0.8495099806682954
1,Mn,51,-0.1673414299421849,0.24050377418091584,0.23429864253393665,0.09795082015646371
1,S,51,-0.16368251678432644,0.25108884223789285,0.1248868778280543,0.38256183117864107
1,Si,51,-0.20687159420905912,0.14524288471956925,0.002352941176470588,0.9869258126849716
1,P,51,-0.2895187853104181,0.03933334490188124,0.028416289592760182,0.843090559475383
2,Ca,36,-0.10195605246277195,0.5540566192280741,-0.2283140283140283,0.1804707012165744
2,K,36,-0.15857394100008526,0.3556275447173535,0.0,1.0
2,Ti,36,0.09060526813504166,0.5992155458257469,0.027027027027027032,0.875664467025937
2,Mn,36,0.4040775611214734,0.01451964002566528,0.0,1.0
2,S,36,0.1872249488579032,0.27421435209365386,0.2105534105534106,0.21772116771962635
2,Si,36,0.11564064549444822,0.5018284174669803,0.2012870012870013,0.23911746582756344
2,P,36,0.030714315489443908,0.8588612748186972,0.2993564993564994,0.07611661493525307
3,Ca,26,-0.3345739292398485,0.09479297914594273,-0.09743589743589742,0.6358405014930661
3,K,26,-0.397943320457223,0.044077514272554144,-0.2608547008547008,0.1980564872293154
3,Ti,26,-0.2514859796023353,0.21523402161991254,-0.1863247863247863,0.36210316374829743
3,Mn,26,0.12197813149264139,0.552777476090847,0.19863247863247863,0.33067375617880224
3,S,26,-0.1991386279348384,0.3294177351604477,0.033846153846153845,0.8696201004656646
3,Si,26,-0.21394745481910613,0.29395584055508583,-0.032478632478632474,0.8748464667916028
3,P,26,-0.28335831036621756,0.16069621459615013,0.017435897435897435,0.9326273771742375
4,Ca,33,0.1882148061926388,0.2942089389650047,0.2025401069518717,0.2583050809405259
4,K,33,-0.4129988980467445,0.01690551360569053,-0.24398395721925137,0.17121159838825914
4,Ti,33,0.5500877772380186,0.0009117050922397164,0.8074866310160429,1.3572323626392764e-08
4,Mn,33,0.5527091613205786,0.0008514248037604093,0.5772058823529412,0.0004368619739186945
4,S,33,0.6514655763556411,4.020354061316049e-05,0.7286096256684492,1.528625499562642e-06
4,Si,33,0.5159989758506162,0.002113955473929785,0.5210561497326203,0.0018762137012252223
4,P,33,0.6276483770278418,9.238579203798487e-05,0.7058823529411765,4.45549780680976e-06
5,Ca,25,0.21767648094125638,0.2959021682063549,0.15999999999999998,0.44487621013103373
5,K,25,-0.18610430961578373,0.37309036078001984,-0.052307692307692305,0.8038880741031628
5,Ti,25,0.06924975162839828,0.7422182232863194,0.4884615384615385,0.01323170210075434
5,Mn,25,0.16997646501488767,0.4166149346640732,0.29923076923076924,0.14619758715586154
5,S,25,0.44311888594096766,0.026522493103943216,0.5523076923076923,0.004199635901079686
5,Si,25,0.18666734291058013,0.3716201293955043,0.2561538461538462,0.21647833224140894
5,P,25,0.36996826927002735,0.06870620792175361,0.42076923076923073,0.036215723483100655
