map,element,r_pearson,p_pearson
striated_gt15_2,Ca,0.25321670874760893,0.0
striated_gt15_2,K,0.10025026808009321,7.4051675090595215e-90
striated_gt15_2,Ti,0.7209201177684673,0.0
striated_gt15_2,Mn,0.6704662989355986,0.0
striated_gt15_2,S,0.49447575005158195,0.0
striated_gt15_2,Si,0.5938868306703148,0.0
striated_gt15_2,P,0.3468431310775399,0.0
rectangles_gt15_1,Ca,0.4246107665073824,0.0
rectangles_gt15_1,K,0.06777461867611276,6.037581116054721e-42
rectangles_gt15_1,Ti,0.5882768793245308,0.0
rectangles_gt15_1,Mn,0.6673810554043912,0.0
rectangles_gt15_1,S,0.6421029629343458,0.0
rectangles_gt15_1,Si,0.5600847856535043,0.0
rectangles_gt15_1,P,0.5563054508976417,0.0
flaky_nodule,Ca,0.30044272541459716,0.0
flaky_nodule,K,0.25389494725495,0.0
flaky_nodule,Ti,0.4953783507832994,0.0
flaky_nodule,Mn,0.58071046642231,0.0
flaky_nodule,S,0.2283551200833468,0.0
flaky_nodule,Si,0.4552425193086341,0.0
flaky_nodule,P,0.3326004956166346,0.0
flaky_dark_gt15,Ca,-0.16032884916204768,1.4585715203209123e-58
flaky_dark_gt15,K,-0.28419153215339277,4.324323790914003e-185
flaky_dark_gt15,Ti,0.12587040769907212,1.351925800847584e-36
flaky_dark_gt15,Mn,0.9889506004537776,0.0
flaky_dark_gt15,S,0.21154352984183328,1.546027919944493e-101
flaky_dark_gt15,Si,-0.05696588122319282,1.1965289581179282e-08
flaky_dark_gt15,P,0.1017275086584375,2.0358260428928563e-24
