spectrum,cluster,map_file,Fe,Ca,K,Ti,Mn,S,Si,P
FeXANES_GT15_flakydark_Fe_1.001,3,1x1_10um_flaky_dark_gt15_001.h5,45471.85546875,392.9727478027344,385.8770751953125,1012.779052734375,17876.677734375,12.154330253601074,13.16724967956543,5.064125061035156
FeXANES_GT15_flakydark_Fe_2.001,3,1x1_10um_flaky_dark_gt15_001.h5,44664.94921875,611.0142211914062,438.75244140625,3320.4755859375,18648.970703125,24.315643310546875,22.28933334350586,10.132761001586914
FeXANES_GT15_flakydark_Fe_3.001,3,1x1_10um_flaky_dark_gt15_001.h5,43071.0,1244.973876953125,530.8272094726562,4611.1220703125,16279.8056640625,19.245635986328125,18.233875274658203,16.204866409301758
FeXANES_GT15_flakydark_Fe_4.001,1,1x1_10um_flaky_dark_gt15_001.h5,38368.50390625,1152.187744140625,1013.4517822265625,2072.916259765625,13714.3466796875,21.28424644470215,19.230926513671875,13.178525924682617
FeXANES_GT15_flakydark_Fe_5.001,3,1x1_10um_flaky_dark_gt15_001.h5,37787.85546875,1192.8524169921875,1207.0213623046875,2019.4423828125,15391.7470703125,15.176678657531738,26.304933547973633,11.128974914550781
FeXANES_GT15_flakydark_Fe_6.001,3,1x1_10um_flaky_dark_gt15_001.h5,45998.26953125,1329.7183837890625,428.69873046875,2263.141357421875,19001.71484375,16.214906692504883,19.25595474243164,17.229690551757812
FeXANES_GT15_flaky_gray_mix_Fe_1.001,1,1x1_10um_flaky_gray_mix_gt15_001.h5,21791.658203125,22918.6171875,1099.69775390625,4184.0859375,15574.6396484375,52.65214538574219,51.63990783691406,87.08692169189453
FeXANES_GT15_flaky_gray_mix_Fe_2.001,1,1x1_10um_flaky_gray_mix_gt15_001.h5,22009.345703125,22797.267578125,1606.9912109375,7221.39599609375,15059.6005859375,42.55616760253906,52.68646240234375,89.16065216064453
FeXANES_GT15_flaky_gray_mix_Fe_3.001,5,1x1_10um_flaky_gray_mix_gt15_001.h5,16629.783203125,3248.790771484375,4017.433349609375,4498.9482421875,6264.88232421875,25.183374404907227,37.272804260253906,24.17672348022461
FeXANES_GT15_flaky_gray_mix_Fe_4.001,2,1x1_10um_flaky_gray_mix_gt15_001.h5,11143.5908203125,3712.8837890625,2394.11474609375,5672.40576171875,3262.202880859375,19.113130569458008,32.189720153808594,24.14349365234375
FeXANES_GT15_flaky_gray_mix_Fe_5.001,1,1x1_10um_flaky_gray_mix_gt15_001.h5,13838.32421875,9737.921875,3289.306640625,5351.1591796875,4462.30126953125,40.30903625488281,36.27879333496094,40.31050491333008
FeXANES_GT15_flaky_gray_mix_Fe_6.001,1,1x1_10um_flaky_gray_mix_gt15_001.h5,13527.6591796875,31105.810546875,1741.93017578125,8123.8994140625,4422.568359375,72.83116149902344,57.65964889526367,120.37747955322266
FeXANES_GT15_flaky_gray_mix_Fe_7.001,2,1x1_10um_flaky_gray_mix_gt15_001.h5,18879.150390625,9852.7001953125,4222.61376953125,19984.458984375,1786.6927490234375,30.33464813232422,51.56908416748047,42.466407775878906
FeXANES_GT15_flaky_gray_mix_Fe_8.001,2,1x1_10um_flaky_gray_mix_gt15_001.h5,20301.94140625,8811.94140625,4445.4990234375,30944.265625,1650.7301025390625,31.412866592407227,56.74607849121094,48.63474655151367
FeXANES_GT5_concentric_gray1_Fe_1.001,1,2x2_10um_concentric_gray_1_001.h5,42875.61328125,278.91802978515625,71.74220275878906,822.5694580078125,660.8722534179688,10.103758811950684,12.126938819885254,5.0530595779418945
FeXANES_GT5_concentric_gray1_Fe_2.001,1,2x2_10um_concentric_gray_1_001.h5,41902.92578125,277.94189453125,71.75753784179688,2005.1962890625,605.4119873046875,10.106222152709961,13.136811256408691,10.106112480163574
FeXANES_GT5_concentric_gray1_Fe_3.001,4,2x2_10um_concentric_gray_1_001.h5,39171.64453125,1357.9559326171875,69.71556854248047,1887.30712890625,578.93408203125,14.14503288269043,11.11549186706543,12.126792907714844
FeXANES_GT5_concentric_gray1_Fe_4.001,1,2x2_10um_concentric_gray_1_001.h5,48084.8515625,1275.3404541015625,103.24041748046875,2928.193359375,611.36181640625,15.184392929077148,10.121004104614258,11.134081840515137
FeXANES_GT5_concentric_gray1_Fe_5.001,1,2x2_10um_concentric_gray_1_001.h5,32604.125,818.23486328125,207.83966064453125,1416.52978515625,530.6981201171875,21.185585021972656,15.134098052978516,8.070832252502441
FeXANES_GT5_concentric_gray1_Fe_6.001,1,2x2_10um_concentric_gray_1_001.h5,29842.349609375,721.9967041015625,185.54061889648438,1318.9482421875,429.56353759765625,7.059154033660889,12.09970474243164,8.066311836242676
FeXANES_GT5_concentric_gray1_Fe_7.001,1,2x2_10um_concentric_gray_1_001.h5,23064.203125,568.8755493164062,182.24468994140625,608.1561889648438,273.8758239746094,7.04742956161499,5.0332136154174805,8.05453872680664
FeXANES_GT5_concentric_gray1_Fe_8.001,2,2x2_10um_concentric_gray_1_001.h5,30370.8125,330.01641845703125,112.02125549316406,7250.3095703125,518.7473754882812,13.119668960571289,7.063950061798096,7.064401626586914
FeXANES_GT5_concentric_gray3_Fe_1.001,5,2x2_10um_concentric_gray_3_001.h5,12902.8203125,1933.911376953125,3746.141357421875,1751.8841552734375,4138.3486328125,12.068121910095215,24.136207580566406,16.09107780456543
FeXANES_GT5_concentric_gray3_Fe_10.001,5,2x2_10um_concentric_gray_3_001.h5,51629.50390625,852.2674560546875,1025.345703125,1962.654052734375,4081.19677734375,30.365467071533203,20.244457244873047,9.109064102172852
FeXANES_GT5_concentric_gray3_Fe_11.001,5,2x2_10um_concentric_gray_3_001.h5,55484.76953125,1878.14794921875,923.7600708007812,46703.32421875,1997.5374755859375,57.15767288208008,31.641185760498047,25.515533447265625
FeXANES_GT5_concentric_gray3_Fe_2.001,5,2x2_10um_concentric_gray_3_001.h5,44539.14453125,1113.9561767578125,1339.4024658203125,26291.35546875,4034.425048828125,37.57084274291992,34.52642822265625,17.264610290527344
FeXANES_GT5_concentric_gray3_Fe_3.001,2,2x2_10um_concentric_gray_3_001.h5,12951.6025390625,1892.0321044921875,2948.200439453125,4118.02587890625,3371.67529296875,18.105207443237305,21.12298011779785,8.047151565551758
FeXANES_GT5_concentric_gray3_Fe_4.001,2,2x2_10um_concentric_gray_3_001.h5,30242.833984375,1307.80859375,1369.48095703125,20281.27734375,2300.00830078125,19.21769142150879,30.343685150146484,13.149587631225586
FeXANES_GT5_concentric_gray3_Fe_5.001,4,2x2_10um_concentric_gray_3_001.h5,117186.9296875,1770.472412109375,529.104736328125,131824.75,17264.6953125,86.23513793945312,75.74659729003906,55.754032135009766
FeXANES_GT5_concentric_gray3_Fe_6.001,4,2x2_10um_concentric_gray_3_001.h5,105345.828125,2358.040283203125,547.9838256835938,103470.625,15471.3115234375,65.75851440429688,66.78600311279297,64.72645568847656
FeXANES_GT5_concentric_gray3_Fe_7.001,4,2x2_10um_concentric_gray_3_001.h5,110000.2265625,2799.922119140625,587.9456176757812,127934.5390625,16060.5732421875,85.01663208007812,74.48836517333984,56.72710418701172
FeXANES_GT5_concentric_gray3_Fe_8.001,1,2x2_10um_concentric_gray_3_001.h5,17830.892578125,4039.819580078125,4830.86474609375,3044.228515625,6557.9609375,25.19158172607422,21.160690307617188,30.230445861816406
FeXANES_GT5_concentric_gray3_Fe_9.001,1,2x2_10um_concentric_gray_3_001.h5,18703.001953125,4525.55810546875,5489.33837890625,3415.597412109375,6824.11767578125,15.122326850891113,33.26841735839844,28.229656219482422
FeXANES_GT5_Fe_Flaky1_1.001,1,2x2_10um_flaky_1_001.h5,46985.1015625,83.9111328125,44.48741912841797,216.3653106689453,708.6937866210938,7.077022552490234,7.078232765197754,6.068062782287598
FeXANES_GT5_Fe_Flaky1_10.001,1,2x2_10um_flaky_1_001.h5,46924.359375,1099.395263671875,90.09407806396484,3521.83154296875,716.7162475585938,16.198562622070312,10.122479438781738,13.159494400024414
FeXANES_GT5_Fe_Flaky1_2.001,1,2x2_10um_flaky_1_001.h5,39008.6484375,112.072998046875,57.540435791015625,342.2740783691406,603.767578125,10.09672737121582,11.105873107910156,6.057870864868164
FeXANES_GT5_Fe_Flaky1_3.001,4,2x2_10um_flaky_1_001.h5,56514.671875,599.01123046875,94.26097869873047,2851.165283203125,748.007080078125,16.216646194458008,9.122566223144531,14.190224647521973
FeXANES_GT5_Fe_Flaky1_4.001,1,2x2_10um_flaky_1_001.h5,52744.37890625,451.59906005859375,59.73796081542969,1709.2076416015625,800.936767578125,14.176456451416016,9.112654685974121,6.074078559875488
FeXANES_GT5_Fe_Flaky1_5.001,1,2x2_10um_flaky_1_001.h5,46013.0078125,158.7071990966797,53.57853317260742,328.5318603515625,821.8409423828125,9.098613739013672,2.021707534790039,9.09885025024414
FeXANES_GT5_Fe_Flaky1_6.001,1,2x2_10um_flaky_1_001.h5,40624.28515625,265.66021728515625,51.52006149291992,397.9850769042969,726.2825317382812,6.060521602630615,5.05146598815918,6.06014347076416
FeXANES_GT5_Fe_Flaky1_7.001,1,2x2_10um_flaky_1_001.h5,40302.40625,1116.5731201171875,66.69189453125,1540.9595947265625,553.7537231445312,8.084750175476074,12.120965957641602,9.091075897216797
FeXANES_GT5_Fe_Flaky1_8.001,1,2x2_10um_flaky_1_001.h5,21319.361328125,165.06793212890625,77.4994888305664,319.0535888671875,364.3308410644531,3.0207982063293457,4.02636194229126,2.012504816055298
FeXANES_GT5_Fe_Flaky1_9.001,1,2x2_10um_flaky_1_001.h5,21519.36328125,225.4688720703125,57.373348236083984,320.0950622558594,338.2081604003906,10.06483268737793,2.0126824378967285,4.026332855224609
FeXANES_GT5_flaky2_FeXRD_1.001,2,2x2_10um_flaky_2_001.h5,13850.810546875,183.9274444580078,130.6630859375,448.2625427246094,231.17433166503906,4.019537925720215,9.04578971862793,6.030441761016846
FeXANES_GT5_flaky2_FeXRD_10.001,1,2x2_10um_flaky_2_001.h5,12758.2451171875,155.7738800048828,124.60968017578125,377.8774719238281,629.14306640625,4.019200325012207,3.0138258934020996,4.021725654602051
