#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Mackinawite: Mackinawite
#------------------------------------------
# energy, Mackinawite
 7117.00000,  0.56348113
 7117.25000,  0.59567713
 7117.50000,  0.62953705
 7117.75000,  0.65652558
 7118.00000,  0.68582357
 7118.25000,  0.70991403
 7118.50000,  0.73152374
 7118.75000,  0.74711635
 7119.00000,  0.76190729
 7119.25000,  0.77143986
 7119.50000,  0.77903229
 7119.75000,  0.78411303
 7120.00000,  0.78836736
 7120.25000,  0.79132510
 7120.50000,  0.79496859
 7120.75000,  0.79850982
 7121.00000,  0.80328177
 7121.25000,  0.80797496
 7121.50000,  0.81440365
 7121.75000,  0.81999470
 7122.00000,  0.82786221
 7122.25000,  0.83534445
 7122.50000,  0.84270846
 7122.75000,  0.84996132
 7123.00000,  0.85821982
 7123.25000,  0.86524930
 7123.50000,  0.87237114
 7123.75000,  0.87875926
 7124.00000,  0.88604305
 7124.25000,  0.89219372
 7124.50000,  0.89826928
 7124.75000,  0.90322978
 7125.00000,  0.90880348
 7125.25000,  0.91449278
 7125.50000,  0.91919054
 7125.75000,  0.92338473
 7126.00000,  0.92784539
 7126.25000,  0.93204217
 7126.50000,  0.93596805
 7126.75000,  0.94029845
 7127.00000,  0.94367080
 7127.25000,  0.94733132
 7127.50000,  0.95006864
 7127.75000,  0.95330936
 7128.00000,  0.95613380
 7128.25000,  0.95865075
 7128.50000,  0.96109074
 7128.75000,  0.96383880
 7129.00000,  0.96622122
 7129.25000,  0.96859268
 7129.50000,  0.97079037
 7129.75000,  0.97287885
 7130.00000,  0.97451489
 7130.25000,  0.97715635
 7130.50000,  0.97874620
 7130.75000,  0.98123861
 7131.00000,  0.98376484
 7131.25000,  0.98601024
 7131.50000,  0.98821304
 7131.75000,  0.99047274
 7132.00000,  0.99286353
 7132.25000,  0.99508249
 7132.50000,  0.99649006
 7132.75000,  0.99912738
 7133.00000,  1.00093120
 7133.25000,  1.00242498
 7133.50000,  1.00402794
 7133.75000,  1.00572693
 7134.00000,  1.00711051
 7134.25000,  1.00826451
 7134.50000,  1.01007968
 7134.75000,  1.01126280
 7135.00000,  1.01254118
 7135.25000,  1.01392923
 7135.50000,  1.01517975
 7135.75000,  1.01652939
 7136.00000,  1.01784595
 7136.25000,  1.01920328
 7136.50000,  1.02044065
 7136.75000,  1.02204769
 7137.00000,  1.02344218
 7137.25000,  1.02473352
 7137.50000,  1.02634582
 7137.75000,  1.02783465
 7138.00000,  1.02896046
 7138.25000,  1.03026813
 7138.50000,  1.03158448
 7138.75000,  1.03219402
 7139.00000,  1.03342662
 7139.25000,  1.03432432
 7139.50000,  1.03587091
 7139.75000,  1.03667977
 7140.00000,  1.03817818
 7140.25000,  1.03914244
 7140.50000,  1.04021643
 7140.75000,  1.04130046
 7141.00000,  1.04263106
 7141.25000,  1.04311947
 7141.50000,  1.04435261
 7141.75000,  1.04521847
 7142.00000,  1.04647832
 7142.25000,  1.04745864
 7142.50000,  1.04829070
 7142.75000,  1.04870771
 7143.00000,  1.04945045
 7143.25000,  1.04990223
 7143.50000,  1.05055772
 7143.75000,  1.05120023
 7144.00000,  1.05216737
 7144.25000,  1.05224437
 7144.50000,  1.05234527
 7144.75000,  1.05321467
 7145.00000,  1.05284306
 7145.25000,  1.05227605
 7145.50000,  1.05166617
 7145.75000,  1.05162335
 7146.00000,  1.05104017
 7146.25000,  1.05043886
 7146.50000,  1.04904629
 7146.75000,  1.04727134
 7147.00000,  1.04548273
 7147.25000,  1.04426462
 7147.50000,  1.04195714
 7147.75000,  1.03988451
 7148.00000,  1.03785271
 7148.25000,  1.03578742
 7148.50000,  1.03359128
 7148.75000,  1.03147622
 7149.00000,  1.02757326
 7149.25000,  1.02482400
 7149.50000,  1.02257765
 7149.75000,  1.01974905
 7150.00000,  1.01691997
 7150.25000,  1.01426571
 7150.50000,  1.01159512
 7150.75000,  1.00926809
 7151.00000,  1.00663935
 7151.25000,  1.00407584
 7151.50000,  1.00122462
 7151.75000,  0.99822898
 7152.00000,  0.99607486
 7152.25000,  0.99253320
 7152.50000,  0.98977003
 7152.75000,  0.98715993
 7153.00000,  0.98466301
 7153.25000,  0.98226142
 7153.50000,  0.97973120
 7153.75000,  0.97733853
 7154.00000,  0.97501854
 7154.25000,  0.97279767
 7154.50000,  0.97034999
 7154.75000,  0.96817711
 7155.00000,  0.96622750
 7155.25000,  0.96446362
 7155.50000,  0.96255600
 7155.75000,  0.96085106
 7156.00000,  0.95965020
 7156.25000,  0.95763418
 7156.50000,  0.95564018
 7156.75000,  0.95461572
 7157.00000,  0.95255142
 7157.25000,  0.95154194
 7157.50000,  0.95007458
 7157.75000,  0.94922884
 7158.00000,  0.94762242
 7158.25000,  0.94634641
 7158.50000,  0.94569338
 7158.75000,  0.94489491
 7159.00000,  0.94446763
 7159.25000,  0.94354808
 7159.50000,  0.94304663
 7159.75000,  0.94253939
 7160.00000,  0.94220898
 7161.09473,  0.94018360
 7162.20947,  0.93885604
 7163.34326,  0.93778002
 7164.49707,  0.93659400
 7165.67041,  0.93616833
 7166.86377,  0.93573156
 7168.07617,  0.93621743
 7169.30859,  0.93703210
 7170.56006,  0.93917247
 7171.83154,  0.94112565
 7173.12305,  0.94346297
 7174.43359,  0.94688074
 7175.76367,  0.95209171
 7177.11377,  0.95922793
 7178.48340,  0.96864832
 7179.87256,  0.97992945
 7181.28174,  0.99252549
 7182.70996,  1.00579444
 7184.15820,  1.01879707
 7185.62598,  1.03034400
 7187.11328,  1.04006247
 7188.62012,  1.04806788
 7190.14648,  1.05337908
 7191.69287,  1.05664191
 7193.25879,  1.05784775
 7194.84424,  1.05791074
 7196.44922,  1.05666552
 7198.07373,  1.05384537
 7199.71826,  1.04996592
 7201.38184,  1.04469731
 7203.06543,  1.03821794
 7204.76855,  1.03079600
 7206.49170,  1.02298783
 7208.23389,  1.01480405
 7209.99609,  1.00717420
 7211.77783,  0.99915028
 7213.57910,  0.99122714
 7215.39990,  0.98303203
 7217.24023,  0.97507709
 7219.10059,  0.96769131
 7220.98047,  0.96189481
 7222.87988,  0.95697387
 7224.79883,  0.95418179
 7226.73730,  0.95291821
 7228.69580,  0.95316228
 7230.67334,  0.95515513
 7232.67090,  0.95878123
 7234.68799,  0.96413833
 7236.72510,  0.97055163
 7238.78125,  0.97767213
 7240.85742,  0.98524857
 7242.95312,  0.99315026
 7245.06836,  1.00114442
 7247.20312,  1.00921292
 7249.35742,  1.01718480
 7251.53174,  1.02579201
 7253.72559,  1.03434326
 7255.93896,  1.03748529
 7258.17188,  1.04294849
 7260.42432,  1.04793365
 7262.69678,  1.03719299
 7264.98828,  1.04429970
 7267.29980,  1.04132689
 7269.63086,  1.03694728
 7271.98193,  1.03125370
 7274.35205,  1.02461516
 7276.74219,  1.01732878
 7279.15186,  1.00984754
 7281.58105,  1.00341088
 7284.02979,  0.99859340
 7286.49805,  0.99496153
 7288.98633,  0.99301979
 7291.49414,  0.99226999
 7294.02148,  0.99199187
 7296.56836,  0.99223487
 7299.13477,  0.99180654
 7301.72119,  0.99163095
 7304.32666,  0.99096971
 7306.95215,  0.99000572
 7309.59717,  0.98949563
 7312.26221,  0.98876910
 7314.94629,  0.98846109
 7317.65039,  0.98860649
 7320.37354,  0.99061436
 7323.11670,  0.99425717
 7325.87988,  0.99938677
 7328.66211,  1.00468784
 7331.46436,  1.00965936
 7334.28564,  1.01427544
 7337.12695,  1.01769361
 7339.98828,  1.02008559
 7342.86865,  1.02100724
 7345.76855,  1.02022618
 7348.68848,  1.01776733
 7351.62793,  1.01472095
 7354.58691,  1.01168189
 7357.56543,  1.00957033
 7360.56396,  1.00824786
 7363.58154,  1.00670093
 7366.61914,  1.00587377
 7369.67627,  1.00434231
 7372.75293,  1.00285989
 7375.84961,  1.00116365
 7378.96533,  0.99968979
 7382.10107,  0.99883647
 7385.25635,  0.99739047
 7388.43115,  0.99627009
 7391.62598,  0.99556226
 7394.83984,  0.99523093
 7398.07373,  0.99537434
 7401.32715,  0.99550630
 7404.60010,  0.99638240
 7407.89258,  0.99736684
 7411.20459,  0.99891648
 7414.53662,  1.00010798
 7417.88818,  1.00126465
 7421.25928,  1.00210453
 7424.64990,  1.00154332
 7428.06006,  1.00119309
 7431.49023,  1.00002290
 7434.93994,  0.99918319
 7438.40918,  0.99884134
 7441.89795,  0.99896394
 7445.40625,  0.99938713
 7448.93457,  0.99971238
 7452.48193,  1.00031757
 7456.04932,  1.00085504
 7459.63623,  1.00113884
 7463.24316,  1.00105500
 7466.86914,  1.00096732
 7470.51514,  1.00108537
 7474.18018,  1.00129083
 7477.86523,  1.00142731
 7481.57031,  1.00110494
 7485.29443,  1.00118578
 7489.03857,  1.00071109
 7492.80176,  1.00024418
 7496.58496,  0.99994337
 7500.38770,  0.99944082
 7504.21045,  0.99910136
 7508.05225,  0.99930038
 7511.91406,  0.99914085
 7515.79541,  1.00044634
 7519.69629,  0.99901823
 7523.61670,  0.99835934
 7527.55713,  0.99764715
 7531.51660,  0.99693712
 7535.49609,  0.99693759
 7539.49512,  0.99573392
 7543.51367,  0.99565771
 7547.55176,  0.99552433
 7551.60986,  0.99585982
 7555.68750,  0.99613086
 7559.78467,  0.99659452
 7563.90137,  0.99726506
 7568.03760,  0.99718562
 7572.19385,  0.99769588
 7576.36914,  0.99833899
 7580.56445,  0.99828996
 7584.77930,  0.99854963
 7589.01367,  0.99871214
 7593.26807,  0.99886371
 7597.54199,  0.99917815
 7601.83496,  0.99964796
 7606.14795,  1.00005194
 7610.48047,  1.00074249
 7614.83301,  1.00150252
 7619.20459,  1.00202995
 7623.59619,  1.00101407
 7628.00732,  1.01463008
 7632.43799,  1.00017811
 7636.88818,  1.00258580
 7641.35840,  1.00035961
 7645.84814,  0.99899477
 7650.35742,  0.99852689
 7654.88623,  0.99767709
 7659.43457,  0.99721913
 7664.00244,  0.99704465
 7668.59033,  0.99714917
 7673.19775,  0.99690913
 7677.82471,  0.99783547
 7682.47119,  0.99776373
 7687.13721,  0.99791093
 7691.82324,  0.99835706
 7696.52832,  0.99863895
 7701.25342,  0.99860428
 7705.99805,  0.99888571
 7710.76270,  0.99883720
 7715.54639,  0.99946044
 7720.35010,  1.00004118
 7725.17334,  1.00068476
 7730.01611,  1.00096578
 7734.87842,  1.00145074
 7739.76025,  1.00206958
 7744.66211,  1.00217380
 7749.58350,  1.00216140
 7754.52441,  1.00227964
 7759.48486,  1.00181692
 7764.46484,  1.00192521
 7769.46484,  1.00213927
 7774.48438,  1.00230497
 7779.52344,  1.00208716
 7784.58203,  1.00075906
 7789.66016,  1.00032309
 7794.75781,  0.99949526
 7799.87549,  0.99901375
 7805.01270,  0.99909084
 7810.16943,  0.99856104
 7815.34570,  0.99783035
 7820.54199,  0.99881089
 7825.75732,  0.99837085
 7830.99268,  0.99875894
 7836.24756,  0.99928426
 7841.52197,  0.99981610
 7846.81592,  1.00050293
 7852.12988,  1.00021409
 7857.46338,  1.00023978
 7862.81641,  1.00038068
 7868.18896,  1.00070452
 7873.58105,  1.00090766
 7878.99268,  1.00114588
 7884.42432,  1.00143643
 7889.87549,  1.00157643
 7895.34619,  1.00246530
 7900.83643,  1.00182035
 7906.34668,  1.00169370
 7911.87598,  1.00198102
 7917.42529,  1.00197064
 7922.99414,  1.00169834
 7928.58252,  1.00187240
 7934.19043,  1.00086064
 7939.81836,  0.99980950
 7945.46582,  0.99861324
 7951.13281,  0.99596802
 7956.81934,  0.99423381
 7962.52539,  0.99358221
 7968.25098,  0.99198393
 7973.99658,  0.99124748
 7979.76172,  0.98765981
 7985.54639,  0.98447720
 7991.35059,  0.98136157
 7997.17480,  0.97808008
 8003.01807,  0.97425891
 8008.88135,  0.97142170
 8014.76416,  0.96824164
 8020.66650,  0.96657933
 8026.58838,  0.96561046
 8032.53027,  0.95974275
 8038.49170,  0.95596314
 8044.47217,  0.95343699
 8050.47314,  0.95145904
 8056.49316,  0.94768912
 8062.53271, -0.55118797
 8068.59229, -0.54029570
 8074.67139, -0.52954151
 8080.77002, -0.51912033
 8086.88818, -0.50883042
 8093.02588, -0.49885735
 8099.18359, -0.48888267
 8105.36084, -0.47947518
