#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Ilmenite: Ilmenite
#------------------------------------------
# energy, Ilmenite
 7137.75000,  1.11987806
 7138.00000,  1.11571444
 7138.25000,  1.11008542
 7138.50000,  1.10517756
 7138.75000,  1.09930670
 7139.00000,  1.09432531
 7139.25000,  1.08811068
 7139.50000,  1.08259892
 7139.75000,  1.07631484
 7140.00000,  1.07117626
 7140.25000,  1.06526355
 7140.50000,  1.06008829
 7140.75000,  1.05480962
 7141.00000,  1.05029688
 7141.25000,  1.04541424
 7141.50000,  1.04118091
 7141.75000,  1.03701889
 7142.00000,  1.03352409
 7142.25000,  1.02997969
 7142.50000,  1.02700391
 7142.75000,  1.02430178
 7143.00000,  1.02197384
 7143.25000,  1.01970018
 7143.50000,  1.01810031
 7143.75000,  1.01640083
 7144.00000,  1.01555041
 7144.25000,  1.01457820
 7144.50000,  1.01385517
 7144.75000,  1.01330862
 7145.00000,  1.01306226
 7145.25000,  1.01301810
 7145.50000,  1.01271918
 7145.75000,  1.01247998
 7146.00000,  1.01231603
 7146.25000,  1.01197126
 7146.50000,  1.01152353
 7146.75000,  1.01080817
 7147.00000,  1.01011244
 7147.25000,  1.00896993
 7147.50000,  1.00742272
 7147.75000,  1.00589890
 7148.00000,  1.00394358
 7148.25000,  1.00144945
 7148.50000,  0.99888876
 7148.75000,  0.99628765
 7149.00000,  0.99340350
 7149.25000,  0.99038408
 7149.50000,  0.98710347
 7149.75000,  0.98397353
 7150.00000,  0.98069170
 7150.25000,  0.97725565
 7150.50000,  0.97405075
 7150.75000,  0.97097796
 7151.00000,  0.96772446
 7151.25000,  0.96467317
 7151.50000,  0.96143884
 7151.75000,  0.95889926
 7152.00000,  0.95587597
 7152.25000,  0.95306528
 7152.50000,  0.95030243
 7152.75000,  0.94793180
 7153.00000,  0.94516787
 7153.25000,  0.94274509
 7153.50000,  0.93999141
 7153.75000,  0.93763584
 7154.00000,  0.93503107
 7154.25000,  0.93263407
 7154.50000,  0.92991482
 7154.75000,  0.92747847
 7155.00000,  0.92504030
 7155.25000,  0.92248276
 7155.50000,  0.91994881
 7155.75000,  0.91768308
 7156.00000,  0.91517754
 7156.25000,  0.91254699
 7156.50000,  0.91039907
 7156.75000,  0.90857588
 7157.00000,  0.90608774
 7157.25000,  0.90409457
 7157.50000,  0.90217719
 7157.75000,  0.90064700
 7158.00000,  0.89904262
 7158.25000,  0.89774426
 7158.50000,  0.89646312
 7158.75000,  0.89552822
 7159.00000,  0.89475075
 7159.25000,  0.89417649
 7159.50000,  0.89351021
 7159.75000,  0.89347923
 7160.00000,  0.89320321
 7161.09473,  0.89437283
 7162.20947,  0.89776404
 7163.34326,  0.90280796
 7164.49707,  0.90897891
 7165.67041,  0.91583503
 7166.86377,  0.92396763
 7168.07617,  0.93388280
 7169.30859,  0.94624474
 7170.56006,  0.96111396
