#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Mackinawite (aged): Mackinawite (aged)
#------------------------------------------
# energy, Mackinawite (aged)
 7211.77783,  0.97841862
 7213.57910,  0.96975196
 7215.39990,  0.96333816
 7217.24023,  0.95722214
 7219.10059,  0.95248023
 7220.98047,  0.94705093
 7222.87988,  0.94636659
 7224.79883,  0.94569976
 7226.73730,  0.94571286
 7228.69580,  0.94660045
 7230.67334,  0.95062112
 7232.67090,  0.95332291
 7234.68799,  0.95768334
 7236.72510,  0.96375327
 7238.78125,  0.97147253
 7240.85742,  0.97871854
 7242.95312,  0.98964096
 7245.06836,  1.00017624
 7247.20312,  1.00579728
 7249.35742,  1.01652147
 7251.53174,  1.02192060
 7253.72559,  1.02773243
 7255.93896,  1.02973998
 7258.17188,  1.03432151
 7260.42432,  1.03284114
 7262.69678,  1.03164656
 7264.98828,  1.03169453
 7267.29980,  1.02850459
 7269.63086,  1.02312850
 7271.98193,  1.01987002
 7274.35205,  1.01445200
 7276.74219,  1.01037546
 7279.15186,  1.00491036
 7281.58105,  1.00311879
 7284.02979,  1.00237661
 7286.49805,  0.99808120
 7288.98633,  0.99415310
 7291.49414,  0.99055210
 7294.02148,  0.98954902
 7296.56836,  0.98595024
 7299.13477,  0.98571695
 7301.72119,  0.98695407
 7304.32666,  0.98704555
 7306.95215,  0.98709926
 7309.59717,  0.98788377
 7312.26221,  0.99167125
 7314.94629,  0.99307427
 7317.65039,  0.99477224
 7320.37354,  0.99343222
 7323.11670,  0.99511871
 7325.87988,  0.99755564
 7328.66211,  0.99883916
 7331.46436,  1.00021862
 7334.28564,  1.00130912
 7337.12695,  1.00320003
 7339.98828,  1.00398675
 7342.86865,  1.00417055
 7345.76855,  1.00334940
 7348.68848,  1.00639658
 7351.62793,  1.00794784
 7354.58691,  1.00873607
 7357.56543,  1.00641464
 7360.56396,  1.00842715
 7363.58154,  1.00623696
 7366.61914,  1.00647572
 7369.67627,  1.00635098
 7372.75293,  1.00511309
 7375.84961,  1.00532202
 7378.96533,  1.00347681
 7382.10107,  1.00095937
 7385.25635,  0.99903702
 7388.43115,  1.00068420
 7391.62598,  0.99639426
 7394.83984,  0.99772064
 7398.07373,  0.99809258
 7401.32715,  0.99760273
 7404.60010,  0.99584324
 7407.89258,  0.99640289
 7411.20459,  0.99474005
 7414.53662,  0.99576540
 7417.88818,  0.99353790
 7421.25928,  0.99279894
 7424.64990,  0.99644942
 7428.06006,  0.99383562
 7431.49023,  0.99396303
 7434.93994,  0.99742118
 7438.40918,  0.99594096
 7441.89795,  0.99902165
 7445.40625,  1.00117207
 7448.93457,  1.00124842
 7452.48193,  1.00220068
 7456.04932,  1.00154496
 7459.63623,  1.00498266
 7463.24316,  1.00462851
 7466.86914,  1.00530912
 7470.51514,  1.00546291
 7474.18018,  1.00541186
 7477.86523,  1.00385674
 7481.57031,  1.00602024
 7485.29443,  1.00251991
 7489.03857,  1.00198565
 7492.80176,  1.00356247
 7496.58496,  0.99922771
 7500.38770,  0.99967224
 7504.21045,  0.99781456
 7508.05225,  0.99761983
 7511.91406,  0.99625895
 7515.79541,  0.99541757
 7519.69629,  0.99601495
 7523.61670,  0.99398057
 7527.55713,  0.99443676
 7531.51660,  0.99332669
 7535.49609,  0.99447013
 7539.49512,  0.99590017
 7543.51367,  0.99697529
 7547.55176,  0.99884694
 7551.60986,  0.99649008
 7555.68750,  0.99773772
 7559.78467,  0.99818117
