#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Pyrrhotite: Pyrrhotite
#------------------------------------------
# energy, Pyrrhotite
 7121.25000,  0.93000594
 7121.50000,  0.93427922
 7121.75000,  0.93795438
 7122.00000,  0.94100315
 7122.25000,  0.94423970
 7122.50000,  0.94822701
 7122.75000,  0.95253397
 7123.00000,  0.95722842
 7123.25000,  0.96264524
 7123.50000,  0.96871940
 7123.75000,  0.97472403
 7124.00000,  0.98066650
 7124.25000,  0.98736252
 7124.50000,  0.99298591
 7124.75000,  0.99887818
 7125.00000,  1.00350702
 7125.25000,  1.00828200
 7125.50000,  1.01178505
 7125.75000,  1.01527514
 7126.00000,  1.01866203
 7126.25000,  1.02175401
 7126.50000,  1.02358700
 7126.75000,  1.02597985
 7127.00000,  1.02832150
 7127.25000,  1.03118521
 7127.50000,  1.03364005
 7127.75000,  1.03564397
 7128.00000,  1.03832428
 7128.25000,  1.04155979
 7128.50000,  1.04328460
 7128.75000,  1.04645356
 7129.00000,  1.04760624
 7129.25000,  1.04944878
 7129.50000,  1.05047671
 7129.75000,  1.05130066
 7130.00000,  1.05132358
 7130.25000,  1.05098279
 7130.50000,  1.05038935
 7130.75000,  1.04959711
 7131.00000,  1.04835954
 7131.25000,  1.04757275
 7131.50000,  1.04573954
 7131.75000,  1.04501870
 7132.00000,  1.04361481
 7132.25000,  1.04256402
 7132.50000,  1.04071416
 7132.75000,  1.03970342
 7133.00000,  1.03877439
 7133.25000,  1.03796053
 7133.50000,  1.03668208
 7133.75000,  1.03572078
 7134.00000,  1.03484233
 7134.25000,  1.03426199
 7134.50000,  1.03353091
 7134.75000,  1.03300998
 7135.00000,  1.03225949
 7135.25000,  1.03202028
 7135.50000,  1.03197682
 7135.75000,  1.03173509
 7136.00000,  1.03172568
 7136.25000,  1.03121531
 7136.50000,  1.03132955
 7136.75000,  1.03105429
 7137.00000,  1.03053133
 7137.25000,  1.03022455
 7137.50000,  1.03083550
 7137.75000,  1.03050755
 7138.00000,  1.02939254
 7138.25000,  1.02914431
 7138.50000,  1.02843428
 7138.75000,  1.02746082
 7139.00000,  1.02714138
 7139.25000,  1.02673843
 7139.50000,  1.02572162
 7139.75000,  1.02509934
 7140.00000,  1.02414092
 7140.25000,  1.02404274
 7140.50000,  1.02322288
 7140.75000,  1.02282272
 7141.00000,  1.02243974
 7141.25000,  1.02134563
 7141.50000,  1.02099307
 7141.75000,  1.01988940
 7142.00000,  1.01945849
 7142.25000,  1.01873681
 7142.50000,  1.01801500
 7142.75000,  1.01697600
 7143.00000,  1.01530460
 7143.25000,  1.01467980
 7143.50000,  1.01337039
 7143.75000,  1.01227662
 7144.00000,  1.01064990
 7144.25000,  1.00881630
 7144.50000,  1.00743151
 7144.75000,  1.00607167
 7145.00000,  1.00412284
 7145.25000,  1.00273903
 7145.50000,  1.00115436
 7145.75000,  0.99923789
 7146.00000,  0.99759176
 7146.25000,  0.99593401
 7146.50000,  0.99412822
 7146.75000,  0.99253217
 7147.00000,  0.99081128
 7147.25000,  0.98856748
 7147.50000,  0.98716394
 7147.75000,  0.98551313
 7148.00000,  0.98349581
 7148.25000,  0.98148801
 7148.50000,  0.97967887
 7148.75000,  0.97782341
 7149.00000,  0.97571590
 7149.25000,  0.97387211
 7149.50000,  0.97193849
 7149.75000,  0.96966354
 7150.00000,  0.96746492
 7150.25000,  0.96561183
 7150.50000,  0.96351013
 7150.75000,  0.96111972
 7151.00000,  0.95889202
 7151.25000,  0.95674116
 7151.50000,  0.95461805
 7151.75000,  0.95264543
 7152.00000,  0.95089073
 7152.25000,  0.94841216
 7152.50000,  0.94712501
 7152.75000,  0.94493064
 7153.00000,  0.94304183
 7153.25000,  0.94147391
 7153.50000,  0.93996595
 7153.75000,  0.93856704
 7154.00000,  0.93691433
 7154.25000,  0.93597303
 7154.50000,  0.93468387
 7154.75000,  0.93351909
 7155.00000,  0.93254251
 7155.25000,  0.93183679
 7155.50000,  0.93133407
 7155.75000,  0.93065752
 7156.00000,  0.93027400
 7156.25000,  0.93044256
 7156.50000,  0.92991688
 7156.75000,  0.92988445
 7157.00000,  0.93005047
 7157.25000,  0.93026123
 7157.50000,  0.93036776
 7157.75000,  0.93086613
 7158.00000,  0.93124049
 7158.25000,  0.93190290
 7158.50000,  0.93222223
 7158.75000,  0.93291537
 7159.00000,  0.93415646
 7159.25000,  0.93469501
 7159.50000,  0.93589908
 7159.75000,  0.93674670
 7160.00000,  0.93809192
 7161.09473,  0.94358411
 7162.20947,  0.95036066
 7163.34326,  0.95776262
 7164.49707,  0.96561193
 7165.67041,  0.97438060
 7166.86377,  0.98308871
 7168.07617,  0.99171136
 7169.30859,  1.00076492
 7170.56006,  1.01051588
 7171.83154,  1.01899518
 7173.12305,  1.02530039
 7174.43359,  1.03077703
 7175.76367,  1.03433093
 7177.11377,  1.03670486
 7178.48340,  1.03782878
 7179.87256,  1.03719449
 7181.28174,  1.03525079
 7182.70996,  1.03219238
 7184.15820,  1.02754184
 7185.62598,  1.02302993
 7187.11328,  1.01880102
 7188.62012,  1.01395318
 7190.14648,  1.00908043
 7191.69287,  1.00427214
 7193.25879,  0.99919031
 7194.84424,  0.99386555
 7196.44922,  0.98880312
 7198.07373,  0.98399182
 7199.71826,  0.97982523
 7201.38184,  0.97616660
 7203.06543,  0.97304584
 7204.76855,  0.97125202
 7206.49170,  0.97023985
 7208.23389,  0.97029684
 7209.99609,  0.97118038
 7211.77783,  0.97241353
 7213.57910,  0.97478806
 7215.39990,  0.97743809
 7217.24023,  0.98039029
 7219.10059,  0.98419738
 7220.98047,  0.98744621
 7222.87988,  0.99096607
 7224.79883,  0.99453679
 7226.73730,  0.99773396
 7228.69580,  1.00118226
 7230.67334,  1.00433309
 7232.67090,  1.00781350
 7234.68799,  1.01134958
 7236.72510,  1.01438268
 7238.78125,  1.01636790
 7240.85742,  1.01768205
 7242.95312,  1.01780718
 7245.06836,  1.01714649
 7247.20312,  1.01624658
 7249.35742,  1.01452992
 7251.53174,  1.01273711
 7253.72559,  1.01081217
 7255.93896,  1.00813149
 7258.17188,  1.00602101
 7260.42432,  1.00339504
 7262.69678,  1.00080739
 7264.98828,  0.99849068
 7267.29980,  0.99732545
 7269.63086,  0.99608977
 7271.98193,  0.99563403
 7274.35205,  0.99597529
 7276.74219,  0.99603042
 7279.15186,  0.99631939
 7281.58105,  0.99657075
 7284.02979,  0.99660144
 7286.49805,  0.99680100
 7288.98633,  0.99677679
 7291.49414,  0.99693338
 7294.02148,  0.99715648
 7296.56836,  0.99735881
 7299.13477,  0.99819283
 7301.72119,  0.99865765
 7304.32666,  0.99984159
 7306.95215,  1.00105391
 7309.59717,  1.00231714
 7312.26221,  1.00331820
 7314.94629,  1.00460523
 7317.65039,  1.00549690
 7320.37354,  1.00629099
 7323.11670,  1.00684344
 7325.87988,  1.00713049
 7328.66211,  1.00712114
 7331.46436,  1.00639043
 7334.28564,  1.00590415
 7337.12695,  1.00493982
 7339.98828,  1.00383592
 7342.86865,  1.00297984
 7345.76855,  1.00220017
 7348.68848,  1.00174930
 7351.62793,  1.00128474
 7354.58691,  1.00052624
 7357.56543,  1.00013866
