#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Goethite: Goethite
#------------------------------------------
# energy, Goethite
 7105.75000,  0.01569943
 7106.00000,  0.01595434
 7106.25000,  0.01626363
 7106.50000,  0.01677932
 7106.75000,  0.01715273
 7107.00000,  0.01764139
 7107.25000,  0.01796326
 7107.50000,  0.01869815
 7107.75000,  0.01913324
 7108.00000,  0.01974539
 7108.25000,  0.02043890
 7108.50000,  0.02099236
 7108.75000,  0.02171793
 7109.00000,  0.02269734
 7109.25000,  0.02349119
 7109.50000,  0.02453355
 7109.75000,  0.02589957
 7110.00000,  0.02747524
 7110.25000,  0.02934885
 7110.50000,  0.03178267
 7110.75000,  0.03461334
 7111.00000,  0.03861019
 7111.25000,  0.04293427
 7111.50000,  0.04834967
 7111.75000,  0.05325994
 7112.00000,  0.05935548
 7112.25000,  0.06502925
 7112.50000,  0.07045360
 7112.75000,  0.07499506
 7113.00000,  0.07900923
 7113.25000,  0.08191789
 7113.50000,  0.08428372
 7113.75000,  0.08610416
 7114.00000,  0.08650965
 7114.25000,  0.08577891
 7114.50000,  0.08412801
 7114.75000,  0.08249890
 7115.00000,  0.08178639
 7115.25000,  0.08199110
 7115.50000,  0.08299413
 7115.75000,  0.08471662
 7116.00000,  0.08659284
 7116.25000,  0.08873792
 7116.50000,  0.09108108
 7116.75000,  0.09380684
 7117.00000,  0.09622089
 7117.25000,  0.09913904
 7117.50000,  0.10201413
 7117.75000,  0.10600425
 7118.00000,  0.10988907
 7118.25000,  0.11541731
 7118.50000,  0.12099054
 7118.75000,  0.12921300
 7119.00000,  0.13769737
 7119.25000,  0.14904195
 7119.50000,  0.16072114
 7119.75000,  0.17614899
 7120.00000,  0.19219457
 7120.25000,  0.21264774
 7120.50000,  0.23308326
 7120.75000,  0.25873050
 7121.00000,  0.28451271
 7121.25000,  0.31476468
 7121.50000,  0.34342772
 7121.75000,  0.37800631
 7122.00000,  0.41037609
 7122.25000,  0.44281776
 7122.50000,  0.47429530
 7122.75000,  0.50861754
 7123.00000,  0.54006222
 7123.25000,  0.57088013
 7123.50000,  0.60208053
 7123.75000,  0.63397644
 7124.00000,  0.66518437
 7124.25000,  0.69676323
 7124.50000,  0.73028214
 7124.75000,  0.76389079
 7125.00000,  0.79924611
 7125.25000,  0.83352967
 7125.50000,  0.86939977
 7125.75000,  0.90353237
 7126.00000,  0.93999885
 7126.25000,  0.97147465
 7126.50000,  1.00643523
 7126.75000,  1.03754736
 7127.00000,  1.06981228
 7127.25000,  1.09649018
 7127.50000,  1.12647583
 7127.75000,  1.15260562
 7128.00000,  1.17808604
 7128.25000,  1.19824642
 7128.50000,  1.21810487
 7128.75000,  1.23184511
 7129.00000,  1.24452144
 7129.25000,  1.25226253
 7129.50000,  1.25853144
 7129.75000,  1.26046129
 7130.00000,  1.26191602
 7130.25000,  1.26117114
 7130.50000,  1.25864478
 7130.75000,  1.25692757
 7131.00000,  1.25374892
 7131.25000,  1.25151113
 7131.50000,  1.24793829
 7131.75000,  1.24500983
 7132.00000,  1.24250676
 7132.25000,  1.24055406
 7132.50000,  1.23799315
 7132.75000,  1.23539106
 7133.00000,  1.23207080
 7133.25000,  1.22871583
 7133.50000,  1.22494113
 7133.75000,  1.22026903
 7134.00000,  1.21507139
 7134.25000,  1.21089403
 7134.50000,  1.20547968
 7134.75000,  1.20103127
 7135.00000,  1.19610242
 7135.25000,  1.19193947
 7135.50000,  1.18803911
 7135.75000,  1.18438987
 7136.00000,  1.18064974
 7136.25000,  1.17654792
 7136.50000,  1.17148417
 7136.75000,  1.16797226
 7137.00000,  1.16292098
 7137.25000,  1.15813563
 7137.50000,  1.15233321
 7137.75000,  1.14624205
 7138.00000,  1.14046297
 7138.25000,  1.13339485
 7138.50000,  1.12740900
 7138.75000,  1.12057558
 7139.00000,  1.11436897
 7139.25000,  1.10842009
 7139.50000,  1.10285588
 7139.75000,  1.09754559
 7140.00000,  1.09227112
 7140.25000,  1.08757363
 7140.50000,  1.08320809
 7140.75000,  1.07839241
 7141.00000,  1.07449236
 7141.25000,  1.07089260
 7141.50000,  1.06714655
 7141.75000,  1.06409194
 7142.00000,  1.06088562
 7142.25000,  1.05773791
 7142.50000,  1.05455284
 7142.75000,  1.05199932
 7143.00000,  1.04911613
 7143.25000,  1.04690935
 7143.50000,  1.04492711
 7143.75000,  1.04329591
 7144.00000,  1.04078627
 7144.25000,  1.03910856
 7144.50000,  1.03772025
 7144.75000,  1.03637264
 7145.00000,  1.03509878
 7145.25000,  1.03306420
 7145.50000,  1.03120466
 7145.75000,  1.02944733
 7146.00000,  1.02766547
 7146.25000,  1.02547267
 7146.50000,  1.02243495
 7146.75000,  1.01972862
 7147.00000,  1.01675251
 7147.25000,  1.01313709
 7147.50000,  1.00896745
 7147.75000,  1.00483330
 7148.00000,  1.00093039
 7148.25000,  0.99543875
 7148.50000,  0.99016112
 7148.75000,  0.98453405
 7149.00000,  0.97871734
 7149.25000,  0.97270763
 7149.50000,  0.96661894
 7149.75000,  0.96042479
 7150.00000,  0.95426635
 7150.25000,  0.94833454
 7150.50000,  0.94259384
 7150.75000,  0.93689129
 7151.00000,  0.93153862
 7151.25000,  0.92672303
 7151.50000,  0.92236878
 7151.75000,  0.91800978
 7152.00000,  0.91394527
 7152.25000,  0.91023596
 7152.50000,  0.90651565
 7152.75000,  0.90345869
 7153.00000,  0.90034239
 7153.25000,  0.89704063
 7153.50000,  0.89416794
 7153.75000,  0.89171561
 7154.00000,  0.88937912
 7154.25000,  0.88637048
 7154.50000,  0.88407611
 7154.75000,  0.88148631
 7155.00000,  0.87917961
 7155.25000,  0.87661892
 7155.50000,  0.87423774
 7155.75000,  0.87220371
 7156.00000,  0.87020766
 7156.25000,  0.86809088
 7156.50000,  0.86569710
 7156.75000,  0.86421555
 7157.00000,  0.86221292
 7157.25000,  0.86097134
 7157.50000,  0.85907471
 7157.75000,  0.85855225
 7158.00000,  0.85685234
 7158.25000,  0.85635466
 7158.50000,  0.85571394
 7158.75000,  0.85528498
 7159.00000,  0.85507564
 7159.25000,  0.85512518
 7159.50000,  0.85508481
 7159.75000,  0.85570235
 7160.00000,  0.85571890
 7161.09473,  0.86018705
 7162.20947,  0.86667400
 7163.34326,  0.87685840
 7164.49707,  0.88924606
 7165.67041,  0.90372269
 7166.86377,  0.91968502
 7168.07617,  0.93638169
 7169.30859,  0.95318632
 7170.56006,  0.97002393
 7171.83154,  0.98661773
 7173.12305,  1.00438058
 7174.43359,  1.02119029
 7175.76367,  1.03222200
 7177.11377,  1.03715562
 7178.48340,  1.03850307
 7179.87256,  1.03660138
 7181.28174,  1.03387754
 7182.70996,  1.03157736
 7184.15820,  1.02958745
 7185.62598,  1.02972619
 7187.11328,  1.02952884
 7188.62012,  1.02925347
 7190.14648,  1.02895371
 7191.69287,  1.02800096
 7193.25879,  1.02737126
 7194.84424,  1.02730381
 7196.44922,  1.02660959
 7198.07373,  1.02528028
 7199.71826,  1.02221943
 7201.38184,  1.01829234
 7203.06543,  1.01360171
 7204.76855,  1.00765810
 7206.49170,  1.00110425
 7208.23389,  0.99477340
 7209.99609,  0.98882528
 7211.77783,  0.98391215
 7213.57910,  0.97967833
 7215.39990,  0.97661139
 7217.24023,  0.97442896
 7219.10059,  0.97266129
 7220.98047,  0.97229102
 7222.87988,  0.97329290
 7224.79883,  0.97556910
 7226.73730,  0.97848018
 7228.69580,  0.98130006
 7230.67334,  0.98377706
 7232.67090,  0.98526865
 7234.68799,  0.98721663
 7236.72510,  0.98922340
 7238.78125,  0.99154848
 7240.85742,  0.99338238
 7242.95312,  0.99414050
 7245.06836,  0.99354936
 7247.20312,  0.99243649
 7249.35742,  0.99137652
 7251.53174,  0.99128969
 7253.72559,  0.99131134
 7255.93896,  0.99090216
 7258.17188,  0.99480796
 7260.42432,  1.00106233
 7262.69678,  1.00387331
 7264.98828,  1.00811513
 7267.29980,  1.01202574
 7269.63086,  1.01497418
 7271.98193,  1.01803145
 7274.35205,  1.02090621
 7276.74219,  1.02319887
 7279.15186,  1.02400453
 7281.58105,  1.02330364
 7284.02979,  1.02109523
 7286.49805,  1.01710074
 7288.98633,  1.01274648
 7291.49414,  1.00749376
 7294.02148,  1.00308229
 7296.56836,  0.99967795
 7299.13477,  0.99769930
 7301.72119,  0.99520500
 7304.32666,  0.99314313
 7306.95215,  0.99172055
 7309.59717,  0.99068707
 7312.26221,  0.99010862
 7314.94629,  0.98913216
 7317.65039,  0.98831018
 7320.37354,  0.98875089
 7323.11670,  0.99152524
 7325.87988,  0.99514358
 7328.66211,  0.99901590
 7331.46436,  1.00280424
 7334.28564,  1.00538947
 7337.12695,  1.00787180
 7339.98828,  1.00916489
 7342.86865,  1.00926310
 7345.76855,  1.00864184
 7348.68848,  1.00657373
 7351.62793,  1.00357702
 7354.58691,  1.00083086
 7357.56543,  0.99811470
 7360.56396,  0.99613115
 7363.58154,  0.99419182
 7366.61914,  0.99330600
 7369.67627,  0.99371099
 7372.75293,  0.99462926
 7375.84961,  0.99608849
 7378.96533,  0.99847644
 7382.10107,  1.00080644
 7385.25635,  1.00254593
 7388.43115,  1.00395122
 7391.62598,  1.00463718
 7394.83984,  1.00535534
 7398.07373,  1.00545413
 7401.32715,  1.00543584
 7404.60010,  1.00575844
 7407.89258,  1.00672149
 7411.20459,  1.00706657
 7414.53662,  1.00632912
 7417.88818,  1.00515309
 7421.25928,  1.00321479
 7424.64990,  1.00119259
 7428.06006,  0.99913489
 7431.49023,  0.99683393
 7434.93994,  0.99557748
 7438.40918,  0.99495848
 7441.89795,  0.99471432
 7445.40625,  0.99475904
 7448.93457,  0.99521604
 7452.48193,  0.99586176
 7456.04932,  0.99692096
 7459.63623,  0.99816147
 7463.24316,  0.99909663
 7466.86914,  0.99930564
 7470.51514,  0.99978886
 7474.18018,  1.00019151
 7477.86523,  1.00056952
 7481.57031,  1.00110599
 7485.29443,  1.00245789
 7489.03857,  1.00310942
 7492.80176,  1.00340567
 7496.58496,  1.00301383
 7500.38770,  1.00220068
 7504.21045,  1.00079544
 7508.05225,  0.99994129
 7511.91406,  0.99913832
 7515.79541,  0.99916785
 7519.69629,  0.99958687
 7523.61670,  0.99881216
 7527.55713,  0.99806777
 7531.51660,  0.99824145
 7535.49609,  0.99882566
 7539.49512,  0.99919498
 7543.51367,  1.00005252
 7547.55176,  1.00054790
 7551.60986,  1.00035493
 7555.68750,  1.00062738
 7559.78467,  1.00059720
 7563.90137,  1.00030204
 7568.03760,  1.00025316
 7572.19385,  1.00076138
 7576.36914,  1.00102259
 7580.56445,  1.00116530
 7584.77930,  1.00132610
 7589.01367,  1.00076688
 7593.26807,  1.00012870
 7597.54199,  0.99922933
 7601.83496,  0.99862104
 7606.14795,  0.99835407
 7610.48047,  0.99829395
 7614.83301,  0.99827650
 7619.20459,  0.99839466
 7623.59619,  0.99770668
 7628.00732,  0.99150480
 7632.43799,  0.99648274
 7636.88818,  0.99800809
 7641.35840,  0.99821003
 7645.84814,  0.99813165
 7650.35742,  0.99795791
 7654.88623,  0.99850000
 7659.43457,  0.99888466
 7664.00244,  0.99935732
 7668.59033,  0.99994640
 7673.19775,  1.00026390
 7677.82471,  1.00046250
 7682.47119,  1.00043947
 7687.13721,  1.00059333
 7691.82324,  1.00049210
 7696.52832,  1.00019056
 7701.25342,  1.00001029
 7705.99805,  0.99960734
 7710.76270,  0.99922300
 7715.54639,  0.99910691
 7720.35010,  0.99939298
 7725.17334,  0.99930110
 7730.01611,  0.99912363
 7734.87842,  0.99908335
 7739.76025,  0.99875133
 7744.66211,  0.99862130
 7749.58350,  0.99882855
 7754.52441,  0.99862932
 7759.48486,  0.99895124
 7764.46484,  0.99934157
 7769.46484,  0.99937178
 7774.48438,  0.99987267
 7779.52344,  0.99984783
 7784.58203,  0.99979475
 7789.66016,  0.99999435
 7794.75781,  0.99980022
 7799.87549,  0.99976839
 7805.01270,  1.00001590
 7810.16943,  0.99979805
 7815.34570,  0.99970784
 7820.54199,  0.99960776
 7825.75732,  0.99938324
 7830.99268,  0.99913439
 7836.24756,  0.99912432
 7841.52197,  0.99900479
 7846.81592,  0.99903697
 7852.12988,  0.99927886
 7857.46338,  0.99929365
 7862.81641,  0.99918710
 7868.18896,  0.99964630
 7873.58105,  1.00046470
 7878.99268,  1.00085504
 7884.42432,  1.00115088
 7889.87549,  1.00150741
 7895.34619,  1.00144901
 7900.83643,  1.00119969
 7906.34668,  1.00117997
 7911.87598,  1.00104679
 7917.42529,  1.00089089
 7922.99414,  1.00098323
 7928.58252,  1.00087811
 7934.19043,  1.00098319
 7939.81836,  1.00086632
 7945.46582,  1.00085105
 7951.13281,  1.00078158
 7956.81934,  1.00080377
 7962.52539,  1.00080367
 7968.25098,  1.00079150
 7973.99658,  1.00088527
 7979.76172,  1.00093425
 7985.54639,  1.00094934
 7991.35059,  1.00088541
 7997.17480,  1.00094891
 8003.01807,  1.00085703
 8008.88135,  1.00098646
 8014.76416,  1.00100435
 8020.66650,  1.00093479
 8026.58838,  1.00069320
 8032.53027,  1.00029155
 8038.49170,  1.00009932
 8044.47217,  1.00018672
 8050.47314,  1.00015562
 8056.49316,  0.99975421
 8062.53271,  0.99975435
 8068.59229,  0.99959716
 8074.67139,  0.99953568
 8080.77002,  0.99921799
 8086.88818,  0.99906999
 8093.02588,  0.99890684
 8099.18359,  0.99880803
 8105.36084,  0.99884056
