#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Ferrosmectite: Ferrosmectite
#------------------------------------------
# energy, Ferrosmectite
 7144.75000,  1.07666014
 7145.00000,  1.07625446
 7145.25000,  1.07528218
 7145.50000,  1.07401195
 7145.75000,  1.07235483
 7146.00000,  1.07063768
 7146.25000,  1.06846764
 7146.50000,  1.06493996
 7146.75000,  1.06077869
 7147.00000,  1.05665632
 7147.25000,  1.05103056
 7147.50000,  1.04529755
 7147.75000,  1.03928457
 7148.00000,  1.03189968
 7148.25000,  1.02559183
 7148.50000,  1.01835695
 7148.75000,  1.01074676
 7149.00000,  1.00342129
 7149.25000,  0.99626802
 7149.50000,  0.98823095
 7149.75000,  0.98005219
 7150.00000,  0.97313867
 7150.25000,  0.96521645
 7150.50000,  0.95803971
 7150.75000,  0.95098406
 7151.00000,  0.94402263
 7151.25000,  0.93722382
 7151.50000,  0.93124337
 7151.75000,  0.92516846
 7152.00000,  0.91958523
 7152.25000,  0.91386620
 7152.50000,  0.90906228
 7152.75000,  0.90352471
 7153.00000,  0.89906729
 7153.25000,  0.89375252
 7153.50000,  0.88954815
 7153.75000,  0.88507079
 7154.00000,  0.88099587
 7154.25000,  0.87646526
 7154.50000,  0.87287811
 7154.75000,  0.86905482
 7155.00000,  0.86550866
 7155.25000,  0.86179864
 7155.50000,  0.85882263
 7155.75000,  0.85511057
 7156.00000,  0.85200951
 7156.25000,  0.84911520
 7156.50000,  0.84628537
 7156.75000,  0.84364201
 7157.00000,  0.84098345
 7157.25000,  0.83845167
 7157.50000,  0.83626422
 7157.75000,  0.83381586
 7158.00000,  0.83244246
 7158.25000,  0.83025594
 7158.50000,  0.82888978
 7158.75000,  0.82704986
 7159.00000,  0.82580027
 7159.25000,  0.82453459
 7159.50000,  0.82384755
 7159.75000,  0.82285239
 7160.00000,  0.82177424
 7161.09473,  0.82141221
 7162.20947,  0.82440209
 7163.34326,  0.83141923
 7164.49707,  0.84236499
 7165.67041,  0.85719023
 7166.86377,  0.87450935
 7168.07617,  0.89395391
 7169.30859,  0.91405686
 7170.56006,  0.93451375
 7171.83154,  0.95500219
 7173.12305,  0.97586013
 7174.43359,  0.99651222
 7175.76367,  1.01288332
 7177.11377,  1.02377294
 7178.48340,  1.03202398
 7179.87256,  1.03839648
 7181.28174,  1.04219864
 7182.70996,  1.04370337
 7184.15820,  1.04282629
 7185.62598,  1.04173239
 7187.11328,  1.04013939
 7188.62012,  1.03937972
 7190.14648,  1.03791212
 7191.69287,  1.03725884
 7193.25879,  1.03647703
 7194.84424,  1.03564296
 7196.44922,  1.03389188
 7198.07373,  1.03109017
 7199.71826,  1.02658716
 7201.38184,  1.02088809
 7203.06543,  1.01488520
 7204.76855,  1.00824479
 7206.49170,  1.00150727
 7208.23389,  0.99456286
 7209.99609,  0.98747663
 7211.77783,  0.98148746
 7213.57910,  0.97689232
 7215.39990,  0.97339696
 7217.24023,  0.97200323
 7219.10059,  0.97271000
 7220.98047,  0.97447360
 7222.87988,  0.97628393
 7224.79883,  0.97761540
 7226.73730,  0.97752008
 7228.69580,  0.97635927
 7230.67334,  0.97447178
 7232.67090,  0.97257701
 7234.68799,  0.97011393
 7236.72510,  0.96771018
 7238.78125,  0.96686572
 7240.85742,  0.96700841
 7242.95312,  0.96817278
 7245.06836,  0.97088521
 7247.20312,  0.97493273
 7249.35742,  0.97996874
 7251.53174,  0.98634823
 7253.72559,  0.99310271
 7255.93896,  1.00006292
 7258.17188,  1.00639595
 7260.42432,  1.01180633
 7262.69678,  1.01636331
 7264.98828,  1.01942418
 7267.29980,  1.02164004
 7269.63086,  1.02253981
 7271.98193,  1.02362412
 7274.35205,  1.02354720
 7276.74219,  1.02374578
 7279.15186,  1.02267880
 7281.58105,  1.02175106
 7284.02979,  1.01975144
 7286.49805,  1.01693110
 7288.98633,  1.01349476
 7291.49414,  1.00889735
 7294.02148,  1.00475293
 7296.56836,  0.99956504
 7299.13477,  0.99502103
 7301.72119,  0.99136505
 7304.32666,  0.98845239
 7306.95215,  0.98682311
 7309.59717,  0.98644932
 7312.26221,  0.98702864
 7314.94629,  0.98876551
 7317.65039,  0.99079416
 7320.37354,  0.99307350
 7323.11670,  0.99539361
 7325.87988,  0.99755386
 7328.66211,  0.99874212
 7331.46436,  0.99951322
 7334.28564,  0.99982200
 7337.12695,  1.00020442
 7339.98828,  0.99938347
 7342.86865,  0.99933565
 7345.76855,  0.99850299
 7348.68848,  0.99803468
 7351.62793,  0.99754229
 7354.58691,  0.99670908
 7357.56543,  0.99646219
 7360.56396,  0.99633351
 7363.58154,  0.99633129
 7366.61914,  0.99664364
 7369.67627,  0.99743435
 7372.75293,  0.99902634
 7375.84961,  1.00050881
 7378.96533,  1.00285315
 7382.10107,  1.00468909
 7385.25635,  1.00679042
 7388.43115,  1.00801223
 7391.62598,  1.00897924
 7394.83984,  1.00976400
 7398.07373,  1.00964118
 7401.32715,  1.00886861
 7404.60010,  1.00751943
 7407.89258,  1.00549890
 7411.20459,  1.00348968
 7414.53662,  1.00073878
 7417.88818,  0.99862425
 7421.25928,  0.99670333
 7424.64990,  0.99506870
 7428.06006,  0.99384220
 7431.49023,  0.99289565
 7434.93994,  0.99254350
 7438.40918,  0.99238552
 7441.89795,  0.99281671
 7445.40625,  0.99294205
 7448.93457,  0.99378218
 7452.48193,  0.99447839
 7456.04932,  0.99543379
 7459.63623,  0.99602305
 7463.24316,  0.99751782
 7466.86914,  0.99874568
 7470.51514,  0.99988731
 7474.18018,  1.00114357
 7477.86523,  1.00209670
 7481.57031,  1.00247186
 7485.29443,  1.00250049
 7489.03857,  1.00263171
 7492.80176,  1.00228876
 7496.58496,  1.00171708
 7500.38770,  1.00087441
 7504.21045,  1.00025773
 7508.05225,  0.99908471
 7511.91406,  0.99866109
 7515.79541,  0.99841925
 7519.69629,  0.99823781
 7523.61670,  0.99864185
 7527.55713,  0.99885588
 7531.51660,  0.99938941
 7535.49609,  0.99981286
 7539.49512,  0.99987230
 7543.51367,  0.99989722
 7547.55176,  1.00042977
 7551.60986,  1.00051307
 7555.68750,  1.00048733
 7559.78467,  1.00015360
 7563.90137,  0.99983927
 7568.03760,  0.99958199
 7572.19385,  0.99922638
 7576.36914,  0.99886192
 7580.56445,  0.99870558
 7584.77930,  0.99830834
 7589.01367,  0.99773423
 7593.26807,  0.99768138
 7597.54199,  0.99737909
 7601.83496,  0.99728970
 7606.14795,  0.99712518
 7610.48047,  0.99738599
 7614.83301,  0.99733787
 7619.20459,  0.99812560
 7623.59619,  0.99870996
 7628.00732,  0.99942129
 7632.43799,  0.99991236
 7636.88818,  1.00031945
 7641.35840,  1.00091550
 7645.84814,  1.00150448
 7650.35742,  1.00200443
 7654.88623,  1.00212314
 7659.43457,  1.00245576
 7664.00244,  1.00320997
 7668.59033,  1.00156026
 7673.19775,  1.00088676
 7677.82471,  1.00110063
 7682.47119,  1.00156280
 7687.13721,  1.00051661
 7691.82324,  1.00049892
 7696.52832,  1.00025688
 7701.25342,  1.00009129
 7705.99805,  0.99988041
 7710.76270,  0.99981947
 7715.54639,  1.00005039
 7720.35010,  1.00045212
 7725.17334,  0.99960582
 7730.01611,  1.00009005
 7734.87842,  0.99934863
 7739.76025,  0.99963913
 7744.66211,  1.00018752
 7749.58350,  1.00012468
 7754.52441,  1.00041426
 7759.48486,  1.00028820
 7764.46484,  1.00032888
 7769.46484,  1.00022709
 7774.48438,  1.00042622
 7779.52344,  1.00026234
 7784.58203,  1.00023323
 7789.66016,  0.99986708
 7794.75781,  1.00006391
 7799.87549,  1.00029411
 7805.01270,  1.00034949
 7810.16943,  1.00027547
 7815.34570,  1.00015733
 7820.54199,  1.00044613
 7825.75732,  1.00039786
 7830.99268,  1.00030037
 7836.24756,  1.00021424
 7841.52197,  1.00051408
 7846.81592,  1.00058496
 7852.12988,  1.00056488
 7857.46338,  1.00087892
 7862.81641,  1.00077251
 7868.18896,  1.00077418
 7873.58105,  1.00084190
 7878.99268,  1.00062533
 7884.42432,  1.00044734
 7889.87549,  1.00013150
 7895.34619,  1.00023133
 7900.83643,  1.00056359
 7906.34668,  1.00021646
 7911.87598,  1.00053546
 7917.42529,  1.00057571
 7922.99414,  1.00085155
 7928.58252,  1.00053034
 7934.19043,  1.00024612
 7939.81836,  1.00026577
 7945.46582,  1.00025590
 7951.13281,  1.00021881
 7956.81934,  1.00027310
 7962.52539,  1.00051429
 7968.25098,  1.00077186
 7973.99658,  1.00073676
 7979.76172,  1.00092198
 7985.54639,  1.00098585
 7991.35059,  1.00085398
 7997.17480,  1.00111040
 8003.01807,  1.00097418
 8008.88135,  1.00111520
 8014.76416,  1.00106850
 8020.66650,  1.00099411
 8026.58838,  1.00085418
 8032.53027,  1.00034285
 8038.49170,  1.00016821
 8044.47217,  1.00009912
 8050.47314,  0.99968921
 8056.49316,  0.99924813
 8062.53271,  0.99882558
 8068.59229,  0.99865312
 8074.67139,  0.99838323
 8080.77002,  0.99795418
 8086.88818,  0.99766018
 8093.02588,  0.99712052
 8099.18359,  0.99706278
 8105.36084,  0.99652002
