#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Pyrite: Pyrite
#------------------------------------------
# energy, Pyrite
 7721.64160,  0.99975515
 7726.45166,  1.00120095
 7731.28076,  1.00100678
 7736.12988,  1.00204169
 7740.99805,  1.00320332
 7745.88574,  1.00540066
 7750.79297,  1.00593859
 7755.71973,  1.00498114
 7760.66602,  1.00446957
 7765.63184,  1.00453488
 7770.61670,  1.00195845
 7775.62158,  1.00133368
 7780.64551,  0.99919154
 7785.68945,  0.99723325
 7790.75244,  0.99705900
 7795.83496,  0.99712903
 7800.93652,  0.99687057
 7806.05811,  0.99720958
 7811.19922,  0.99723589
 7816.35938,  0.99805801
 7821.53955,  0.99890150
 7826.73877,  0.99884181
 7831.95752,  1.00058587
 7837.19580,  1.00049864
 7842.45361,  1.00023317
 7847.73096,  1.00071227
 7853.02783,  0.99976992
 7858.34375,  0.99964038
 7863.67920,  0.99859424
 7869.03467,  0.99901159
 7874.40918,  0.99985423
 7879.80322,  0.99886467
 7885.21680,  0.99723059
 7890.64990,  0.99925718
 7896.10254,  0.99817803
 7901.57422,  0.99677896
 7907.06592,  0.99882225
 7912.57666,  0.99862638
 7918.10693,  0.99935576
 7923.65674,  0.99945107
 7929.22607,  0.99816841
 7934.81494,  0.99826255
 7940.42334,  0.99881004
 7946.05078,  0.99791094
 7951.69824,  0.99811019
 7957.36475,  0.99923929
 7963.05127,  0.99940689
 7968.75684,  1.00032496
 7974.48193,  0.99916496
 7980.22656,  0.99911067
 7985.99023,  0.99915059
 7991.77393,  0.99905378
 7997.57715,  0.99919903
 8003.39941,  0.99948694
 8009.24121,  0.99973253
 8015.10254,  1.00022951
 8020.98389,  1.00127600
 8026.88379,  1.00156464
 8032.80371,  1.00194997
 8038.74316,  1.00127587
 8044.70215,  1.00212118
 8050.68018,  1.00243317
 8056.67773,  1.00225669
 8062.69531,  1.00229747
 8068.73193,  1.00154881
 8074.78809,  1.00099266
 8080.86377,  1.00185097
 8086.95850,  1.00108730
 8093.07324,  1.00158762
 8099.20703,  1.00058331
 8105.36084,  1.00105994
