#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Hematite: Hematite
#------------------------------------------
# energy, Hematite
 6880.00000,  5.86258e-4
 6890.23828,  5.36134e-4
 6900.47607,  3.55077e-4
 6910.71436,  4.24083e-4
 6920.95215,  1.61212e-4
 6931.19043,  3.09118e-4
 6941.42871,  2.91291e-4
 6951.66650,  2.41203e-4
 6961.90479, -2.74252e-4
 6972.14307, -3.31971e-4
 6982.38086, -4.45758e-4
 6992.61914, -3.86258e-4
 7002.85693, -2.61709e-4
 7013.09521, -1.31903e-4
 7023.33350,  1.32171e-5
 7033.57129,  1.21182e-4
 7043.80957,  6.94629e-4
 7054.04785,  9.53720e-4
 7064.28564,  0.00197587
 7074.52393,  0.00311421
 7084.76172,  0.00461206
 7095.00000,  0.00770091
 7095.25000,  0.00777167
 7095.50000,  0.00769296
 7095.75000,  0.00780950
 7096.00000,  0.00811395
 7096.25000,  0.00853240
 7096.50000,  0.00837357
 7096.75000,  0.00850109
 7097.00000,  0.00849781
 7097.25000,  0.00884695
 7097.50000,  0.00882152
 7097.75000,  0.00890794
 7098.00000,  0.00909302
 7098.25000,  0.00925446
 7098.50000,  0.00926834
 7098.75000,  0.00951600
 7099.00000,  0.00970795
 7099.25000,  0.00994843
 7099.50000,  0.01011655
 7099.75000,  0.01016067
 7100.00000,  0.01038027
 7100.25000,  0.01074857
 7100.50000,  0.01059379
 7100.75000,  0.01099413
 7101.00000,  0.01123725
 7101.25000,  0.01139117
 7101.50000,  0.01153692
 7101.75000,  0.01171614
 7102.00000,  0.01222348
 7102.25000,  0.01204500
 7102.50000,  0.01251982
 7102.75000,  0.01266136
 7103.00000,  0.01279395
 7103.25000,  0.01299543
 7103.50000,  0.01330384
 7103.75000,  0.01349847
 7104.00000,  0.01385947
 7104.25000,  0.01399241
 7104.50000,  0.01437181
 7104.75000,  0.01460397
 7105.00000,  0.01506654
 7105.25000,  0.01543439
 7105.50000,  0.01557502
 7105.75000,  0.01603876
 7106.00000,  0.01668087
 7106.25000,  0.01668842
 7106.50000,  0.01716747
 7106.75000,  0.01781128
 7107.00000,  0.01799417
 7107.25000,  0.01860853
 7107.50000,  0.01932556
 7107.75000,  0.01985001
 7108.00000,  0.02031696
 7108.25000,  0.02136416
 7108.50000,  0.02202533
 7108.75000,  0.02267924
 7109.00000,  0.02366481
 7109.25000,  0.02471590
 7109.50000,  0.02628462
 7109.75000,  0.02774983
 7110.00000,  0.02999906
 7110.25000,  0.03191602
 7110.50000,  0.03500560
 7110.75000,  0.03872227
 7111.00000,  0.04327938
 7111.25000,  0.04838334
 7111.50000,  0.05467517
 7111.75000,  0.06029665
 7112.00000,  0.06756394
 7112.25000,  0.07386508
 7112.50000,  0.07940191
 7112.75000,  0.08400540
 7113.00000,  0.08798013
 7113.25000,  0.09196435
 7113.50000,  0.09446672
 7113.75000,  0.09616749
 7114.00000,  0.09657672
 7114.25000,  0.09595404
 7114.50000,  0.09447289
 7114.75000,  0.09385373
 7115.00000,  0.09411621
 7115.25000,  0.09481594
 7115.50000,  0.09586656
 7115.75000,  0.09701522
 7116.00000,  0.09884220
 7116.25000,  0.10070076
 7116.50000,  0.10262300
 7116.75000,  0.10476001
 7117.00000,  0.10697302
 7117.25000,  0.10946232
 7117.50000,  0.11255806
 7117.75000,  0.11625472
 7118.00000,  0.12072882
 7118.25000,  0.12712727
 7118.50000,  0.13308090
 7118.75000,  0.14278308
 7119.00000,  0.15207927
 7119.25000,  0.16477641
 7119.50000,  0.17759383
 7119.75000,  0.19530593
 7120.00000,  0.21324743
 7120.25000,  0.23642203
 7120.50000,  0.25959653
 7120.75000,  0.28949693
 7121.00000,  0.31960914
 7121.25000,  0.35426486
 7121.50000,  0.38833683
 7121.75000,  0.42745654
 7122.00000,  0.46311232
 7122.25000,  0.49977267
 7122.50000,  0.53322915
 7122.75000,  0.56789883
 7123.00000,  0.59916338
 7123.25000,  0.62828256
 7123.50000,  0.65791503
 7123.75000,  0.68696634
 7124.00000,  0.71642109
 7124.25000,  0.74555438
 7124.50000,  0.77700891
 7124.75000,  0.80942783
 7125.00000,  0.84333265
 7125.25000,  0.87457346
 7125.50000,  0.91044870
 7125.75000,  0.94283528
 7126.00000,  0.97664928
 7126.25000,  1.00614492
 7126.50000,  1.03858962
 7126.75000,  1.06606134
 7127.00000,  1.09427393
 7127.25000,  1.11710928
 7127.50000,  1.14400954
 7127.75000,  1.16517647
 7128.00000,  1.18648550
 7128.25000,  1.20223992
 7128.50000,  1.21721259
 7128.75000,  1.22829879
 7129.00000,  1.23690263
 7129.25000,  1.24314580
 7129.50000,  1.24780869
 7129.75000,  1.25144741
 7130.00000,  1.25543054
 7130.25000,  1.25975868
 7130.50000,  1.26500703
 7130.75000,  1.27208508
 7131.00000,  1.27898040
 7131.25000,  1.28581819
 7131.50000,  1.29235943
 7131.75000,  1.29839551
 7132.00000,  1.30474403
 7132.25000,  1.30783221
 7132.50000,  1.30974290
 7132.75000,  1.30873342
 7133.00000,  1.30518468
 7133.25000,  1.30157452
 7133.50000,  1.29407390
 7133.75000,  1.28605339
 7134.00000,  1.27740371
 7134.25000,  1.26880106
 7134.50000,  1.25802060
 7134.75000,  1.24826658
 7135.00000,  1.23843536
 7135.25000,  1.22981733
 7135.50000,  1.22211791
 7135.75000,  1.21349450
 7136.00000,  1.20738163
 7136.25000,  1.20124176
 7136.50000,  1.19470261
 7136.75000,  1.18794631
 7137.00000,  1.18291966
 7137.25000,  1.17560687
 7137.50000,  1.16852944
 7137.75000,  1.16082198
 7138.00000,  1.15383375
 7138.25000,  1.14497614
 7138.50000,  1.13697430
 7138.75000,  1.12741783
 7139.00000,  1.11960598
 7139.25000,  1.11049798
