#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Biotite: Biotite
#------------------------------------------
# energy, Biotite
 6880.00000,  3.45210e-4
 6890.23828,  4.99685e-4
 6900.47607,  2.75961e-4
 6910.71436,  8.42886e-5
 6920.95215,  2.18832e-4
 6931.19043,  8.56296e-5
 6941.42871,  6.36858e-5
 6951.66650, -1.41820e-4
 6961.90479, -2.54131e-4
 6972.14307, -2.10939e-4
 6982.38086, -5.28233e-5
 6992.61914, -6.75233e-5
 7002.85693, -1.25385e-4
 7013.09521,  5.18045e-5
 7023.33350,  1.37778e-4
 7033.57129,  2.10603e-4
 7043.80957,  4.82132e-4
 7054.04785,  9.04058e-4
 7064.28564,  0.00120184
 7074.52393,  0.00223691
 7084.76172,  0.00358387
 7095.00000,  0.00636557
 7095.25000,  0.00668589
 7095.50000,  0.00671682
 7095.75000,  0.00679784
 7096.00000,  0.00678649
 7096.25000,  0.00684963
 7096.50000,  0.00716662
 7096.75000,  0.00730331
 7097.00000,  0.00749420
 7097.25000,  0.00753427
 7097.50000,  0.00761290
 7097.75000,  0.00776789
 7098.00000,  0.00793317
 7098.25000,  0.00803569
 7098.50000,  0.00802588
 7098.75000,  0.00836306
 7099.00000,  0.00829177
 7099.25000,  0.00878603
 7099.50000,  0.00870362
 7099.75000,  0.00885220
 7100.00000,  0.00916672
 7100.25000,  0.00928694
 7100.50000,  0.00935918
 7100.75000,  0.00970030
 7101.00000,  0.00984057
 7101.25000,  0.01003807
 7101.50000,  0.01019170
 7101.75000,  0.01047824
 7102.00000,  0.01071706
 7102.25000,  0.01078096
 7102.50000,  0.01109602
 7102.75000,  0.01115829
 7103.00000,  0.01158086
 7103.25000,  0.01151922
 7103.50000,  0.01205713
 7103.75000,  0.01213302
 7104.00000,  0.01263925
 7104.25000,  0.01287375
 7104.50000,  0.01313910
 7104.75000,  0.01344237
 7105.00000,  0.01382525
 7105.25000,  0.01400729
 7105.50000,  0.01458191
 7105.75000,  0.01474400
 7106.00000,  0.01531805
 7106.25000,  0.01590515
 7106.50000,  0.01614319
 7106.75000,  0.01662102
 7107.00000,  0.01721970
 7107.25000,  0.01763830
 7107.50000,  0.01821006
 7107.75000,  0.01866700
 7108.00000,  0.01950413
 7108.25000,  0.02021864
 7108.50000,  0.02113969
 7108.75000,  0.02222232
 7109.00000,  0.02347724
 7109.25000,  0.02500837
 7109.50000,  0.02688381
 7109.75000,  0.02874904
 7110.00000,  0.03114877
 7110.25000,  0.03322545
 7110.50000,  0.03563723
 7110.75000,  0.03743065
 7111.00000,  0.03922018
 7111.25000,  0.04044936
 7111.50000,  0.04157742
 7111.75000,  0.04208038
 7112.00000,  0.04314316
 7112.25000,  0.04386230
 7112.50000,  0.04507150
 7112.75000,  0.04577843
 7113.00000,  0.04731465
 7113.25000,  0.04887347
 7113.50000,  0.05051985
 7113.75000,  0.05285377
 7114.00000,  0.05514738
 7114.25000,  0.05811956
 7114.50000,  0.06183198
 7114.75000,  0.06605587
 7115.00000,  0.07101235
 7115.25000,  0.07794714
 7115.50000,  0.08579202
 7115.75000,  0.09540365
 7116.00000,  0.10698608
 7116.25000,  0.12222221
 7116.50000,  0.13835631
 7116.75000,  0.15863745
 7117.00000,  0.18138484
 7117.25000,  0.20546968
 7117.50000,  0.23060120
 7117.75000,  0.26033078
 7118.00000,  0.29285579
 7118.25000,  0.33476474
 7118.50000,  0.37386610
 7118.75000,  0.42875871
 7119.00000,  0.48084052
 7119.25000,  0.54095273
 7119.50000,  0.59713454
 7119.75000,  0.66256151
 7120.00000,  0.71529262
 7120.25000,  0.76996326
 7120.50000,  0.81069675
 7120.75000,  0.85125012
 7121.00000,  0.88152118
 7121.25000,  0.91144974
 7121.50000,  0.93516869
 7121.75000,  0.96552351
 7122.00000,  0.99414680
 7122.25000,  1.03145467
 7122.50000,  1.06724303
 7122.75000,  1.11133953
 7123.00000,  1.16028075
 7123.25000,  1.20775023
 7123.50000,  1.25079957
 7123.75000,  1.29315881
 7124.00000,  1.32615855
 7124.25000,  1.35374553
 7124.50000,  1.37031978
 7124.75000,  1.38088216
 7125.00000,  1.38482703
 7125.25000,  1.38021989
