#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Schwertmannite: Schwertmannite
#------------------------------------------
# energy, Schwertmannite
 7155.87500,  0.91164089
 7156.12500,  0.90837984
 7156.37500,  0.90570413
 7156.62500,  0.90315944
 7156.87500,  0.90050453
 7157.12500,  0.89772953
 7157.37500,  0.89523239
 7157.62500,  0.89297361
 7157.87500,  0.89072343
 7158.12500,  0.88875246
 7158.37500,  0.88684744
 7158.62500,  0.88481775
 7158.87500,  0.88326462
 7159.12500,  0.88170008
 7159.37500,  0.88031046
 7159.62500,  0.87914223
 7159.87500,  0.87832770
 7160.12500,  0.87715847
 7160.37500,  0.87652889
 7160.62500,  0.87602154
 7160.87500,  0.87529152
 7161.12500,  0.87500574
 7161.37500,  0.87503129
 7161.62500,  0.87511374
 7161.87500,  0.87529220
 7162.12500,  0.87551213
 7162.37500,  0.87584719
 7162.62500,  0.87630618
 7162.87500,  0.87737259
 7163.12500,  0.87758826
 7163.37500,  0.87885515
 7163.62500,  0.88001442
 7163.87500,  0.88114783
 7164.12500,  0.88274084
 7164.37500,  0.88398032
 7164.62500,  0.88552907
 7164.87500,  0.88708122
 7165.12500,  0.88875264
 7165.37500,  0.89079138
 7165.62500,  0.89261096
 7165.87500,  0.89466360
 7166.12500,  0.89656134
 7166.37500,  0.89907419
 7166.62500,  0.90119861
 7166.87500,  0.90336988
 7167.12500,  0.90581486
 7167.37500,  0.90840604
 7167.62500,  0.91082220
 7167.87500,  0.91327039
 7168.12500,  0.91618294
 7168.37500,  0.91897243
 7168.62500,  0.92182698
 7168.87500,  0.92422094
 7169.12500,  0.92726098
 7169.37500,  0.92987104
 7169.62500,  0.93259785
 7169.87500,  0.93562037
 7170.12500,  0.93854165
 7170.37500,  0.94156200
 7170.62500,  0.94408425
 7170.87500,  0.94719353
 7171.12500,  0.95009521
 7171.37500,  0.95276758
 7171.62500,  0.95555761
 7171.87500,  0.95861328
 7172.12500,  0.96125727
 7172.37500,  0.96404485
 7172.62500,  0.96678386
 7172.87500,  0.96944345
 7173.12500,  0.97211307
 7173.37500,  0.97512419
 7173.62500,  0.97800677
 7173.87500,  0.98031433
 7174.12500,  0.98330550
 7174.37500,  0.98670923
 7174.62500,  0.98916467
 7174.87500,  0.99227787
 7175.12500,  0.99499985
 7175.37500,  0.99811340
 7175.62500,  1.00078843
 7175.87500,  1.00408684
 7176.12500,  1.00690410
 7176.37500,  1.00977467
 7176.62500,  1.01204060
 7176.87500,  1.01419075
 7177.12500,  1.01578606
 7177.37500,  1.01753565
 7177.62500,  1.01910349
 7177.87500,  1.02027464
 7178.12500,  1.02169877
 7179.22119,  1.02662929
 7180.33691,  1.03066268
 7181.47266,  1.03400298
 7182.62793,  1.03667706
 7183.80273,  1.03800983
 7184.99756,  1.03848067
 7186.21143,  1.03796184
 7187.44580,  1.03718083
 7188.69922,  1.03643694
 7189.97266,  1.03630996
 7191.26514,  1.03510954
 7192.57812,  1.03372248
 7193.91016,  1.03238030
 7195.26221,  1.03026830
 7196.63379,  1.02832239
 7198.02490,  1.02666167
 7199.43604,  1.02462499
 7200.86670,  1.02290552
 7202.31689,  1.02082905
 7203.78711,  1.01853743
 7205.27637,  1.01542994
 7206.78613,  1.01226431
 7208.31494,  1.00847432
 7209.86377,  1.00507323
 7211.43164,  1.00086081
 7213.02002,  0.99745627
 7214.62744,  0.99388189
 7216.25488,  0.99069495
 7217.90186,  0.98837290
 7219.56836,  0.98697875
 7221.25488,  0.98582283
 7222.96094,  0.98535883
 7224.68652,  0.98577674
 7226.43213,  0.98602718
 7228.19678,  0.98647378
 7229.98145,  0.98724111
 7231.78613,  0.98744453
 7233.60986,  0.98757553
 7235.45361,  0.98749422
 7237.31738,  0.98742935
 7239.20020,  0.98728495
 7241.10303,  0.98831461
 7243.02539,  0.98847786
 7244.96729,  0.99052393
 7246.92920,  0.99283525
 7248.91064,  0.99502842
 7250.91162,  0.99749152
 7252.93262,  0.99999715
 7254.97266,  1.00243355
 7257.03271,  1.00379591
 7259.11279,  1.00654545
 7261.21191,  1.00855917
 7263.33105,  1.01053350
 7265.47021,  1.01200623
 7267.62842,  1.01329467
 7269.80664,  1.01452861
 7272.00439,  1.01606624
 7274.22168,  1.01662839
 7276.45898,  1.01739391
 7278.71582,  1.01829849
 7280.99219,  1.01869413
 7283.28857,  1.01854605
 7285.60400,  1.01798156
 7287.93945,  1.01636112
 7290.29492,  1.01396374
 7292.66943,  1.01195862
 7295.06396,  1.00923604
 7297.47803,  1.00670192
 7299.91211,  1.00440630
 7302.36572,  1.00248067
 7304.83887,  1.00050086
 7307.33154,  0.99909071
 7309.84424,  0.99792239
 7312.37646,  0.99718538
 7314.92822,  0.99679593
 7317.49951,  0.99690103
 7320.09082,  0.99727445
 7322.70166,  0.99773943
 7325.33252,  0.99851586
 7327.98242,  0.99933645
 7330.65234,  1.00066206
 7333.34180,  1.00175838
 7336.05127,  1.00260336
 7338.78027,  1.00378794
 7341.52881,  1.00404340
 7344.29688,  1.00371778
 7347.08496,  1.00313546
 7349.89258,  1.00227007
 7352.71973,  1.00138122
 7355.56641,  1.00063899
 7358.43311,  1.00006959
 7361.31934,  0.99985066
 7364.22559,  0.99988863
 7367.15088,  0.99986217
 7370.09619,  1.00012774
 7373.06104,  1.00000014
 7376.04590,  1.00003611
 7379.05029,  1.00017310
 7382.07422,  1.00047761
 7385.11768,  1.00098910
 7388.18115,  1.00138172
 7391.26416,  1.00232555
 7394.36670,  1.00311749
 7397.48877,  1.00401913
 7400.63086,  1.00480558
 7403.79248,  1.00541629
 7406.97363,  1.00558791
 7410.17480,  1.00534973
 7413.39551,  1.00479628
 7416.63574,  1.00370656
 7419.89600,  1.00244086
 7423.17529,  1.00099825
 7426.47510,  0.99962018
 7429.79395,  0.99854342
 7433.13232,  0.99776494
 7436.49072,  0.99717141
 7439.86914,  0.99658691
 7443.26660,  0.99630480
 7446.68408,  0.99598140
 7450.12109,  0.99602322
 7453.57764,  0.99610622
 7457.05420,  0.99633877
 7460.55029,  0.99647317
 7464.06592,  0.99706387
 7467.60156,  0.99754862
 7471.15625,  0.99816118
 7474.73096,  0.99873406
 7478.32568,  0.99954859
 7481.93945,  1.00006707
 7485.57324,  1.00050829
 7489.22656,  1.00060759
 7492.89990,  1.00054385
 7496.59277,  1.00018222
 7500.30518,  0.99978652
 7504.03711,  0.99916134
 7507.78906,  0.99891305
 7511.56055,  0.99850164
 7515.35156,  0.99838212
 7519.16211,  0.99835081
 7522.99268,  0.99823183
 7526.84277,  0.99817132
 7530.71289,  0.99815895
 7534.60205,  0.99843623
 7538.51123,  0.99846589
 7542.43994,  0.99871411
 7546.38867,  0.99883697
 7550.35693,  0.99901643
 7554.34473,  0.99918119
 7558.35205,  0.99944108
 7562.37939,  0.99969021
 7566.42627,  0.99977486
 7570.49268,  0.99998686
 7574.57861,  0.99996703
 7578.68457,  0.99976803
 7582.81006,  0.99963080
 7586.95508,  0.99928739
 7591.12012,  0.99901648
 7595.30469,  0.99870529
 7599.50879,  0.99850842
 7603.73291,  0.99818248
 7607.97607,  0.99798926
 7612.23975,  0.99792443
 7616.52246,  0.99784552
 7620.82471,  0.99779561
 7625.14697,  0.99807268
 7629.48926,  0.99806299
 7633.85059,  0.99833159
 7638.23193,  0.99811377
 7642.63281,  0.99826442
 7647.05322,  0.99842360
 7651.49365,  0.99649742
 7655.95361,  0.99890673
 7660.43311,  0.99888846
 7664.93262,  0.99917293
 7669.45117,  0.99906224
 7673.98975,  0.99927638
 7678.54834,  0.99927793
 7683.12598,  0.99936877
 7687.72363,  0.99932378
 7692.34082,  0.99922526
 7696.97803,  0.99928404
 7701.63477,  0.99934605
 7706.31104,  0.99948547
 7711.00684,  0.99936438
 7715.72266,  0.99935666
 7720.45801,  0.99925699
 7725.21289,  0.99932014
 7729.98730,  0.99932565
 7734.78174,  0.99929363
 7739.59570,  0.99936499
 7744.42969,  0.99927867
 7749.28271,  0.99937239
 7754.15576,  0.99943471
 7759.04834,  0.99941110
 7763.96094,  0.99953885
 7768.89307,  0.99968023
 7773.84473,  0.99972408
 7778.81592,  0.99993398
 7783.80713,  0.99984339
 7788.81738,  0.99964474
 7793.84814,  0.99963389
 7798.89795,  0.99961820
 7803.96777,  0.99954341
 7809.05713,  0.99967358
 7814.16602,  0.99972713
 7819.29492,  0.99971168
 7824.44336,  0.99989947
 7829.61133,  0.99992034
 7834.79932,  0.99986860
 7840.00635,  0.99997303
 7845.23340,  0.99990005
 7850.48047,  0.99987542
 7855.74658,  1.00011437
 7861.03271,  1.00016421
 7866.33838,  1.00024137
 7871.66406,  1.00019110
 7877.00928,  1.00038974
 7882.37402,  1.00037964
 7887.75830,  1.00045063
 7893.16260,  1.00046756
 7898.58643,  1.00044471
 7904.02979,  1.00063657
 7909.49268,  1.00068735
 7914.97559,  1.00080883
 7920.47803,  1.00078152
 7926.00049,  1.00088676
 7931.54199,  1.00097308
 7937.10352,  1.00105204
 7942.68457,  1.00119889
 7948.28564,  1.00131309
 7953.90625,  1.00111188
 7959.54639,  1.00107708
 7965.20605,  1.00114303
 7970.88574,  1.00120347
 7976.58447,  1.00123353
 7982.30371,  1.00128647
 7988.04199,  1.00124747
 7993.80029,  1.00122748
 7999.57812,  1.00122580
 8005.37549,  1.00125847
