#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Lepidocrocite: Lepidocrocite
#------------------------------------------
# energy, Lepidocrocite
 7132.25000,  1.34182150
 7132.50000,  1.33301469
 7132.75000,  1.32473533
 7133.00000,  1.31487345
 7133.25000,  1.30690220
 7133.50000,  1.29681107
 7133.75000,  1.28984489
 7134.00000,  1.28276929
 7134.25000,  1.27588664
 7134.50000,  1.26967498
 7134.75000,  1.26334831
 7135.00000,  1.25836938
 7135.25000,  1.25296966
 7135.50000,  1.24756469
 7135.75000,  1.24232887
 7136.00000,  1.23715256
 7136.25000,  1.23215418
 7136.50000,  1.22660639
 7136.75000,  1.22073138
 7137.00000,  1.21583238
 7137.25000,  1.20921076
 7137.50000,  1.20292062
 7137.75000,  1.19636951
 7138.00000,  1.19004531
 7138.25000,  1.18301457
 7138.50000,  1.17606703
 7138.75000,  1.16916923
 7139.00000,  1.16200287
 7139.25000,  1.15455434
 7139.50000,  1.14721346
 7139.75000,  1.14082991
 7140.00000,  1.13447381
 7140.25000,  1.12777747
 7140.50000,  1.12209578
 7140.75000,  1.11557377
 7141.00000,  1.10998655
 7141.25000,  1.10410055
 7141.50000,  1.09933964
 7141.75000,  1.09387209
 7142.00000,  1.08954798
 7142.25000,  1.08479865
 7142.50000,  1.08091093
 7142.75000,  1.07658865
 7143.00000,  1.07325349
 7143.25000,  1.06951157
 7143.50000,  1.06669050
 7143.75000,  1.06389880
 7144.00000,  1.06156002
 7144.25000,  1.05845819
 7144.50000,  1.05667648
 7144.75000,  1.05547938
 7145.00000,  1.05320694
 7145.25000,  1.05124596
 7145.50000,  1.04939113
 7145.75000,  1.04752604
 7146.00000,  1.04594728
 7146.25000,  1.04326055
 7146.50000,  1.04036058
 7146.75000,  1.03673479
 7147.00000,  1.03352695
 7147.25000,  1.02911149
 7147.50000,  1.02523181
 7147.75000,  1.01956850
 7148.00000,  1.01425562
 7148.25000,  1.00733311
 7148.50000,  1.00097843
 7148.75000,  0.99388517
 7149.00000,  0.98745897
 7149.25000,  0.97993172
 7149.50000,  0.97336172
 7149.75000,  0.96580308
 7150.00000,  0.95932004
 7150.25000,  0.95182758
 7150.50000,  0.94567135
 7150.75000,  0.93812339
 7151.00000,  0.93247882
 7151.25000,  0.92557222
 7151.50000,  0.91971108
 7151.75000,  0.91421072
 7152.00000,  0.90899695
 7152.25000,  0.90319739
 7152.50000,  0.89796693
 7152.75000,  0.89313237
 7153.00000,  0.88913531
 7153.25000,  0.88406273
 7153.50000,  0.88071996
 7153.75000,  0.87633757
 7154.00000,  0.87315302
 7154.25000,  0.86927954
 7154.50000,  0.86588260
 7154.75000,  0.86336879
 7155.00000,  0.86015762
 7155.25000,  0.85760675
 7155.50000,  0.85511388
 7155.75000,  0.85337153
 7156.00000,  0.85076766
 7156.25000,  0.84918313
 7156.50000,  0.84729181
 7156.75000,  0.84613173
 7157.00000,  0.84443619
 7157.25000,  0.84355903
 7157.50000,  0.84245595
 7157.75000,  0.84134310
 7158.00000,  0.84071312
 7158.25000,  0.83954444
 7158.50000,  0.83922926
 7158.75000,  0.83864893
 7159.00000,  0.83762804
 7159.25000,  0.83728431
 7159.50000,  0.83717576
 7159.75000,  0.83689329
 7160.00000,  0.83714819
 7161.09473,  0.83773040
 7162.20947,  0.84130694
 7163.34326,  0.84954051
 7164.49707,  0.86146720
 7165.67041,  0.87642672
 7166.86377,  0.89391730
 7168.07617,  0.91489875
 7169.30859,  0.93777582
 7170.56006,  0.96310971
 7171.83154,  0.98778345
 7173.12305,  1.01181346
 7174.43359,  1.03374873
 7175.76367,  1.04970124
 7177.11377,  1.06037257
 7178.48340,  1.06806926
 7179.87256,  1.07321340
 7181.28174,  1.07510670
 7182.70996,  1.07331798
 7184.15820,  1.06906849
 7185.62598,  1.06368905
 7187.11328,  1.05806948
 7188.62012,  1.05111332
 7190.14648,  1.04424324
 7191.69287,  1.03722497
 7193.25879,  1.03016818
 7194.84424,  1.02511680
 7196.44922,  1.02109715
 7198.07373,  1.01826262
 7199.71826,  1.01654481
 7201.38184,  1.01471689
 7203.06543,  1.01263576
 7204.76855,  1.01051708
 7206.49170,  1.00827245
 7208.23389,  1.00612399
 7209.99609,  1.00422947
 7211.77783,  1.00318462
 7213.57910,  1.00085762
 7215.39990,  0.99942585
 7217.24023,  0.99710300
 7219.10059,  0.99616606
 7220.98047,  0.99508606
 7222.87988,  0.99409792
 7224.79883,  0.99172787
 7226.73730,  0.98799786
 7228.69580,  0.98236806
 7230.67334,  0.97518937
 7232.67090,  0.96887721
 7234.68799,  0.96351216
 7236.72510,  0.96058445
 7238.78125,  0.96061616
 7240.85742,  0.96306702
 7242.95312,  0.96782672
 7245.06836,  0.97411352
 7247.20312,  0.98303897
 7249.35742,  0.99237861
 7251.53174,  1.00101134
 7253.72559,  1.00813674
 7255.93896,  1.01605304
 7258.17188,  1.02190919
 7260.42432,  1.02331065
 7262.69678,  1.03374523
 7264.98828,  1.03911682
 7267.29980,  1.04397132
 7269.63086,  1.04615465
 7271.98193,  1.04678620
 7274.35205,  1.04547292
 7276.74219,  1.04296019
 7279.15186,  1.03746290
 7281.58105,  1.03000371
 7284.02979,  1.02115214
 7286.49805,  1.01200062
 7288.98633,  1.00406594
 7291.49414,  0.99680800
 7294.02148,  0.99113546
 7296.56836,  0.98677417
 7299.13477,  0.98478736
 7301.72119,  0.98415130
 7304.32666,  0.98597437
 7306.95215,  0.98978939
 7309.59717,  0.99434268
 7312.26221,  0.99922530
 7314.94629,  1.00429598
 7317.65039,  1.00819016
 7320.37354,  1.01055694
 7323.11670,  1.01054476
 7325.87988,  1.01015882
 7328.66211,  1.01000015
 7331.46436,  1.00873854
 7334.28564,  1.00756290
 7337.12695,  1.00467458
 7339.98828,  1.00211308
 7342.86865,  0.99935662
 7345.76855,  0.99754474
 7348.68848,  0.99611968
 7351.62793,  0.99630318
 7354.58691,  0.99800602
 7357.56543,  0.99999469
 7360.56396,  1.00064152
 7363.58154,  1.00012748
 7366.61914,  0.99904022
 7369.67627,  0.99920219
 7372.75293,  1.00007618
 7375.84961,  1.00130463
 7378.96533,  1.00350449
 7382.10107,  1.00648743
 7385.25635,  1.00909935
 7388.43115,  1.01134999
 7391.62598,  1.01351407
 7394.83984,  1.01412322
 7398.07373,  1.01391036
 7401.32715,  1.01302984
 7404.60010,  1.01118011
 7407.89258,  1.00908708
 7411.20459,  1.00607582
 7414.53662,  1.00299814
 7417.88818,  1.00014599
 7421.25928,  0.99723654
 7424.64990,  0.99500910
 7428.06006,  0.99272142
 7431.49023,  0.99179932
 7434.93994,  0.99097167
 7438.40918,  0.99065778
 7441.89795,  0.99056594
 7445.40625,  0.99073871
 7448.93457,  0.99109243
 7452.48193,  0.99136952
 7456.04932,  0.99303992
 7459.63623,  0.99521500
 7463.24316,  0.99778097
 7466.86914,  1.00031135
 7470.51514,  1.00272167
 7474.18018,  1.00455100
 7477.86523,  1.00580441
 7481.57031,  1.00615744
 7485.29443,  1.00496818
 7489.03857,  1.00380213
 7492.80176,  1.00241724
 7496.58496,  1.00076894
 7500.38770,  1.00009869
 7504.21045,  0.99920465
 7508.05225,  0.99850744
 7511.91406,  0.99748661
 7515.79541,  0.99690266
 7519.69629,  0.99292684
 7523.61670,  0.99530628
 7527.55713,  0.99539717
 7531.51660,  0.99584957
 7535.49609,  0.99701359
 7539.49512,  0.99802180
 7543.51367,  0.99852468
 7547.55176,  0.99953939
 7551.60986,  0.99993838
 7555.68750,  1.00090184
 7559.78467,  1.00105198
 7563.90137,  1.00141005
 7568.03760,  1.00137689
 7572.19385,  1.00089464
 7576.36914,  1.00008728
 7580.56445,  0.99922221
 7584.77930,  0.99799802
 7589.01367,  0.99718149
 7593.26807,  0.99656561
 7597.54199,  0.99586473
 7601.83496,  0.99573042
 7606.14795,  0.99583962
 7610.48047,  0.99605983
 7614.83301,  0.99616217
 7619.20459,  0.99699721
 7623.59619,  0.99772511
 7628.00732,  0.99183646
 7632.43799,  1.00421644
 7636.88818,  0.99967895
 7641.35840,  1.00025410
 7645.84814,  1.00115624
 7650.35742,  1.00207215
 7654.88623,  1.00262611
 7659.43457,  1.00268049
 7664.00244,  1.00250750
 7668.59033,  1.00210735
 7673.19775,  1.00172627
 7677.82471,  1.00142892
 7682.47119,  1.00123232
 7687.13721,  1.00076591
 7691.82324,  1.00054558
 7696.52832,  1.00022453
 7701.25342,  0.99976413
 7705.99805,  0.99943697
 7710.76270,  0.99836696
 7715.54639,  0.99858224
 7720.35010,  0.99932111
 7725.17334,  0.99916333
 7730.01611,  0.99935179
 7734.87842,  0.99958030
 7739.76025,  0.99989098
 7744.66211,  0.99998375
 7749.58350,  1.00059266
 7754.52441,  1.00060795
 7759.48486,  1.00116790
 7764.46484,  1.00127901
 7769.46484,  1.00132104
 7774.48438,  1.00147413
 7779.52344,  1.00143123
 7784.58203,  1.00124023
 7789.66016,  1.00118370
 7794.75781,  1.00122574
 7799.87549,  1.00123970
 7805.01270,  1.00135154
 7810.16943,  1.00088851
 7815.34570,  1.00085125
 7820.54199,  1.00070681
 7825.75732,  1.00051822
 7830.99268,  1.00012979
 7836.24756,  1.00012352
 7841.52197,  1.00011348
 7846.81592,  1.00050826
 7852.12988,  1.00040582
 7857.46338,  1.00061905
 7862.81641,  1.00080834
 7868.18896,  1.00147920
 7873.58105,  1.00183742
 7878.99268,  1.00188367
 7884.42432,  1.00150423
 7889.87549,  1.00155037
 7895.34619,  1.00117126
 7900.83643,  1.00084123
 7906.34668,  1.00030821
 7911.87598,  1.00012132
 7917.42529,  0.99957083
 7922.99414,  0.99961536
 7928.58252,  0.99955619
 7934.19043,  0.99929058
 7939.81836,  0.99903846
 7945.46582,  0.99918135
 7951.13281,  0.99921064
 7956.81934,  0.99926661
 7962.52539,  0.99976153
 7968.25098,  0.99975099
 7973.99658,  1.00015620
 7979.76172,  1.00012645
 7985.54639,  1.00060595
 7991.35059,  1.00054555
 7997.17480,  1.00077041
 8003.01807,  1.00049202
 8008.88135,  1.00038871
 8014.76416,  1.00031437
 8020.66650,  1.00032557
 8026.58838,  1.00004808
 8032.53027,  0.99998876
 8038.49170,  0.99969513
 8044.47217,  0.99949738
 8050.47314,  0.99945771
 8056.49316,  0.99954761
 8062.53271,  0.99946858
 8068.59229,  0.99948913
 8074.67139,  0.99929715
 8080.77002,  0.99908025
 8086.88818,  0.99899213
 8093.02588,  0.99897705
 8099.18359,  0.99878105
 8105.36084,  0.99866973
