#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#2L-Fhy: 2L-Fhy
#------------------------------------------
# energy, 2L-Fhy
 7144.75000,  1.03085585
 7145.00000,  1.03048158
 7145.25000,  1.02955885
 7145.50000,  1.02743655
 7145.75000,  1.02604796
 7146.00000,  1.02411523
 7146.25000,  1.02240456
 7146.50000,  1.01990060
 7146.75000,  1.01825194
 7147.00000,  1.01524965
 7147.25000,  1.01231785
 7147.50000,  1.00909519
 7147.75000,  1.00572548
 7148.00000,  1.00166381
 7148.25000,  0.99717298
 7148.50000,  0.99321367
 7148.75000,  0.98886304
 7149.00000,  0.98464465
 7149.25000,  0.98046246
 7149.50000,  0.97630129
 7149.75000,  0.97153624
 7150.00000,  0.96682756
 7150.25000,  0.96214431
 7150.50000,  0.95738249
 7150.75000,  0.95301444
 7151.00000,  0.94825373
 7151.25000,  0.94384743
 7151.50000,  0.93931845
 7151.75000,  0.93593532
 7152.00000,  0.93142158
 7152.25000,  0.92681063
 7152.50000,  0.92317801
 7152.75000,  0.92014155
 7153.00000,  0.91742961
 7153.25000,  0.91354175
 7153.50000,  0.91012373
 7153.75000,  0.90697290
 7154.00000,  0.90418695
 7154.25000,  0.90154313
 7154.50000,  0.89950363
 7154.75000,  0.89609936
 7155.00000,  0.89349526
 7155.25000,  0.89089047
 7155.50000,  0.88880106
 7155.75000,  0.88660146
 7156.00000,  0.88431185
 7156.25000,  0.88234034
 7156.50000,  0.88056177
 7156.75000,  0.87852203
 7157.00000,  0.87702985
 7157.25000,  0.87567529
 7157.50000,  0.87335581
 7157.75000,  0.87236619
 7158.00000,  0.87142488
 7158.25000,  0.86970786
 7158.50000,  0.86925492
 7158.75000,  0.86737632
 7159.00000,  0.86653003
 7159.25000,  0.86638497
 7159.50000,  0.86526385
 7159.75000,  0.86474052
 7160.00000,  0.86458187
 7161.09473,  0.86495947
 7162.20947,  0.86788633
 7163.34326,  0.87361647
 7164.49707,  0.88099424
 7165.67041,  0.89051167
 7166.86377,  0.90160312
 7168.07617,  0.91411469
 7169.30859,  0.92799354
 7170.56006,  0.94178951
 7171.83154,  0.95740771
 7173.12305,  0.97279172
 7174.43359,  0.98751295
 7175.76367,  0.99878580
 7177.11377,  1.00665759
 7178.48340,  1.01226368
 7179.87256,  1.01731104
