#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Green Rust - Sulfate: Green Rust - Sulfate
#------------------------------------------
# energy, Green Rust - Sulfate
 7157.25000,  0.89998783
 7157.50000,  0.90169377
 7157.75000,  0.90363007
 7158.00000,  0.90573903
 7158.25000,  0.90814292
 7158.50000,  0.90961097
 7158.75000,  0.91199962
 7159.00000,  0.91411563
 7159.25000,  0.91616346
 7159.50000,  0.91872987
 7159.75000,  0.92057040
 7160.00000,  0.92270987
 7161.09473,  0.93411502
 7162.20947,  0.94615690
 7163.34326,  0.95806051
 7164.49707,  0.97008855
 7165.67041,  0.98188749
 7166.86377,  0.99355897
 7168.07617,  1.00539145
 7169.30859,  1.01660846
 7170.56006,  1.02699724
 7171.83154,  1.03435837
 7173.12305,  1.03779275
 7174.43359,  1.03824094
 7175.76367,  1.03658173
 7177.11377,  1.03157608
 7178.48340,  1.02606431
 7179.87256,  1.02017494
 7181.28174,  1.01439907
 7182.70996,  1.00969490
 7184.15820,  1.00514895
 7185.62598,  1.00099682
 7187.11328,  0.99734483
 7188.62012,  0.99450703
 7190.14648,  0.99240031
 7191.69287,  0.99094089
 7193.25879,  0.99040136
 7194.84424,  0.99059835
 7196.44922,  0.99057775
 7198.07373,  0.99052144
 7199.71826,  0.99028262
 7201.38184,  0.98949332
 7203.06543,  0.98884614
 7204.76855,  0.98787765
 7206.49170,  0.98708275
 7208.23389,  0.98673664
 7209.99609,  0.98688338
 7211.77783,  0.98646486
 7213.57910,  0.98537925
 7215.39990,  0.98373800
 7217.24023,  0.98063404
 7219.10059,  0.97705594
 7220.98047,  0.97328956
 7222.87988,  0.96973856
 7224.79883,  0.96767300
 7226.73730,  0.96751827
 7228.69580,  0.96976162
 7230.67334,  0.97384973
 7232.67090,  0.97914877
 7234.68799,  0.98556690
 7236.72510,  0.99166408
 7238.78125,  0.99718862
 7240.85742,  1.00194274
 7242.95312,  1.00551267
 7245.06836,  1.00809391
 7247.20312,  1.01038377
 7249.35742,  1.01216332
 7251.53174,  1.01494933
 7253.72559,  1.01521769
 7255.93896,  1.01682775
 7258.17188,  1.01826890
 7260.42432,  1.01711222
 7262.69678,  1.01373192
 7264.98828,  1.01218213
 7267.29980,  1.00848219
 7269.63086,  1.00395668
 7271.98193,  0.99936500
 7274.35205,  0.99560520
 7276.74219,  0.99283749
 7279.15186,  0.99086485
 7281.58105,  0.99033566
 7284.02979,  0.99091041
 7286.49805,  0.99153470
 7288.98633,  0.99253846
 7291.49414,  0.99318406
 7294.02148,  0.99388233
 7296.56836,  0.99496462
 7299.13477,  0.99622247
 7301.72119,  0.99709543
 7304.32666,  0.99834956
 7306.95215,  0.99985341
 7309.59717,  1.00111933
 7312.26221,  1.00161993
 7314.94629,  1.00265759
 7317.65039,  1.00295051
 7320.37354,  1.00191865
 7323.11670,  1.00004745
 7325.87988,  0.99741734
 7328.66211,  0.99518935
 7331.46436,  0.99431756
 7334.28564,  0.99469986
 7337.12695,  0.99581150
 7339.98828,  0.99632986
 7342.86865,  0.99643775
 7345.76855,  0.99683882
 7348.68848,  0.99697129
 7351.62793,  0.99756244
 7354.58691,  0.99833290
 7357.56543,  0.99954501
 7360.56396,  1.00135308
 7363.58154,  1.00218333
 7366.61914,  1.00365900
 7369.67627,  1.00503664
 7372.75293,  1.00608642
 7375.84961,  1.00692183
 7378.96533,  1.00701606
 7382.10107,  1.00588648
 7385.25635,  1.00403750
 7388.43115,  1.00137023
 7391.62598,  0.99894282
 7394.83984,  0.99618503
 7398.07373,  0.99461242
 7401.32715,  0.99459558
 7404.60010,  0.99464740
 7407.89258,  0.99492899
 7411.20459,  0.99483164
 7414.53662,  0.99426915
 7417.88818,  0.99407453
 7421.25928,  0.99418065
 7424.64990,  0.99507283
 7428.06006,  0.99580874
 7431.49023,  0.99692405
 7434.93994,  0.99863490
 7438.40918,  0.99992198
 7441.89795,  1.00149188
 7445.40625,  1.00260594
 7448.93457,  1.00408976
 7452.48193,  1.00394116
 7456.04932,  1.00277986
 7459.63623,  1.00156623
 7463.24316,  1.00039345
 7466.86914,  0.99907170
 7470.51514,  0.99812196
 7474.18018,  0.99715614
 7477.86523,  0.99744925
 7481.57031,  0.99818430
 7485.29443,  0.99823934
 7489.03857,  0.99879007
 7492.80176,  0.99874663
 7496.58496,  0.99783395
 7500.38770,  0.99742339
 7504.21045,  0.99777166
 7508.05225,  0.99796688
 7511.91406,  0.99799479
 7515.79541,  0.99877507
 7519.69629,  1.00019786
 7523.61670,  1.00127319
 7527.55713,  1.00180144
 7531.51660,  1.00168433
 7535.49609,  1.00143376
 7539.49512,  1.00118266
 7543.51367,  1.00011835
 7547.55176,  0.99949961
 7551.60986,  0.99921859
 7555.68750,  0.99908989
 7559.78467,  0.99872777
 7563.90137,  0.99832879
 7568.03760,  0.99807481
 7572.19385,  0.99815424
 7576.36914,  0.99842837
 7580.56445,  0.99871054
 7584.77930,  0.99885401
 7589.01367,  0.99892462
 7593.26807,  0.99997035
 7597.54199,  1.00051543
 7601.83496,  1.00130443
 7606.14795,  1.00199601
 7610.48047,  1.00209498
 7614.83301,  1.00277824
 7619.20459,  1.00266994
 7623.59619,  1.00351265
 7628.00732,  0.99855420
 7632.43799,  1.00190050
 7636.88818,  1.00042758
 7641.35840,  1.00030615
 7645.84814,  1.00061814
 7650.35742,  1.00001272
 7654.88623,  1.00011121
 7659.43457,  0.99968050
 7664.00244,  1.00023457
 7668.59033,  0.99980690
 7673.19775,  1.00028906
 7677.82471,  1.00008781
 7682.47119,  1.00014597
 7687.13721,  1.00067155
 7691.82324,  1.00141354
 7696.52832,  1.00115572
 7701.25342,  1.00128800
 7705.99805,  1.00220988
 7710.76270,  1.00059237
 7715.54639,  1.00128545
 7720.35010,  1.00099760
 7725.17334,  1.00112096
 7730.01611,  1.00084401
 7734.87842,  1.00118860
 7739.76025,  1.00089773
 7744.66211,  1.00059334
 7749.58350,  1.00018588
 7754.52441,  1.00034074
 7759.48486,  1.00050104
 7764.46484,  1.00039562
 7769.46484,  1.00018589
 7774.48438,  1.00029499
 7779.52344,  1.00027319
 7784.58203,  1.00091758
 7789.66016,  1.00116739
 7794.75781,  1.00073441
 7799.87549,  1.00076542
 7805.01270,  1.00083509
 7810.16943,  1.00080776
 7815.34570,  1.00037814
 7820.54199,  1.00018379
 7825.75732,  1.00008889
 7830.99268,  1.00093961
 7836.24756,  1.00140319
 7841.52197,  1.00116480
 7846.81592,  1.00132624
 7852.12988,  1.00158232
 7857.46338,  1.00036787
 7862.81641,  1.00103619
 7868.18896,  1.00112864
 7873.58105,  1.00100049
 7878.99268,  1.00086726
 7884.42432,  1.00099825
 7889.87549,  1.00018258
 7895.34619,  1.00054575
 7900.83643,  1.00056684
 7906.34668,  1.00089724
 7911.87598,  1.00086746
 7917.42529,  1.00118600
 7922.99414,  1.00153737
 7928.58252,  1.00110014
 7934.19043,  1.00066730
 7939.81836,  1.00167987
 7945.46582,  1.00086274
 7951.13281,  1.00030370
 7956.81934,  0.99972838
 7962.52539,  1.00068669
 7968.25098,  1.00017779
 7973.99658,  1.00025957
 7979.76172,  1.00059491
 7985.54639,  1.00006373
 7991.35059,  1.00016855
 7997.17480,  0.99996780
 8003.01807,  0.99947309
 8008.88135,  1.00012930
 8014.76416,  0.99998250
 8020.66650,  0.99917276
 8026.58838,  0.99926740
 8032.53027,  0.99981306
 8038.49170,  0.99960700
 8044.47217,  0.99949323
 8050.47314,  0.99928052
 8056.49316,  0.99868907
 8062.53271,  0.99850620
 8068.59229,  0.99864178
 8074.67139,  0.99780472
 8080.77002,  0.99766382
 8086.88818,  0.99740301
 8093.02588,  0.99693759
 8099.18359,  0.99657598
 8105.36084,  0.99598525
