#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#2L-Fhy on sand: 2L-Fhy on sand
#------------------------------------------
# energy, 2L-Fhy on sand
 7113.25000,  0.07324943
 7113.50000,  0.07871075
 7113.75000,  0.08261797
 7114.00000,  0.08393539
 7114.25000,  0.08327363
 7114.50000,  0.08109897
 7114.75000,  0.07818224
 7115.00000,  0.07519345
 7115.25000,  0.07250107
 7115.50000,  0.07102787
 7115.75000,  0.07046518
 7116.00000,  0.07081280
 7116.25000,  0.07152806
 7116.50000,  0.07265126
 7116.75000,  0.07415851
 7117.00000,  0.07543394
 7117.25000,  0.07715467
 7117.50000,  0.07891172
 7117.75000,  0.08086303
 7118.00000,  0.08295372
 7118.25000,  0.08576524
 7118.50000,  0.08885573
 7118.75000,  0.09293116
 7119.00000,  0.09742309
 7119.25000,  0.10359863
 7119.50000,  0.11075455
 7119.75000,  0.11958449
 7120.00000,  0.12937595
 7120.25000,  0.14205113
 7120.50000,  0.15646356
 7120.75000,  0.17300577
 7121.00000,  0.19188457
 7121.25000,  0.21422983
 7121.50000,  0.23936174
 7121.75000,  0.26481200
 7122.00000,  0.29395115
 7122.25000,  0.32450732
 7122.50000,  0.35743905
 7122.75000,  0.38687774
 7123.00000,  0.41948508
 7123.25000,  0.45030165
 7123.50000,  0.48099433
 7123.75000,  0.50808750
 7124.00000,  0.53758597
 7124.25000,  0.56496228
 7124.50000,  0.59538970
 7124.75000,  0.62253981
 7125.00000,  0.65515552
 7125.25000,  0.68608902
 7125.50000,  0.72269241
 7125.75000,  0.75414102
 7126.00000,  0.79447207
 7126.25000,  0.83121107
 7126.50000,  0.87235760
 7126.75000,  0.90689350
 7127.00000,  0.94782241
 7127.25000,  0.98300952
 7127.50000,  1.02016311
 7127.75000,  1.05115922
 7128.00000,  1.08585218
 7128.25000,  1.11472065
 7128.50000,  1.14462245
 7128.75000,  1.16903749
 7129.00000,  1.19578749
 7129.25000,  1.21817858
 7129.50000,  1.24033154
 7129.75000,  1.25874751
 7130.00000,  1.27825763
 7130.25000,  1.29501075
 7130.50000,  1.31107060
 7130.75000,  1.32438338
 7131.00000,  1.33831239
 7131.25000,  1.34915413
 7131.50000,  1.35869507
 7131.75000,  1.36554637
 7132.00000,  1.37166524
 7132.25000,  1.37542159
 7132.50000,  1.37707633
 7132.75000,  1.37647281
 7133.00000,  1.37466490
 7133.25000,  1.37010244
 7133.50000,  1.36437796
 7133.75000,  1.35774859
 7134.00000,  1.34987520
 7134.25000,  1.34076666
 7134.50000,  1.33168923
 7134.75000,  1.32254065
 7135.00000,  1.31334541
 7135.25000,  1.30307188
 7135.50000,  1.29521988
 7135.75000,  1.28658559
 7136.00000,  1.27847851
 7136.25000,  1.27036091
 7136.50000,  1.26412939
 7136.75000,  1.25700367
 7137.00000,  1.25073778
 7137.25000,  1.24421910
 7137.50000,  1.23828930
 7137.75000,  1.23101320
 7138.00000,  1.22526189
 7138.25000,  1.21805956
 7138.50000,  1.21148508
 7138.75000,  1.20421536
 7139.00000,  1.19717835
 7139.25000,  1.18927817
 7139.50000,  1.18254358
 7139.75000,  1.17414993
 7140.00000,  1.16692772
 7140.25000,  1.15837010
 7140.50000,  1.15185199
 7140.75000,  1.14377937
 7141.00000,  1.13747920
 7141.25000,  1.12943398
 7141.50000,  1.12363271
 7141.75000,  1.11626434
 7142.00000,  1.11028719
 7142.25000,  1.10445892
 7142.50000,  1.09919446
 7142.75000,  1.09391552
 7143.00000,  1.08950662
 7143.25000,  1.08513546
 7143.50000,  1.08177123
 7143.75000,  1.07817085
 7144.00000,  1.07591221
 7144.25000,  1.07354296
 7144.50000,  1.07168569
 7144.75000,  1.07047728
 7145.00000,  1.06958398
 7145.25000,  1.06887249
 7145.50000,  1.06838538
 7145.75000,  1.06713718
 7146.00000,  1.06715739
 7146.25000,  1.06625929
 7146.50000,  1.06506091
 7146.75000,  1.06398275
 7147.00000,  1.06178259
 7147.25000,  1.05949596
 7147.50000,  1.05688066
 7147.75000,  1.05349188
 7148.00000,  1.04972921
 7148.25000,  1.04544301
 7148.50000,  1.04080326
 7148.75000,  1.03548217
 7149.00000,  1.02974179
 7149.25000,  1.02418653
 7149.50000,  1.01749831
 7149.75000,  1.01131846
 7150.00000,  1.00458299
 7150.25000,  0.99826765
 7150.50000,  0.99128468
 7150.75000,  0.98457349
 7151.00000,  0.97725020
 7151.25000,  0.97145833
 7151.50000,  0.96501407
 7151.75000,  0.95859769
 7152.00000,  0.95241375
 7152.25000,  0.94723730
 7152.50000,  0.94153864
 7152.75000,  0.93628298
 7153.00000,  0.93134867
 7153.25000,  0.92668596
 7153.50000,  0.92182390
 7153.75000,  0.91785232
 7154.00000,  0.91324736
 7154.25000,  0.90992463
 7154.50000,  0.90604335
 7154.75000,  0.90184855
 7155.00000,  0.89843657
 7155.25000,  0.89498106
 7155.50000,  0.89174359
 7155.75000,  0.88898347
 7156.00000,  0.88540521
 7156.25000,  0.88249011
 7156.50000,  0.87943176
 7156.75000,  0.87691074
 7157.00000,  0.87408339
 7157.25000,  0.87205049
 7157.50000,  0.86884564
 7157.75000,  0.86684128
 7158.00000,  0.86482300
 7158.25000,  0.86253188
 7158.50000,  0.86049626
 7158.75000,  0.85892768
 7159.00000,  0.85766853
 7159.25000,  0.85555378
 7159.50000,  0.85431939
 7159.75000,  0.85297969
 7160.00000,  0.85194980
 7161.09473,  0.84937418
 7162.20947,  0.85059616
 7163.34326,  0.85496062
 7164.49707,  0.86217010
 7165.67041,  0.87216361
 7166.86377,  0.88463401
 7168.07617,  0.89889526
 7169.30859,  0.91554358
 7170.56006,  0.93382301
 7171.83154,  0.95260521
 7173.12305,  0.97240913
 7174.43359,  0.99373240
 7175.76367,  1.01183157
 7177.11377,  1.02298104
 7178.48340,  1.03150086
 7179.87256,  1.03920266
 7181.28174,  1.04493115
 7182.70996,  1.04939578
 7184.15820,  1.05156476
 7185.62598,  1.05234472
 7187.11328,  1.05220040
 7188.62012,  1.05175845
 7190.14648,  1.05080371
 7191.69287,  1.04826094
 7193.25879,  1.04529030
 7194.84424,  1.04197578
 7196.44922,  1.03884513
 7198.07373,  1.03543300
 7199.71826,  1.03224001
 7201.38184,  1.02815386
 7203.06543,  1.02368297
 7204.76855,  1.01864283
 7206.49170,  1.01339934
 7208.23389,  1.00818923
 7209.99609,  1.00331621
 7211.77783,  0.99904368
 7213.57910,  0.99543728
 7215.39990,  0.99274391
 7217.24023,  0.99170501
 7219.10059,  0.99111018
 7220.98047,  0.99138080
 7222.87988,  0.99175927
 7224.79883,  0.99248776
 7226.73730,  0.99309474
 7228.69580,  0.99329678
 7230.67334,  0.99277301
 7232.67090,  0.99159157
 7234.68799,  0.99035389
 7236.72510,  0.98836823
 7238.78125,  0.98639626
 7240.85742,  0.98451642
 7242.95312,  0.98299318
 7245.06836,  0.98243251
 7247.20312,  0.98277424
 7249.35742,  0.98442011
 7251.53174,  0.98720787
 7253.72559,  0.99148447
 7255.93896,  0.99841424
 7258.17188,  1.00192190
 7260.42432,  1.00287009
 7262.69678,  1.01218074
 7264.98828,  1.01723164
 7267.29980,  1.02107119
 7269.63086,  1.02420715
 7271.98193,  1.02623321
 7274.35205,  1.02764254
 7276.74219,  1.02828530
 7279.15186,  1.02800724
 7281.58105,  1.02694739
 7284.02979,  1.02515246
 7286.49805,  1.02245469
 7288.98633,  1.01921742
 7291.49414,  1.01529729
 7294.02148,  1.01158334
 7296.56836,  1.00792009
 7299.13477,  1.00491591
 7301.72119,  1.00199956
 7304.32666,  0.99966122
 7306.95215,  0.99817967
 7309.59717,  0.99728950
 7312.26221,  0.99706383
 7314.94629,  0.99706466
 7317.65039,  0.99795044
 7320.37354,  0.99906133
 7323.11670,  0.99988837
 7325.87988,  1.00127435
 7328.66211,  1.00238204
 7331.46436,  1.00349640
 7334.28564,  1.00377511
 7337.12695,  1.00383393
 7339.98828,  1.00328769
 7342.86865,  1.00255221
 7345.76855,  1.00155461
 7348.68848,  1.00015694
 7351.62793,  0.99891011
 7354.58691,  0.99762962
 7357.56543,  0.99702332
 7360.56396,  0.99679803
 7363.58154,  0.99668405
 7366.61914,  0.99723604
 7369.67627,  0.99774385
 7372.75293,  0.99848633
 7375.84961,  0.99949609
 7378.96533,  1.00020507
 7382.10107,  1.00110557
 7385.25635,  1.00188250
 7388.43115,  1.00262183
 7391.62598,  1.00313706
 7394.83984,  1.00381495
 7398.07373,  1.00427017
 7401.32715,  1.00413731
 7404.60010,  1.00406700
 7407.89258,  1.00342395
 7411.20459,  1.00254887
 7414.53662,  1.00164626
 7417.88818,  1.00058836
 7421.25928,  0.99917474
 7424.64990,  0.99793987
 7428.06006,  0.99665316
 7431.49023,  0.99570017
 7434.93994,  0.99530487
 7438.40918,  0.99480159
 7441.89795,  0.99484682
 7445.40625,  0.99477424
 7448.93457,  0.99490309
 7452.48193,  0.99501989
 7456.04932,  0.99544861
 7459.63623,  0.99572310
 7463.24316,  0.99596989
 7466.86914,  0.99629082
 7470.51514,  0.99611653
 7474.18018,  0.99627057
 7477.86523,  0.99618926
 7481.57031,  0.99599052
 7485.29443,  0.99601563
 7489.03857,  0.99582803
 7492.80176,  0.99578159
 7496.58496,  0.99563607
 7500.38770,  0.99558431
 7504.21045,  0.99547206
 7508.05225,  0.99524563
 7511.91406,  0.99508149
 7515.79541,  0.99520371
 7519.69629,  0.99524888
 7523.61670,  0.99577386
 7527.55713,  0.99562937
 7531.51660,  0.99579468
 7535.49609,  0.99585142
 7539.49512,  0.99606007
 7543.51367,  0.99617044
 7547.55176,  0.99627755
 7551.60986,  0.99595045
 7555.68750,  0.99618230
 7559.78467,  0.99582307
 7563.90137,  0.99588883
 7568.03760,  0.99615106
 7572.19385,  0.99604276
 7576.36914,  0.99603688
 7580.56445,  0.99599042
 7584.77930,  0.99597617
 7589.01367,  0.99605179
 7593.26807,  0.99620226
 7597.54199,  0.99617344
 7601.83496,  0.99623489
 7606.14795,  0.99647519
 7610.48047,  0.99646621
 7614.83301,  0.99647258
 7619.20459,  0.99699103
 7623.59619,  0.99717194
 7628.00732,  0.99735669
 7632.43799,  0.99739243
 7636.88818,  0.99726143
 7641.35840,  0.99725101
 7645.84814,  0.99759129
 7650.35742,  0.99796842
 7654.88623,  0.99829105
 7659.43457,  0.99880782
 7664.00244,  0.99890482
 7668.59033,  0.99881798
 7673.19775,  0.99885899
 7677.82471,  0.99901898
 7682.47119,  0.99939515
 7687.13721,  0.99973561
 7691.82324,  1.00008189
 7696.52832,  1.00040759
 7701.25342,  1.00077749
 7705.99805,  1.00124407
 7710.76270,  1.00169314
 7715.54639,  1.00203984
 7720.35010,  1.00212757
 7725.17334,  1.00239366
 7730.01611,  1.00261552
 7734.87842,  1.00257911
 7739.76025,  1.00256629
 7744.66211,  1.00241678
 7749.58350,  1.00218866
 7754.52441,  1.00217123
 7759.48486,  1.00192255
 7764.46484,  1.00204025
 7769.46484,  1.00222823
 7774.48438,  1.00237065
 7779.52344,  1.00252544
 7784.58203,  1.00271931
 7789.66016,  1.00288257
 7794.75781,  1.00333093
 7799.87549,  1.00342441
 7805.01270,  1.00346701
 7810.16943,  1.00357210
 7815.34570,  1.00383366
 7820.54199,  1.00404628
 7825.75732,  1.00403203
 7830.99268,  1.00423010
 7836.24756,  1.00417434
 7841.52197,  1.00404492
 7846.81592,  1.00419756
 7852.12988,  1.00425696
 7857.46338,  1.00423926
 7862.81641,  1.00430598
 7868.18896,  1.00440758
 7873.58105,  1.00435126
 7878.99268,  1.00419289
 7884.42432,  1.00375495
 7889.87549,  1.00383209
 7895.34619,  1.00407052
 7900.83643,  1.00380898
 7906.34668,  1.00366634
 7911.87598,  1.00399531
 7917.42529,  1.00418638
 7922.99414,  1.00404275
 7928.58252,  1.00391562
 7934.19043,  1.00383129
 7939.81836,  1.00351616
 7945.46582,  1.00339609
 7951.13281,  1.00335239
 7956.81934,  1.00317970
 7962.52539,  1.00344147
 7968.25098,  1.00327327
 7973.99658,  1.00281298
 7979.76172,  1.00226900
 7985.54639,  1.00197878
 7991.35059,  1.00154909
 7997.17480,  1.00125017
 8003.01807,  1.00059579
 8008.88135,  0.99983061
 8014.76416,  0.99948654
 8020.66650,  0.99916600
 8026.58838,  0.99845123
 8032.53027,  0.99810337
 8038.49170,  0.99737135
 8044.47217,  0.99675068
 8050.47314,  0.99626144
 8056.49316,  0.99555162
 8062.53271,  0.99478058
 8068.59229,  0.99411146
 8074.67139,  0.99342544
 8080.77002,  0.99278344
 8086.88818,  0.99184501
 8093.02588,  0.99089284
 8099.18359,  0.99029241
 8105.36084,  0.98941461
