#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Siderite-s: Siderite-s
#------------------------------------------
# energy, Siderite-s
 7113.25000,  0.08995981
 7113.50000,  0.09171368
 7113.75000,  0.09292981
 7114.00000,  0.09472641
 7114.25000,  0.09599299
 7114.50000,  0.09757308
 7114.75000,  0.09913757
 7115.00000,  0.10149922
 7115.25000,  0.10416804
 7115.50000,  0.10863162
 7115.75000,  0.11424824
 7116.00000,  0.12265385
 7116.25000,  0.13223938
 7116.50000,  0.14497410
 7116.75000,  0.15892884
 7117.00000,  0.17694347
 7117.25000,  0.19637525
 7117.50000,  0.21895670
 7117.75000,  0.24198566
 7118.00000,  0.26900755
 7118.25000,  0.29522866
 7118.50000,  0.32229341
 7118.75000,  0.35073321
 7119.00000,  0.38137627
 7119.25000,  0.41321490
 7119.50000,  0.44484067
 7119.75000,  0.47946855
 7120.00000,  0.51458062
 7120.25000,  0.55158151
 7120.50000,  0.58600981
 7120.75000,  0.62444531
 7121.00000,  0.65856294
 7121.25000,  0.69348651
 7121.50000,  0.72327916
 7121.75000,  0.75387102
 7122.00000,  0.77871481
 7122.25000,  0.80440609
 7122.50000,  0.82422112
 7122.75000,  0.84530409
 7123.00000,  0.86304867
 7123.25000,  0.88138031
 7123.50000,  0.89715434
 7123.75000,  0.91490573
 7124.00000,  0.93025715
 7124.25000,  0.94672284
 7124.50000,  0.95967106
 7124.75000,  0.97507036
 7125.00000,  0.98763023
 7125.25000,  1.00062064
 7125.50000,  1.01194346
 7125.75000,  1.02446194
 7126.00000,  1.03527348
 7126.25000,  1.04702332
 7126.50000,  1.05790019
 7126.75000,  1.06998837
 7127.00000,  1.08037576
 7127.25000,  1.09178855
 7127.50000,  1.10128238
 7127.75000,  1.11168606
 7128.00000,  1.12000224
 7128.25000,  1.12874336
 7128.50000,  1.13514020
 7128.75000,  1.14139047
 7129.00000,  1.14608035
 7129.25000,  1.14909090
 7129.50000,  1.15079877
 7129.75000,  1.15187754
 7130.00000,  1.15091084
 7130.25000,  1.14987070
 7130.50000,  1.14704621
 7130.75000,  1.14438847
 7131.00000,  1.13993472
 7131.25000,  1.13642611
 7131.50000,  1.13200639
 7131.75000,  1.12776670
 7132.00000,  1.12246233
 7132.25000,  1.11750191
 7132.50000,  1.11304231
 7132.75000,  1.10794907
 7133.00000,  1.10327062
 7133.25000,  1.09905383
 7133.50000,  1.09476541
 7133.75000,  1.09056236
 7134.00000,  1.08617726
 7134.25000,  1.08253953
 7134.50000,  1.07863050
 7134.75000,  1.07532598
 7135.00000,  1.07206992
 7135.25000,  1.06934021
 7135.50000,  1.06643027
 7135.75000,  1.06352610
