#saved Fri Feb 13 20:33:51 2026
#saving x array=energy, y array=flat
#GP17_station5_19119_11cm_022_A_fl.avg: GP17_station5_19119_11cm_022_A_fl.avg
#------------------------------------------
# energy, GP17_station5_19119_11cm_022_A_fl.avg
 6830.00000,  6.26181e-4
 6835.00000,  6.25052e-4
 6840.00000,  7.87853e-4
 6845.00000,  6.11608e-4
 6850.00000,  6.03163e-4
 6855.00000,  4.68643e-4
 6860.00000,  5.62627e-4
 6865.00000,  2.74463e-4
 6870.00000,  3.09386e-4
 6875.00000,  3.81898e-4
 6880.00000,  2.58830e-4
 6885.00000,  1.42707e-4
 6890.00000,  1.76994e-4
 6895.00000,  3.55752e-4
 6900.00000,  9.73308e-5
 6905.00000,  3.51427e-4
 6910.00000,  9.17332e-5
 6915.00000,  2.05493e-4
 6920.00000,  1.47742e-4
 6925.00000,  3.45874e-5
 6930.00000,  1.16484e-4
 6935.00000, -2.15887e-5
 6940.00000,  1.42325e-4
 6945.00000, -6.62070e-5
 6950.00000,  8.04762e-5
 6955.00000, -6.79874e-5
 6960.00000, -2.41528e-4
 6965.00000, -4.87478e-6
 6970.00000,  8.10507e-5
 6975.00000, -6.18461e-5
 6980.00000, -3.64378e-4
 6985.00000, -4.85166e-5
 6990.00000, -1.55839e-4
 6995.00000, -7.98276e-5
 7000.00000,  2.75168e-5
 7005.00000, -5.03809e-5
 7010.00000,  1.36489e-4
 7015.00000,  1.86363e-4
 7020.00000,  2.09940e-4
 7025.00000,  5.70263e-6
 7030.00000,  2.43045e-4
 7035.00000,  3.09142e-4
 7040.00000,  4.12192e-4
 7045.00000,  4.39799e-4
 7050.00000,  4.58498e-4
 7055.00000,  8.15077e-4
 7060.00000,  8.53923e-4
 7065.00000,  0.00119852
 7070.00000,  0.00175068
 7075.00000,  0.00195483
 7080.00000,  0.00241750
 7085.00000,  0.00319996
 7090.00000,  0.00405379
 7095.00000,  0.00522455
 7095.20000,  0.00509884
 7095.40000,  0.00540664
 7095.60000,  0.00555222
 7095.80000,  0.00559605
 7096.00000,  0.00555257
 7096.20000,  0.00562779
 7096.40000,  0.00577373
 7096.60000,  0.00578040
 7096.80000,  0.00600768
 7097.00000,  0.00586218
 7097.20000,  0.00585131
 7097.40000,  0.00604820
 7097.60000,  0.00598086
 7097.80000,  0.00613073
 7098.00000,  0.00614821
 7098.20000,  0.00637087
 7098.40000,  0.00623105
 7098.60000,  0.00647047
 7098.80000,  0.00665273
 7099.00000,  0.00678887
 7099.20000,  0.00676701
 7099.40000,  0.00693512
 7099.60000,  0.00706664
 7099.80000,  0.00726746
 7100.00000,  0.00731273
 7100.20000,  0.00734649
 7100.40000,  0.00743220
 7100.60000,  0.00742907
 7100.80000,  0.00762644
 7101.00000,  0.00758465
 7101.20000,  0.00779771
 7101.40000,  0.00806576
 7101.60000,  0.00821080
 7101.80000,  0.00826895
 7102.00000,  0.00820701
 7102.20000,  0.00839601
 7102.40000,  0.00862514
 7102.60000,  0.00865524
 7102.80000,  0.00860439
 7103.00000,  0.00886591
 7103.20000,  0.00916051
 7103.40000,  0.00925487
 7103.60000,  0.00948151
 7103.80000,  0.00955392
 7104.00000,  0.00965406
 7104.20000,  0.00970341
 7104.40000,  0.00968171
 7104.60000,  0.01003411
 7104.80000,  0.01030501
 7105.00000,  0.01040054
 7105.20000,  0.01052777
 7105.40000,  0.01039951
 7105.60000,  0.01064454
 7105.80000,  0.01099630
 7106.00000,  0.01105514
 7106.20000,  0.01147630
 7106.40000,  0.01154134
 7106.60000,  0.01170775
 7106.80000,  0.01197812
 7107.00000,  0.01226133
 7107.20000,  0.01218985
 7107.40000,  0.01242953
 7107.60000,  0.01289406
 7107.80000,  0.01315579
 7108.00000,  0.01335884
 7108.20000,  0.01379463
 7108.40000,  0.01377224
 7108.60000,  0.01415846
 7108.80000,  0.01475330
 7109.00000,  0.01492486
 7109.20000,  0.01516575
 7109.40000,  0.01569952
 7109.60000,  0.01574707
 7109.80000,  0.01648940
 7110.00000,  0.01682271
 7110.20000,  0.01746352
 7110.40000,  0.01777705
 7110.60000,  0.01849797
 7110.80000,  0.01914063
 7111.00000,  0.01998152
 7111.20000,  0.02112594
 7111.40000,  0.02239347
 7111.60000,  0.02364275
 7111.80000,  0.02553090
 7112.00000,  0.02756664
 7112.20000,  0.02912904
 7112.40000,  0.03096947
 7112.60000,  0.03279018
 7112.80000,  0.03502643
 7113.00000,  0.03764696
 7113.20000,  0.04087060
 7113.40000,  0.04425791
 7113.60000,  0.04798835
 7113.80000,  0.05167585
 7114.00000,  0.05419007
 7114.20000,  0.05574415
 7114.40000,  0.05624690
 7114.60000,  0.05675602
 7114.80000,  0.05786369
 7115.00000,  0.05910391
 7115.20000,  0.06026143
 7115.40000,  0.06082568
 7115.60000,  0.06024423
 7115.80000,  0.05870847
 7116.00000,  0.05665844
 7116.20000,  0.05558075
 7116.40000,  0.05412451
 7116.60000,  0.05448836
 7116.80000,  0.05498899
 7117.00000,  0.05612529
 7117.20000,  0.05805792
 7117.40000,  0.06046399
 7117.60000,  0.06357625
 7117.80000,  0.06702516
 7118.00000,  0.07176611
 7118.20000,  0.07721165
