#saved Fri Feb 13 20:33:51 2026
#saving x array=energy, y array=flat
#GP17_station27_20892_9cm_031_A_fl.avg: GP17_station27_20892_9cm_031_A_fl.avg
#------------------------------------------
# energy, GP17_station27_20892_9cm_031_A_fl.avg
 6830.00000,  7.51553e-4
 6835.00000,  4.73082e-4
 6840.00000,  4.68607e-4
 6845.00000,  4.81407e-4
 6850.00000,  3.14118e-4
 6855.00000,  3.98656e-4
 6860.00000,  4.14815e-4
 6865.00000,  3.58420e-4
 6870.00000,  1.31869e-4
 6875.00000,  4.84550e-4
 6880.00000,  3.67933e-4
 6885.00000,  8.49513e-5
 6890.00000,  3.73907e-4
 6895.00000,  1.83153e-4
 6900.00000,  1.87940e-4
 6905.00000,  1.51747e-4
 6910.00000, -1.10697e-4
 6915.00000, -1.82640e-4
 6920.00000,  1.13514e-4
 6925.00000,  3.85491e-5
 6930.00000, -1.11033e-4
 6935.00000,  6.03895e-6
 6940.00000,  2.48852e-5
 6945.00000,  4.83860e-5
 6950.00000,  1.62483e-4
 6955.00000, -6.70429e-5
 6960.00000,  3.38103e-5
 6965.00000, -2.52866e-4
 6970.00000,  8.41710e-5
 6975.00000, -4.20907e-5
 6980.00000, -1.70848e-4
 6985.00000,  1.97865e-5
 6990.00000, -3.30095e-5
 6995.00000, -3.50849e-5
 7000.00000, -4.04713e-5
 7005.00000, -6.55765e-6
 7010.00000, -2.18290e-5
 7015.00000,  1.05944e-4
 7020.00000,  1.43265e-4
 7025.00000,  3.84427e-4
 7030.00000,  2.52120e-4
 7035.00000,  5.58782e-4
 7040.00000,  4.47252e-4
 7045.00000,  5.54535e-4
 7050.00000,  8.86678e-4
 7055.00000,  0.00107151
 7060.00000,  0.00113133
 7065.00000,  0.00155988
 7070.00000,  0.00196419
 7075.00000,  0.00223261
 7080.00000,  0.00267449
 7085.00000,  0.00344009
 7090.00000,  0.00438184
 7095.00000,  0.00566644
 7095.20000,  0.00560548
 7095.40000,  0.00571764
 7095.60000,  0.00568143
 7095.80000,  0.00579714
 7096.00000,  0.00591602
 7096.20000,  0.00606226
 7096.40000,  0.00601976
 7096.60000,  0.00613308
 7096.80000,  0.00624740
 7097.00000,  0.00655045
 7097.20000,  0.00638338
 7097.40000,  0.00637395
 7097.60000,  0.00658232
 7097.80000,  0.00664981
 7098.00000,  0.00688861
 7098.20000,  0.00690816
 7098.40000,  0.00697406
 7098.60000,  0.00707773
 7098.80000,  0.00702602
 7099.00000,  0.00724246
 7099.20000,  0.00738874
 7099.40000,  0.00741645
 7099.60000,  0.00755140
 7099.80000,  0.00777000
 7100.00000,  0.00774977
 7100.20000,  0.00776620
 7100.40000,  0.00774511
 7100.60000,  0.00812100
 7100.80000,  0.00825437
 7101.00000,  0.00834585
 7101.20000,  0.00848306
 7101.40000,  0.00859052
 7101.60000,  0.00871535
 7101.80000,  0.00862962
 7102.00000,  0.00871424
 7102.20000,  0.00900049
 7102.40000,  0.00894082
 7102.60000,  0.00926143
 7102.80000,  0.00956093
 7103.00000,  0.00940087
 7103.20000,  0.00978271
 7103.40000,  0.00998043
 7103.60000,  0.00997119
 7103.80000,  0.01007083
 7104.00000,  0.01017186
 7104.20000,  0.01030653
 7104.40000,  0.01046005
 7104.60000,  0.01055887
 7104.80000,  0.01079009
 7105.00000,  0.01085004
 7105.20000,  0.01104594
 7105.40000,  0.01121698
 7105.60000,  0.01132511
 7105.80000,  0.01155508
 7106.00000,  0.01192214
 7106.20000,  0.01201213
