sample,s02,e0,e0_uncert,N_O203,N_O203_uncert,delr_O203,delr_O203_uncert,sigma2_O203,sigma2_O203_uncert,Reff_O203,R_O203,R_O203_uncert,N_Mg302,N_Mg302_uncert,delr_Mg302,delr_Mg302_uncert,sigma2_Mg302,sigma2_Mg302_uncert,Reff_Mg302,R_Mg302,R_Mg302_uncert,N_Si328,N_Si328_uncert,delr_Si328,delr_Si328_uncert,sigma2_Si328,sigma2_Si328_uncert,Reff_Si328,R_Si328,R_Si328_uncert,chi_sq,red_chi_sq,r_factor
GP17_station15_19908_7cm,0.8,6.5711257,1.4888127,5.4223305,0.677127,0.0039743,0.0095857,0.0088231,0.0014152,2.0334,2.0373742999999997,0.0095857,1.1162681,1.7847013,-0.0368426,0.0645781,0.001,0.0124431,3.0174,2.9805574,0.0645781,2.331404,2.0371835,0.0011548,0.0280955,0.0010001,0.0041149,3.2788,3.2799548,0.0280955,9.32598908,0.61518213,0.02925625
GP17_station15_19908_9cm,0.7,6.8071004,1.4190716,6.0569785,0.7352863,0.0136139,0.0092476,0.008894,0.0013847,2.0334,2.0470139,0.0092476,1.1314759,1.9153443,-0.0352306,0.0684351,0.001,0.00016052,3.0174,2.9821694,0.0684351,2.6026327,2.1811506,0.0022479,0.0269375,0.001,0.0028865,3.2788,3.2810479,0.0269375,7.67709629,0.50641411,0.02790376
GP17_station15_19908_11cm,0.7,6.7153555,1.3251954,5.8735629,0.6763954,0.0055803,0.0085402,0.0084618,0.0012889,2.0334,2.0389803,0.0085402,1.0764234,1.806811,-0.0401832,0.0677583,0.001,0.0076966,3.0174,2.9772168,0.0677583,3.0434562,2.1247378,0.00073746,0.0232373,0.0012758,0.0044318,3.2788,3.27953746,0.0232373,10.8111482,0.71314958,0.02425132
GP17_station15_19908_15cm,0.7,6.6003857,1.3634502,6.0393864,0.7466097,0.0130353,0.0087985,0.0086395,0.0014405,2.0334,2.0464352999999997,0.0087985,1.0891763,1.6375109,-0.039481,0.0612198,0.001,119.87621,3.0174,2.977919,0.0612198,2.6034211,1.8534648,0.0017019,0.0230003,0.001,0.0061024,3.2788,3.2805019,0.0230003,7.71238609,0.50874198,0.02670173
GP17_station27_20892_1cm,0.7,6.5439242,1.1215384,5.5958478,0.559342,-0.0131754,0.0074941,0.0091563,0.0011479,2.0334,2.0202245999999997,0.0074941,0.7344832,0.8506982,-0.0788508,0.0451129,0.0015942,0.0090199,3.0174,2.9385491999999998,0.0451129,2.5566098,0.9038233,-0.0010115,0.0107731,0.001,0.0024411,3.2788,3.2777884999999998,0.0107731,9.41266768,0.62089982,0.01957853
GP17_station27_20892_3cm,0.7,6.4902882,1.1702484,5.583234,0.5759379,-0.0142567,0.0077613,0.0090251,0.0011767,2.0334,2.0191433,0.0077613,0.7042712,0.7197328,-0.0870663,0.0367479,0.001,0.0010823,3.0174,2.9303337,0.0367479,2.5807608,0.8005658,0.00094688,0.0096382,0.0010001,0.0021579,3.2788,3.27974688,0.0096382,7.68543737,0.50696432,0.02089601
GP17_station27_20892_5cm,0.7,6.7772323,1.2239861,5.7789384,0.6327016,-0.0088255,0.0083559,0.0096923,0.0012896,2.0334,2.0245745,0.0083559,0.8726241,1.1545012,-0.0710379,0.0553195,0.0026589,0.0107773,3.0174,2.9463621,0.0553195,2.4811474,1.1213418,0.00058811,0.0134914,0.001,0.0018847,3.2788,3.2793881099999997,0.0134914,12.6530255,0.83464769,0.02325793
GP17_station27_20892_7cm,0.7,6.5205566,1.1080998,5.4727159,0.5482155,-0.0131782,0.0073778,0.0091777,0.0011523,2.0334,2.0202218,0.0073778,0.9897034,1.7490298,-0.0591394,0.0838946,0.0052071,0.0157188,3.0174,2.9582606,0.0838946,2.6707983,1.407016,-0.0044539,0.0145385,0.001,0.0012815,3.2788,3.2743461,0.0145385,6.88463717,0.45414012,0.01894737
GP17_station27_20892_9cm,0.7,7.2715765,1.1995656,5.4047256,0.5813008,-0.0065633,0.0079837,0.0087716,0.0012247,2.0334,2.0268367,0.0079837,1.1244166,1.8707887,-0.0598641,0.0791646,0.0060665,0.0159132,3.0174,2.9575359,0.0791646,2.5999732,1.3886023,0.0031908,0.0141972,0.001,0.003141,3.2788,3.2819908,0.0141972,15.1217206,0.99749337,0.02284617
GP17_station27_20892_11cm,0.7,6.5317629,1.3456332,5.6568091,0.655944,-0.0126131,0.008721,0.0092793,0.0013232,2.0334,2.0207869,0.008721,2.3954055,3.8373491,-0.0295148,0.0863897,0.015,0.0034887,3.0174,2.9878852,0.0863897,3.3590398,1.7058903,-0.0032562,0.0096426,0.0023587,0.0024951,3.2788,3.2755438,0.0096426,18.7795996,1.23878272,0.02470485
GP17_station27_20892_15cm,0.7,6.7178313,1.0557549,5.5514346,0.5199843,-0.0150041,0.0069928,0.0089484,0.0010676,2.0334,2.0183959,0.0069928,0.7520916,0.7843697,-0.0724652,0.0403189,0.001,0.0046326,3.0174,2.9449348,0.0403189,2.5238511,0.8896573,0.0018487,0.0108362,0.001,0.010786,3.2788,3.2806487,0.0108362,5.88276863,0.38805258,0.0174492
