#saved Fri Feb 13 20:33:51 2026
#saving x array=energy, y array=flat
#GP17_station15_19908_15cm_042_A_fl.avg: GP17_station15_19908_15cm_042_A_fl.avg
#------------------------------------------
# energy, GP17_station15_19908_15cm_042_A_fl.avg
 6830.00000,  3.83371e-4
 6835.00000,  3.39380e-4
 6840.00000,  1.27419e-4
 6845.00000,  4.86947e-4
 6850.00000,  1.46957e-4
 6855.00000,  4.18884e-4
 6860.00000,  5.16902e-4
 6865.00000,  4.96715e-4
 6870.00000,  2.55283e-4
 6875.00000,  2.61706e-4
 6880.00000,  1.85168e-4
 6885.00000,  1.61041e-4
 6890.00000,  4.04090e-4
 6895.00000,  2.01737e-4
 6900.00000,  1.60175e-4
 6905.00000,  4.65031e-5
 6910.00000,  9.01685e-5
 6915.00000, -6.58204e-5
 6920.00000,  2.32932e-4
 6925.00000,  1.31442e-5
 6930.00000,  1.54882e-4
 6935.00000, -2.66367e-5
 6940.00000,  1.21093e-4
 6945.00000,  9.71813e-5
 6950.00000, -1.39123e-4
 6955.00000, -1.65456e-5
 6960.00000, -3.68950e-4
 6965.00000, -2.63162e-5
 6970.00000, -2.56899e-4
 6975.00000,  7.90962e-5
 6980.00000, -8.18584e-5
 6985.00000, -3.98662e-5
 6990.00000, -2.81190e-4
 6995.00000, -1.08470e-4
 7000.00000,  2.63203e-4
 7005.00000,  6.99711e-5
 7010.00000, -5.90842e-5
 7015.00000,  1.17036e-4
 7020.00000,  2.56400e-4
 7025.00000, -5.55775e-5
 7030.00000,  2.29303e-4
 7035.00000,  6.38974e-4
 7040.00000,  6.65206e-4
 7045.00000,  7.18155e-4
 7050.00000,  7.20313e-4
 7055.00000,  0.00122455
 7060.00000,  0.00107120
 7065.00000,  0.00167476
 7070.00000,  0.00182394
 7075.00000,  0.00216291
 7080.00000,  0.00276996
 7085.00000,  0.00340018
 7090.00000,  0.00396249
 7095.00000,  0.00569072
 7095.20000,  0.00564652
 7095.40000,  0.00595887
 7095.60000,  0.00571571
 7095.80000,  0.00568511
 7096.00000,  0.00587856
 7096.20000,  0.00577406
 7096.40000,  0.00594246
 7096.60000,  0.00637545
 7096.80000,  0.00609791
 7097.00000,  0.00647574
 7097.20000,  0.00634409
