#saved Fri Feb 13 20:33:51 2026
#saving x array=energy, y array=flat
#GP17_station5_19119_9cm_021_A_fl.avg: GP17_station5_19119_9cm_021_A_fl.avg
#------------------------------------------
# energy, GP17_station5_19119_9cm_021_A_fl.avg
 7112.40000,  0.03120049
 7112.60000,  0.03281741
 7112.80000,  0.03537046
 7113.00000,  0.03738870
 7113.20000,  0.04108040
 7113.40000,  0.04505913
 7113.60000,  0.04833503
 7113.80000,  0.05148921
 7114.00000,  0.05444424
 7114.20000,  0.05496781
 7114.40000,  0.05642192
 7114.60000,  0.05664399
 7114.80000,  0.05803779
 7115.00000,  0.05936909
 7115.20000,  0.06040827
 7115.40000,  0.06043394
 7115.60000,  0.06010111
 7115.80000,  0.05809698
 7116.00000,  0.05639269
 7116.20000,  0.05426629
 7116.40000,  0.05337912
 7116.60000,  0.05365153
 7116.80000,  0.05464701
 7117.00000,  0.05559768
 7117.20000,  0.05770516
 7117.40000,  0.05990060
 7117.60000,  0.06308632
 7117.80000,  0.06722083
 7118.00000,  0.07167954
 7118.20000,  0.07667322
 7118.40000,  0.08281209
 7118.60000,  0.08945827
 7118.80000,  0.09805680
 7119.00000,  0.10616296
 7119.20000,  0.11484946
 7119.40000,  0.12579867
 7119.60000,  0.13671136
 7119.80000,  0.14905693
 7120.00000,  0.16182682
 7120.20000,  0.17684062
 7120.40000,  0.19575747
 7120.60000,  0.21406686
 7120.80000,  0.23454160
 7121.00000,  0.25691337
 7121.20000,  0.28012273
 7121.40000,  0.30152911
 7121.60000,  0.32130346
 7121.80000,  0.34129413
 7122.00000,  0.35982869
 7122.20000,  0.37618905
 7122.40000,  0.39413221
 7122.60000,  0.41237521
 7122.80000,  0.43113494
 7123.00000,  0.45058565
 7123.20000,  0.47406941
 7123.40000,  0.49775621
 7123.60000,  0.52535214
 7123.80000,  0.55422991
 7124.00000,  0.58500083
 7124.20000,  0.61912986
 7124.40000,  0.65315378
 7124.60000,  0.68507839
 7124.80000,  0.71968063
 7125.00000,  0.75189844
 7125.20000,  0.77962955
 7125.40000,  0.80661379
 7125.60000,  0.83195493
 7125.80000,  0.85236124
 7126.00000,  0.87450470
 7126.20000,  0.89322918
 7126.40000,  0.91091359
 7126.60000,  0.92934486
 7126.80000,  0.94783697
 7127.00000,  0.96715893
 7127.20000,  0.99129399
 7127.40000,  1.01364212
 7127.60000,  1.03777717
 7127.80000,  1.06596187
 7128.00000,  1.09207749
 7128.20000,  1.12051113
 7128.40000,  1.15001251
 7128.60000,  1.17703541
 7128.80000,  1.20876630
 7129.00000,  1.23322220
 7129.20000,  1.25844708
 7129.40000,  1.28069005
 7129.60000,  1.30298280
 7129.80000,  1.32161316
 7130.00000,  1.33961284
 7130.20000,  1.35565407
 7130.40000,  1.36469140
 7130.60000,  1.36997228
 7130.80000,  1.37770950
 7131.00000,  1.37857006
 7131.20000,  1.37988427
 7131.40000,  1.37696072
 7131.60000,  1.37658756
 7131.80000,  1.37378571
 7132.00000,  1.37384960
 7132.20000,  1.37093710
 7132.40000,  1.37299814
 7132.60000,  1.37106485
 7132.80000,  1.37007758
 7133.00000,  1.37146367
 7133.20000,  1.36795366
 7133.40000,  1.36358060
 7133.60000,  1.35896412
 7133.80000,  1.35110017
 7134.00000,  1.34316983
 7134.20000,  1.33504032
 7134.40000,  1.32589839
 7134.60000,  1.31535126
 7134.80000,  1.30383596
 7135.00000,  1.29162912
 7135.20000,  1.27984827
 7135.40000,  1.26959433
 7135.60000,  1.25343188
 7135.80000,  1.24399118
 7136.00000,  1.23218818
 7136.20000,  1.21963831
 7136.40000,  1.20495297
 7136.60000,  1.19422876
 7136.80000,  1.18438971
 7137.00000,  1.17324503
