#saved Fri Feb 13 20:33:51 2026
#saving x array=energy, y array=flat
#GP17_station15_19908_11cm_041_A_fl.avg: GP17_station15_19908_11cm_041_A_fl.avg
#------------------------------------------
# energy, GP17_station15_19908_11cm_041_A_fl.avg
 6830.00000,  5.29526e-4
 6835.00000,  5.68715e-4
 6840.00000,  4.63230e-4
 6845.00000,  5.64536e-4
 6850.00000,  4.07712e-4
 6855.00000,  5.13796e-4
 6860.00000,  4.99893e-4
 6865.00000,  3.26134e-4
 6870.00000,  5.27463e-4
 6875.00000,  3.39316e-4
 6880.00000,  2.81454e-4
 6885.00000,  9.54840e-5
 6890.00000,  1.38017e-4
 6895.00000,  8.45092e-5
 6900.00000,  5.37240e-5
 6905.00000,  2.67082e-5
 6910.00000,  1.12564e-4
 6915.00000,  6.57451e-5
 6920.00000,  3.95256e-5
 6925.00000,  1.04092e-4
 6930.00000,  2.96127e-5
 6935.00000, -3.84424e-5
 6940.00000,  1.52533e-4
 6945.00000, -5.70623e-5
 6950.00000, -1.39980e-5
 6955.00000, -6.92943e-6
 6960.00000, -3.75554e-5
 6965.00000,  9.54380e-6
 6970.00000, -1.53066e-4
 6975.00000, -1.00074e-4
 6980.00000,  2.09278e-5
 6985.00000, -7.60088e-5
 6990.00000, -8.86369e-5
 6995.00000, -9.39916e-5
 7000.00000, -2.82574e-5
 7005.00000, -4.09354e-6
 7010.00000,  1.48975e-4
 7015.00000,  2.44844e-5
 7020.00000,  1.68422e-4
 7025.00000,  1.76764e-4
 7030.00000,  2.22642e-4
 7035.00000,  2.34967e-4
 7040.00000,  1.51834e-4
 7045.00000,  5.38238e-4
 7050.00000,  5.22159e-4
 7055.00000,  9.44558e-4
 7060.00000,  0.00103232
 7065.00000,  0.00124767
 7070.00000,  0.00172666
 7075.00000,  0.00212422
 7080.00000,  0.00266957
 7085.00000,  0.00351829
 7090.00000,  0.00431663
 7095.00000,  0.00546935
 7095.20000,  0.00520945
 7095.40000,  0.00583384
 7095.60000,  0.00539715
 7095.80000,  0.00577158
 7096.00000,  0.00570324
 7096.20000,  0.00598789
 7096.40000,  0.00587331
 7096.60000,  0.00611671
 7096.80000,  0.00600117
 7097.00000,  0.00623151
 7097.20000,  0.00626282
 7097.40000,  0.00641443
 7097.60000,  0.00627978
 7097.80000,  0.00659581
 7098.00000,  0.00662669
 7098.20000,  0.00658139
 7098.40000,  0.00693050
 7098.60000,  0.00675560
 7098.80000,  0.00688454
 7099.00000,  0.00688341
 7099.20000,  0.00737958
 7099.40000,  0.00713397
 7099.60000,  0.00717143
