spectrum,cluster,PC1_score,PC2_score,PC3_score,PC4_score,PC5_score,is_outlier
FeXANES_GT15_FeTiXRD_striated2_1.001,4,0.5346078648986646,-0.46066558236690175,0.07179871168170529,-0.010293451331531462,-0.059875042176756196,False
FeXANES_GT15_FeTiXRD_striated2_2.001,4,0.49212736403046936,-0.7045426529615345,0.0025251516158928335,-0.009960611508317858,-0.01824678954542927,False
FeXANES_GT15_FeTiXRD_striated2_3.001,4,0.4508555575310903,-0.706787327287541,6.782295718850295e-05,-0.007464762782714315,-0.01899452200999937,False
FeXANES_GT15_FeTiXRD_striated2_4.001,5,-0.6650478589579121,-0.22410134318580632,0.06048251082611891,0.03288658400957262,-0.005599775398922551,False
FeXANES_GT15_FeTiXRD_striated2_5.001,5,-0.4013269566675375,-0.6506773797943982,0.10285399447707565,0.049772518993935026,-0.018992530189321677,False
FeXANES_GT15_FeTiXRD_striated2_6.001,3,2.024418157688881,-0.012405419426842333,0.03217068523015991,0.027559585271625584,0.02031634228649631,False
FeXANES_GT15_FeTiXRD_striated2_7.001,4,1.205732654093749,-0.5861865993566928,-0.0761394229825784,-0.03938153853851156,-0.005141910293997937,False
FeXANES_GT15_FeTiXRD_striated2_8.001,3,2.0754883624149505,-0.02683090447986145,0.03123633459532645,0.029127508461465886,0.023303679766383995,False
FeXANES_GT15_Fe_1.001,3,2.0597046043670812,-0.058312758474478414,0.04944381382775118,0.02301998367684072,0.023554364801719928,False
FeXANES_GT15_Fe_2.001,1,0.6329409343451332,0.23576450950043462,0.04899796096964879,0.021514891459503686,0.0017183698317226159,False
FeXANES_GT15_Fe_3.001,1,0.32440335333277515,-0.00863845059332966,0.028420237218210763,0.07639886958655903,-0.025493341479851616,False
FeXANES_GT15_Fe_4.001,4,1.0216944708776576,-0.22079689433645475,0.1780144036799698,-0.0074921678693219106,-0.06146044715218783,False
FeXANES_GT15_Fe_5.001,5,-0.841991336995397,-0.6574272300968484,0.1465385409030002,0.07364509326116478,-0.01779108332543921,False
FeXANES_GT15_Fe_6.001,4,1.4562453302899363,-0.8650984896869028,-0.09172226049828718,-0.07437712893130768,0.010380725409881227,False
FeXANES_GT15_Fe_striated2_1.001,5,-0.7525912674860932,-0.22377681053011375,0.0704094553161456,0.02715331813755382,-0.009898383343294804,False
FeXANES_GT15_flaky_gray_mix_Fe_1.001,1,0.5369398293931262,0.7792249896988314,0.09404208075291225,-0.01938288641466337,0.01571128125060629,False
FeXANES_GT15_flaky_gray_mix_Fe_2.001,1,0.30688566455666744,0.7592047103963959,0.06719043794455809,-0.016027185053826058,0.009905348822941541,False
FeXANES_GT15_flaky_gray_mix_Fe_3.001,5,-0.6680940467391242,0.06935155690867735,-0.17385651938822114,0.02057375034265637,0.012469385953671731,False
FeXANES_GT15_flaky_gray_mix_Fe_4.001,2,-1.14431466441287,0.5541471674401454,-0.024386053306188246,-0.04150180164472859,0.004062577050700257,False
FeXANES_GT15_flaky_gray_mix_Fe_5.001,1,0.22746955242862685,0.4417741545317496,-0.09218053889570726,-0.011790162509399063,-0.05254285489078932,False
FeXANES_GT15_flaky_gray_mix_Fe_6.001,1,0.24524856810607681,0.49761433106134234,-0.1510572294873522,-0.026572731461636894,-0.04277623740989622,False
FeXANES_GT15_flaky_gray_mix_Fe_7.001,2,-1.6593399035204155,0.06920545616539793,-0.02287498486319186,-0.007897494322184447,-0.006523542431659446,False
FeXANES_GT15_flaky_gray_mix_Fe_8.001,2,-1.7993981208470815,-0.10539167843867278,-0.056939946772409135,-0.004241651523701219,-0.0021785991896458375,False
