spectrum,cluster,r_factor,r_factor_w,chi_sq,weight_sum,n_refs,Biotite,Mackinawite (aged),Siderite-s,Hornblende,Augite,Mackinawite,Siderite-n,Vivianite,6L-Fhy,Ferrosmectite,Maghemite,Pyrrhotite,2L-Fhy,Ilmenite,Jarosite,Green Rust - Carbonate,Green Rust - Sulfate,Hematite,Nontronite,Lepidocrocite,Pyrite,Hematite on sand,2L-Fhy on sand,FeS,Schwertmannite,Goethite
FeXANES_GT15_flaky_gray_mix_Fe_2.001,1,0.0069,0.0076,0.0001,1.0162,3,0.5266,0.0000,0.0000,0.0000,0.2882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1852,0.0000,0.0000,0.0000
FeXANES_GT15_flaky_gray_mix_Fe_3.001,5,0.0203,0.0211,0.0004,1.0283,3,0.0000,0.2788,0.0000,0.0000,0.5649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flaky_gray_mix_Fe_4.001,2,0.0093,0.0095,0.0001,1.0197,3,0.0000,0.0000,0.0000,0.5147,0.1919,0.0000,0.0000,0.0000,0.0000,0.2934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flaky_gray_mix_Fe_5.001,1,0.0190,0.0197,0.0008,1.0184,3,0.0000,0.1915,0.0000,0.3249,0.4836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flaky_gray_mix_Fe_6.001,1,0.0233,0.0239,0.0010,1.0425,3,0.0000,0.2715,0.0000,0.5619,0.1666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flaky_gray_mix_Fe_7.001,2,0.0087,0.0100,0.0001,1.0223,3,0.1515,0.0534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flaky_gray_mix_Fe_8.001,2,0.0139,0.0152,0.0002,1.0180,3,0.0000,0.1178,0.0000,0.0000,0.1697,0.0000,0.0000,0.0000,0.7126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flakydark_Fe_1.001,3,0.0142,0.0154,0.0002,1.0184,3,0.4684,0.2237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flakydark_Fe_2.001,3,0.0150,0.0157,0.0002,1.0111,3,0.5524,0.2361,0.2114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flakydark_Fe_3.001,3,0.0150,0.0156,0.0002,1.0193,3,0.5607,0.3601,0.0000,0.0000,0.0000,0.0000,0.0792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
