#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Green Rust - Carbonate: Green Rust - Carbonate
#------------------------------------------
# energy, Green Rust - Carbonate
 7139.25000,  1.11139354
 7139.50000,  1.10371908
 7139.75000,  1.09599420
 7140.00000,  1.08794959
 7140.25000,  1.08044886
 7140.50000,  1.07277538
 7140.75000,  1.06621384
 7141.00000,  1.05867519
 7141.25000,  1.05249378
 7141.50000,  1.04589012
 7141.75000,  1.03957870
 7142.00000,  1.03239217
 7142.25000,  1.02702689
 7142.50000,  1.02133244
 7142.75000,  1.01592799
 7143.00000,  1.01021872
 7143.25000,  1.00482391
 7143.50000,  0.99971964
 7143.75000,  0.99501372
 7144.00000,  0.98956804
 7144.25000,  0.98574473
 7144.50000,  0.98065858
 7144.75000,  0.97707896
 7145.00000,  0.97259612
 7145.25000,  0.96923959
 7145.50000,  0.96480690
 7145.75000,  0.96081627
 7146.00000,  0.95683938
 7146.25000,  0.95359957
 7146.50000,  0.94943672
 7146.75000,  0.94575912
 7147.00000,  0.94166606
 7147.25000,  0.93826848
 7147.50000,  0.93415613
 7147.75000,  0.93032969
 7148.00000,  0.92650424
 7148.25000,  0.92297192
 7148.50000,  0.91920161
 7148.75000,  0.91530726
 7149.00000,  0.91239110
 7149.25000,  0.90979609
 7149.50000,  0.90648274
 7149.75000,  0.90335268
 7150.00000,  0.90072992
 7150.25000,  0.89796260
 7150.50000,  0.89544932
 7150.75000,  0.89261222
 7151.00000,  0.89086288
 7151.25000,  0.88856011
 7151.50000,  0.88671305
 7151.75000,  0.88499789
 7152.00000,  0.88343745
 7152.25000,  0.88242080
 7152.50000,  0.88178662
 7152.75000,  0.88030015
 7153.00000,  0.87911878
 7153.25000,  0.87849129
 7153.50000,  0.87787075
 7153.75000,  0.87720676
 7154.00000,  0.87655945
 7154.25000,  0.87563329
 7154.50000,  0.87622089
 7154.75000,  0.87592097
 7155.00000,  0.87665527
 7155.25000,  0.87716041
 7155.50000,  0.87751056
 7155.75000,  0.87817374
 7156.00000,  0.87896979
 7156.25000,  0.87968785
 7156.50000,  0.88093266
 7156.75000,  0.88235013
 7157.00000,  0.88376011
 7157.25000,  0.88515081
 7157.50000,  0.88629442
 7157.75000,  0.88803876
 7158.00000,  0.88965059
 7158.25000,  0.89074673
 7158.50000,  0.89208059
 7158.75000,  0.89435515
 7159.00000,  0.89562878
 7159.25000,  0.89721571
 7159.50000,  0.89889749
 7159.75000,  0.90019539
 7160.00000,  0.90204092
 7161.09473,  0.90961144
 7162.20947,  0.91906829
 7163.34326,  0.92965353
 7164.49707,  0.94208199
 7165.67041,  0.95576261
 7166.86377,  0.97059693
 7168.07617,  0.98592984
 7169.30859,  1.00031117
 7170.56006,  1.01437157
 7171.83154,  1.02664578
 7173.12305,  1.03678052
 7174.43359,  1.04384389
 7175.76367,  1.04780676
 7177.11377,  1.04924637
 7178.48340,  1.05010759
 7179.87256,  1.05085096
 7181.28174,  1.05114692
 7182.70996,  1.05127025
 7184.15820,  1.05116765
 7185.62598,  1.05030586
 7187.11328,  1.04869267
 7188.62012,  1.04624962
 7190.14648,  1.04337060
 7191.69287,  1.03925686
 7193.25879,  1.03431292
 7194.84424,  1.02931652
 7196.44922,  1.02491106
 7198.07373,  1.02106047
 7199.71826,  1.01862228
 7201.38184,  1.01627060
 7203.06543,  1.01462932
 7204.76855,  1.01260667
 7206.49170,  1.01120448
 7208.23389,  1.00891096
 7209.99609,  1.00705702
 7211.77783,  1.00535400
 7213.57910,  1.00449069
 7215.39990,  1.00502908
 7217.24023,  1.00600983
 7219.10059,  1.00714961
 7220.98047,  1.00809469
 7222.87988,  1.00872410
 7224.79883,  1.00978247
 7226.73730,  1.01149057
 7228.69580,  1.01307046
 7230.67334,  1.01433181
 7232.67090,  1.01585740
 7234.68799,  1.01708042
 7236.72510,  1.01870990
 7238.78125,  1.02045873
 7240.85742,  1.02215305
 7242.95312,  1.02449745
 7245.06836,  1.02698296
 7247.20312,  1.03027712
 7249.35742,  1.03428706
 7251.53174,  1.03791677
 7253.72559,  1.04548690
 7255.93896,  1.04641109
 7258.17188,  1.04849972
 7260.42432,  1.05292183
 7262.69678,  1.05563575
 7264.98828,  1.05197601
 7267.29980,  1.05173750
 7269.63086,  1.05053779
 7271.98193,  1.04995870
 7274.35205,  1.04944095
 7276.74219,  1.04967617
 7279.15186,  1.05028610
 7281.58105,  1.05135660
 7284.02979,  1.05189742
 7286.49805,  1.05115785
 7288.98633,  1.05020600
 7291.49414,  1.04889849
 7294.02148,  1.04744787
 7296.56836,  1.04664725
 7299.13477,  1.04607251
 7301.72119,  1.04542612
 7304.32666,  1.04567192
 7306.95215,  1.04639648
 7309.59717,  1.04587713
 7312.26221,  1.04668658
 7314.94629,  1.04790903
 7317.65039,  1.04905743
 7320.37354,  1.05083435
 7323.11670,  1.05331023
 7325.87988,  1.05543776
 7328.66211,  1.05671519
 7331.46436,  1.05768781
 7334.28564,  1.05898876
 7337.12695,  1.06064175
 7339.98828,  1.06223914
 7342.86865,  1.06369220
 7345.76855,  1.06464191
 7348.68848,  1.06548678
 7351.62793,  1.06558336
 7354.58691,  1.06552024
 7357.56543,  1.06579221
 7360.56396,  1.06577837
 7363.58154,  1.06624125
 7366.61914,  1.06682354
 7369.67627,  1.06781561
 7372.75293,  1.06820734
 7375.84961,  1.06960635
 7378.96533,  1.07095445
 7382.10107,  1.07219485
 7385.25635,  1.07354717
 7388.43115,  1.07483490
 7391.62598,  1.07571030
 7394.83984,  1.07616187
 7398.07373,  1.07691899
 7401.32715,  1.07808223
 7404.60010,  1.07924755
 7407.89258,  1.08050775
 7411.20459,  1.08155265
 7414.53662,  1.08234966
 7417.88818,  1.08283608
 7421.25928,  1.08324203
 7424.64990,  1.08332854
 7428.06006,  1.08390926
 7431.49023,  1.08466354
 7434.93994,  1.08473119
 7438.40918,  1.08510547
 7441.89795,  1.08627931
 7445.40625,  1.08805675
 7448.93457,  1.08957997
 7452.48193,  1.09126867
 7456.04932,  1.09255074
 7459.63623,  1.09414577
 7463.24316,  1.09535291
 7466.86914,  1.09645051
 7470.51514,  1.09759747
 7474.18018,  1.09863515
 7477.86523,  1.09946956
 7481.57031,  1.10055000
 7485.29443,  1.10155302
 7489.03857,  1.10286471
 7492.80176,  1.10381710
 7496.58496,  1.10518407
 7500.38770,  1.10656686
 7504.21045,  1.10747484
 7508.05225,  1.10859221
 7511.91406,  1.10996300
 7515.79541,  1.11154950
 7519.69629,  1.11275490
 7523.61670,  1.11447931
 7527.55713,  1.11567635
 7531.51660,  1.11675110
 7535.49609,  1.11841211
 7539.49512,  1.11964885
 7543.51367,  1.12055990
 7547.55176,  1.12193526
 7551.60986,  1.12343984
 7555.68750,  1.12523900
 7559.78467,  1.12599558
 7563.90137,  1.12764469
 7568.03760,  1.12901837
 7572.19385,  1.13071382
 7576.36914,  1.13175631
 7580.56445,  1.13301546
 7584.77930,  1.13464603
 7589.01367,  1.13580046
 7593.26807,  1.13720815
 7597.54199,  1.13911656
 7601.83496,  1.14088999
 7606.14795,  1.14260096
 7610.48047,  1.14418436
 7614.83301,  1.14575651
 7619.20459,  1.14700926
 7623.59619,  1.14665802
 7628.00732,  1.15181111
 7632.43799,  1.15088401
 7636.88818,  1.15392597
 7641.35840,  1.15486103
 7645.84814,  1.15612762
 7650.35742,  1.15848449
 7654.88623,  1.16003212
 7659.43457,  1.16120035
 7664.00244,  1.16242795
 7668.59033,  1.16398000
 7673.19775,  1.16609693
 7677.82471,  1.16812840
 7682.47119,  1.17020469
 7687.13721,  1.17263472
 7691.82324,  1.17380924
 7696.52832,  1.17539891
 7701.25342,  1.17697976
 7705.99805,  1.17915947
 7710.76270,  1.18176672
 7715.54639,  1.18307824
 7720.35010,  1.18424271
 7725.17334,  1.18598195
 7730.01611,  1.18798874
 7734.87842,  1.19016136
 7739.76025,  1.19174674
 7744.66211,  1.19323791
 7749.58350,  1.19479209
 7754.52441,  1.19711425
 7759.48486,  1.19956840
 7764.46484,  1.20084487
 7769.46484,  1.20281193
 7774.48438,  1.20490367
 7779.52344,  1.20659165
 7784.58203,  1.20892303
 7789.66016,  1.21007530
 7794.75781,  1.21147138
 7799.87549,  1.21351771
 7805.01270,  1.21579080
 7810.16943,  1.21773545
 7815.34570,  1.21962775
 7820.54199,  1.22156136
 7825.75732,  1.22344005
 7830.99268,  1.22585218
 7836.24756,  1.22807284
 7841.52197,  1.22965416
 7846.81592,  1.23177359
 7852.12988,  1.23366592
 7857.46338,  1.23529209
 7862.81641,  1.23736660
 7868.18896,  1.24022737
 7873.58105,  1.24304452
 7878.99268,  1.24472254
 7884.42432,  1.24650221
 7889.87549,  1.24868666
 7895.34619,  1.25115730
 7900.83643,  1.25310872
 7906.34668,  1.25558386
 7911.87598,  1.25803040
 7917.42529,  1.26026706
 7922.99414,  1.26218884
 7928.58252,  1.26451586
 7934.19043,  1.26665800
 7939.81836,  1.26874724
 7945.46582,  1.27125402
 7951.13281,  1.27439644
 7956.81934,  1.27708504
 7962.52539,  1.27949588
 7968.25098,  1.28142693
 7973.99658,  1.28318184
