#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#6L-Fhy: 6L-Fhy
#------------------------------------------
# energy, 6L-Fhy
 6880.00000,  4.22072e-4
 6890.23828,  2.91327e-4
 6900.47607,  2.46745e-4
 6910.71436,  1.05770e-4
 6920.95215,  8.86228e-5
 6931.19043,  4.31036e-5
 6941.42871, -6.16735e-7
 6951.66650, -6.45791e-7
 6961.90479, -5.84530e-5
 6972.14307, -9.49314e-5
 6982.38086, -7.24237e-5
 6992.61914, -1.65540e-4
 7002.85693,  8.60930e-5
 7013.09521,  1.74792e-4
 7023.33350,  3.44158e-4
 7033.57129,  4.78295e-4
 7043.80957,  7.54643e-4
 7054.04785,  0.00108151
 7064.28564,  0.00170191
 7074.52393,  0.00245714
 7084.76172,  0.00379140
 7095.00000,  0.00630058
 7095.25000,  0.00640879
 7095.50000,  0.00646860
 7095.75000,  0.00659978
 7096.00000,  0.00665649
 7096.25000,  0.00677260
 7096.50000,  0.00689501
 7096.75000,  0.00692259
 7097.00000,  0.00706423
 7097.25000,  0.00719716
 7097.50000,  0.00729643
 7097.75000,  0.00737998
 7098.00000,  0.00744652
 7098.25000,  0.00753813
 7098.50000,  0.00769388
 7098.75000,  0.00784889
 7099.00000,  0.00792635
 7099.25000,  0.00813291
 7099.50000,  0.00819278
 7099.75000,  0.00832046
 7100.00000,  0.00845679
 7100.25000,  0.00861206
 7100.50000,  0.00876848
 7100.75000,  0.00898001
 7101.00000,  0.00905201
 7101.25000,  0.00922799
 7101.50000,  0.00938237
 7101.75000,  0.00954775
 7102.00000,  0.00972933
 7102.25000,  0.00989741
 7102.50000,  0.01012931
 7102.75000,  0.01027779
 7103.00000,  0.01046287
 7103.25000,  0.01061998
 7103.50000,  0.01092817
 7103.75000,  0.01107349
 7104.00000,  0.01127197
 7104.25000,  0.01160403
 7104.50000,  0.01176914
 7104.75000,  0.01206455
 7105.00000,  0.01226853
 7105.25000,  0.01256240
 7105.50000,  0.01287390
 7105.75000,  0.01319986
 7106.00000,  0.01350633
 7106.25000,  0.01379424
 7106.50000,  0.01414923
 7106.75000,  0.01451759
 7107.00000,  0.01492791
 7107.25000,  0.01536185
 7107.50000,  0.01582807
 7107.75000,  0.01635013
 7108.00000,  0.01674987
 7108.25000,  0.01733337
 7108.50000,  0.01816814
 7108.75000,  0.01873120
 7109.00000,  0.01961451
 7109.25000,  0.02057196
 7109.50000,  0.02165886
 7109.75000,  0.02281680
 7110.00000,  0.02451817
 7110.25000,  0.02657626
 7110.50000,  0.02930944
 7110.75000,  0.03246625
 7111.00000,  0.03688791
 7111.25000,  0.04166527
 7111.50000,  0.04784394
 7111.75000,  0.05371768
 7112.00000,  0.06096160
 7112.25000,  0.06723138
 7112.50000,  0.07294720
 7112.75000,  0.07722107
 7113.00000,  0.08025822
 7113.25000,  0.08176081
 7113.50000,  0.08197511
 7113.75000,  0.08119743
 7114.00000,  0.07939284
 7114.25000,  0.07698212
 7114.50000,  0.07488577
 7114.75000,  0.07352093
 7115.00000,  0.07288748
 7115.25000,  0.07331565
 7115.50000,  0.07411850
 7115.75000,  0.07528222
 7116.00000,  0.07678189
 7116.25000,  0.07864548
 7116.50000,  0.08061976
 7116.75000,  0.08286224
 7117.00000,  0.08532572
 7117.25000,  0.08820289
 7117.50000,  0.09118226
 7117.75000,  0.09535682
 7118.00000,  0.10014248
 7118.25000,  0.10649373
 7118.50000,  0.11291441
 7118.75000,  0.12174821
 7119.00000,  0.13102585
 7119.25000,  0.14315450
 7119.50000,  0.15570861
 7119.75000,  0.17210206
 7120.00000,  0.18882362
 7120.25000,  0.21020937
 7120.50000,  0.23098195
 7120.75000,  0.25726608
 7121.00000,  0.28318431
 7121.25000,  0.31360438
 7121.50000,  0.34121230
 7121.75000,  0.37533140
 7122.00000,  0.40525353
 7122.25000,  0.43821516
 7122.50000,  0.46706131
 7122.75000,  0.50163086
 7123.00000,  0.53289015
 7123.25000,  0.56497167
 7123.50000,  0.59520729
 7123.75000,  0.62940862
 7124.00000,  0.66048914
 7124.25000,  0.69430392
 7124.50000,  0.72719764
 7124.75000,  0.76313217
 7125.00000,  0.79799466
 7125.25000,  0.83366661
 7125.50000,  0.87010483
 7125.75000,  0.90689780
 7126.00000,  0.94383166
 7126.25000,  0.97909136
 7126.50000,  1.01464103
 7126.75000,  1.04829344
 7127.00000,  1.08116825
 7127.25000,  1.10935834
 7127.50000,  1.13860281
 7127.75000,  1.16486833
 7128.00000,  1.19006323
 7128.25000,  1.21080999
 7128.50000,  1.23175240
 7128.75000,  1.24918234
 7129.00000,  1.26620904
 7129.25000,  1.27901081
 7129.50000,  1.29255606
 7129.75000,  1.30271363
 7130.00000,  1.31253453
 7130.25000,  1.31957953
 7130.50000,  1.32626102
 7130.75000,  1.33115799
 7131.00000,  1.33439609
 7131.25000,  1.33694426
 7131.50000,  1.33817714
 7131.75000,  1.33742543
 7132.00000,  1.33604358
 7132.25000,  1.33368107
 7132.50000,  1.32983493
 7132.75000,  1.32518387
 7133.00000,  1.31912684
 7133.25000,  1.31327369
 7133.50000,  1.30611706
 7133.75000,  1.29919807
 7134.00000,  1.29170608
 7134.25000,  1.28374059
 7134.50000,  1.27576841
 7134.75000,  1.26903900
 7135.00000,  1.26074638
 7135.25000,  1.25461633
 7135.50000,  1.24729208
 7135.75000,  1.24085961
 7136.00000,  1.23453749
 7136.25000,  1.22781237
 7136.50000,  1.22054037
 7136.75000,  1.21391523
 7137.00000,  1.20772947
 7137.25000,  1.20145996
 7137.50000,  1.19508380
 7137.75000,  1.18805494
 7138.00000,  1.18095032
 7138.25000,  1.17397514
 7138.50000,  1.16684858
 7138.75000,  1.16005975
 7139.00000,  1.15373011
 7139.25000,  1.14668718
 7139.50000,  1.14015067
 7139.75000,  1.13393652
 7140.00000,  1.12770077
 7140.25000,  1.12184190
 7140.50000,  1.11625348
 7140.75000,  1.11001380
 7141.00000,  1.10575190
 7141.25000,  1.10016563
 7141.50000,  1.09642543
 7141.75000,  1.09160877
 7142.00000,  1.08800064
 7142.25000,  1.08419160
 7142.50000,  1.08105340
 7142.75000,  1.07772144
 7143.00000,  1.07597155
 7143.25000,  1.07327953
 7143.50000,  1.07129640
 7143.75000,  1.06944510
 7144.00000,  1.06808126
 7144.25000,  1.06588410
 7144.50000,  1.06488628
 7144.75000,  1.06302842
 7145.00000,  1.06177470
 7145.25000,  1.05938463
 7145.50000,  1.05789994
 7145.75000,  1.05520554
 7146.00000,  1.05331665
 7146.25000,  1.04990310
 7146.50000,  1.04678052
 7146.75000,  1.04359639
 7147.00000,  1.03992443
 7147.25000,  1.03528052
 7147.50000,  1.03081509
 7147.75000,  1.02566236
 7148.00000,  1.02065064
 7148.25000,  1.01516423
 7148.50000,  1.00989912
 7148.75000,  1.00378888
 7149.00000,  0.99848774
 7149.25000,  0.99225414
 7149.50000,  0.98659498
 7149.75000,  0.98066417
 7150.00000,  0.97503280
 7150.25000,  0.96899510
 7150.50000,  0.96372265
 7150.75000,  0.95806116
 7151.00000,  0.95272334
 7151.25000,  0.94778565
 7151.50000,  0.94307732
 7151.75000,  0.93780386
 7152.00000,  0.93406420
 7152.25000,  0.92944188
 7152.50000,  0.92513017
 7152.75000,  0.92144813
 7153.00000,  0.91733189
 7153.25000,  0.91408607
 7153.50000,  0.91039359
 7153.75000,  0.90715255
 7154.00000,  0.90409356
 7154.25000,  0.90100582
 7154.50000,  0.89824586
 7154.75000,  0.89503202
 7155.00000,  0.89242118
 7155.25000,  0.89001835
 7155.50000,  0.88728774
 7155.75000,  0.88529995
 7156.00000,  0.88292110
 7156.25000,  0.88107839
 7156.50000,  0.87897375
 7156.75000,  0.87753290
 7157.00000,  0.87534613
 7157.25000,  0.87437801
 7157.50000,  0.87255832
 7157.75000,  0.87207451
 7158.00000,  0.87076884
 7158.25000,  0.87016489
 7158.50000,  0.86919588
 7158.75000,  0.86896898
 7159.00000,  0.86814809
 7159.25000,  0.86800369
 7159.50000,  0.86793165
 7159.75000,  0.86799382
 7160.00000,  0.86811242
 7161.09473,  0.87016857
 7162.20947,  0.87517757
 7163.34326,  0.88259147
 7164.49707,  0.89260502
 7165.67041,  0.90477145
 7166.86377,  0.91880526
 7168.07617,  0.93454201
 7169.30859,  0.95101229
 7170.56006,  0.96881139
 7171.83154,  0.98655312
 7173.12305,  1.00551197
 7174.43359,  1.02414601
 7175.76367,  1.03632049
 7177.11377,  1.04541498
 7178.48340,  1.05316414
 7179.87256,  1.05975443
 7181.28174,  1.06453923
 7182.70996,  1.06718105
 7184.15820,  1.06835715
 7185.62598,  1.06831556
 7187.11328,  1.06847801
 7188.62012,  1.06771386
 7190.14648,  1.06622152
 7191.69287,  1.06351495
 7193.25879,  1.06064245
 7194.84424,  1.05741446
 7196.44922,  1.05488524
 7198.07373,  1.05224104
 7199.71826,  1.04960723
 7201.38184,  1.04675286
 7203.06543,  1.04332921
 7204.76855,  1.03957487
 7206.49170,  1.03534514
 7208.23389,  1.03132206
 7209.99609,  1.02768936
 7211.77783,  1.02454916
 7213.57910,  1.02193020
 7215.39990,  1.02033667
 7217.24023,  1.01988165
 7219.10059,  1.01971798
 7220.98047,  1.02069139
 7222.87988,  1.02192825
 7224.79883,  1.02333167
 7226.73730,  1.02472546
 7228.69580,  1.02618082
 7230.67334,  1.02694533
 7232.67090,  1.02720975
 7234.68799,  1.02693591
 7236.72510,  1.02650818
 7238.78125,  1.02603527
 7240.85742,  1.02607299
 7242.95312,  1.02702780
 7245.06836,  1.02837203
 7247.20312,  1.03099579
 7249.35742,  1.03411277
 7251.53174,  1.03776685
 7253.72559,  1.04174188
 7255.93896,  1.04662745
 7258.17188,  1.05124783
 7260.42432,  1.05508776
 7262.69678,  1.06051549
 7264.98828,  1.06495925
 7267.29980,  1.06849909
 7269.63086,  1.07204157
 7271.98193,  1.07444033
 7274.35205,  1.07629343
 7276.74219,  1.07783791
 7279.15186,  1.07896845
 7281.58105,  1.07943629
 7284.02979,  1.07913394
 7286.49805,  1.07728642
 7288.98633,  1.07565438
 7291.49414,  1.07259230
 7294.02148,  1.06999588
 7296.56836,  1.06728506
 7299.13477,  1.06546510
 7301.72119,  1.06369036
 7304.32666,  1.06280839
 7306.95215,  1.06248679
 7309.59717,  1.06289164
 7312.26221,  1.06367088
 7314.94629,  1.06505381
 7317.65039,  1.06688092
 7320.37354,  1.06910091
 7323.11670,  1.07137998
 7325.87988,  1.07369139
 7328.66211,  1.07596299
 7331.46436,  1.07814488
 7334.28564,  1.07984221
 7337.12695,  1.08103229
 7339.98828,  1.08214948
 7342.86865,  1.08296774
 7345.76855,  1.08275442
 7348.68848,  1.08251965
 7351.62793,  1.08239203
 7354.58691,  1.08224797
 7357.56543,  1.08274112
 7360.56396,  1.08314458
 7363.58154,  1.08427473
 7366.61914,  1.08577127
 7369.67627,  1.08721009
 7372.75293,  1.08869606
 7375.84961,  1.09067177
 7378.96533,  1.09237945
 7382.10107,  1.09427159
 7385.25635,  1.09641797
 7388.43115,  1.09847348
 7391.62598,  1.10052840
 7394.83984,  1.10250307
 7398.07373,  1.10441225
 7401.32715,  1.10584354
 7404.60010,  1.10730467
 7407.89258,  1.10803034
 7411.20459,  1.10843689
 7414.53662,  1.10878537
 7417.88818,  1.10850622
 7421.25928,  1.10861220
 7424.64990,  1.10840492
 7428.06006,  1.10849890
 7431.49023,  1.10865315
 7434.93994,  1.10942026
 7438.40918,  1.11033891
 7441.89795,  1.11118422
 7445.40625,  1.11304683
 7448.93457,  1.11447866
 7452.48193,  1.11596433
 7456.04932,  1.11790336
 7459.63623,  1.11930639
 7463.24316,  1.12122350
 7466.86914,  1.12260224
 7470.51514,  1.12414289
 7474.18018,  1.12563406
 7477.86523,  1.12750355
 7481.57031,  1.12881639
 7485.29443,  1.13037896
 7489.03857,  1.13174077
 7492.80176,  1.13300740
 7496.58496,  1.13403247
 7500.38770,  1.13536416
 7504.21045,  1.13630348
 7508.05225,  1.13755553
 7511.91406,  1.13887237
 7515.79541,  1.14040947
 7519.69629,  1.14237249
 7523.61670,  1.14379558
 7527.55713,  1.14546123
 7531.51660,  1.14744437
 7535.49609,  1.14930560
 7539.49512,  1.15102500
 7543.51367,  1.15228726
 7547.55176,  1.15365370
 7551.60986,  1.15526615
 7555.68750,  1.15699960
 7559.78467,  1.15834212
 7563.90137,  1.15997504
 7568.03760,  1.16154989
 7572.19385,  1.16329702
 7576.36914,  1.16480785
 7580.56445,  1.16617470
 7584.77930,  1.16800971
 7589.01367,  1.16957154
 7593.26807,  1.17082977
 7597.54199,  1.17246119
 7601.83496,  1.17390523
 7606.14795,  1.17591691
 7610.48047,  1.17735681
 7614.83301,  1.17911883
 7619.20459,  1.18101702
 7623.59619,  1.18260145
 7628.00732,  1.18419426
 7632.43799,  1.18581656
 7636.88818,  1.18792038
 7641.35840,  1.18975019
 7645.84814,  1.19168953
 7650.35742,  1.19345031
 7654.88623,  1.19520144
 7659.43457,  1.19730681
 7664.00244,  1.19903962
 7668.59033,  1.20109134
 7673.19775,  1.20284160
 7677.82471,  1.20514497
 7682.47119,  1.20717469
 7687.13721,  1.20914967
 7691.82324,  1.21121260
 7696.52832,  1.21316878
 7701.25342,  1.21512056
 7705.99805,  1.21695998
 7710.76270,  1.21898493
 7715.54639,  1.22096136
 7720.35010,  1.22289545
 7725.17334,  1.22472721
 7730.01611,  1.22663164
 7734.87842,  1.22877327
 7739.76025,  1.23052075
 7744.66211,  1.23264153
 7749.58350,  1.23450048
 7754.52441,  1.23648985
 7759.48486,  1.23879813
 7764.46484,  1.24086115
 7769.46484,  1.24285833
 7774.48438,  1.24508937
 7779.52344,  1.24719552
 7784.58203,  1.24933963
 7789.66016,  1.25142925
 7794.75781,  1.25351376
 7799.87549,  1.25574335
 7805.01270,  1.25778722
 7810.16943,  1.25978363
 7815.34570,  1.26209120
 7820.54199,  1.26422353
 7825.75732,  1.26618231
 7830.99268,  1.26841598
 7836.24756,  1.27062771
 7841.52197,  1.27275060
 7846.81592,  1.27490118
 7852.12988,  1.27730124
 7857.46338,  1.27966529
 7862.81641,  1.28206265
 7868.18896,  1.28431294
 7873.58105,  1.28703484
 7878.99268,  1.28947928
 7884.42432,  1.29179584
 7889.87549,  1.29433600
 7895.34619,  1.29660655
 7900.83643,  1.29874626
 7906.34668,  1.30131404
 7911.87598,  1.30367605
 7917.42529,  1.30608437
 7922.99414,  1.30840168
 7928.58252,  1.31092553
 7934.19043,  1.31361607
 7939.81836,  1.31592366
 7945.46582,  1.31848110
 7951.13281,  1.32084576
 7956.81934,  1.32355142
 7962.52539,  1.32609413
 7968.25098,  1.32842105
 7973.99658,  1.33119715
 7979.76172,  1.33359426
 7985.54639,  1.33626555
 7991.35059,  1.33856666
 7997.17480,  1.34128177
 8003.01807,  1.34352018
 8008.88135,  1.34593852
 8014.76416,  1.34859810
 8020.66650,  1.35109868
 8026.58838,  1.35379148
 8032.53027,  1.35622398
 8038.49170,  1.35883306
 8044.47217,  1.36132598
 8050.47314,  1.36411120
 8056.49316,  1.36663482
 8062.53271,  1.36933860
 8068.59229,  1.37191547
 8074.67139,  1.37445967
 8080.77002,  1.37735369
 8086.88818,  1.37989018
 8093.02588,  1.38245557
 8099.18359,  1.38519038
 8105.36084,  1.38773863
