#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#2L-Fhy on sand: 2L-Fhy on sand
#------------------------------------------
# energy, 2L-Fhy on sand
 7113.25000,  0.07324943
 7113.50000,  0.07871075
 7113.75000,  0.08261797
 7114.00000,  0.08393539
 7114.25000,  0.08327363
 7114.50000,  0.08109897
 7114.75000,  0.07818224
 7115.00000,  0.07519345
 7115.25000,  0.07250107
 7115.50000,  0.07102787
 7115.75000,  0.07046518
 7116.00000,  0.07081280
 7116.25000,  0.07152806
 7116.50000,  0.07265126
 7116.75000,  0.07415851
 7117.00000,  0.07543394
 7117.25000,  0.07715467
 7117.50000,  0.07891172
 7117.75000,  0.08086303
 7118.00000,  0.08295372
 7118.25000,  0.08576524
 7118.50000,  0.08885573
 7118.75000,  0.09293116
 7119.00000,  0.09742309
 7119.25000,  0.10359863
 7119.50000,  0.11075455
 7119.75000,  0.11958449
 7120.00000,  0.12937595
 7120.25000,  0.14205113
 7120.50000,  0.15646356
 7120.75000,  0.17300577
 7121.00000,  0.19188457
 7121.25000,  0.21422983
 7121.50000,  0.23936174
 7121.75000,  0.26481200
 7122.00000,  0.29395115
 7122.25000,  0.32450732
 7122.50000,  0.35743905
 7122.75000,  0.38687774
 7123.00000,  0.41948508
 7123.25000,  0.45030165
 7123.50000,  0.48099433
 7123.75000,  0.50808750
 7124.00000,  0.53758597
 7124.25000,  0.56496228
 7124.50000,  0.59538970
 7124.75000,  0.62253981
 7125.00000,  0.65515552
 7125.25000,  0.68608902
 7125.50000,  0.72269241
 7125.75000,  0.75414102
 7126.00000,  0.79447207
 7126.25000,  0.83121107
 7126.50000,  0.87242079
 7126.75000,  0.90701989
 7127.00000,  0.94801202
 7127.25000,  0.98326236
 7127.50000,  1.02047920
 7127.75000,  1.05153857
 7128.00000,  1.08629480
 7128.25000,  1.11522656
 7128.50000,  1.14519166
 7128.75000,  1.16967001
 7129.00000,  1.19648334
 7129.25000,  1.21893778
 7129.50000,  1.24115409
 7129.75000,  1.25963343
 7130.00000,  1.27920694
 7130.25000,  1.29602346
 7130.50000,  1.31214672
 7130.75000,  1.32552293
 7131.00000,  1.33951538
 7131.25000,  1.35042057
 7131.50000,  1.36002498
 7131.75000,  1.36693976
 7132.00000,  1.37312212
 7132.25000,  1.37694198
 7132.50000,  1.37866025
 7132.75000,  1.37812027
 7133.00000,  1.37637591
 7133.25000,  1.37187701
 7133.50000,  1.36621611
 7133.75000,  1.35965034
 7134.00000,  1.35184055
 7134.25000,  1.34279563
 7134.50000,  1.33378183
 7134.75000,  1.32469690
 7135.00000,  1.31556532
 7135.25000,  1.30535547
 7135.50000,  1.29756716
 7135.75000,  1.28899657
 7136.00000,  1.28095321
 7136.25000,  1.27289935
 7136.50000,  1.26673157
 7136.75000,  1.25966961
 7137.00000,  1.25346749
 7137.25000,  1.24701259
 7137.50000,  1.24114659
 7137.75000,  1.23393431
 7138.00000,  1.22824683
 7138.25000,  1.22110834
 7138.50000,  1.21459772
 7138.75000,  1.20739187
 7139.00000,  1.20041874
 7139.25000,  1.19258246
 7139.50000,  1.18591178
 7139.75000,  1.17758205
 7140.00000,  1.17042379
 7140.25000,  1.16193012
 7140.50000,  1.15547598
 7140.75000,  1.14746733
 7141.00000,  1.14123116
 7141.25000,  1.13324995
 7141.50000,  1.12751270
 7141.75000,  1.12020837
 7142.00000,  1.11429526
 7142.25000,  1.10853106
 7142.50000,  1.10333068
 7142.75000,  1.09811583
 7143.00000,  1.09377104
 7143.25000,  1.08946400
 7143.50000,  1.08616390
 7143.75000,  1.08262767
 7144.00000,  1.08043319
 7144.25000,  1.07812812
 7144.50000,  1.07633503
 7144.75000,  1.07519083
 7145.00000,  1.07436174
 7145.25000,  1.07371448
 7145.50000,  1.07329162
 7145.75000,  1.07210768
 7146.00000,  1.07219216
 7146.25000,  1.07135835
 7146.50000,  1.07022426
 7146.75000,  1.06921042
 7147.00000,  1.06707459
 7147.25000,  1.06485229
 7147.50000,  1.06230135
 7147.75000,  1.05897694
 7148.00000,  1.05527866
 7148.25000,  1.05105685
 7148.50000,  1.04648151
 7148.75000,  1.04122485
 7149.00000,  1.03554891
 7149.25000,  1.03005810
 7149.50000,  1.02343434
 7149.75000,  1.01731897
 7150.00000,  1.01064800
 7150.25000,  1.00439717
 7150.50000,  0.99747872
 7150.75000,  0.99083206
 7151.00000,  0.98357333
 7151.25000,  0.97784602
 7151.50000,  0.97146633
 7151.75000,  0.96511455
 7152.00000,  0.95899521
 7152.25000,  0.95388338
 7152.50000,  0.94824935
 7152.75000,  0.94305834
 7153.00000,  0.93818869
 7153.25000,  0.93359065
 7153.50000,  0.92879328
 7153.75000,  0.92488640
 7154.00000,  0.92034616
 7154.25000,  0.91708816
 7154.50000,  0.91327163
 7154.75000,  0.90914159
 7155.00000,  0.90579437
 7155.25000,  0.90240365
 7155.50000,  0.89923098
 7155.75000,  0.89653567
 7156.00000,  0.89302224
 7156.25000,  0.89017198
 7156.50000,  0.88717849
 7156.75000,  0.88472233
 7157.00000,  0.88195986
 7157.25000,  0.87999186
 7157.50000,  0.87685192
 7157.75000,  0.87491249
 7158.00000,  0.87295915
 7158.25000,  0.87073297
 7158.50000,  0.86876232
 7158.75000,  0.86725872
 7159.00000,  0.86606456
 7159.25000,  0.86401482
 7159.50000,  0.86284545
 7159.75000,  0.86157079
 7160.00000,  0.86060595
 7161.09473,  0.85831534
 7162.20947,  0.85982781
 7163.34326,  0.86448800
 7164.49707,  0.87199873
 7165.67041,  0.88229890
 7166.86377,  0.89508150
 7168.07617,  0.90966025
 7169.30859,  0.92663165
 7170.56006,  0.94523951
 7171.83154,  0.96435573
 7173.12305,  0.98449931
 7174.43359,  1.00616762
 7175.76367,  1.02461736
 7177.11377,  1.03612309
 7178.48340,  1.04500473
 7179.87256,  1.05307393
 7181.28174,  1.05917556
 7182.70996,  1.06401881
 7184.15820,  1.06657220
 7185.62598,  1.06774221
 7187.11328,  1.06799363
 7188.62012,  1.06795311
 7190.14648,  1.06740551
 7191.69287,  1.06527577
 7193.25879,  1.06272390
 7194.84424,  1.05983393
 7196.44922,  1.05713363
 7198.07373,  1.05415767
 7199.71826,  1.05140682
 7201.38184,  1.04776854
 7203.06543,  1.04375154
 7204.76855,  1.03917118
 7206.49170,  1.03439355
 7208.23389,  1.02965511
 7209.99609,  1.02525986
 7211.77783,  1.02147111
 7213.57910,  1.01835450
 7215.39990,  1.01615695
 7217.24023,  1.01561996
 7219.10059,  1.01553325
 7220.98047,  1.01631810
 7222.87988,  1.01721696
 7224.79883,  1.01847199
 7226.73730,  1.01961169
 7228.69580,  1.02035281
 7230.67334,  1.02037423
 7232.67090,  1.01974437
 7234.68799,  1.01906456
 7236.72510,  1.01764324
 7238.78125,  1.01624180
 7240.85742,  1.01493901
 7242.95312,  1.01399920
 7245.06836,  1.01402841
 7247.20312,  1.01496646
 7249.35742,  1.01721513
 7251.53174,  1.02061234
 7253.72559,  1.02550492
 7255.93896,  1.03305725
 7258.17188,  1.03719406
 7260.42432,  1.03877802
 7262.69678,  1.04873124
 7264.98828,  1.05443125
 7267.29980,  1.05892676
 7269.63086,  1.06272543
 7271.98193,  1.06542110
 7274.35205,  1.06750671
 7276.74219,  1.06883273
 7279.15186,  1.06924480
 7281.58105,  1.06888197
 7284.02979,  1.06779100
 7286.49805,  1.06580413
 7288.98633,  1.06328492
 7291.49414,  1.06008986
 7294.02148,  1.05710804
 7296.56836,  1.05418402
 7299.13477,  1.05192618
 7301.72119,  1.04976349
 7304.32666,  1.04818585
 7306.95215,  1.04747237
 7309.59717,  1.04735753
 7312.26221,  1.04791463
 7314.94629,  1.04870542
 7317.65039,  1.05038866
 7320.37354,  1.05230427
 7323.11670,  1.05394361
 7325.87988,  1.05614950
 7328.66211,  1.05808447
 7331.46436,  1.06003380
 7334.28564,  1.06115491
 7337.12695,  1.06206389
 7339.98828,  1.06237562
 7342.86865,  1.06250565
 7345.76855,  1.06238129
 7348.68848,  1.06186478
 7351.62793,  1.06150691
 7354.58691,  1.06112322
 7357.56543,  1.06142160
 7360.56396,  1.06210906
 7363.58154,  1.06291565
 7366.61914,  1.06439635
 7369.67627,  1.06584091
 7372.75293,  1.06752822
 7375.84961,  1.06949108
 7378.96533,  1.07116117
 7382.10107,  1.07303113
 7385.25635,  1.07478576
 7388.43115,  1.07651107
 7391.62598,  1.07802076
 7394.83984,  1.07970132
 7398.07373,  1.08116776
 7401.32715,  1.08205458
 7404.60010,  1.08301245
 7407.89258,  1.08340610
 7411.20459,  1.08357631
 7414.53662,  1.08372775
 7417.88818,  1.08373256
 7421.25928,  1.08339037
 7424.64990,  1.08323568
 7428.06006,  1.08303795
 7431.49023,  1.08318293
 7434.93994,  1.08389449
 7438.40918,  1.08450699
 7441.89795,  1.08567699
 7445.40625,  1.08673819
 7448.93457,  1.08801004
 7452.48193,  1.08927880
 7456.04932,  1.09086880
 7459.63623,  1.09231378
 7463.24316,  1.09374047
 7466.86914,  1.09525043
 7470.51514,  1.09627468
 7474.18018,  1.09763650
 7477.86523,  1.09877257
 7481.57031,  1.09980085
 7485.29443,  1.10106236
 7489.03857,  1.10212092
 7492.80176,  1.10333012
 7496.58496,  1.10445007
 7500.38770,  1.10567352
 7504.21045,  1.10684642
 7508.05225,  1.10791482
 7511.91406,  1.10905556
 7515.79541,  1.11049259
 7519.69629,  1.11186255
 7523.61670,  1.11372235
 7527.55713,  1.11492295
 7531.51660,  1.11644332
 7535.49609,  1.11786547
 7539.49512,  1.11944976
 7543.51367,  1.12094608
 7547.55176,  1.12244949
 7551.60986,  1.12352924
 7555.68750,  1.12517841
 7559.78467,  1.12624700
 7563.90137,  1.12775113
 7568.03760,  1.12946235
 7572.19385,  1.13081387
 7576.36914,  1.13227837
 7580.56445,  1.13371323
 7584.77930,  1.13519113
 7589.01367,  1.13676978
 7593.26807,  1.13843440
 7597.54199,  1.13993072
 7601.83496,  1.14152820
 7606.14795,  1.14331580
 7610.48047,  1.14486528
 7614.83301,  1.14644151
 7619.20459,  1.14854092
 7623.59619,  1.15031430
 7628.00732,  1.15210291
 7632.43799,  1.15375397
 7636.88818,  1.15524978
 7641.35840,  1.15687792
 7645.84814,  1.15886838
 7650.35742,  1.16090737
 7654.88623,  1.16290360
 7659.43457,  1.16510578
 7664.00244,  1.16690003
 7668.59033,  1.16852256
 7673.19775,  1.17028490
 7677.82471,  1.17217827
 7682.47119,  1.17429991
 7687.13721,  1.17639800
 7691.82324,  1.17851431
 7696.52832,  1.18062214
 7701.25342,  1.18278670
 7705.99805,  1.18506034
 7710.76270,  1.18732913
 7715.54639,  1.18950788
 7720.35010,  1.19144045
 7725.17334,  1.19356402
 7730.01611,  1.19565608
 7734.87842,  1.19750266
 7739.76025,  1.19938565
 7744.66211,  1.20114506
 7749.58350,  1.20283883
 7754.52441,  1.20475632
 7759.48486,  1.20645566
 7764.46484,  1.20853454
 7769.46484,  1.21069713
 7774.48438,  1.21282745
 7779.52344,  1.21498350
 7784.58203,  1.21719205
 7789.66016,  1.21938348
 7794.75781,  1.22187357
 7799.87549,  1.22402259
 7805.01270,  1.22613443
 7810.16943,  1.22832252
 7815.34570,  1.23068090
 7820.54199,  1.23300443
 7825.75732,  1.23511485
 7830.99268,  1.23745182
 7836.24756,  1.23954906
 7841.52197,  1.24158679
 7846.81592,  1.24392082
 7852.12988,  1.24617612
 7857.46338,  1.24836869
 7862.81641,  1.25066012
 7868.18896,  1.25300093
 7873.58105,  1.25519842
 7878.99268,  1.25730849
 7884.42432,  1.25915394
 7889.87549,  1.26152925
 7895.34619,  1.26408071
 7900.83643,  1.26614714
 7906.34668,  1.26834770
 7911.87598,  1.27103472
 7917.42529,  1.27359921
 7922.99414,  1.27584422
 7928.58252,  1.27812102
 7934.19043,  1.28045600
 7939.81836,  1.28257582
 7945.46582,  1.28490623
 7951.13281,  1.28732860
 7956.81934,  1.28963762
 7962.52539,  1.29239686
 7968.25098,  1.29474193
 7973.99658,  1.29681102
 7979.76172,  1.29881237
 7985.54639,  1.30108353
 7991.35059,  1.30323132
 7997.17480,  1.30552629
 8003.01807,  1.30748185
 8008.88135,  1.30934316
 8014.76416,  1.31164201
 8020.66650,  1.31398087
 8026.58838,  1.31594208
 8032.53027,  1.31828706
 8038.49170,  1.32026461
 8044.47217,  1.32237008
 8050.47314,  1.32462431
 8056.49316,  1.32667470
 8062.53271,  1.32868091
 8068.59229,  1.33080638
 8074.67139,  1.33293214
 8080.77002,  1.33511919
 8086.88818,  1.33702718
 8093.02588,  1.33893884
 8099.18359,  1.34122000
 8105.36084,  1.34324138
