#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Biotite: Biotite
#------------------------------------------
# energy, Biotite
 7125.50000,  1.37481961
 7125.75000,  1.36621214
 7126.00000,  1.35547729
 7126.25000,  1.34712599
 7126.50000,  1.34047672
 7126.75000,  1.34184100
 7127.00000,  1.34799355
 7127.25000,  1.35977470
 7127.50000,  1.37697085
 7127.75000,  1.40022702
 7128.00000,  1.42475848
 7128.25000,  1.44456792
 7128.50000,  1.46642879
 7128.75000,  1.47833975
 7129.00000,  1.48293612
 7129.25000,  1.47785068
 7129.50000,  1.46251504
 7129.75000,  1.43959530
 7130.00000,  1.40879444
 7130.25000,  1.37596931
 7130.50000,  1.33229188
 7130.75000,  1.29460102
 7131.00000,  1.25346101
 7131.25000,  1.21986395
 7131.50000,  1.18612103
 7131.75000,  1.15606251
 7132.00000,  1.12881167
 7132.25000,  1.10957158
 7132.50000,  1.08986256
 7132.75000,  1.07297531
 7133.00000,  1.05589098
 7133.25000,  1.04410004
 7133.50000,  1.03184354
 7133.75000,  1.02021759
 7134.00000,  1.00892134
 7134.25000,  0.99932852
 7134.50000,  0.98782015
 7134.75000,  0.97781020
 7135.00000,  0.96794630
 7135.25000,  0.95811561
 7135.50000,  0.94696027
 7135.75000,  0.93875930
 7136.00000,  0.92948199
 7136.25000,  0.92141736
 7136.50000,  0.91368242
 7136.75000,  0.90750582
 7137.00000,  0.90235562
 7137.25000,  0.89935753
 7137.50000,  0.89744540
 7137.75000,  0.89663078
 7138.00000,  0.89784734
 7138.25000,  0.89849987
 7138.50000,  0.90313236
 7138.75000,  0.90762197
 7139.00000,  0.91284917
 7139.25000,  0.92017716
 7139.50000,  0.92668469
 7139.75000,  0.93527034
 7140.00000,  0.94269071
 7140.25000,  0.95160773
 7140.50000,  0.95907328
 7140.75000,  0.96707801
 7141.00000,  0.97416636
 7141.25000,  0.98253429
 7141.50000,  0.98539969
 7141.75000,  0.98951594
 7142.00000,  0.99170749
 7142.25000,  0.99190808
 7142.50000,  0.99081137
 7142.75000,  0.98918394
 7143.00000,  0.98591785
 7143.25000,  0.98229705
 7143.50000,  0.97802255
 7143.75000,  0.97289606
 7144.00000,  0.96832014
 7144.25000,  0.96233726
 7144.50000,  0.95586530
 7144.75000,  0.94859714
 7145.00000,  0.94241531
 7145.25000,  0.93574047
 7145.50000,  0.92934083
 7145.75000,  0.92054943
 7146.00000,  0.91417573
 7146.25000,  0.90512230
 7146.50000,  0.89867973
 7146.75000,  0.88937611
 7147.00000,  0.88266898
 7147.25000,  0.87368563
 7147.50000,  0.86702703
 7147.75000,  0.85914969
 7148.00000,  0.85252954
 7148.25000,  0.84442515
 7148.50000,  0.83877673
 7148.75000,  0.83227276
 7149.00000,  0.82842799
 7149.25000,  0.82374112
 7149.50000,  0.82139897
 7149.75000,  0.81864202
 7150.00000,  0.81684075
 7150.25000,  0.81545988
 7150.50000,  0.81530931
 7150.75000,  0.81422323
 7151.00000,  0.81535272
 7151.25000,  0.81670608
 7151.50000,  0.81870120
 7151.75000,  0.82077768
 7152.00000,  0.82324667
 7152.25000,  0.82594316
 7152.50000,  0.82941196
 7152.75000,  0.83354725
 7153.00000,  0.83586169
 7153.25000,  0.83952068
 7153.50000,  0.84380713
 7153.75000,  0.84740425
 7154.00000,  0.85072448
 7154.25000,  0.85627009
 7154.50000,  0.85911440
 7154.75000,  0.86292046
 7155.00000,  0.86677177
 7155.25000,  0.87088540
 7155.50000,  0.87465217
 7155.75000,  0.87820262
 7156.00000,  0.88198805
 7156.25000,  0.88593137
 7156.50000,  0.88962535
 7156.75000,  0.89314548
 7157.00000,  0.89762100
 7157.25000,  0.90055350
 7157.50000,  0.90472359
 7157.75000,  0.90826228
 7158.00000,  0.91190745
 7158.25000,  0.91697835
 7158.50000,  0.92156641
 7158.75000,  0.92519460
 7159.00000,  0.93018496
 7159.25000,  0.93439331
 7159.50000,  0.93812769
 7159.75000,  0.94324888
 7160.00000,  0.94854038
 7161.09473,  0.97067301
 7162.20947,  0.99060892
 7163.34326,  1.00695561
 7164.49707,  1.01728614
 7165.67041,  1.02298535
 7166.86377,  1.02642448
 7168.07617,  1.03029335
 7169.30859,  1.03593069
 7170.56006,  1.04605331
 7171.83154,  1.05400906
 7173.12305,  1.06074438
 7174.43359,  1.06684066
 7175.76367,  1.07244058
 7177.11377,  1.07650466
 7178.48340,  1.07840085
 7179.87256,  1.07811954
 7181.28174,  1.07528326
 7182.70996,  1.07190434
 7184.15820,  1.06733383
 7185.62598,  1.05965142
 7187.11328,  1.04986440
 7188.62012,  1.03763513
 7190.14648,  1.02501878
 7191.69287,  1.01181377
 7193.25879,  0.99989534
 7194.84424,  0.98748849
 7196.44922,  0.97671881
 7198.07373,  0.96775812
 7199.71826,  0.96150244
 7201.38184,  0.95960205
 7203.06543,  0.95965685
 7204.76855,  0.96247650
 7206.49170,  0.96710634
 7208.23389,  0.97267879
 7209.99609,  0.97876552
 7211.77783,  0.98578030
 7213.57910,  0.99458054
 7215.39990,  1.00556080
 7217.24023,  1.01568169
 7219.10059,  1.02179995
 7220.98047,  1.02505921
 7222.87988,  1.02356781
 7224.79883,  1.01863631
 7226.73730,  1.01261382
 7228.69580,  1.00675519
 7230.67334,  1.00307612
 7232.67090,  1.00109675
 7234.68799,  1.00174186
 7236.72510,  1.00480887
 7238.78125,  1.01069448
 7240.85742,  1.01907150
 7242.95312,  1.02915094
 7245.06836,  1.03996563
 7247.20312,  1.04821919
 7249.35742,  1.05396761
 7251.53174,  1.05729852
 7253.72559,  1.05829590
 7255.93896,  1.05811625
 7258.17188,  1.05736055
 7260.42432,  1.05267930
 7262.69678,  1.05152839
 7264.98828,  1.04899982
 7267.29980,  1.04647619
 7269.63086,  1.04425939
 7271.98193,  1.04145897
 7274.35205,  1.03818804
 7276.74219,  1.03544566
 7279.15186,  1.02822288
 7281.58105,  1.02664306
 7284.02979,  1.02333312
 7286.49805,  1.02045338
 7288.98633,  1.01944131
 7291.49414,  1.01884749
 7294.02148,  1.01986360
 7296.56836,  1.02244458
 7299.13477,  1.02446891
 7301.72119,  1.02765122
 7304.32666,  1.02995028
 7306.95215,  1.03294493
 7309.59717,  1.03511622
 7312.26221,  1.03808996
 7314.94629,  1.04130904
 7317.65039,  1.04434614
 7320.37354,  1.04751707
 7323.11670,  1.05044190
 7325.87988,  1.05322433
 7328.66211,  1.05459028
 7331.46436,  1.05451809
 7334.28564,  1.05392370
 7337.12695,  1.05220957
 7339.98828,  1.05017106
 7342.86865,  1.04882470
 7345.76855,  1.04808537
 7348.68848,  1.04835099
 7351.62793,  1.04880128
 7354.58691,  1.04961263
 7357.56543,  1.04992313
 7360.56396,  1.05009150
 7363.58154,  1.05049766
 7366.61914,  1.05080433
 7369.67627,  1.05211594
 7372.75293,  1.05350660
 7375.84961,  1.05528508
 7378.96533,  1.05701831
 7382.10107,  1.05901544
 7385.25635,  1.05990049
 7388.43115,  1.06047274
 7391.62598,  1.05986496
 7394.83984,  1.05940828
 7398.07373,  1.05841818
 7401.32715,  1.05721578
 7404.60010,  1.05581218
 7407.89258,  1.05528550
 7411.20459,  1.05498334
 7414.53662,  1.05518165
 7417.88818,  1.05642708
 7421.25928,  1.05861914
 7424.64990,  1.06061756
 7428.06006,  1.06223076
 7431.49023,  1.06349092
 7434.93994,  1.06450315
 7438.40918,  1.06677955
 7441.89795,  1.06796815
 7445.40625,  1.06964983
 7448.93457,  1.07183208
 7452.48193,  1.07328877
 7456.04932,  1.07478503
 7459.63623,  1.07588879
 7463.24316,  1.07740501
 7466.86914,  1.07849216
 7470.51514,  1.07925408
 7474.18018,  1.07972458
 7477.86523,  1.07967072
 7481.57031,  1.07940324
 7485.29443,  1.07913595
 7489.03857,  1.07847458
 7492.80176,  1.07893891
 7496.58496,  1.07884071
 7500.38770,  1.07984507
 7504.21045,  1.08035922
 7508.05225,  1.08143207
 7511.91406,  1.08275427
 7515.79541,  1.08411183
 7519.69629,  1.08557671
 7523.61670,  1.08656455
 7527.55713,  1.08843031
 7531.51660,  1.08969316
 7535.49609,  1.09142875
 7539.49512,  1.09270549
 7543.51367,  1.09412090
 7547.55176,  1.09513738
 7551.60986,  1.09617092
 7555.68750,  1.09743693
 7559.78467,  1.09846133
 7563.90137,  1.09923563
 7568.03760,  1.10019462
 7572.19385,  1.10078107
 7576.36914,  1.10187938
 7580.56445,  1.10277732
 7584.77930,  1.10399003
 7589.01367,  1.10522654
 7593.26807,  1.10668392
 7597.54199,  1.10760379
 7601.83496,  1.10923364
 7606.14795,  1.11050858
 7610.48047,  1.11177653
 7614.83301,  1.11283655
 7619.20459,  1.11475642
 7623.59619,  1.11601709
 7628.00732,  1.11705182
 7632.43799,  1.11827002
 7636.88818,  1.11988417
 7641.35840,  1.12085881
 7645.84814,  1.12225524
 7650.35742,  1.12305471
 7654.88623,  1.12452449
 7659.43457,  1.12542932
 7664.00244,  1.12627442
 7668.59033,  1.12748141
 7673.19775,  1.12841078
 7677.82471,  1.12991788
 7682.47119,  1.13103817
 7687.13721,  1.13209958
 7691.82324,  1.13354966
 7696.52832,  1.13495709
 7701.25342,  1.13593115
 7705.99805,  1.13778016
 7710.76270,  1.13921455
 7715.54639,  1.14096474
 7720.35010,  1.14279312
 7725.17334,  1.14431635
 7730.01611,  1.14560124
 7734.87842,  1.14716115
 7739.76025,  1.14919819
 7744.66211,  1.15048009
 7749.58350,  1.15154530
 7754.52441,  1.15331768
 7759.48486,  1.15477381
 7764.46484,  1.15625018
 7769.46484,  1.15737549
 7774.48438,  1.15891401
 7779.52344,  1.16073827
 7784.58203,  1.16218897
 7789.66016,  1.16347245
 7794.75781,  1.16510690
 7799.87549,  1.16664756
 7805.01270,  1.16807838
 7810.16943,  1.16972794
 7815.34570,  1.17134502
 7820.54199,  1.17286869
 7825.75732,  1.17450854
 7830.99268,  1.17624777
 7836.24756,  1.17813958
 7841.52197,  1.17963217
 7846.81592,  1.18120296
 7852.12988,  1.18276740
 7857.46338,  1.18454022
 7862.81641,  1.18618939
 7868.18896,  1.18798871
 7873.58105,  1.18981948
 7878.99268,  1.19146091
 7884.42432,  1.19262864
 7889.87549,  1.19466965
 7895.34619,  1.19654353
 7900.83643,  1.19828825
 7906.34668,  1.20017014
 7911.87598,  1.20229327
 7917.42529,  1.20441014
 7922.99414,  1.20607469
 7928.58252,  1.20803507
 7934.19043,  1.20992088
 7939.81836,  1.21192669
 7945.46582,  1.21394296
 7951.13281,  1.21552986
 7956.81934,  1.21752215
 7962.52539,  1.21935924
 7968.25098,  1.22137970
 7973.99658,  1.22305852
 7979.76172,  1.22503698
 7985.54639,  1.22687575
 7991.35059,  1.22854766
 7997.17480,  1.23051090
 8003.01807,  1.23266928
 8008.88135,  1.23441192
 8014.76416,  1.23620122
 8020.66650,  1.23730537
 8026.58838,  1.23996197
 8032.53027,  1.24186539
 8038.49170,  1.24373139
 8044.47217,  1.24577890
 8050.47314,  1.24749568
 8056.49316,  1.24926052
 8062.53271,  1.25136364
 8068.59229,  1.25304916
 8074.67139,  1.25500940
 8080.77002,  1.25689732
 8086.88818,  1.25875846
 8093.02588,  1.26055437
 8099.18359,  1.26275919
 8105.36084,  1.26451506
