#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Mackinawite: Mackinawite
#------------------------------------------
# energy, Mackinawite
 7117.00000,  0.56367995
 7117.25000,  0.59597537
 7117.50000,  0.62993473
 7117.75000,  0.65702272
 7118.00000,  0.68642018
 7118.25000,  0.71061013
 7118.50000,  0.73231934
 7118.75000,  0.74801147
 7119.00000,  0.76290194
 7119.25000,  0.77253406
 7119.50000,  0.78022605
 7119.75000,  0.78540637
 7120.00000,  0.78976030
 7120.25000,  0.79281764
 7120.50000,  0.79656075
 7120.75000,  0.80020162
 7121.00000,  0.80507323
 7121.25000,  0.80986608
 7121.50000,  0.81639445
 7121.75000,  0.82208520
 7122.00000,  0.83005242
 7122.25000,  0.83763439
 7122.50000,  0.84509814
 7122.75000,  0.85245076
 7123.00000,  0.86080902
 7123.25000,  0.86793829
 7123.50000,  0.87515994
 7123.75000,  0.88164786
 7124.00000,  0.88903149
 7124.25000,  0.89528200
 7124.50000,  0.90145743
 7124.75000,  0.90651780
 7125.00000,  0.91219139
 7125.25000,  0.91798060
 7125.50000,  0.92277827
 7125.75000,  0.92707240
 7126.00000,  0.93163301
 7126.25000,  0.93592976
 7126.50000,  0.93995562
 7126.75000,  0.94438602
 7127.00000,  0.94785838
 7127.25000,  0.95161892
 7127.50000,  0.95445628
 7127.75000,  0.95779705
 7128.00000,  0.96072156
 7128.25000,  0.96333860
 7128.50000,  0.96587868
 7128.75000,  0.96872686
 7129.00000,  0.97120941
 7129.25000,  0.97368101
 7129.50000,  0.97597886
 7129.75000,  0.97816751
 7130.00000,  0.97990374
 7130.25000,  0.98264541
 7130.50000,  0.98433547
 7130.75000,  0.98692812
 7131.00000,  0.98955459
 7131.25000,  0.99190026
 7131.50000,  0.99420334
 7131.75000,  0.99656333
 7132.00000,  0.99905443
 7132.25000,  1.00137371
 7132.50000,  1.00288162
 7132.75000,  1.00561929
 7133.00000,  1.00752348
 7133.25000,  1.00911764
 7133.50000,  1.01082100
 7133.75000,  1.01262040
 7134.00000,  1.01410440
 7134.25000,  1.01535885
 7134.50000,  1.01727448
 7134.75000,  1.01855806
 7135.00000,  1.01993693
 7135.25000,  1.02142548
 7135.50000,  1.02277652
 7135.75000,  1.02422670
 7136.00000,  1.02564380
 7136.25000,  1.02710169
 7136.50000,  1.02843964
 7136.75000,  1.03014727
 7137.00000,  1.03164237
 7137.25000,  1.03303433
 7137.50000,  1.03474727
 7137.75000,  1.03633674
 7138.00000,  1.03756322
 7138.25000,  1.03897158
 7138.50000,  1.04038861
 7138.75000,  1.04109887
 7139.00000,  1.04243220
 7139.25000,  1.04343063
 7139.50000,  1.04507798
 7139.75000,  1.04598761
 7140.00000,  1.04758681
 7140.25000,  1.04865186
 7140.50000,  1.04982667
 7140.75000,  1.05101153
 7141.00000,  1.05244297
 7141.25000,  1.05303224
 7141.50000,  1.05436626
 7141.75000,  1.05533301
 7142.00000,  1.05669376
 7142.25000,  1.05777500
 7142.50000,  1.05870799
 7142.75000,  1.05922596
 7143.00000,  1.06006966
 7143.25000,  1.06062242
 7143.50000,  1.06137890
 7143.75000,  1.06212242
 7144.00000,  1.06319058
 7144.25000,  1.06336862
 7144.50000,  1.06357057
 7144.75000,  1.06454104
 7145.00000,  1.06427051
 7145.25000,  1.06380460
 7145.50000,  1.06329584
 7145.75000,  1.06335414
 7146.00000,  1.06287211
 7146.25000,  1.06237196
 7146.50000,  1.06108056
 7146.75000,  1.05940680
 7147.00000,  1.05771939
 7147.25000,  1.05660250
 7147.50000,  1.05439625
 7147.75000,  1.05242486
 7148.00000,  1.05049433
 7148.25000,  1.04853032
 7148.50000,  1.04643547
 7148.75000,  1.04442171
 7149.00000,  1.04062008
 7149.25000,  1.03797215
 7149.50000,  1.03582715
 7149.75000,  1.03309993
 7150.00000,  1.03037222
 7150.25000,  1.02781937
 7150.50000,  1.02525018
 7150.75000,  1.02302458
 7151.00000,  1.02049728
 7151.25000,  1.01803523
 7151.50000,  1.01528548
 7151.75000,  1.01239132
 7152.00000,  1.01033871
 7152.25000,  1.00689856
 7152.50000,  1.00423692
