#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Goethite on sand: Goethite on sand
#------------------------------------------
# energy, Goethite on sand
 7112.25000,  0.03338080
 7112.50000,  0.03800201
 7112.75000,  0.04260689
 7113.00000,  0.04624496
 7113.25000,  0.05014459
 7113.50000,  0.05341043
 7113.75000,  0.05660023
 7114.00000,  0.05916181
 7114.25000,  0.06132301
 7114.50000,  0.06182387
 7114.75000,  0.06103750
 7115.00000,  0.05945734
 7115.25000,  0.05722204
 7115.50000,  0.05591420
 7115.75000,  0.05533650
 7116.00000,  0.05539998
 7116.25000,  0.05621961
 7116.50000,  0.05725458
 7116.75000,  0.05888980
 7117.00000,  0.05995865
 7117.25000,  0.06179163
 7117.50000,  0.06343637
 7117.75000,  0.06536733
 7118.00000,  0.06718062
 7118.25000,  0.06996825
 7118.50000,  0.07216025
 7118.75000,  0.07518139
 7119.00000,  0.07879653
 7119.25000,  0.08312695
 7119.50000,  0.08862277
 7119.75000,  0.09525521
 7120.00000,  0.10282255
 7120.25000,  0.11257505
 7120.50000,  0.12324962
 7120.75000,  0.13574105
 7121.00000,  0.15045869
 7121.25000,  0.16772655
 7121.50000,  0.18775064
 7121.75000,  0.20760799
 7122.00000,  0.23206619
 7122.25000,  0.25804811
 7122.50000,  0.28780208
 7122.75000,  0.31563208
 7123.00000,  0.34726727
 7123.25000,  0.37824674
 7123.50000,  0.41012195
 7123.75000,  0.43960651
 7124.00000,  0.47178023
 7124.25000,  0.50248978
 7124.50000,  0.53627791
 7124.75000,  0.56743308
 7125.00000,  0.60508593
 7125.25000,  0.63987677
 7125.50000,  0.68078627
 7125.75000,  0.71667557
 7126.00000,  0.76204840
 7126.25000,  0.80279896
 7126.50000,  0.84940146
 7126.75000,  0.88858233
 7127.00000,  0.93625485
 7127.25000,  0.97916729
 7127.50000,  1.02541128
 7127.75000,  1.06540870
 7128.00000,  1.11328789
 7128.25000,  1.15436529
 7128.50000,  1.19865369
 7128.75000,  1.23450542
 7129.00000,  1.27432257
 7129.25000,  1.30467510
 7129.50000,  1.33162261
 7129.75000,  1.35165371
