#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Nontronite: Nontronite
#------------------------------------------
# energy, Nontronite
 7196.44922,  1.06839544
 7198.07373,  1.06606317
 7199.71826,  1.06346856
 7201.38184,  1.05986323
 7203.06543,  1.05581503
 7204.76855,  1.05168914
 7206.49170,  1.04730559
 7208.23389,  1.04272680
 7209.99609,  1.03859251
 7211.77783,  1.03460588
 7213.57910,  1.03184952
 7215.39990,  1.03020756
 7217.24023,  1.03052449
 7219.10059,  1.03296168
 7220.98047,  1.03631682
 7222.87988,  1.04003537
 7224.79883,  1.04309347
 7226.73730,  1.04431623
 7228.69580,  1.04460168
 7230.67334,  1.04359187
 7232.67090,  1.04209525
 7234.68799,  1.03982534
 7236.72510,  1.03734308
 7238.78125,  1.03592317
 7240.85742,  1.03563866
 7242.95312,  1.03659437
 7245.06836,  1.03948753
 7247.20312,  1.04335713
 7249.35742,  1.04932543
 7251.53174,  1.05614870
 7253.72559,  1.06383555
 7255.93896,  1.07138542
 7258.17188,  1.07928034
 7260.42432,  1.08596763
 7262.69678,  1.09215378
 7264.98828,  1.09671069
 7267.29980,  1.10062298
 7269.63086,  1.10283710
 7271.98193,  1.10478416
 7274.35205,  1.10686652
 7276.74219,  1.10789687
 7279.15186,  1.10911768
 7281.58105,  1.10890892
 7284.02979,  1.10777295
 7286.49805,  1.10648014
 7288.98633,  1.10387212
 7291.49414,  1.10121082
 7294.02148,  1.09773139
 7296.56836,  1.09419789
 7299.13477,  1.09115454
 7301.72119,  1.08871475
 7304.32666,  1.08713122
 7306.95215,  1.08689044
 7309.59717,  1.08821998
 7312.26221,  1.09040047
 7314.94629,  1.09406883
 7317.65039,  1.09781913
 7320.37354,  1.10230675
 7323.11670,  1.10620400
 7325.87988,  1.10971870
 7328.66211,  1.11318989
 7331.46436,  1.11587080
 7334.28564,  1.11801032
 7337.12695,  1.11952655
 7339.98828,  1.12060175
 7342.86865,  1.12146896
 7345.76855,  1.12215320
 7348.68848,  1.12289840
 7351.62793,  1.12379311
 7354.58691,  1.12463329
 7357.56543,  1.12561496
 7360.56396,  1.12721568
 7363.58154,  1.12827066
 7366.61914,  1.12996878
 7369.67627,  1.13243253
 7372.75293,  1.13497354
 7375.84961,  1.13827169
 7378.96533,  1.14179448
 7382.10107,  1.14595594
 7385.25635,  1.14943012
 7388.43115,  1.15323514
 7391.62598,  1.15656906
 7394.83984,  1.15916766
 7398.07373,  1.16133083
 7401.32715,  1.16272254
 7404.60010,  1.16320894
 7407.89258,  1.16353988
 7411.20459,  1.16283695
 7414.53662,  1.16195126
 7417.88818,  1.16185196
