#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#FeS: FeS
#------------------------------------------
# energy, FeS
 7142.73682,  1.03017135
 7142.88672,  1.02783397
 7143.03711,  1.03013438
 7143.18701,  1.02694264
 7143.33740,  1.02670337
 7143.48730,  1.02412625
 7143.63721,  1.02418360
 7143.78760,  1.02639809
 7143.93750,  1.02428720
 7144.08789,  1.02310489
 7144.23779,  1.02005809
 7144.38818,  1.02434283
 7144.53809,  1.02097204
 7144.68799,  1.02187763
 7144.83838,  1.02107949
 7144.98828,  1.01971374
 7145.13867,  1.01866035
 7145.28857,  1.02078988
 7145.43896,  1.01871717
 7145.58887,  1.01976519
 7145.73926,  1.01764746
 7145.88916,  1.01810517
 7146.03906,  1.01862022
 7146.18945,  1.01432377
 7146.33936,  1.01594507
 7146.48975,  1.01271414
 7146.63965,  1.01366986
 7146.79004,  1.01612107
 7146.93994,  1.01212443
 7147.08984,  1.01021842
 7147.24023,  1.01172206
 7147.39014,  1.00929800
 7147.54053,  1.00982314
 7147.69043,  1.00863468
 7147.84082,  1.00716803
 7147.99072,  1.00505236
 7148.14111,  1.00537230
 7148.29102,  1.00459617
 7148.44092,  1.00264883
 7148.59131,  1.00214585
 7148.74121,  1.00231151
 7148.89160,  0.99813150
 7149.04150,  0.99874026
 7149.19189,  0.99875566
 7149.34180,  0.99758706
 7149.49170,  0.99588633
 7149.64209,  0.99314394
 7149.79199,  0.99208448
 7149.94238,  0.99490687
 7150.09229,  0.99144396
 7150.24268,  0.98951216
 7150.39258,  0.98950950
 7150.54297,  0.98737979
 7150.69287,  0.98875388
 7150.84277,  0.98508584
 7150.99316,  0.98554803
 7151.14307,  0.98366322
 7151.29346,  0.98277229
 7151.44336,  0.97986514
 7151.59375,  0.97735972
 7151.74365,  0.97893576
 7151.89355,  0.97754469
 7152.04395,  0.97664160
 7152.19385,  0.97445904
 7152.34424,  0.97519324
 7152.49414,  0.97504431
 7152.64453,  0.97232387
 7152.79443,  0.97086457
 7152.94434,  0.96845275
 7153.09473,  0.97080605
 7153.24463,  0.96769545
 7153.39502,  0.96957983
 7153.54492,  0.96658668
 7153.69531,  0.96779911
 7153.84521,  0.96490587
 7153.99561,  0.96512974
 7154.14551,  0.96363724
 7154.29541,  0.96190869
 7154.44580,  0.96364998
 7154.59570,  0.96394490
 7154.74609,  0.96251572
 7154.89600,  0.96122616
 7155.04639,  0.95988558
 7155.19629,  0.96090501
 7155.34619,  0.96079899
 7155.49658,  0.95950620
 7155.64648,  0.95916823
 7155.79688,  0.95875519
 7155.94678,  0.95995887
 7156.09717,  0.95965656
 7156.24707,  0.96028008
 7156.39746,  0.96020268
 7156.54736,  0.95994259
 7156.69727,  0.96146112
 7156.84766,  0.96091186
 7156.99756,  0.96242544
 7157.14795,  0.96124397
 7157.29785,  0.96059409
 7157.44824,  0.96283003
