#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Vivianite: Vivianite
#------------------------------------------
# energy, Vivianite
 7145.00000,  0.94251716
 7145.25000,  0.93538887
 7145.50000,  0.92847305
 7145.75000,  0.92171525
 7146.00000,  0.91550468
 7146.25000,  0.90920492
 7146.50000,  0.90289676
 7146.75000,  0.89719711
 7147.00000,  0.89072232
 7147.25000,  0.88589135
 7147.50000,  0.88008786
 7147.75000,  0.87533625
 7148.00000,  0.87026064
 7148.25000,  0.86538718
 7148.50000,  0.86063522
 7148.75000,  0.85709111
 7149.00000,  0.85295506
 7149.25000,  0.84914922
 7149.50000,  0.84581018
 7149.75000,  0.84269378
 7150.00000,  0.84003215
 7150.25000,  0.83711713
 7150.50000,  0.83470299
 7150.75000,  0.83293666
 7151.00000,  0.83139967
 7151.25000,  0.83007472
 7151.50000,  0.82967326
 7151.75000,  0.82936077
 7152.00000,  0.82962555
 7152.25000,  0.82981367
 7152.50000,  0.83013617
 7152.75000,  0.83100911
 7153.00000,  0.83279706
 7153.25000,  0.83457640
 7153.50000,  0.83659725
 7153.75000,  0.83900560
 7154.00000,  0.84172735
 7154.25000,  0.84425515
 7154.50000,  0.84713940
 7154.75000,  0.85011897
 7155.00000,  0.85410338
 7155.25000,  0.85760050
 7155.50000,  0.86124289
 7155.75000,  0.86453793
 7156.00000,  0.86866776
 7156.25000,  0.87261537
 7156.50000,  0.87677716
 7156.75000,  0.87942126
 7157.00000,  0.88391887
 7157.25000,  0.88762533
 7157.50000,  0.89217092
 7157.75000,  0.89610465
 7158.00000,  0.89959087
 7158.25000,  0.90331035
 7158.50000,  0.90799809
 7158.75000,  0.91195759
 7159.00000,  0.91628530
 7159.25000,  0.92014963
 7159.50000,  0.92454980
 7159.75000,  0.92842153
 7160.00000,  0.93310578
 7161.09473,  0.94985467
 7162.20947,  0.96711087
 7163.34326,  0.98358931
 7164.49707,  0.99751186
 7165.67041,  1.01126019
 7166.86377,  1.02339951
 7168.07617,  1.03418083
 7169.30859,  1.04545964
 7170.56006,  1.05762644
 7171.83154,  1.06668022
 7173.12305,  1.07144053
 7174.43359,  1.07265143
 7175.76367,  1.06982149
 7177.11377,  1.06527677
 7178.48340,  1.06016350
 7179.87256,  1.05579841
 7181.28174,  1.05318152
 7182.70996,  1.05181442
 7184.15820,  1.05045695
 7185.62598,  1.04812199
 7187.11328,  1.04586970
 7188.62012,  1.04172063
 7190.14648,  1.03726139
 7191.69287,  1.03256897
 7193.25879,  1.02563977
 7194.84424,  1.01884454
 7196.44922,  1.01165827
 7198.07373,  1.00542363
 7199.71826,  0.99966833
 7201.38184,  0.99516026
 7203.06543,  0.99237063
 7204.76855,  0.99052380
 7206.49170,  0.99018841
 7208.23389,  0.99024247
 7209.99609,  0.99133776
 7211.77783,  0.99375346
 7213.57910,  0.99712939
 7215.39990,  1.00172430
 7217.24023,  1.00675542
 7219.10059,  1.01195845
 7220.98047,  1.01752189
 7222.87988,  1.02209346
 7224.79883,  1.02578926
 7226.73730,  1.02821025
 7228.69580,  1.03047211
 7230.67334,  1.03081207
 7232.67090,  1.03105973
 7234.68799,  1.03139689
 7236.72510,  1.03123666
 7238.78125,  1.03186690
 7240.85742,  1.03296111
 7242.95312,  1.03514568
 7245.06836,  1.03935034
 7247.20312,  1.04491206
 7249.35742,  1.05138712
 7251.53174,  1.05648799
 7253.72559,  1.06019889
 7255.93896,  1.06540395
 7258.17188,  1.06291309
 7260.42432,  1.06400408
 7262.69678,  1.06290489
 7264.98828,  1.06273719
 7267.29980,  1.06147206
 7269.63086,  1.05972292
 7271.98193,  1.05782597
 7274.35205,  1.05586113
 7276.74219,  1.05499312
 7279.15186,  1.05356588
 7281.58105,  1.05355107
 7284.02979,  1.05302870
 7286.49805,  1.05226036
 7288.98633,  1.05151745
 7291.49414,  1.05076680
 7294.02148,  1.05027392
 7296.56836,  1.05023212
 7299.13477,  1.05054304
 7301.72119,  1.05087953
 7304.32666,  1.05247223
 7306.95215,  1.05410466
 7309.59717,  1.05568921
 7312.26221,  1.05753536
 7314.94629,  1.05961664
 7317.65039,  1.06155075
 7320.37354,  1.06413916
 7323.11670,  1.06668859
 7325.87988,  1.06974297
 7328.66211,  1.07197861
 7331.46436,  1.07426772
 7334.28564,  1.07579702
 7337.12695,  1.07758365
 7339.98828,  1.07819227
 7342.86865,  1.07886078
 7345.76855,  1.07861744
 7348.68848,  1.07839133
 7351.62793,  1.07866856
 7354.58691,  1.07900361
 7357.56543,  1.07971024
 7360.56396,  1.08072189
 7363.58154,  1.08190867
 7366.61914,  1.08298293
 7369.67627,  1.08401920
 7372.75293,  1.08476466
 7375.84961,  1.08534343
 7378.96533,  1.08619791
 7382.10107,  1.08668561
 7385.25635,  1.08768562
 7388.43115,  1.08818191
 7391.62598,  1.08897469
 7394.83984,  1.09011669
 7398.07373,  1.09093279
 7401.32715,  1.09236176
 7404.60010,  1.09300315
 7407.89258,  1.09389917
 7411.20459,  1.09462047
 7414.53662,  1.09571997
 7417.88818,  1.09661207
 7421.25928,  1.09772598
 7424.64990,  1.09903631
 7428.06006,  1.10049763
 7431.49023,  1.10250690
 7434.93994,  1.10394100
 7438.40918,  1.10544494
 7441.89795,  1.10690919
 7445.40625,  1.10799970
 7448.93457,  1.10950107
 7452.48193,  1.11077976
 7456.04932,  1.11214024
 7459.63623,  1.11384753
 7463.24316,  1.11543426
 7466.86914,  1.11710587
 7470.51514,  1.11905438
 7474.18018,  1.12098590
 7477.86523,  1.12243371
 7481.57031,  1.12404831
 7485.29443,  1.12465261
 7489.03857,  1.12570322
 7492.80176,  1.12670162
 7496.58496,  1.12769719
 7500.38770,  1.12856188
 7504.21045,  1.12963037
 7508.05225,  1.13061334
 7511.91406,  1.13214917
 7515.79541,  1.13366467
 7519.69629,  1.13492280
 7523.61670,  1.13645806
 7527.55713,  1.13790315
 7531.51660,  1.13993814
 7535.49609,  1.14142321
 7539.49512,  1.14286381
 7543.51367,  1.14451463
 7547.55176,  1.14599165
 7551.60986,  1.14768799
 7555.68750,  1.14954778
 7559.78467,  1.15129343
 7563.90137,  1.15274484
 7568.03760,  1.15478806
 7572.19385,  1.15641717
 7576.36914,  1.15796481
 7580.56445,  1.15960358
 7584.77930,  1.16126479
 7589.01367,  1.16305564
 7593.26807,  1.16443865
 7597.54199,  1.16605814
 7601.83496,  1.16776699
 7606.14795,  1.16959351
 7610.48047,  1.17114217
 7614.83301,  1.17298112
 7619.20459,  1.17510909
 7623.59619,  1.17726711
 7628.00732,  1.17755285
 7632.43799,  1.17663482
 7636.88818,  1.18176537
 7641.35840,  1.18410113
 7645.84814,  1.18585112
 7650.35742,  1.18734388
 7654.88623,  1.18939073
 7659.43457,  1.19129453
 7664.00244,  1.19296773
 7668.59033,  1.19441958
 7673.19775,  1.19643078
 7677.82471,  1.19823686
 7682.47119,  1.20044527
 7687.13721,  1.20241397
 7691.82324,  1.20428802
 7696.52832,  1.20605747
 7701.25342,  1.20807919
 7705.99805,  1.21005894
 7710.76270,  1.21185904
 7715.54639,  1.21408085
 7720.35010,  1.21605439
 7725.17334,  1.21824278
 7730.01611,  1.22017323
 7734.87842,  1.22227226
 7739.76025,  1.22447439
 7744.66211,  1.22602552
 7749.58350,  1.22821002
 7754.52441,  1.23033932
 7759.48486,  1.23248899
 7764.46484,  1.23432394
 7769.46484,  1.23669288
 7774.48438,  1.23865869
 7779.52344,  1.24100718
 7784.58203,  1.24290342
 7789.66016,  1.24494333
 7794.75781,  1.24691435
 7799.87549,  1.24914890
 7805.01270,  1.25146845
 7810.16943,  1.25358118
 7815.34570,  1.25556767
 7820.54199,  1.25800872
 7825.75732,  1.26016978
 7830.99268,  1.26238580
 7836.24756,  1.26446804
 7841.52197,  1.26707204
 7846.81592,  1.26949583
 7852.12988,  1.27158083
 7857.46338,  1.27354399
 7862.81641,  1.27589795
 7868.18896,  1.27830062
 7873.58105,  1.28053888
 7878.99268,  1.28311400
 7884.42432,  1.28523642
 7889.87549,  1.28759404
 7895.34619,  1.29012565
 7900.83643,  1.29266654
 7906.34668,  1.29498251
 7911.87598,  1.29747661
 7917.42529,  1.30010610
 7922.99414,  1.30233502
 7928.58252,  1.30491303
 7934.19043,  1.30747796
 7939.81836,  1.31036137
 7945.46582,  1.31281273
 7951.13281,  1.31552763
 7956.81934,  1.31808054
 7962.52539,  1.32049724
 7968.25098,  1.32300778
 7973.99658,  1.32563137
 7979.76172,  1.32828629
 7985.54639,  1.33054050
 7991.35059,  1.33327363
 7997.17480,  1.33537285
 8003.01807,  1.33802317
 8008.88135,  1.34046580
 8014.76416,  1.34289636
 8020.66650,  1.34550446
 8026.58838,  1.34830477
 8032.53027,  1.35092601
 8038.49170,  1.35356876
 8044.47217,  1.35613325
 8050.47314,  1.35871141
 8056.49316,  1.36114710
 8062.53271,  1.36385728
 8068.59229,  1.36629942
 8074.67139,  1.36871168
 8080.77002,  1.37146420
 8086.88818,  1.37412735
 8093.02588,  1.37700292
 8099.18359,  1.37927618
 8105.36084,  1.38196828
