#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Lepidocrocite: Lepidocrocite
#------------------------------------------
# energy, Lepidocrocite
 7132.25000,  1.34402156
 7132.50000,  1.33531043
 7132.75000,  1.32712675
 7133.00000,  1.31736057
 7133.25000,  1.30948501
 7133.50000,  1.29948957
 7133.75000,  1.29261908
 7134.00000,  1.28563918
 7134.25000,  1.27885223
 7134.50000,  1.27273627
 7134.75000,  1.26650531
 7135.00000,  1.26162209
 7135.25000,  1.25631809
 7135.50000,  1.25100882
 7135.75000,  1.24586872
 7136.00000,  1.24078813
 7136.25000,  1.23588547
 7136.50000,  1.23043341
 7136.75000,  1.22465411
 7137.00000,  1.21985085
 7137.25000,  1.21332495
 7137.50000,  1.20713054
 7137.75000,  1.20067517
 7138.00000,  1.19444671
 7138.25000,  1.18751171
 7138.50000,  1.18065991
 7138.75000,  1.17385786
 7139.00000,  1.16678724
 7139.25000,  1.15943446
 7139.50000,  1.15218933
 7139.75000,  1.14590153
 7140.00000,  1.13964120
 7140.25000,  1.13304061
 7140.50000,  1.12745468
 7140.75000,  1.12102843
 7141.00000,  1.11553698
 7141.25000,  1.10974676
 7141.50000,  1.10508161
 7141.75000,  1.09970984
 7142.00000,  1.09548150
 7142.25000,  1.09082795
 7142.50000,  1.08703602
 7142.75000,  1.08280952
 7143.00000,  1.07957014
 7143.25000,  1.07592400
 7143.50000,  1.07319872
 7143.75000,  1.07050282
 7144.00000,  1.06825984
 7144.25000,  1.06525381
 7144.50000,  1.06356790
 7144.75000,  1.06246660
 7145.00000,  1.06028997
 7145.25000,  1.05842479
 7145.50000,  1.05666577
 7145.75000,  1.05489649
 7146.00000,  1.05341355
 7146.25000,  1.05082263
 7146.50000,  1.04801849
 7146.75000,  1.04448852
 7147.00000,  1.04137650
 7147.25000,  1.03705686
 7147.50000,  1.03327302
 7147.75000,  1.02770554
 7148.00000,  1.02248849
 7148.25000,  1.01566182
 7148.50000,  1.00940298
 7148.75000,  1.00240556
 7149.00000,  0.99607520
 7149.25000,  0.98864380
 7149.50000,  0.98216964
 7149.75000,  0.97470686
 7150.00000,  0.96831967
