#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Augite: Augite
#------------------------------------------
# energy, Augite
 7145.12500,  0.99650305
 7145.37500,  0.99270211
 7145.62500,  0.98964440
 7145.87500,  0.98534775
 7146.12500,  0.98192684
 7146.37500,  0.97704356
 7146.62500,  0.97206526
 7146.87500,  0.96669917
 7147.12500,  0.96260904
 7147.37500,  0.95692206
 7147.62500,  0.95066406
 7147.87500,  0.94528465
 7148.12500,  0.93924632
 7148.37500,  0.93279192
 7148.62500,  0.92656398
 7148.87500,  0.92058291
 7149.12500,  0.91498212
 7149.37500,  0.90859545
 7149.62500,  0.90328442
 7149.87500,  0.89771214
 7150.12500,  0.89219746
 7150.37500,  0.88630584
 7150.62500,  0.88118810
 7150.87500,  0.87667749
 7151.12500,  0.87237782
 7151.37500,  0.86827935
 7151.62500,  0.86444532
 7151.87500,  0.86093602
 7152.12500,  0.85753325
 7152.37500,  0.85406038
 7152.62500,  0.85205594
 7152.87500,  0.84940204
 7153.12500,  0.84717213
 7153.37500,  0.84521106
 7153.62500,  0.84360094
 7153.87500,  0.84287270
 7154.12500,  0.84186351
 7154.37500,  0.84073105
 7154.62500,  0.84003965
 7154.87500,  0.83991021
 7155.12500,  0.84000053
 7155.37500,  0.83963385
 7155.62500,  0.84003117
 7155.87500,  0.84060338
 7156.12500,  0.84153235
 7156.37500,  0.84178302
 7156.62500,  0.84294236
 7156.87500,  0.84377396
 7157.12500,  0.84505469
 7157.37500,  0.84665378
 7157.62500,  0.84782276
 7157.87500,  0.84965508
 7158.12500,  0.85116415
 7158.37500,  0.85290293
 7158.62500,  0.85578664
 7158.87500,  0.85758334
 7159.12500,  0.86055576
 7159.37500,  0.86237918
 7159.62500,  0.86553868
 7159.87500,  0.86812331
 7160.12500,  0.87154561
 7161.21973,  0.88685887
 7162.33447,  0.90413007
 7163.46826,  0.92308808
 7164.62207,  0.94188289
 7165.79541,  0.95813994
 7166.98877,  0.97276185
 7168.20117,  0.98419599
 7169.43359,  0.99321916
 7170.68506,  1.00348972
 7171.95654,  1.01152404
 7173.24805,  1.01922752
 7174.55859,  1.02683071
 7175.88867,  1.03285441
 7177.23877,  1.03590043
 7178.60840,  1.03802800
 7179.99756,  1.03975138
 7181.40674,  1.04083814
 7182.83496,  1.04122492
 7184.28320,  1.04077860
 7185.75098,  1.03903447
 7187.23828,  1.03552718
 7188.74512,  1.03014312
 7190.27148,  1.02337251
 7191.81787,  1.01778777
 7193.38379,  1.01197079
 7194.96924,  1.00725571
 7196.57422,  1.00321461
 7198.19873,  1.00024844
 7199.84326,  0.99529063
 7201.50684,  0.99061174
 7203.19043,  0.98580526
 7204.89355,  0.98178902
 7206.61670,  0.97890120
 7208.35889,  0.97743177
 7210.12109,  0.97738567
 7211.90283,  0.97715669
 7213.70410,  0.97798597
 7215.52490,  0.97762314
 7217.36523,  0.97870693
 7219.22559,  0.97965873
 7221.10547,  0.98099451
 7223.00488,  0.98154409
 7224.92383,  0.98176873
 7226.86230,  0.98198669
 7228.82080,  0.98270553
 7230.79834,  0.98338755
 7232.79590,  0.98486788
 7234.81299,  0.98689778
 7236.85010,  0.98882639
 7238.90625,  0.99200885
 7240.98242,  0.99636263
 7243.07812,  1.00135200
 7245.19336,  1.00603995
 7247.32812,  1.01142345
 7249.48242,  1.01558477
 7251.65674,  1.01933470
 7253.85059,  1.02149524
 7256.06396,  1.02262052
 7258.29688,  1.02308861
 7260.54932,  1.02262918
 7262.82178,  1.02390107
 7265.11328,  1.01457087
 7267.42480,  1.01783464
 7269.75586,  1.01620807
 7272.10693,  1.01492274
 7274.47705,  1.01359342
 7276.86719,  1.01261268
 7279.27686,  1.01312784
 7281.70605,  1.01163985
 7284.15479,  1.01150862
 7286.62305,  1.01086553
 7289.11133,  1.00991113
 7291.61914,  1.00787383
 7294.14648,  1.00650235
 7296.69336,  1.00466826
 7299.25977,  1.00326276
 7301.84619,  1.00261252
 7304.45166,  1.00222617
 7307.07715,  1.00202054
 7309.72217,  1.00263235
 7312.38721,  1.00386781
 7315.07129,  1.00553938
 7317.77539,  1.00828481
 7320.49854,  1.01005609
 7323.24170,  1.01132056
 7326.00488,  1.01263316
 7328.78711,  1.01307160
 7331.58936,  1.01304130
 7334.41064,  1.01240733
 7337.25195,  1.01316100
 7340.11328,  1.01318051
 7342.99365,  1.01384159
 7345.89355,  1.01441609
 7348.81348,  1.01469904
 7351.75293,  1.01464030
 7354.71191,  1.01430800
 7357.69043,  1.01405275
 7360.68896,  1.01381214
 7363.70654,  1.01401596
 7366.74414,  1.01416866
 7369.80127,  1.01503905
 7372.87793,  1.01561554
 7375.97461,  1.01596387
 7379.09033,  1.01659831
 7382.22607,  1.01768568
 7385.38135,  1.01798629
 7388.55615,  1.01823798
 7391.75098,  1.01808311
 7394.96484,  1.01790580
 7398.19873,  1.01690913
 7401.45215,  1.01674672
 7404.72510,  1.01541965
 7408.01758,  1.01464607
 7411.32959,  1.01419103
 7414.66162,  1.01396678
 7418.01318,  1.01401410
 7421.38428,  1.01443445
 7424.77490,  1.01463426
 7428.18506,  1.01523487
 7431.61523,  1.01560757
 7435.06494,  1.01708649
 7438.53418,  1.01775161
 7442.02295,  1.01861437
 7445.53125,  1.01961946
 7449.05957,  1.02053862
 7452.60693,  1.02148690
