#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Siderite-n: Siderite-n
#------------------------------------------
# energy, Siderite-n
 7134.25000,  1.13727101
 7134.50000,  1.14340989
 7134.75000,  1.14811265
 7135.00000,  1.15092137
 7135.25000,  1.15358265
 7135.50000,  1.15596117
 7135.75000,  1.15710314
 7136.00000,  1.15832823
 7136.25000,  1.15766023
 7136.50000,  1.15671820
 7136.75000,  1.15490850
 7137.00000,  1.15139715
 7137.25000,  1.14807908
 7137.50000,  1.14244628
 7137.75000,  1.13651330
 7138.00000,  1.12972761
 7138.25000,  1.12228729
 7138.50000,  1.11225525
 7138.75000,  1.10102220
 7139.00000,  1.08884816
 7139.25000,  1.07680912
 7139.50000,  1.06223278
 7139.75000,  1.04965285
 7140.00000,  1.03507616
 7140.25000,  1.02334799
 7140.50000,  1.01067182
 7140.75000,  0.99940185
 7141.00000,  0.98759720
 7141.25000,  0.97744705
 7141.50000,  0.96632677
 7141.75000,  0.95605728
 7142.00000,  0.94586014
 7142.25000,  0.93647468
 7142.50000,  0.92572792
 7142.75000,  0.91621935
 7143.00000,  0.90686547
 7143.25000,  0.89709277
 7143.50000,  0.88748988
 7143.75000,  0.87733440
 7144.00000,  0.86812567
 7144.25000,  0.85919561
 7144.50000,  0.85024438
 7144.75000,  0.84181478
 7145.00000,  0.83441173
 7145.25000,  0.82734983
 7145.50000,  0.82131579
 7145.75000,  0.81525979
 7146.00000,  0.80989498
 7146.25000,  0.80548368
 7146.50000,  0.80171563
 7146.75000,  0.79792850
 7147.00000,  0.79470570
 7147.25000,  0.79186787
 7147.50000,  0.78984181
 7147.75000,  0.78799947
 7148.00000,  0.78668455
 7148.25000,  0.78560927
 7148.50000,  0.78468816
 7148.75000,  0.78405104
 7149.00000,  0.78391509
 7149.25000,  0.78387949
 7149.50000,  0.78474761
 7149.75000,  0.78580016
 7150.00000,  0.78684965
 7150.25000,  0.78836574
 7150.50000,  0.78978752
 7150.75000,  0.79222736
 7151.00000,  0.79431548
 7151.25000,  0.79679811
 7151.50000,  0.79819206
 7151.75000,  0.80152180
 7152.00000,  0.80363608
 7152.25000,  0.80695689
 7152.50000,  0.80959919
 7152.75000,  0.81274493
 7153.00000,  0.81615368
 7153.25000,  0.81958027
 7153.50000,  0.82317108
 7153.75000,  0.82768136
 7154.00000,  0.83172119
 7154.25000,  0.83684253
 7154.50000,  0.84170680
 7154.75000,  0.84750297
 7155.00000,  0.85295056
 7155.25000,  0.85954607
 7155.50000,  0.86590412
 7155.75000,  0.87316465
 7156.00000,  0.87975578
 7156.25000,  0.88761819
 7156.50000,  0.89461030
 7156.75000,  0.90353828
 7157.00000,  0.91037868
 7157.25000,  0.91893193
 7157.50000,  0.92665111
 7157.75000,  0.93437641
