#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Pyrite: Pyrite
#------------------------------------------
# energy, Pyrite
 6880.00000,  2.78664e-4
 6890.23828, -2.63784e-4
 6900.47607, -2.20829e-4
 6910.71436, -1.66493e-4
 6920.95215,  1.20953e-4
 6931.19043,  3.00507e-4
 6941.42871,  2.41610e-4
 6951.66650, -3.22356e-4
 6961.90479, -8.29447e-5
 6972.14307, -3.60052e-4
 6982.38086, -3.67212e-5
 6992.61914,  7.47403e-5
 7002.85693,  2.30755e-4
 7013.09521,  4.01644e-4
 7023.33350,  8.82277e-4
 7033.57129,  0.00138081
 7043.80957,  0.00145515
 7054.04785,  0.00202080
 7064.28564,  0.00339631
 7074.52393,  0.00427120
 7084.76172,  0.00640151
 7095.00000,  0.01045550
 7095.14990,  0.01042014
 7095.30029,  0.01065647
 7095.45020,  0.01067110
 7095.60059,  0.01071582
 7095.75049,  0.01062675
 7095.90088,  0.01078833
 7096.05078,  0.01064026
 7096.20068,  0.01105072
 7096.35107,  0.01105977
 7096.50098,  0.01138803
 7096.65137,  0.01140701
 7096.80127,  0.01134246
 7096.95166,  0.01143321
 7097.10156,  0.01160797
 7097.25195,  0.01170319
 7097.40186,  0.01195244
 7097.55176,  0.01218914
 7097.70215,  0.01227486
 7097.85205,  0.01204121
 7098.00244,  0.01226098
 7098.15234,  0.01216060
 7098.30273,  0.01280840
 7098.45264,  0.01276665
 7098.60254,  0.01283204
 7098.75293,  0.01288113
 7098.90283,  0.01292978
 7099.05322,  0.01310003
 7099.20312,  0.01339980
 7099.35352,  0.01347100
 7099.50342,  0.01331138
 7099.65381,  0.01385118
 7099.80371,  0.01382448
 7099.95361,  0.01385013
 7100.10400,  0.01417827
 7100.25391,  0.01449863
 7100.40430,  0.01439568
 7100.55420,  0.01408203
 7100.70459,  0.01466292
 7100.85449,  0.01502816
 7101.00439,  0.01521498
 7101.15479,  0.01520947
 7101.30469,  0.01533757
 7101.45508,  0.01560872
 7101.60498,  0.01597096
 7101.75537,  0.01606356
 7101.90527,  0.01611412
 7102.05566,  0.01655575
 7102.20557,  0.01657701
 7102.35547,  0.01668149
 7102.50586,  0.01695409
 7102.65576,  0.01733489
 7102.80615,  0.01737898
 7102.95605,  0.01790963
 7103.10645,  0.01793501
 7103.25635,  0.01815463
 7103.40625,  0.01854779
 7103.55664,  0.01849703
 7103.70654,  0.01899799
 7103.85693,  0.01910892
 7104.00684,  0.01963509
 7104.15723,  0.01959097
 7104.30713,  0.01995102
 7104.45703,  0.02019763
 7104.60742,  0.02085656
 7104.75732,  0.02098302
 7104.90771,  0.02114726
 7105.05762,  0.02151914
 7105.20801,  0.02164017
 7105.35791,  0.02202574
 7105.50830,  0.02248705
 7105.65820,  0.02295435
 7105.80811,  0.02347435
 7105.95850,  0.02387261
 7106.10840,  0.02415312
 7106.25879,  0.02463857
 7106.40869,  0.02541002
 7106.55908,  0.02571453
 7106.70898,  0.02617846
 7106.85889,  0.02681304
 7107.00928,  0.02739974
 7107.15918,  0.02791023
 7107.30957,  0.02856870
 7107.45947,  0.02930832
 7107.60986,  0.03013566
 7107.75977,  0.03077595
 7107.91016,  0.03162943
 7108.06006,  0.03255372
 7108.20996,  0.03348500
 7108.36035,  0.03467660
 7108.51025,  0.03569686
 7108.66064,  0.03706196
 7108.81055,  0.03849931
 7108.96094,  0.04035607
 7109.11084,  0.04247682
 7109.26074,  0.04460232
 7109.41113,  0.04666863
 7109.56104,  0.05002014
 7109.71143,  0.05411300
 7109.86133,  0.05810698
 7110.01172,  0.06435683
 7110.16162,  0.07115434
 7110.31201,  0.07752464
 7110.46191,  0.08524876
 7110.61182,  0.09487029
 7110.76221,  0.10382529
 7110.91211,  0.11212984
 7111.06250,  0.12065052
 7111.21240,  0.12755812
 7111.36279,  0.13253638
 7111.51270,  0.13788091
 7111.66260,  0.14134531
 7111.81299,  0.14309408
 7111.96289,  0.14443020
 7112.11328,  0.14506268
 7112.26318,  0.14600203
 7112.41357,  0.14664159
 7112.56348,  0.14737659
 7112.71387,  0.14744920
 7112.86377,  0.14775767
 7113.01367,  0.14694361
 7113.16406,  0.14638861
 7113.31396,  0.14557855
 7113.46436,  0.14483433
 7113.61426,  0.14394735
 7113.76465,  0.14420520
 7113.91455,  0.14461657
 7114.06445,  0.14626735
 7114.21484,  0.14878927
 7114.36475,  0.15291238
 7114.51514,  0.15865816
 7114.66504,  0.16572736
 7114.81543,  0.17452987
 7114.96533,  0.18696323
 7115.11523,  0.20029345
 7115.26562,  0.21444153
 7115.41553,  0.23467260
 7115.56592,  0.25937312
 7115.71582,  0.28480300
 7115.86621,  0.31683513
 7116.01611,  0.35370722
 7116.16650,  0.38480940
 7116.31641,  0.42085541
 7116.46631,  0.46013122
 7116.61670,  0.49384201
 7116.76660,  0.52122253
 7116.91699,  0.54781513
 7117.06689,  0.56957717
 7117.21729,  0.58744731
 7117.36719,  0.60843898
 7117.51709,  0.63043256
 7117.66748,  0.64771950
 7117.81738,  0.66752704
 7117.96777,  0.68820279
 7118.11768,  0.70420012
 7118.26807,  0.72261060
 7118.41797,  0.73879063
 7118.56836,  0.75296949
 7118.71826,  0.76544025
 7118.86816,  0.77508524
 7119.01855,  0.78230222
 7119.16846,  0.78616911
 7119.31885,  0.79133926
 7119.46875,  0.79380186
 7119.61914,  0.79370358
 7119.76904,  0.79335101
 7119.91895,  0.79291162
 7120.06934,  0.79264029
 7120.21924,  0.79096610
 7120.36963,  0.79074544
 7120.51953,  0.79066709
 7120.66992,  0.79284198
 7120.81982,  0.79420372
 7120.97021,  0.79633549
 7121.12012,  0.80082408
 7121.27002,  0.80519212
 7121.42041,  0.80795412
 7121.57031,  0.81244306
 7121.72070,  0.81787047
 7121.87061,  0.82215455
 7122.02100,  0.82516634
 7122.17090,  0.82944607
 7122.32080,  0.83549574
 7122.47119,  0.83874359
 7122.62109,  0.84404074
 7122.77148,  0.84870140
 7122.92139,  0.85296296
 7123.07178,  0.85680053
 7123.22168,  0.86109660
 7123.37158,  0.86550871
 7123.52197,  0.86915280
 7123.67188,  0.87241633
 7123.82227,  0.87542534
 7123.97217,  0.87722322
 7124.12256,  0.88052843
 7124.27246,  0.88182342
 7124.42285,  0.88360319
 7124.57275,  0.88513877
 7124.72266,  0.88932906
 7124.87305,  0.89068504
 7125.02295,  0.89270916
 7125.17334,  0.89795223
 7125.32324,  0.90012653
 7125.47363,  0.90237843
 7125.62354,  0.90644800
 7125.77344,  0.90955256
 7125.92383,  0.91369963
 7126.07373,  0.91719887
 7126.22412,  0.92040369
 7126.37402,  0.92440704
 7126.52441,  0.92806782
 7126.67432,  0.93193497
 7126.82471,  0.93528321
 7126.97461,  0.93847320
 7127.12451,  0.94321011
 7127.27490,  0.94632002
 7127.42480,  0.95093690
 7127.57520,  0.95568073
 7127.72510,  0.96148460
 7127.87549,  0.96497016
 7128.02539,  0.96971949
 7128.17529,  0.97439964
 7128.32568,  0.97916955
 7128.47559,  0.98229462
 7128.62598,  0.98831018
 7128.77588,  0.99401306
 7128.92627,  0.99705136
 7129.07617,  1.00264124
 7129.22656,  1.00763417
 7129.37646,  1.01138894
 7129.52637,  1.01576932
 7129.67676,  1.01984060
 7129.82666,  1.02368915
 7129.97705,  1.02884399
 7130.12695,  1.03297328
 7130.27734,  1.03509210
 7130.42725,  1.03948292
 7130.57715,  1.04244007
 7130.72754,  1.04617247
 7130.87744,  1.04928824
 7131.02783,  1.05299352
 7131.17773,  1.05555190
 7131.32812,  1.05785351
 7131.47803,  1.05999053
 7131.62842,  1.06349896
 7131.77832,  1.06714056
 7131.92822,  1.06866249
 7132.07861,  1.07175806
 7132.22852,  1.07487574
 7132.37891,  1.07572327
 7132.52881,  1.07980657
 7132.67920,  1.08113482
 7132.82910,  1.08410918
 7132.97900,  1.08865574
 7133.12939,  1.08874337
 7133.27930,  1.09090742
 7133.42969,  1.09266138
 7133.57959,  1.09507175
 7133.72998,  1.09464319
 7133.87988,  1.09696439
 7134.02979,  1.09819498
 7134.18018,  1.09963995
 7134.33008,  1.10067507
 7134.48047,  1.10263910
 7134.63037,  1.10305121
 7134.78076,  1.10496214
 7134.93066,  1.10559866
 7135.08105,  1.10662349
 7135.23096,  1.10720326
 7135.38086,  1.10883244
 7135.53125,  1.10800963
 7135.68115,  1.10756859
 7135.83154,  1.10881244
 7135.98145,  1.11034115
 7136.13184,  1.11034490
 7136.28174,  1.11044612
 7136.43164,  1.11146429
 7136.58203,  1.11074604
 7136.73193,  1.11047135
 7136.88232,  1.10908786
 7137.03223,  1.10978835
 7137.18262,  1.11118840
 7137.33252,  1.10796434
 7137.48291,  1.10920055
 7137.63281,  1.10960127
 7137.78271,  1.10905193
 7137.93311,  1.10798846
 7138.08301,  1.10702088
 7138.23340,  1.10796280
 7138.38330,  1.10679775
 7138.53369,  1.10483436
 7138.68359,  1.10613214
 7138.83350,  1.10502193
 7138.98389,  1.10399592
 7139.13379,  1.10326084
 7139.28418,  1.10241770
 7139.43408,  1.10188044
 7139.58447,  1.10111935
 7139.73438,  1.09978725
 7139.88477,  1.09989296
 7140.03467,  1.09942106
 7140.18457,  1.09721721
 7140.33496,  1.09781546
 7140.48486,  1.09669361
 7140.63525,  1.09624836
 7140.78516,  1.09412890
 7140.93555,  1.09438002
 7141.08545,  1.09159297
 7141.23535,  1.09177206
 7141.38574,  1.08976200
 7141.53564,  1.08820410
 7141.68604,  1.08740798
 7141.83594,  1.08607345
 7141.98633,  1.08440088
 7142.13623,  1.08193541
 7142.28613,  1.08030103
 7142.43652,  1.07782050
 7142.58643,  1.07482337
 7142.73682,  1.07456456
 7142.88672,  1.07259173
 7143.03711,  1.06887953
 7143.18701,  1.06729373
 7143.33740,  1.06444415
 7143.48730,  1.06202945
 7143.63721,  1.06028824
 7143.78760,  1.05911587
 7143.93750,  1.05695739
 7144.08789,  1.05423793
 7144.23779,  1.05245318
 7144.38818,  1.04911532
 7144.53809,  1.04726521
 7144.68799,  1.04514332
 7144.83838,  1.04411235
 7144.98828,  1.04129436
 7145.13867,  1.04030060
 7145.28857,  1.03917397
 7145.43896,  1.03654220
 7145.58887,  1.03453991
 7145.73926,  1.03404104
 7145.88916,  1.03190550
 7146.03906,  1.03214152
 7146.18945,  1.02796528
 7146.33936,  1.02866665
 7146.48975,  1.02753877
 7146.63965,  1.02469079
 7146.79004,  1.02437835
 7146.93994,  1.02255736
 7147.08984,  1.02160838
 7147.24023,  1.01987193
 7147.39014,  1.01841885
 7147.54053,  1.01648632
 7147.69043,  1.01772455
 7147.84082,  1.01572396
 7147.99072,  1.01277334
 7148.14111,  1.01253825
 7148.29102,  1.01257150
 7148.44092,  1.01076842
 7148.59131,  1.00936832
 7148.74121,  1.00904609
 7148.89160,  1.00796159
 7149.04150,  1.00499254
 7149.19189,  1.00366693
 7149.34180,  1.00364421
 7149.49170,  1.00397123
 7149.64209,  1.00140630
 7149.79199,  0.99921436
 7149.94238,  0.99906140
 7150.09229,  0.99727162
 7150.24268,  0.99525564
 7150.39258,  0.99596196
 7150.54297,  0.99485842
 7150.69287,  0.99363228
 7150.84277,  0.99198164
 7150.99316,  0.99063152
 7151.14307,  0.99036917
 7151.29346,  0.99003265
 7151.44336,  0.98737937
 7151.59375,  0.98716896
 7151.74365,  0.98648108
 7151.89355,  0.98641516
 7152.04395,  0.98449532
 7152.19385,  0.98486310
 7152.34424,  0.98395277
 7152.49414,  0.98207816
 7152.64453,  0.98200395
 7152.79443,  0.98105671
 7152.94434,  0.98146013
 7153.09473,  0.97971707
 7153.24463,  0.98012744
 7153.39502,  0.98088840
 7153.54492,  0.97936648
 7153.69531,  0.97843886
 7153.84521,  0.97807360
 7153.99561,  0.97821312
 7154.14551,  0.97764692
 7154.29541,  0.97837827
 7154.44580,  0.97698791
 7154.59570,  0.97738142
 7154.74609,  0.97648161
 7154.89600,  0.97596129
 7155.04639,  0.97609064
 7155.19629,  0.97641740
 7155.34619,  0.97460632
 7155.49658,  0.97437575
 7155.64648,  0.97378122
 7155.79688,  0.97395402
 7155.94678,  0.97293247
 7156.09717,  0.97096569
 7156.24707,  0.97083372
 7156.39746,  0.97052423
 7156.54736,  0.97008823
 7156.69727,  0.96944658
 7156.84766,  0.96886948
 7156.99756,  0.96863643
 7157.14795,  0.96752168
 7157.29785,  0.96604391
 7157.44824,  0.96497992
 7157.59814,  0.96481239
 7157.74805,  0.96259750
 7157.89844,  0.96199407
 7158.04834,  0.96026921
 7158.19873,  0.95952515
 7158.34863,  0.95853289
 7158.49902,  0.95734061
 7158.64893,  0.95737056
 7158.79932,  0.95467952
 7158.94922,  0.95263776
 7159.09912,  0.95194918
 7159.24951,  0.95079871
 7159.39941,  0.95038278
 7159.54980,  0.94902224
 7159.69971,  0.94839233
 7159.85010,  0.94862206
 7160.00000,  0.94634972
 7161.09082,  0.94177701
 7162.20068,  0.94239955
 7163.33057,  0.94771361
 7164.47949,  0.95803137
 7165.64795,  0.96774018
 7166.83594,  0.97884742
 7168.04346,  0.98595821
 7169.27051,  0.99236689
 7170.51660,  0.99840218
 7171.78271,  1.00344590
 7173.06787,  1.01050553
 7174.37305,  1.01854055
 7175.69727,  1.02804391
 7177.04102,  1.03710208
 7178.40430,  1.04693115
 7179.78711,  1.05418284
 7181.18896,  1.06033297
 7182.61084,  1.06405682
 7184.05176,  1.07009305
 7185.51270,  1.07565155
 7186.99268,  1.08229318
 7188.49219,  1.08683467
 7190.01123,  1.09546878
 7191.54980,  1.08051731
 7193.10791,  1.11901348
 7194.68506,  1.12948963
 7196.28223,  1.12313223
 7197.89844,  1.13291849
 7199.53418,  1.13470917
 7201.18994,  1.13244922
 7202.86475,  1.12128989
 7204.55908,  1.10252350
 7206.27246,  1.08776676
 7208.00586,  1.07543384
 7209.75879,  1.06156686
 7211.53076,  1.04992542
 7213.32227,  1.03750686
 7215.13330,  1.02561976
 7216.96436,  1.01728742
 7218.81396,  1.00906672
 7220.68359,  1.00594699
 7222.57275,  1.00782702
 7224.48145,  1.01168859
 7226.40918,  1.02151270
 7228.35645,  1.03369775
 7230.32373,  1.04375715
 7232.31006,  1.05040741
 7234.31592,  1.05986135
 7236.34131,  1.06726139
 7238.38574,  1.07547747
 7240.45020,  1.08590609
 7242.53369,  1.09385887
 7244.63721,  1.10351877
 7246.75977,  1.11364124
 7248.90186,  1.12228327
 7251.06348,  1.12423970
 7253.24463,  1.12000960
 7255.44531,  1.11265097
 7257.66553,  1.10657189
 7259.90479,  1.10417165
 7262.16357,  1.10824620
 7264.44238,  1.11404326
 7266.74023,  1.12189300
 7269.05762,  1.13183328
 7271.39453,  1.13815327
 7273.75098,  1.14270591
 7276.12646,  1.14169323
 7278.52197,  1.14043409
 7280.93701,  1.13688534
 7283.37109,  1.13318823
 7285.82471,  1.13170021
 7288.29785,  1.13075834
 7290.79053,  1.12993821
 7293.30273,  1.12821424
 7295.83447,  1.12401117
 7298.38525,  1.11558683
 7300.95605,  1.10724970
 7303.54590,  1.10191670
 7306.15527,  1.10132324
 7308.78467,  1.10398702
 7311.43311,  1.10664586
 7314.10059,  1.10812379
 7316.78809,  1.10903108
 7319.49512,  1.11181614
 7322.22119,  1.11810335
 7324.96729,  1.12847316
 7327.73242,  1.13957288
 7330.51709,  1.15073734
 7333.32129,  1.16050131
 7336.14502,  1.16809613
 7338.98828,  1.17155700
 7341.85107,  1.17262829
 7344.73291,  1.17070999
 7347.63477,  1.16889819
 7350.55566,  1.16802203
 7353.49609,  1.16753880
 7356.45605,  1.16992373
 7359.43555,  1.17374482
 7362.43457,  1.17993118
 7365.45312,  1.18116086
 7368.49121,  1.18536300
 7371.54834,  1.18442136
 7374.62500,  1.18053094
 7377.72168,  1.17923130
 7380.83740,  1.18030593
 7383.97266,  1.18239839
 7387.12744,  1.18303562
 7390.30176,  1.18697872
 7393.49512,  1.18948155
 7396.70850,  1.18906174
 7399.94092,  1.18696326
 7403.19287,  1.18239039
 7406.46484,  1.17978912
 7409.75586,  1.18239553
 7413.06641,  1.18734237
 7416.39600,  1.19161588
 7419.74561,  1.19674145
 7423.11475,  1.19940575
 7426.50293,  1.20170180
 7429.91064,  1.20325983
 7433.33838,  1.20600810
 7436.78516,  1.21084034
 7440.25146,  1.21636492
 7443.73682,  1.22352612
 7447.24219,  1.23089455
 7450.76709,  1.23755391
 7454.31104,  1.24349893
 7457.87500,  1.24563415
 7461.45801,  1.24674579
 7465.06055,  1.24784498
 7468.68262,  1.24908546
 7472.32422,  1.24979818
 7475.98535,  1.24921663
 7479.66553,  1.24868480
 7483.36572,  1.24971947
 7487.08496,  1.25213166
 7490.82422,  1.25387516
 7494.58252,  1.25635136
 7498.36035,  1.26074992
 7502.15771,  1.26583839
 7505.97412,  1.26786059
 7509.81055,  1.27003641
 7513.66650,  1.27251633
 7517.54150,  1.27675818
 7521.43604,  1.27748075
 7525.35059,  1.27755514
 7529.28418,  1.27609158
 7533.23730,  1.27773051
 7537.20996,  1.28235685
 7541.20166,  1.28616881
 7545.21338,  1.29155336
 7549.24414,  1.29455905
 7553.29492,  1.29703903
 7557.36475,  1.29773161
 7561.45410,  1.30120675
 7565.56299,  1.30606920
 7569.69141,  1.31133161
 7573.83936,  1.31676217
 7578.00635,  1.32240534
 7582.19336,  1.32826644
 7586.39941,  1.33487936
 7590.62500,  1.34042920
 7594.87061,  1.34270482
 7599.13525,  1.34319148
 7603.41943,  1.34404655
 7607.72266,  1.34543668
 7612.04590,  1.34621035
 7616.38867,  1.34771026
 7620.75049,  1.34949448
 7625.13184,  1.35175870
 7629.53320,  1.35414759
 7633.95361,  1.35513282
 7638.39355,  1.35926260
 7642.85254,  1.36239149
 7647.33154,  1.36788257
 7651.83008,  1.37224113
 7656.34766,  1.37724965
 7660.88525,  1.38273580
 7665.44189,  1.38631957
 7670.01807,  1.38868929
 7674.61377,  1.39108645
 7679.22900,  1.39310898
 7683.86328,  1.37738439
 7688.51758,  1.41402261
 7693.19141,  1.39189597
 7697.88428,  1.40732697
 7702.59668,  1.40812358
 7707.32861,  1.42357765
 7712.08008,  1.39458555
 7716.85107,  1.42463935
