#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Green Rust - Chloride: Green Rust - Chloride
#------------------------------------------
# energy, Green Rust - Chloride
 7122.00000,  0.75258692
 7122.25000,  0.78515438
 7122.50000,  0.81844543
 7122.75000,  0.84987079
 7123.00000,  0.88564246
 7123.25000,  0.91785688
 7123.50000,  0.94989290
 7123.75000,  0.97946725
 7124.00000,  1.01078992
 7124.25000,  1.03789245
 7124.50000,  1.06338254
 7124.75000,  1.08599791
 7125.00000,  1.10941942
 7125.25000,  1.13071079
 7125.50000,  1.14826241
 7125.75000,  1.16537358
 7126.00000,  1.18391767
 7126.25000,  1.20085872
 7126.50000,  1.21511958
 7126.75000,  1.23063940
 7127.00000,  1.24514507
 7127.25000,  1.26016187
 7127.50000,  1.27274816
 7127.75000,  1.28617754
 7128.00000,  1.29498686
 7128.25000,  1.30433617
 7128.50000,  1.30934292
 7128.75000,  1.31418364
 7129.00000,  1.31391905
 7129.25000,  1.31025939
 7129.50000,  1.30350836
 7129.75000,  1.29373529
 7130.00000,  1.28182150
 7130.25000,  1.27125655
 7130.50000,  1.25930452
 7130.75000,  1.24565828
 7131.00000,  1.23131210
 7131.25000,  1.21655713
 7131.50000,  1.20520509
 7131.75000,  1.19017603
 7132.00000,  1.17720251
 7132.25000,  1.16396096
 7132.50000,  1.15298850
 7132.75000,  1.13995523
 7133.00000,  1.12920078
 7133.25000,  1.11853357
 7133.50000,  1.10937747
 7133.75000,  1.09933398
 7134.00000,  1.09341034
 7134.25000,  1.08759272
 7134.50000,  1.08217543
 7134.75000,  1.07624437
 7135.00000,  1.07160308
 7135.25000,  1.06445889
 7135.50000,  1.06350058
 7135.75000,  1.06007378
 7136.00000,  1.05872905
 7136.25000,  1.05643633
 7136.50000,  1.05482187
 7136.75000,  1.05274476
 7137.00000,  1.05174966
 7137.25000,  1.05113075
 7137.50000,  1.05015844
 7137.75000,  1.04988651
 7138.00000,  1.04919853
 7138.25000,  1.04865405
 7138.50000,  1.04831749
 7138.75000,  1.04746708
 7139.00000,  1.04667949
 7139.25000,  1.04747284
 7139.50000,  1.04664923
 7139.75000,  1.04541897
 7140.00000,  1.04448055
 7140.25000,  1.04354077
 7140.50000,  1.04325646
 7140.75000,  1.04166445
 7141.00000,  1.03949259
 7141.25000,  1.03712270
 7141.50000,  1.03392440
 7141.75000,  1.03125363
 7142.00000,  1.02777339
 7142.25000,  1.02434616
 7142.50000,  1.02019551
 7142.75000,  1.01708590
 7143.00000,  1.01318672
 7143.25000,  1.00912092
 7143.50000,  1.00490446
 7143.75000,  1.00141705
 7144.00000,  0.99617714
 7144.25000,  0.99280104
 7144.50000,  0.98860276
 7144.75000,  0.98176408
 7145.00000,  0.97727618
 7145.25000,  0.97288516
 7145.50000,  0.96890693
 7145.75000,  0.96347991
 7146.00000,  0.95826732
 7146.25000,  0.95342466
 7146.50000,  0.94832764
 7146.75000,  0.94430699
 7147.00000,  0.93936976
 7147.25000,  0.93614014
 7147.50000,  0.93231770
 7147.75000,  0.92834152
 7148.00000,  0.92430099
 7148.25000,  0.92048871
 7148.50000,  0.91553662
 7148.75000,  0.91253286
 7149.00000,  0.90901045
 7149.25000,  0.90569999
 7149.50000,  0.90351525
 7149.75000,  0.90132274
 7150.00000,  0.89659481
 7150.25000,  0.89478812
 7150.50000,  0.89196182
 7150.75000,  0.88976768
 7151.00000,  0.88751678
 7151.25000,  0.88600749
 7151.50000,  0.88438423
 7151.75000,  0.88263798
 7152.00000,  0.88059758
 7152.25000,  0.87862845
 7152.50000,  0.87687895
 7152.75000,  0.87637262
 7153.00000,  0.87487911
 7153.25000,  0.87263982
 7153.50000,  0.87192812
 7153.75000,  0.87198925
 7154.00000,  0.87242554
 7154.25000,  0.87392455
 7154.50000,  0.87412815
 7154.75000,  0.87572490
 7155.00000,  0.87602222
 7155.25000,  0.87605468
 7155.50000,  0.87659826
 7155.75000,  0.87744427
 7156.00000,  0.87817189
 7156.25000,  0.87920117
 7156.50000,  0.88030352
 7156.75000,  0.88145204
 7157.00000,  0.88254150
 7157.25000,  0.88378042
 7157.50000,  0.88546978
 7157.75000,  0.88695248
 7158.00000,  0.88772005
 7158.25000,  0.88875419
 7158.50000,  0.89095400
 7158.75000,  0.89307007
 7159.00000,  0.89528925
 7159.25000,  0.89755930
 7159.50000,  0.89955297
 7159.75000,  0.90253611
 7160.00000,  0.90502964
 7161.09473,  0.91944706
 7162.20947,  0.93430854
 7163.34326,  0.95170111
 7164.49707,  0.96830806
 7165.67041,  0.98550324
 7166.86377,  1.00262861
 7168.07617,  1.01900789
 7169.30859,  1.03608055
 7170.56006,  1.05101852
 7171.83154,  1.06271925
 7173.12305,  1.07008401
 7174.43359,  1.07422771
 7175.76367,  1.07343913
 7177.11377,  1.06976552
 7178.48340,  1.06379646
 7179.87256,  1.05697759
 7181.28174,  1.05058569
 7182.70996,  1.04480987
 7184.15820,  1.04070343
 7185.62598,  1.03593412
 7187.11328,  1.03159982
 7188.62012,  1.02905407
 7190.14648,  1.02731943
 7191.69287,  1.02613067
 7193.25879,  1.02494612
 7194.84424,  1.02437294
 7196.44922,  1.02454719
 7198.07373,  1.02415851
 7199.71826,  1.02332565
 7201.38184,  1.02240336
 7203.06543,  1.02192521
 7204.76855,  1.02115055
 7206.49170,  1.02134839
 7208.23389,  1.02177802
 7209.99609,  1.02228167
 7211.77783,  1.02169156
 7213.57910,  1.02002083
 7215.39990,  1.01837914
 7217.24023,  1.01477038
 7219.10059,  1.01055303
 7220.98047,  1.00420966
 7222.87988,  1.00047224
 7224.79883,  0.99762181
 7226.73730,  0.99754882
 7228.69580,  0.99963184
 7230.67334,  1.00352306
 7232.67090,  1.01076574
 7234.68799,  1.01995429
 7236.72510,  1.02981530
 7238.78125,  1.03745950
 7240.85742,  1.04473155
 7242.95312,  1.05046212
 7245.06836,  1.05544907
 7247.20312,  1.05861799
 7249.35742,  1.06223557
 7251.53174,  1.06571011
 7253.72559,  1.06559388
 7255.93896,  1.06970080
 7258.17188,  1.07204646
 7260.42432,  1.07219432
 7262.69678,  1.06966763
 7264.98828,  1.06955571
 7267.29980,  1.06636370
 7269.63086,  1.06162911
 7271.98193,  1.05679995
 7274.35205,  1.05258149
 7276.74219,  1.04888237
 7279.15186,  1.04592368
 7281.58105,  1.04564895
 7284.02979,  1.04709022
 7286.49805,  1.04862106
 7288.98633,  1.05065758
 7291.49414,  1.05350888
 7294.02148,  1.05500043
 7296.56836,  1.05679315
 7299.13477,  1.05873280
 7301.72119,  1.06119990
 7304.32666,  1.06346533
 7306.95215,  1.06550713
 7309.59717,  1.06845812
 7312.26221,  1.06944066
 7314.94629,  1.07080811
 7317.65039,  1.07272256
 7320.37354,  1.07356861
 7323.11670,  1.07285619
 7325.87988,  1.07157247
 7328.66211,  1.06975479
 7331.46436,  1.06892950
 7334.28564,  1.06963713
 7337.12695,  1.07145349
 7339.98828,  1.07369709
 7342.86865,  1.07563309
 7345.76855,  1.07667345
 7348.68848,  1.07752919
 7351.62793,  1.07857872
 7354.58691,  1.08000351
 7357.56543,  1.08174843
 7360.56396,  1.08443059
 7363.58154,  1.08708028
 7366.61914,  1.08986177
 7369.67627,  1.09316688
 7372.75293,  1.09647559
 7375.84961,  1.09884691
 7378.96533,  1.09980489
 7382.10107,  1.10083263
 7385.25635,  1.09902356
 7388.43115,  1.09779428
 7391.62598,  1.09554796
 7394.83984,  1.09379181
 7398.07373,  1.09279307
 7401.32715,  1.09308762
 7404.60010,  1.09555962
 7407.89258,  1.09743626
 7411.20459,  1.09820651
 7414.53662,  1.09882475
 7417.88818,  1.09964104
 7421.25928,  1.10053862
 7424.64990,  1.10109147
 7428.06006,  1.10307273
 7431.49023,  1.10575284
 7434.93994,  1.10857698
 7438.40918,  1.11100097
 7441.89795,  1.11382217
 7445.40625,  1.11600013
 7448.93457,  1.12120314
 7452.48193,  1.12266269
 7456.04932,  1.12308453
 7459.63623,  1.12318332
 7463.24316,  1.12391104
 7466.86914,  1.12374057
 7470.51514,  1.12289817
 7474.18018,  1.12354532
 7477.86523,  1.12427212
 7481.57031,  1.12629750
 7485.29443,  1.12851259
 7489.03857,  1.12945968
 7492.80176,  1.12967861
 7496.58496,  1.13281683
 7500.38770,  1.13417227
 7504.21045,  1.13559012
 7508.05225,  1.13739801
 7511.91406,  1.13900839
 7515.79541,  1.14250344
 7519.69629,  1.14427845
 7523.61670,  1.14699490
 7527.55713,  1.14949225
 7531.51660,  1.15136900
 7535.49609,  1.15184271
 7539.49512,  1.15261255
 7543.51367,  1.15316502
 7547.55176,  1.15393619
 7551.60986,  1.15460341
 7555.68750,  1.15620039
 7559.78467,  1.15800166
 7563.90137,  1.15912682
 7568.03760,  1.16050408
 7572.19385,  1.16194331
 7576.36914,  1.16337320
 7580.56445,  1.16635723
 7584.77930,  1.16758562
 7589.01367,  1.17018669
 7593.26807,  1.17182570
 7597.54199,  1.17224273
 7601.83496,  1.17449425
 7606.14795,  1.17808037
 7610.48047,  1.18003154
 7614.83301,  1.18148023
 7619.20459,  1.18489144
 7623.59619,  1.18803582
 7628.00732,  1.19076923
 7632.43799,  1.19091160
 7636.88818,  1.19054491
 7641.35840,  1.19216982
 7645.84814,  1.19324736
 7650.35742,  1.19462401
 7654.88623,  1.19610219
 7659.43457,  1.19949909
 7664.00244,  1.20143953
 7668.59033,  1.20300099
 7673.19775,  1.20549563
 7677.82471,  1.20817995
 7682.47119,  1.21024417
 7687.13721,  1.21256927
 7691.82324,  1.21349509
 7696.52832,  1.21553924
 7701.25342,  1.21854241
 7705.99805,  1.22038754
 7710.76270,  1.22159914
 7715.54639,  1.22254976
 7720.35010,  1.22599833
 7725.17334,  1.22693038
 7730.01611,  1.22820124
 7734.87842,  1.22973281
 7739.76025,  1.23182693
 7744.66211,  1.23385012
 7749.58350,  1.23623799
 7754.52441,  1.23853353
 7759.48486,  1.24048749
 7764.46484,  1.24253955
 7769.46484,  1.24548806
 7774.48438,  1.24780981
 7779.52344,  1.25100002
 7784.58203,  1.25096352
 7789.66016,  1.25205387
 7794.75781,  1.25522965
 7799.87549,  1.25715732
