spectrum,cluster,wl_intensity,wl_energy,e0,e0_deriv,preedge_centroid,wl_ratio,edge_step,r_factor
FeXANES_GT15_FeTiXRD_striated2_1.001,4,1.1510160449999898,7130.799999999972,7119.756437139002,7119.799999999982,7112.369364978175,1.2042543296685295,0.9557914940748491,0.0193
FeXANES_GT15_FeTiXRD_striated2_2.001,4,1.1329076899999582,7130.1999999999725,7119.311375037481,7119.399999999982,7112.637142929645,1.1718975197150368,0.9667293179999566,0.0139
FeXANES_GT15_FeTiXRD_striated2_3.001,4,1.1343389633331566,7130.1999999999725,7119.361896751431,7119.599999999982,7112.524862370855,1.1726979030644653,0.9672900073999705,0.0139
FeXANES_GT15_FeTiXRD_striated2_4.001,5,1.2258257033334965,7129.999999999973,7120.796216256565,7122.19999999998,7112.779657942779,1.288892240710968,0.9510691930749128,0.0118
FeXANES_GT15_FeTiXRD_striated2_5.001,5,1.1373060845000167,7132.199999999971,7120.803151173293,7121.79999999998,7113.146428608262,1.1765187335966003,0.966670612225008,0.0204
FeXANES_GT15_FeTiXRD_striated2_6.001,3,1.2229897499999545,7127.799999999975,7118.220226634982,7118.399999999983,,1.2379314432218655,0.9879301125246294,0.0266
FeXANES_GT15_FeTiXRD_striated2_7.001,4,1.1566112033335287,7129.399999999973,7118.393319362082,7119.399999999982,7110.816807023549,1.1932733807747626,0.9692759613748947,0.0148
FeXANES_GT15_FeTiXRD_striated2_8.001,3,1.2256887016665288,7127.199999999975,7118.136971699189,7118.399999999983,,1.2351737115474282,0.9923209101746372,0.029
FeXANES_GT15_Fe_1.001,3,1.2162819966669722,7127.599999999975,7118.279600015351,7118.599999999983,,1.2330144890921164,0.9864296059996306,0.0284
FeXANES_GT15_Fe_2.001,1,1.2718077699999635,7129.199999999973,7119.389805707445,7118.999999999983,,1.341131742653689,0.9483093491497303,0.0099
FeXANES_GT15_Fe_3.001,1,1.186297890000081,7129.399999999973,7119.959489256789,7121.3999999999805,,1.2557712787053184,0.944676717899725,0.0109
FeXANES_GT15_Fe_4.001,4,1.1607969050001148,7128.199999999974,7119.638960958367,7120.399999999981,,1.20223343668712,0.9655337054996675,0.029
FeXANES_GT15_Fe_5.001,5,1.140152590499978,7132.99999999997,7121.36909035544,7121.59999999998,7113.428146415066,1.1827212585543616,0.9640078609000272,0.0201
FeXANES_GT15_Fe_6.001,4,1.1103297083335049,7129.399999999973,7117.997089747817,7118.999999999983,7110.916714545492,1.148151484903001,0.9670585483999166,0.0182
FeXANES_GT15_Fe_striated2_1.001,5,1.226238711667176,7130.599999999972,7120.879986062241,7122.599999999979,7112.874246632068,1.2908945253126833,0.9499139454249012,0.0103
FeXANES_GT15_flaky_gray_mix_Fe_1.001,1,1.3905738550002615,7129.399999999973,7119.525615945231,7123.199999999979,,1.4926355280281713,0.9316231785245409,0.0077
FeXANES_GT15_flaky_gray_mix_Fe_2.001,1,1.3992404500004496,7129.399999999973,7119.666857819682,7123.199999999979,,1.5015809515704717,0.9318448322995931,0.0069
FeXANES_GT15_flaky_gray_mix_Fe_3.001,5,1.2751400749997344,7130.1999999999725,7120.326049703766,7122.999999999979,,1.3953151115605456,0.9138724754249918,0.0201
FeXANES_GT15_flaky_gray_mix_Fe_4.001,2,1.3959159400000212,7129.399999999973,7121.172223874778,7122.999999999979,7110.3999999999905,1.5487788944740337,0.901300982974768,0.0089
FeXANES_GT15_flaky_gray_mix_Fe_5.001,1,1.3266845450010425,7129.999999999973,7119.572223279167,7119.399999999982,,1.448488186176862,0.9159098138747629,0.0194
FeXANES_GT15_flaky_gray_mix_Fe_6.001,1,1.3627107833335317,7129.999999999973,7119.156376719474,7118.799999999983,,1.4625676068768216,0.9317249861997662,0.0239
FeXANES_GT15_flaky_gray_mix_Fe_7.001,2,1.3421120516665244,7131.399999999971,7121.715371461261,7122.999999999979,7112.751040224907,1.4574182684213588,0.9208832362999461,0.0082
FeXANES_GT15_flaky_gray_mix_Fe_8.001,2,1.3363085449999874,7131.599999999971,7121.814283408308,7125.399999999977,7112.822637045603,1.4609363411597391,0.9146932055500665,0.0135
FeXANES_GT15_flakydark_Fe_1.001,3,1.2919116316663746,7128.999999999974,7118.905251001377,7118.999999999983,,1.3345955270611252,0.9680173546746829,0.014
FeXANES_GT15_flakydark_Fe_2.001,3,1.281843296666883,7128.799999999974,7118.861853535902,7118.799999999983,,1.3347677072629363,0.9603493474496924,0.014
FeXANES_GT15_flakydark_Fe_3.001,3,1.289659929999712,7128.999999999974,7118.767221156349,7118.799999999983,,1.3342022084900178,0.9666150466497005,0.015
FeXANES_GT15_flakydark_Fe_4.001,1,1.2862620149998651,7129.199999999973,7119.306718872595,7119.1999999999825,,1.3575399133458894,0.9474948046497228,0.0082
FeXANES_GT15_flakydark_Fe_5.001,3,1.2766333250001471,7129.199999999973,7118.97298336456,7118.799999999983,,1.3432443502889118,0.9504103439746927,0.0116
FeXANES_GT15_flakydark_Fe_6.001,3,1.2804378216665593,7128.999999999974,7118.792148588752,7118.799999999983,,1.322122627808861,0.9684713011746986,0.0141
FeXANES_GT15_rectangles_Fe_1.001,3,1.2381154749999395,7126.199999999976,7118.297562357214,7118.399999999983,,1.2680384526173334,0.9764021528246005,0.0274
FeXANES_GT15_rectangles_Fe_2.001,3,1.2169724316668087,7126.999999999975,7118.160466293334,7118.199999999983,,1.2335318138700881,0.9865756342746232,0.0286
FeXANES_GT15_rectangles_Fe_3.001,3,1.2444314083330064,7125.999999999976,7118.562560480839,7118.399999999983,,1.287066814587485,0.966873975949614,0.0232
