spectrum,cluster,sa_flag,sa_score,criteria_met
FeXANES_GT5_concentric_gray1_Fe_2.001,1,possible,2,WLR+R-factor
FeXANES_GT5_concentric_gray1_Fe_3.001,4,ok,1,WLR
FeXANES_GT5_concentric_gray1_Fe_4.001,1,ok,1,WLR
FeXANES_GT5_concentric_gray1_Fe_5.001,1,possible,2,WLR+R-factor
FeXANES_GT5_concentric_gray1_Fe_6.001,1,possible,2,WLR+R-factor
FeXANES_GT5_concentric_gray1_Fe_7.001,1,ok,1,R-factor
FeXANES_GT5_concentric_gray1_Fe_8.001,2,ok,0,
FeXANES_GT5_concentric_gray3_Fe_1.001,5,possible,2,WLR+R-factor
FeXANES_GT5_concentric_gray3_Fe_10.001,5,possible,2,WLR+Fe-counts
FeXANES_GT5_concentric_gray3_Fe_11.001,5,possible,3,WLR+R-factor+Fe-counts
FeXANES_GT5_concentric_gray3_Fe_2.001,5,ok,1,WLR
FeXANES_GT5_concentric_gray3_Fe_3.001,2,ok,1,R-factor
FeXANES_GT5_concentric_gray3_Fe_4.001,2,possible,2,E0/PE+WLR
FeXANES_GT5_concentric_gray3_Fe_5.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_concentric_gray3_Fe_6.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_concentric_gray3_Fe_7.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_concentric_gray3_Fe_8.001,1,possible,2,WLR+R-factor
FeXANES_GT5_concentric_gray3_Fe_9.001,1,possible,2,WLR+R-factor
FeXANES_GT5_flaky2_FeXRD_1.001,2,ok,1,R-factor
FeXANES_GT5_flaky2_FeXRD_10.001,1,ok,1,R-factor
FeXANES_GT5_flaky2_FeXRD_11.001,2,ok,1,R-factor
FeXANES_GT5_flaky2_FeXRD_12.001,2,ok,1,E0/PE
FeXANES_GT5_flaky2_FeXRD_13.001,2,ok,0,
FeXANES_GT5_flaky2_FeXRD_14.001,2,ok,0,
FeXANES_GT5_flaky2_FeXRD_15.001,2,ok,0,
FeXANES_GT5_flaky2_FeXRD_16.001,2,ok,0,
FeXANES_GT5_flaky2_FeXRD_17.001,1,possible,2,WLR+R-factor
FeXANES_GT5_flaky2_FeXRD_18.001,1,possible,2,WLR+R-factor
FeXANES_GT5_flaky2_FeXRD_2.001,1,ok,1,R-factor
FeXANES_GT5_flaky2_FeXRD_3.001,2,ok,1,E0/PE
FeXANES_GT5_flaky2_FeXRD_4.001,1,ok,1,WLR
FeXANES_GT5_flaky2_FeXRD_5.001,2,ok,1,R-factor
FeXANES_GT5_flaky2_FeXRD_6.001,1,ok,0,
FeXANES_GT5_flaky2_FeXRD_7.001,1,ok,0,
FeXANES_GT5_flaky2_FeXRD_8.001,1,ok,0,
FeXANES_GT5_flaky2_Fe_1.001,1,possible,2,WLR+Fe-counts
FeXANES_GT5_flaky2_Fe_10.001,2,ok,0,
FeXANES_GT5_flaky2_Fe_11.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flaky2_Fe_12.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flaky2_Fe_13.001,4,possible,3,WLR+R-factor+Fe-counts
FeXANES_GT5_flaky2_Fe_14.001,4,possible,3,WLR+R-factor+Fe-counts
FeXANES_GT5_flaky2_Fe_15.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flaky2_Fe_16.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flaky2_Fe_167.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flaky2_Fe_18.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flaky2_Fe_19.001,5,ok,1,WLR
FeXANES_GT5_flaky2_Fe_2.001,5,ok,1,WLR
FeXANES_GT5_flaky2_Fe_20.001,3,ok,1,WLR
FeXANES_GT5_flaky2_Fe_21.001,5,ok,1,WLR
FeXANES_GT5_flaky2_Fe_23.001,2,ok,0,
FeXANES_GT5_flaky2_Fe_24.001,2,ok,0,
FeXANES_GT5_flaky2_Fe_25.001,2,possible,2,E0/PE+R-factor
FeXANES_GT5_flaky2_Fe_26.001,2,possible,2,E0/PE+R-factor
FeXANES_GT5_flaky2_Fe_27.001,2,possible,2,E0/PE+R-factor
FeXANES_GT5_flaky2_Fe_28.001,2,possible,2,E0/PE+WLR
FeXANES_GT5_flaky2_Fe_29.001,4,possible,3,WLR+R-factor+Fe-counts
FeXANES_GT5_flaky2_Fe_3.001,2,ok,1,E0/PE
FeXANES_GT5_flaky2_Fe_30.001,1,possible,2,WLR+R-factor
FeXANES_GT5_flaky2_Fe_31.001,1,ok,0,
FeXANES_GT5_flaky2_Fe_32.001,1,ok,1,WLR
FeXANES_GT5_flaky2_Fe_4.001,2,possible,2,E0/PE+R-factor
FeXANES_GT5_flaky2_Fe_5.001,1,possible,2,WLR+R-factor
FeXANES_GT5_flaky2_Fe_6.001,1,ok,1,R-factor
FeXANES_GT5_flaky2_Fe_7.001,5,ok,1,WLR
FeXANES_GT5_flaky2_Fe_8.001,5,ok,1,WLR
FeXANES_GT5_flaky2_Fe_9.001,2,ok,0,
FeXANES_GT5_flaky_nodule_Fe.001,4,possible,3,WLR+R-factor+Fe-counts
