sample name ,N%,C%,H%,S%,C/N ratio,C/H ratio
GT-19908-1cm,0.17,1.19,0.362,0.693,7.0451,3.285
GT-19908-1cm,0.18,1.17,0.549,0.477,6.6511,2.1289
GT-19908-1cm,0.16,1.16,0.776,0.558,7.3267,1.4907
GT-19908-3cm,0.09,1,0.86,0.433,11.318,1.1577
GT-19908-3cm,0.1,1.02,0.829,0.427,9.9673,1.2243
GT-19908-3cm,0.14,1.04,0.814,0.309,7.3091,1.2729
GT-19908-5cm,0.14,0.99,0.691,0.35,7.079,1.4323
GT-19908-5cm,0.13,0.99,0.754,0.263,7.8726,1.3089
GT-19908-5cm,0.15,0.97,0.653,0.285,6.5757,1.4816
GT-19908-7cm,0.19,0.89,0.373,0.255,4.5569,2.3807
GT-19908-7cm,0.16,0.9,0.501,0.311,5.6603,1.8049
GT-19908-7cm,0.12,0.92,0.542,0.279,7.8688,1.6969
GT-19908-9cm,0.08,0.95,0.65,0.258,12.6114,1.4645
GT-19908-9cm,0.53,0.82,0.08,0.339,1.5458,10.2862
GT-19908-9cm,0.71,1.07,0.496,0.396,1.5142,2.1643
GT-19908-11cm,0.67,1.02,0.646,0.388,1.5362,1.5861
GT-19908-11cm,0.66,1.02,0.723,0.392,1.5543,1.4169
GT-19908-11cm,0.48,1.01,0.66,0.356,2.0878,1.5306
GT-19908-15cm,0.49,0.97,0.431,0.343,1.9631,2.2474
GT-19908-15cm,0.67,0.97,0.546,0.331,1.4622,1.7833
GT-19908-15cm,0.59,0.99,0.736,0.349,1.6687,1.3421
