sample name,N%,C%,H%,S%,C/N ratio,C/H ratio
GT-20892-3cm,0.07,0.55,0.427,0.488,7.4205,1.2905
GT-20892-3cm,0.07,0.57,0.564,0.489,8.6634,1.0112
GT-20892-3cm,0.08,0.55,0.497,0.489,7.141,1.1043
GT-20892-15cm,0.02,0.27,0.506,0.431,14.8992,0.5343
GT-20892-15cm,0.02,0.27,0.478,0.436,12.4187,0.5571
GT-20892-15cm,0.02,0.27,0.446,0.419,12.7783,0.596
GT-20892-5cm,0.07,0.57,0.439,0.438,8.4875,1.3097
GT-20892-5cm,0.06,0.53,0.432,0.437,9.4173,1.2381
GT-20892-5cm,0.06,0.54,0.406,0.405,8.7398,1.334
GT-20892-7cm,0.09,0.48,0.204,0.417,5.2673,2.3379
GT-20892-7cm,0.09,0.47,0.39,0.418,5.1204,1.2025
GT-20892-7cm,0.05,0.46,0.429,0.399,9.9762,1.0825
GT-20892-9cm,0.04,0.39,0.376,0.361,10.6234,1.0492
GT-20892-9cm,0.04,0.41,0.39,0.383,10.0094,1.0483
GT-20892-9cm,0.04,0.4,0.376,0.383,10.9323,1.0754
GT-20892-11cm,0.05,0.38,0.374,0.394,8.3911,1.0218
GT-20892-11cm,0.03,0.38,0.348,0.396,14.5223,1.101
GT-20892-11cm,0.04,0.39,0.356,0.406,10.4191,1.1021
