# Results for GP17_station27_20892_11cm_032_A_fl_avg.csv "Mar-10 12:32_1": |chi(R)|
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 116
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 18.7795996
#   reduced chi_square   = 1.23878272
#   r-factor             = 0.02470485
#   Akaike info crit     = 12.6414569
#   Bayesian info crit   = 24.8939001
#  
# [[Parameters]]
#   N_Mg302              =  2.3954055 +/- 14.960281  (init= 3.0200000)
#   N_O203               =  5.6568091 +/- 2.5572619  (init= 4.8600000)
#   N_Si328              =  3.3590398 +/- 6.6505803  (init= 6.0000000)
#   delr_Mg302           = -0.0295148 +/- 0.3367986  (init= 0.0060000)
#   delr_O203            = -0.0126131 +/- 0.0339995  (init=-0.0175000)
#   delr_Si328           = -0.0032562 +/- 0.0375926  (init=-0.0163000)
#   e0                   =  6.5317629 +/- 5.2460830  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0150000 +/- 0.0136009  (init= 0.0050000)
#   sigma2_O203          =  0.0092793 +/- 0.0051585  (init= 0.0093500)
#   sigma2_Si328         =  0.0023587 +/- 0.0097275  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Mg302, sigma2_Mg302 =  0.960
#   N_Si328, sigma2_Si328 =  0.952
#   N_Si328, delr_Mg302  =  0.926
#   N_O203, sigma2_O203  =  0.892
#   N_Mg302, delr_Mg302  =  0.887
#   delr_O203, e0        =  0.861
#   delr_Mg302, sigma2_Mg302 =  0.848
#   N_Mg302, N_Si328     =  0.841
#   delr_Mg302, sigma2_Si328 =  0.821
#   delr_Si328, e0       =  0.791
#   N_Si328, sigma2_Mg302 =  0.785
#   N_Mg302, sigma2_Si328 =  0.722
#   delr_O203, delr_Si328 =  0.665
#   sigma2_Mg302, sigma2_Si328 =  0.629
#   N_Si328, delr_Si328  = -0.482
#   delr_Mg302, delr_Si328 = -0.477
#   delr_Si328, sigma2_Si328 = -0.420
#   N_Mg302, delr_Si328  = -0.380
#   N_Si328, e0          = -0.370
#   delr_Si328, sigma2_Mg302 = -0.366
#   delr_Mg302, e0       = -0.324
#   e0, sigma2_Mg302     = -0.319
#   e0, sigma2_Si328     = -0.293
#   N_Si328, delr_O203   = -0.278
#   N_O203, sigma2_Mg302 =  0.270
#   N_Mg302, N_O203      =  0.256
#   N_O203, e0           = -0.248
#   delr_Mg302, delr_O203 = -0.235
#   N_Mg302, e0          = -0.232
#   N_O203, delr_Si328   = -0.229
#   sigma2_Mg302, sigma2_O203 =  0.227
#   N_Mg302, sigma2_O203 =  0.226
#   delr_O203, sigma2_Si328 = -0.217
#   delr_O203, sigma2_Mg302 = -0.216
#   N_O203, delr_Mg302   =  0.201
#   N_O203, N_Si328      =  0.199
#   delr_Mg302, sigma2_O203 =  0.175
#   N_Si328, sigma2_O203 =  0.172
#   delr_Si328, sigma2_O203 = -0.155
#   N_O203, sigma2_Si328 =  0.154
#   e0, sigma2_O203      = -0.147
#   sigma2_O203, sigma2_Si328 =  0.139
#   N_Mg302, delr_O203   = -0.135
#  
# [[Dataset]]
#   unique_id            = 'dpifd7il'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0017603, std=0.0041114)
#   epsilon_r            = 0.3106080
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  3.9597664 +/- 1.7900833  := 'N_O203 * s02'
#      e0     =  6.5317629 +/- 5.2460830  := 'e0'
#      r      =  2.0207869 +/- 0.0339995  := 'reff + delr_O203'
#      deltar = -0.0126131 +/- 0.0339995  := 'delr_O203'
#      sigma2 =  0.0092793 +/- 0.0051585  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  2.3513279 +/- 4.6554063  := 'N_Si328 * s02'
#      e0     =  6.5317629 +/- 5.2460830  := 'e0'
#      r      =  3.2755438 +/- 0.0375926  := 'reff + delr_Si328'
#      deltar = -0.0032562 +/- 0.0375926  := 'delr_Si328'
#      sigma2 =  0.0023587 +/- 0.0097275  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  1.6767838 +/- 10.472197  := 'N_Mg302 * s02'
#      e0     =  6.5317629 +/- 5.2460830  := 'e0'
#      r      =  2.9878852 +/- 0.3367986  := 'reff + delr_Mg302'
#      deltar = -0.0295148 +/- 0.3367986  := 'delr_Mg302'
#      sigma2 =  0.0150000 +/- 0.0136009  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# r              expdata        model        
 4.970097753    0.340283537    0.002203002
 5.000777369    0.296277649    0.003062015
 5.031456984    0.255286038    0.003929787
 5.062136600    0.220766589    0.004545503
 5.092816216    0.195049077    0.004796958
 5.123495832    0.178425178    0.004652151
 5.154175447    0.168912623    0.004148109
 5.184855063    0.163341571    0.003401231
 5.215534679    0.158996360    0.002650793
 5.246214295    0.154630777    0.002316325
 5.276893910    0.150649237    0.002669828
 5.307573526    0.148751356    0.003379683
 5.338253142    0.151148443    0.004040578
 5.368932758    0.159457950    0.004440059
 5.399612373    0.173870254    0.004488023
 5.430291989    0.193225029    0.004173831
 5.460971605    0.215729471    0.003554946
 5.491651221    0.239592277    0.002765446
 5.522330836    0.263295945    0.002065420
 5.553010452    0.285622098    0.001876351
 5.583690068    0.305584774    0.002298035
 5.614369684    0.322357091    0.002897466
 5.645049299    0.335225769    0.003354197
 5.675728915    0.343582293    0.003533424
 5.706408531    0.346946269    0.003396892
 5.737088147    0.345009308    0.002969732
 5.767767762    0.337684824    0.002332231
 5.798447378    0.325149724    0.001636351
 5.829126994    0.307867058    0.001191040
 5.859806610    0.286583140    0.001347567
 5.890486225    0.262297353    0.001818560
 5.921165841    0.236206885    0.002221961
 5.951845457    0.209631169    0.002412110
 5.982525073    0.183920700    0.002347350
 6.013204689    0.160351148    0.002038977
 6.043884304    0.139997076    0.001534102
 6.074563920    0.123579049    9.046439e-4
 6.105243536    0.111304283    2.472570e-4
 6.135923152    0.102780386    4.238593e-4
 6.166602767    0.097102294    9.352085e-4
 6.197282383    0.093104101    0.001282407
 6.227961999    0.089629979    0.001431462
 6.258641615    0.085698699    0.001381058
 6.289321230    0.080561123    0.001159815
 6.320000846    0.073714760    8.286248e-4
 6.350680462    0.064923690    5.110016e-4
 6.381360078    0.054261509    4.820261e-4
 6.412039693    0.042197090    7.294604e-4
 6.442719309    0.029840551    9.603786e-4
 6.473398925    0.019920714    0.001068084
 6.504078541    0.018299599    0.001023553
 6.534758156    0.025176088    8.338701e-4
 6.565437772    0.033729906    5.388029e-4
 6.596117388    0.040782936    2.699833e-4
 6.626797004    0.045580267    4.276844e-4
 6.657476619    0.048635405    7.635082e-4
 6.688156235    0.051528772    0.001038160
 6.718835851    0.056433678    0.001190508
 6.749515467    0.064880116    0.001194652
 6.780195082    0.076687120    0.001048314
 6.810874698    0.090228938    7.707998e-4
 6.841554314    0.103339374    4.023338e-4
 6.872233930    0.113919014    1.173964e-4
 6.902913545    0.120226020    4.687399e-4
 6.933593161    0.121059753    8.223182e-4
 6.964272777    0.115947022    0.001077521
 6.994952393    0.105410250    0.001201775
 7.025632009    0.091480650    0.001182622
 7.056311624    0.078715628    0.001027257
 7.086991240    0.074778187    7.615623e-4
 7.117670856    0.085359806    4.303689e-4
 7.148350472    0.107287075    1.592725e-4
 7.179030087    0.133751620    3.576366e-4
 7.209709703    0.159687148    6.265857e-4
 7.240389319    0.181873535    8.091910e-4
 7.271068935    0.198285839    8.808707e-4
 7.301748550    0.207781369    8.444111e-4
 7.332428166    0.209967183    7.289393e-4
 7.363107782    0.205110997    5.975121e-4
 7.393787398    0.194040220    5.460848e-4
 7.424467013    0.178014622    6.165628e-4
 7.455146629    0.158579664    7.285759e-4
 7.485826245    0.137423709    7.911411e-4
 7.516505861    0.116280568    7.539111e-4
 7.547185476    0.096938455    5.982744e-4
 7.577865092    0.081398861    3.299403e-4
 7.608544708    0.071994717    4.210056e-5
 7.639224324    0.070687266    4.356894e-4
 7.669903939    0.077403657    8.407401e-4
 7.700583555    0.089900723    0.001194748
 7.731263171    0.105472456    0.001451131
 7.761942787    0.121883657    0.001575224
 7.792622402    0.137349870    0.001550428
 7.823302018    0.150389125    0.001384704
 7.853981634    0.159784415    0.001121984
 7.884661250    0.164621749    8.742082e-4
 7.915340865    0.164347730    8.497610e-4
 7.946020481    0.158813466    0.001112906
 7.976700097    0.148290391    0.001475792
 8.007379713    0.133456252    0.001791522
 8.038059329    0.115359681    0.001985817
 8.068738944    0.095384225    0.002024263
 8.099418560    0.075254555    0.001903108
 8.130098176    0.057160417    0.001650129
 8.160777792    0.043975604    0.001333901
 8.191457407    0.038493671    0.001086625
 8.222137023    0.040044183    0.001078980
 8.252816639    0.044269363    0.001309952
 8.283496255    0.047577784    0.001606986
 8.314175870    0.048331497    0.001839005
 8.344855486    0.046071243    0.001941272
 8.375535102    0.040960679    0.001890778
 8.406214718    0.033536923    0.001695967
 8.436894333    0.024666793    0.001395856
 8.467573949    0.015973222    0.001070473
 8.498253565    0.012099700    8.675291e-4
 8.528933181    0.017637060    9.327375e-4
 8.559612796    0.027047604    0.001177945
 8.590292412    0.036856838    0.001428913
 8.620972028    0.046105174    0.001591682
 8.651651644    0.054426287    0.001627888
 8.682331259    0.061617075    0.001530719
 8.713010875    0.067509169    0.001316537
 8.743690491    0.071916283    0.001023449
 8.774370107    0.074621119    7.218161e-4
 8.805049722    0.075393851    5.544755e-4
 8.835729338    0.074036604    6.557681e-4
 8.866408954    0.070448961    8.882618e-4
 8.897088570    0.064715655    0.001101515
 8.927768185    0.057235616    0.001237294
 8.958447801    0.048950912    0.001275981
 8.989127417    0.041760222    0.001216386
 9.019807033    0.038768834    0.001069217
 9.050486649    0.042513783    8.545156e-4
 9.081166264    0.052053682    6.040368e-4
 9.111845880    0.064541799    3.856980e-4
 9.142525496    0.077727537    3.698843e-4
 9.173205112    0.090216201    5.722341e-4
 9.203884727    0.101159063    8.156440e-4
 9.234564343    0.110058965    0.001026821
 9.265243959    0.116668868    0.001175227
 9.295923575    0.120920844    0.001242963
 9.326603190    0.122859356    0.001220835
 9.357282806    0.122575521    0.001110205
 9.387962422    0.120150708    9.285280e-4
 9.418642038    0.115621699    7.243044e-4
 9.449321653    0.108976882    6.108124e-4
 9.480001269    0.100185486    7.143854e-4
 9.510680885    0.089254509    9.701697e-4
 9.541360501    0.076307449    0.001248267
 9.572040116    0.061697558    0.001473495
 9.602719732    0.046250759    0.001604971
 9.633399348    0.032101723    0.001623397
 9.664078964    0.025323822    0.001530319
 9.694758579    0.032403929    0.001352831
 9.725438195    0.047290126    0.001154288
 9.756117811    0.063915976    0.001043310
 9.786797427    0.080068882    0.001116892
 9.817477042    0.094839258    0.001341869
 9.848156658    0.107807096    0.001605443
 9.878836274    0.118821968    0.001818889
 9.909515890    0.127909048    0.001931614
 9.940195505    0.135198932    0.001922956
 9.970875121    0.140862498    0.001799121
