# Results for GP17_station15_19908_3cm_036_A_fl.avg.csv "Mar-10 12:35": |chi(R)|
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 107
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 4.82671940
#   reduced chi_square   = 0.31839106
#   r-factor             = 0.01482230
#   Akaike info crit     = -21.5406430
#   Bayesian info crit   = -9.28819984
#  
# [[Parameters]]
#   N_Mg302              =  0.9168389 +/- 4.8757590  (init= 3.0200000)
#   N_O203               =  5.7991094 +/- 1.9406070  (init= 4.8600000)
#   N_Si328              =  2.8581874 +/- 5.7977413  (init= 6.0000000)
#   delr_Mg302           = -0.0474683 +/- 0.2157760  (init= 0.0060000)
#   delr_O203            = -0.0145656 +/- 0.0246917  (init=-0.0175000)
#   delr_Si328           =  0.0010123 +/- 0.0667221  (init=-0.0163000)
#   e0                   =  6.8931579 +/- 3.8470672  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0010000 +/- 0.0070028  (init= 0.0050000)
#   sigma2_O203          =  0.0083374 +/- 0.0037231  (init= 0.0093500)
#   sigma2_Si328         =  0.0013649 +/- 0.0135488  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Si328, sigma2_Si328 =  0.986
#   N_Mg302, sigma2_Mg302 = -0.984
#   N_Si328, delr_Mg302  =  0.943
#   delr_Mg302, sigma2_Si328 =  0.942
#   N_Mg302, delr_Mg302  =  0.939
#   delr_Mg302, sigma2_Mg302 = -0.927
#   delr_Si328, sigma2_Mg302 =  0.892
#   delr_Mg302, delr_Si328 = -0.885
#   N_O203, sigma2_O203  =  0.883
#   N_Mg302, sigma2_Si328 =  0.883
#   N_Mg302, N_Si328     =  0.883
#   N_Si328, sigma2_Mg302 = -0.878
#   N_Mg302, delr_Si328  = -0.872
#   N_Si328, delr_Si328  = -0.863
#   sigma2_Mg302, sigma2_Si328 = -0.861
#   delr_O203, e0        =  0.850
#   delr_Si328, sigma2_Si328 = -0.839
#   delr_Si328, e0       =  0.482
#   delr_O203, delr_Si328 =  0.386
#   N_Si328, e0          = -0.244
#   N_O203, e0           = -0.216
#   e0, sigma2_Si328     = -0.187
#   N_Si328, delr_O203   = -0.187
#   e0, sigma2_Mg302     =  0.179
#   N_O203, delr_Si328   = -0.139
#   delr_Si328, sigma2_O203 = -0.138
#   delr_O203, sigma2_Si328 = -0.138
#   delr_Mg302, e0       = -0.130
#   e0, sigma2_O203      = -0.124
#   delr_O203, sigma2_Mg302 =  0.124
#   sigma2_Mg302, sigma2_O203 = -0.114
#   N_Mg302, sigma2_O203 =  0.109
#   N_Mg302, e0          = -0.107
#  
# [[Dataset]]
#   unique_id            = 'd2zc77fz'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0029857, std=0.0071254)
#   epsilon_r            = 0.5268237
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  4.0593766 +/- 1.3584249  := 'N_O203 * s02'
#      e0     =  6.8931579 +/- 3.8470672  := 'e0'
#      r      =  2.0188344 +/- 0.0246917  := 'reff + delr_O203'
#      deltar = -0.0145656 +/- 0.0246917  := 'delr_O203'
#      sigma2 =  0.0083374 +/- 0.0037231  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  2.0007312 +/- 4.0584189  := 'N_Si328 * s02'
#      e0     =  6.8931579 +/- 3.8470672  := 'e0'
#      r      =  3.2798123 +/- 0.0667221  := 'reff + delr_Si328'
#      deltar =  0.0010123 +/- 0.0667221  := 'delr_Si328'
#      sigma2 =  0.0013649 +/- 0.0135488  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  0.6417873 +/- 3.4130313  := 'N_Mg302 * s02'
#      e0     =  6.8931579 +/- 3.8470672  := 'e0'
#      r      =  2.9699317 +/- 0.2157760  := 'reff + delr_Mg302'
#      deltar = -0.0474683 +/- 0.2157760  := 'delr_Mg302'
#      sigma2 =  0.0010000 +/- 0.0070028  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# r              expdata        model          feffpath_Fe_O203  feffpath_Fe_Si328  feffpath_Fe_Mg302
 2.393010029    0.579442373    0.739625344    0.098676872    0.713846591    0.950017176
 2.423689645    0.859148658    0.951449129    0.099111403    0.754287174    1.055681300
 2.454369261    1.179842750    1.205194200    0.094887245    0.806480512    1.146700169
 2.485048876    1.533413550    1.496674414    0.088178517    0.892958069    1.218550309
 2.515728492    1.908756700    1.817909802    0.081557777    1.032411940    1.267899041
 2.546408108    2.292303456    2.158269944    0.076885925    1.230827944    1.292740297
 2.577087724    2.668926086    2.505443773    0.074464489    1.481037958    1.292448941
 2.607767339    3.023038303    2.846272502    0.073152580    1.768154564    1.267745424
 2.638446955    3.339764130    3.167497421    0.071386313    2.074386757    1.220571848
 2.669126571    3.606062641    3.456447686    0.068103669    2.381553317    1.153889157
 2.699806187    3.811705539    3.701670692    0.063063912    2.672319964    1.071412547
 2.730485802    3.950018141    3.893494405    0.056746355    2.931016193    0.977307828
 2.761165418    4.018314303    4.024503982    0.050070245    3.144331495    0.875875169
 2.791845034    4.017981506    4.089911833    0.044019372    3.301922438    0.771248131
 2.822524650    3.954202277    4.087799939    0.039205547    3.396882680    0.667135200
 2.853204265    3.835330490    4.019215514    0.035550572    3.426020984    0.566627856
 2.883883881    3.671974794    3.888106130    0.032388768    3.389908026    0.472093442
 2.914563497    3.475876015    3.701087890    0.028960767    3.292674525    0.385162264
 2.945243113    3.258700652    3.467049778    0.024884336    3.141565226    0.306806929
 2.975922728    3.030905283    3.196607990    0.020391496    2.946273428    0.237500014
 3.006602344    2.800846451    2.901435042    0.016451500    2.718098304    0.177430584
 3.037281960    2.574297793    2.593498931    0.014649138    2.468982529    0.126775608
 3.067961576    2.354470353    2.284257816    0.015742250    2.210502586    0.086091549
 3.098641192    2.142512925    1.983866839    0.018376816    1.952901399    0.057015860
 3.129320807    1.938334597    1.700468387    0.020808447    1.704274195    0.042583969
 3.160000423    1.741505180    1.439656757    0.022036828    1.470038249    0.041932314
 3.190680039    1.551995504    1.204227010    0.021671597    1.252815738    0.046379137
 3.221359655    1.370608225    0.994315112    0.019728988    1.052805367    0.049337717
 3.252039270    1.199065798    0.807979040    0.016539667    0.868596912    0.048770561
 3.282718886    1.039808951    0.642143820    0.012757015    0.698232158    0.044763413
 3.313398502    0.895590344    0.493686949    0.009555988    0.540230417    0.038410035
 3.344078118    0.768932341    0.360386526    0.008733344    0.394366428    0.031570696
 3.374757733    0.661492644    0.241607744    0.010642019    0.262293033    0.026849172
 3.405437349    0.573409350    0.139271351    0.013451871    0.149296338    0.026476317
 3.436116965    0.502825465    0.064793988    0.015830488    0.077386786    0.029779037
 3.466796581    0.445928004    0.066758765    0.017215879    0.096399035    0.034042032
 3.497476196    0.397709285    0.111690892    0.017412096    0.148122230    0.037177005
 3.528155812    0.353218076    0.147901468    0.016425803    0.187996774    0.038163448
 3.558835428    0.308795835    0.168261010    0.014410925    0.209123592    0.036699451
 3.589515044    0.263066804    0.172677512    0.011664908    0.211362212    0.032954839
 3.620194659    0.218030729    0.163087208    0.008707659    0.196886305    0.027433565
 3.650874275    0.181004111    0.142631038    0.006566854    0.169271769    0.020903517
 3.681553891    0.166010996    0.115361580    0.006705595    0.133137848    0.014448244
 3.712233507    0.184417554    0.086267589    0.008792832    0.094207104    0.009877406
 3.742913122    0.230064979    0.061988083    0.011248669    0.060838056    0.009553683
 3.773592738    0.289049789    0.051173201    0.013184257    0.047994779    0.012232232
 3.804272354    0.351545891    0.055876589    0.014196525    0.060054673    0.015008091
 3.834951970    0.411882365    0.066185643    0.014120666    0.077518127    0.016818164
 3.865631585    0.466749944    0.074388955    0.012974926    0.089819169    0.017600749
 3.896311201    0.514241455    0.078199192    0.010980222    0.094721387    0.017753794
 3.926990817    0.553366044    0.078158323    0.008663089    0.093201279    0.017894262
 3.957670433    0.583723920    0.076237998    0.007101386    0.088111620    0.018559464
 3.988350049    0.605238216    0.074856150    0.007586351    0.083478231    0.019878226
 4.019029664    0.617939934    0.075665724    0.009741351    0.082970541    0.021514195
 4.049709280    0.621834981    0.078580582    0.012199237    0.087503841    0.022919444
 4.080388896    0.616877311    0.082001600    0.014099869    0.094677281    0.023594707
 4.111068512    0.603046343    0.083918216    0.015019583    0.100902954    0.023211339
 4.141748127    0.580496736    0.082772949    0.014797497    0.103287450    0.021642800
 4.172427743    0.549728304    0.077772051    0.013489019    0.100171720    0.018964152
 4.203107359    0.511719782    0.068882984    0.011380004    0.091065507    0.015452568
 4.233786975    0.467980386    0.056725574    0.009072725    0.076460019    0.011632748
 4.264466590    0.420491892    0.042466899    0.007635626    0.057651655    0.008475981
 4.295146206    0.371537660    0.027897385    0.008084923    0.036715408    0.007540134
 4.325825822    0.323447382    0.016570244    0.009921097    0.017872963    0.009106303
 4.356505438    0.278339115    0.016013928    0.011914350    0.017298580    0.011424902
 4.387185053    0.238024994    0.023584628    0.013293692    0.031991678    0.013261174
 4.417864669    0.204336396    0.030818885    0.013708933    0.045055836    0.014126669
 4.448544285    0.180042173    0.035189773    0.013082037    0.053305466    0.013898698
 4.479223901    0.169728102    0.036158098    0.011559710    0.055962900    0.012691321
 4.509903516    0.178306064    0.033873540    0.009531845    0.053099025    0.010842060
 4.540583132    0.206719120    0.028894939    0.007723413    0.045400052    0.008969446
 4.571262748    0.250875780    0.022109768    0.007153263    0.034075352    0.007993976
 4.601942364    0.304845900    0.014859372    0.008160656    0.020952006    0.008545327
 4.632621979    0.362972341    0.009868266    0.009859611    0.010441126    0.010119677
 4.663301595    0.420198592    0.011171561    0.011337130    0.014629600    0.011781792
 4.693981211    0.472014317    0.016027797    0.012105320    0.025122452    0.012911368
 4.724660827    0.514509144    0.020481938    0.011971023    0.033741885    0.013208013
 4.755340442    0.544526925    0.023248574    0.010940887    0.038867992    0.012596324
