# Results for GP17_station5_19119_11cm_022_A_fl.avg.csv "Mar-10 12:33": |chi(R)|
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 250
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 10.3879352
#   reduced chi_square   = 0.68523264
#   r-factor             = 0.01832677
#   Akaike info crit     = -2.25627005
#   Bayesian info crit   = 9.99617312
#  
# [[Parameters]]
#   N_Mg302              =  0.7623329 +/- 4.9568369  (init= 3.0200000)
#   N_O203               =  5.7580861 +/- 1.5770274  (init= 4.8600000)
#   N_Si328              =  2.9078228 +/- 5.6045002  (init= 6.0000000)
#   delr_Mg302           = -0.0244445 +/- 0.2531677  (init= 0.0060000)
#   delr_O203            = -0.0072321 +/- 0.0210895  (init=-0.0175000)
#   delr_Si328           = -0.0071235 +/- 0.0633451  (init=-0.0163000)
#   e0                   =  6.7547103 +/- 3.4459818  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0010102 +/- 0.0356039  (init= 0.0050000)
#   sigma2_O203          =  0.0078149 +/- 0.0029691  (init= 0.0093500)
#   sigma2_Si328         =  0.0010000 +/- 2.9285e-5  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Si328, sigma2_Si328 =  0.979
#   N_Mg302, sigma2_Mg302 =  0.977
#   N_Si328, delr_Mg302  =  0.959
#   N_Mg302, delr_Mg302  =  0.957
#   delr_Mg302, delr_Si328 = -0.938
#   delr_Mg302, sigma2_Mg302 =  0.925
#   N_Mg302, N_Si328     =  0.922
#   N_Mg302, delr_Si328  = -0.919
#   delr_Mg302, sigma2_Si328 =  0.914
#   N_Si328, delr_Si328  = -0.907
#   delr_Si328, sigma2_Mg302 = -0.899
#   N_O203, sigma2_O203  =  0.884
#   N_Mg302, sigma2_Si328 =  0.873
#   N_Si328, sigma2_Mg302 =  0.872
#   delr_O203, e0        =  0.867
#   delr_Si328, sigma2_Si328 = -0.852
#   sigma2_Mg302, sigma2_Si328 =  0.793
#   delr_Si328, e0       =  0.675
#   delr_O203, delr_Si328 =  0.568
#   N_Si328, e0          = -0.490
#   delr_Mg302, e0       = -0.473
#   e0, sigma2_Mg302     = -0.465
#   N_Mg302, e0          = -0.429
#   e0, sigma2_Si328     = -0.427
#   N_Si328, delr_O203   = -0.409
#   delr_Mg302, delr_O203 = -0.392
#   delr_O203, sigma2_Mg302 = -0.383
#   delr_O203, sigma2_Si328 = -0.353
#   N_Mg302, delr_O203   = -0.351
#   N_O203, e0           = -0.231
#   N_O203, delr_Si328   = -0.163
#   e0, sigma2_O203      = -0.156
#   delr_Si328, sigma2_O203 = -0.153
#   sigma2_Mg302, sigma2_O203 =  0.132
#   N_Mg302, sigma2_O203 =  0.129
#   delr_Mg302, sigma2_O203 =  0.124
#   N_O203, sigma2_Mg302 =  0.124
#   N_Si328, sigma2_O203 =  0.120
#   N_Mg302, N_O203      =  0.113
#   N_O203, delr_Mg302   =  0.110
#   sigma2_O203, sigma2_Si328 =  0.109
#   N_O203, N_Si328      =  0.106
#  
# [[Dataset]]
#   unique_id            = 'd3ztnypn'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0022991, std=0.0056753)
#   epsilon_r            = 0.4056775
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  4.0306603 +/- 1.1039192  := 'N_O203 * s02'
#      e0     =  6.7547103 +/- 3.4459818  := 'e0'
#      r      =  2.0261679 +/- 0.0210895  := 'reff + delr_O203'
#      deltar = -0.0072321 +/- 0.0210895  := 'delr_O203'
#      sigma2 =  0.0078149 +/- 0.0029691  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  2.0354760 +/- 3.9231502  := 'N_Si328 * s02'
#      e0     =  6.7547103 +/- 3.4459818  := 'e0'
#      r      =  3.2716765 +/- 0.0633451  := 'reff + delr_Si328'
#      deltar = -0.0071235 +/- 0.0633451  := 'delr_Si328'
#      sigma2 =  0.0010000 +/- 2.9285e-5  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  0.5336331 +/- 3.4697858  := 'N_Mg302 * s02'
#      e0     =  6.7547103 +/- 3.4459818  := 'e0'
#      r      =  2.9929555 +/- 0.2531677  := 'reff + delr_Mg302'
#      deltar = -0.0244445 +/- 0.2531677  := 'delr_Mg302'
#      sigma2 =  0.0010102 +/- 0.0356039  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# r              expdata        model        
 4.939418137    0.263562642    9.015926e-4
 4.970097753    0.213118979    0.001874354
 5.000777369    0.163693418    0.002739966
 5.031456984    0.117461238    0.003355316
 5.062136600    0.076644590    0.003651062
 5.092816216    0.043974490    0.003597840
 5.123495832    0.025076527    0.003208184
 5.154175447    0.025733377    0.002544123
 5.184855063    0.032115285    0.001747858
 5.215534679    0.034226990    0.001201425
 5.246214295    0.031282666    0.001514928
 5.276893910    0.027024807    0.002290392
 5.307573526    0.030697925    0.003010548
 5.338253142    0.046985323    0.003487714
 5.368932758    0.071110475    0.003643793
 5.399612373    0.099298484    0.003459400
 5.430291989    0.129517369    0.002965737
 5.460971605    0.160379614    0.002247839
 5.491651221    0.190744667    0.001480880
 5.522330836    0.219573163    0.001103351
 5.553010452    0.245867378    0.001509167
 5.583690068    0.268660810    0.002159075
 5.614369684    0.287048021    0.002674118
 5.645049299    0.300247912    0.002928371
 5.675728915    0.307689960    0.002883228
 5.706408531    0.309110113    0.002553247
 5.737088147    0.304642228    0.001999943
 5.767767762    0.294891476    0.001345128
 5.798447378    0.280975313    8.759278e-4
 5.829126994    0.264511326    0.001056144
 5.859806610    0.247514765    0.001568282
 5.890486225    0.232146539    0.001999717
 5.921165841    0.220263450    0.002218418
 5.951845457    0.212845447    0.002184383
 5.982525073    0.209596125    0.001904497
 6.013204689    0.209046292    0.001420763
 6.043884304    0.209127776    8.049083e-4
 6.074563920    0.207832521    2.268004e-4
 6.105243536    0.203646280    6.055757e-4
 6.135923152    0.195713327    0.001141232
 6.166602767    0.183822724    0.001519894
 6.197282383    0.168303582    0.001691709
 6.227961999    0.149880020    0.001642091
 6.258641615    0.129513311    0.001385736
 6.289321230    0.108252038    9.630957e-4
 6.320000846    0.087115564    4.362007e-4
 6.350680462    0.067052066    1.628763e-4
 6.381360078    0.049058206    6.773825e-4
 6.412039693    0.034679546    0.001105949
 6.442719309    0.027005611    0.001383379
 6.473398925    0.028746113    0.001478745
 6.504078541    0.036607479    0.001385788
 6.534758156    0.046180711    0.001122735
 6.565437772    0.055723308    7.312754e-4
 6.596117388    0.065137789    2.938738e-4
 6.626797004    0.075324338    3.319933e-4
 6.657476619    0.087803902    7.541554e-4
 6.688156235    0.104109144    0.001105542
 6.718835851    0.125067285    0.001323618
 6.749515467    0.150429350    0.001382994
 6.780195082    0.178974469    0.001280927
 6.810874698    0.208833093    0.001035111
 6.841554314    0.237809661    6.805113e-4
 6.872233930    0.263653846    2.665277e-4
 6.902913545    0.284295883    1.815147e-4
 6.933593161    0.298058428    5.635032e-4
 6.964272777    0.303844072    8.686367e-4
 6.994952393    0.301291722    0.001060437
 7.025632009    0.290895791    0.001123198
 7.056311624    0.274084272    0.001058385
 7.086991240    0.253244723    8.832243e-4
 7.117670856    0.231646080    6.279082e-4
 7.148350472    0.213093891    3.339051e-4
 7.179030087    0.201039667    1.134528e-4
 7.209709703    0.197159190    2.997716e-4
 7.240389319    0.200396807    5.169357e-4
 7.271068935    0.207615188    6.721926e-4
 7.301748550    0.215240130    7.605277e-4
 7.332428166    0.220467648    7.931823e-4
 7.363107782    0.221647307    7.891331e-4
 7.393787398    0.218195002    7.652221e-4
 7.424467013    0.210344416    7.261724e-4
 7.455146629    0.198862707    6.616433e-4
 7.485826245    0.184771461    5.533875e-4
 7.516505861    0.169098838    3.865942e-4
 7.547185476    0.152696804    1.616223e-4
 7.577865092    0.136162557    1.518240e-4
 7.608544708    0.119890206    4.630378e-4
 7.639224324    0.104245092    7.831403e-4
 7.669903939    0.089812215    0.001069405
 7.700583555    0.077621778    0.001285710
 7.731263171    0.069133662    0.001403250
 7.761942787    0.065589339    0.001405950
 7.792622402    0.066838454    0.001296552
 7.823302018    0.071060293    0.001105826
 7.853981634    0.075880146    9.120073e-4
 7.884661250    0.079382060    8.563461e-4
 7.915340865    0.080376143    0.001023832
 7.946020481    0.078320202    0.001315103
 7.976700097    0.073183362    0.001602937
 8.007379713    0.065312841    0.001810425
 8.038059329    0.055299678    0.001897318
 8.068738944    0.043837473    0.001850949
 8.099418560    0.031578236    0.001685586
 8.130098176    0.019002696    0.001447021
 8.160777792    0.006370276    0.001222569
 8.191457407    0.006777124    0.001134779
 8.222137023    0.020126071    0.001244816
 8.252816639    0.034400693    0.001469377
 8.283496255    0.049803355    0.001688372
 8.314175870    0.066356773    0.001823997
 8.344855486    0.083835811    0.001839371
 8.375535102    0.101810150    0.001728934
 8.406214718    0.119730422    0.001515270
 8.436894333    0.137025476    0.001252289
 8.467573949    0.153190310    0.001034767
 8.498253565    0.167852454    9.804464e-4
 8.528933181    0.180809243    0.001109906
 8.559612796    0.192031285    0.001312176
 8.590292412    0.201630612    0.001480516
 8.620972028    0.209797036    0.001557764
 8.651651644    0.216713461    0.001522842
 8.682331259    0.222468647    0.001380641
 8.713010875    0.226990076    0.001158975
 8.743690491    0.230016227    9.125493e-4
 8.774370107    0.231116401    7.354690e-4
 8.805049722    0.229752209    7.320943e-4
 8.835729338    0.225364595    8.780924e-4
 8.866408954    0.217467387    0.001055313
 8.897088570    0.205731695    0.001185322
 8.927768185    0.190051745    0.001233728
 8.958447801    0.170589583    0.001191390
 8.989127417    0.147803886    0.001065865
 9.019807033    0.122481771    8.783653e-4
 9.050486649    0.095830865    6.659121e-4
 9.081166264    0.069830117    4.956363e-4
 9.111845880    0.048554203    4.699292e-4
 9.142525496    0.040724465    5.949476e-4
 9.173205112    0.050680297    7.645551e-4
 9.203884727    0.068412027    9.109505e-4
 9.234564343    0.086391767    0.001005192
 9.265243959    0.101746838    0.001035124
 9.295923575    0.113262300    9.980837e-4
 9.326603190    0.120366324    8.996922e-4
 9.357282806    0.122831996    7.564745e-4
 9.387962422    0.120669890    6.051561e-4
 9.418642038    0.114079208    5.204073e-4
 9.449321653    0.103420788    5.812833e-4
 9.480001269    0.089199298    7.555029e-4
 9.510680885    0.072048293    9.576214e-4
 9.541360501    0.052714115    0.001131418
 9.572040116    0.032039269    0.001244862
 9.602719732    0.011013976    0.001281361
 9.633399348    0.010218003    0.001238793
 9.664078964    0.029504097    0.001132522
