# Results for GP17_station15_19908_1cm_035_A_fl_avg.csv "Mar-10 12:35": |chi(R)|
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 152
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 14.7221844
#   reduced chi_square   = 0.97113826
#   r-factor             = 0.02154100
#   Akaike info crit     = 6.51718725
#   Bayesian info crit   = 18.7696304
#  
# [[Parameters]]
#   N_Mg302              =  1.0283617 +/- 20.127843  (init= 3.0200000)
#   N_O203               =  6.0948482 +/- 7.5244629  (init= 4.8600000)
#   N_Si328              =  2.5842898 +/- 23.062621  (init= 6.0000000)
#   delr_Mg302           = -0.0468532 +/- 0.7969750  (init= 0.0060000)
#   delr_O203            = -0.0110993 +/- 0.0937951  (init=-0.0175000)
#   delr_Si328           = -0.0076118 +/- 0.2866152  (init=-0.0163000)
#   e0                   =  6.6272992 +/- 14.690060  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0010000 +/- 0.0332014  (init= 0.0050000)
#   sigma2_O203          =  0.0086939 +/- 0.0139129  (init= 0.0093500)
#   sigma2_Si328         =  0.0010000 +/- 0.0013771  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Si328, sigma2_Si328 = -0.987
#   N_Mg302, sigma2_Mg302 = -0.985
#   N_Si328, delr_Mg302  =  0.955
#   N_Mg302, delr_Mg302  =  0.951
#   delr_Mg302, sigma2_Si328 = -0.946
#   delr_Mg302, sigma2_Mg302 = -0.935
#   delr_Si328, sigma2_Mg302 =  0.915
#   delr_Mg302, delr_Si328 = -0.914
#   N_Mg302, N_Si328     =  0.908
#   N_Mg302, delr_Si328  = -0.906
#   N_Mg302, sigma2_Si328 = -0.897
#   N_Si328, delr_Si328  = -0.895
#   N_Si328, sigma2_Mg302 = -0.894
#   N_O203, sigma2_O203  =  0.885
#   delr_Si328, sigma2_Si328 =  0.867
#   sigma2_Mg302, sigma2_Si328 =  0.866
#   delr_O203, e0        =  0.859
#   delr_Si328, e0       =  0.497
#   delr_O203, delr_Si328 =  0.394
#   N_Si328, e0          = -0.301
#   e0, sigma2_Mg302     =  0.252
#   e0, sigma2_Si328     =  0.249
#   N_O203, e0           = -0.233
#   N_Si328, delr_O203   = -0.229
#   delr_Mg302, e0       = -0.201
#   N_Mg302, e0          = -0.191
#   delr_O203, sigma2_Si328 =  0.182
#   delr_O203, sigma2_Mg302 =  0.179
#   delr_Si328, sigma2_O203 = -0.162
#   N_O203, delr_Si328   = -0.160
#   sigma2_Mg302, sigma2_O203 = -0.142
#   e0, sigma2_O203      = -0.142
#   delr_Mg302, delr_O203 = -0.139
#   N_Mg302, sigma2_O203 =  0.137
#   N_Si328, sigma2_O203 =  0.127
#   N_Mg302, delr_O203   = -0.125
#   delr_Mg302, sigma2_O203 =  0.124
#   sigma2_O203, sigma2_Si328 = -0.121
#   N_O203, sigma2_Mg302 = -0.115
#   N_Mg302, N_O203      =  0.103
#  
# [[Dataset]]
#   unique_id            = 'dppalyzm'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0020754, std=0.0046797)
#   epsilon_r            = 0.3662068
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  4.2663938 +/- 5.2671240  := 'N_O203 * s02'
#      e0     =  6.6272992 +/- 14.690060  := 'e0'
#      r      =  2.0223007 +/- 0.0937951  := 'reff + delr_O203'
#      deltar = -0.0110993 +/- 0.0937951  := 'delr_O203'
#      sigma2 =  0.0086939 +/- 0.0139129  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  1.8090029 +/- 16.143834  := 'N_Si328 * s02'
#      e0     =  6.6272992 +/- 14.690060  := 'e0'
#      r      =  3.2711882 +/- 0.2866152  := 'reff + delr_Si328'
#      deltar = -0.0076118 +/- 0.2866152  := 'delr_Si328'
#      sigma2 =  0.0010000 +/- 0.0013771  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  0.7198532 +/- 14.089490  := 'N_Mg302 * s02'
#      e0     =  6.6272992 +/- 14.690060  := 'e0'
#      r      =  2.9705468 +/- 0.7969750  := 'reff + delr_Mg302'
#      deltar = -0.0468532 +/- 0.7969750  := 'delr_Mg302'
#      sigma2 =  0.0010000 +/- 0.0332014  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# r              expdata        model          feffpath_Fe_O203  feffpath_Fe_Si328  feffpath_Fe_Mg302
 0.000000000    0.003682770    0.002412833    0.018731583    0.028854273    0.007709857
 0.030679616    0.003129745    0.004162695    0.019792664    0.029539450    0.008158317
 0.061359232    0.001584727    0.010488062    0.021879189    0.031147772    0.009173210
 0.092038847    6.893843e-4    0.020177305    0.023229240    0.032716022    0.010143885
 0.122718463    0.003126383    0.031288858    0.023333615    0.033400222    0.010621852
 0.153398079    0.005283832    0.041739467    0.023800471    0.032833721    0.010417825
 0.184077695    0.006657246    0.049565892    0.027763553    0.031243443    0.009598429
 0.214757310    0.006892850    0.053337764    0.036372136    0.029431685    0.008498887
 0.245436926    0.005854388    0.052679046    0.047598931    0.028515832    0.007713619
 0.276116542    0.003679171    0.049014403    0.058715469    0.029237207    0.007812248
 0.306796158    9.791593e-4    0.046499947    0.067569387    0.031293809    0.008745539
 0.337475773    0.002628430    0.050850914    0.072958134    0.033582496    0.009902902
 0.368155389    0.005179465    0.063327387    0.074987042    0.034968851    0.010700295
 0.398835005    0.006581781    0.079595521    0.075417288    0.034764042    0.010814944
 0.429514621    0.006436247    0.094785325    0.077504276    0.032895379    0.010198127
 0.460194236    0.005092643    0.105582235    0.084405380    0.029990843    0.009088061
 0.490873852    0.004667554    0.110683375    0.096799048    0.027398493    0.008044932
 0.521553468    0.006810789    0.111596506    0.112770818    0.026760611    0.007810401
 0.552233084    0.008483310    0.113767413    0.130037980    0.028717025    0.008641456
 0.582912699    0.006332408    0.125849830    0.147936136    0.032183123    0.009963748
 0.613592315    0.005342336    0.153948310    0.168343363    0.035438655    0.011026766
 0.644271931    0.025932833    0.197037199    0.195347819    0.037187444    0.011343845
 0.674951547    0.062311459    0.250270566    0.233334134    0.036834333    0.010748038
 0.705631162    0.117367999    0.309058732    0.284556662    0.034518065    0.009430465
 0.736310778    0.193808202    0.370446234    0.348260537    0.031154331    0.008078987
 0.766990394    0.293260415    0.433425735    0.421611920    0.028401184    0.007886351
 0.797670010    0.415904886    0.498941327    0.501164714    0.028000106    0.009403185
 0.828349625    0.560236291    0.569527246    0.584098675    0.030229631    0.011697572
 0.859029241    0.722985061    0.648493238    0.669121640    0.033545672    0.013618999
 0.889708857    0.899233789    0.738842579    0.756999061    0.036064425    0.014397334
 0.920388473    1.082757140    0.842378166    0.850566363    0.036576045    0.013596149
 0.951068088    1.266602080    0.959421418    0.954095043    0.034780796    0.011100102
 0.981747704    1.443911533    1.089231832    1.072120719    0.031417920    0.007291667
 1.012427320    1.608976567    1.230882422    1.208194527    0.028443428    0.004644504
 1.043106936    1.758471190    1.384233455    1.364167112    0.028480252    0.008410516
 1.073786552    1.892758845    1.550690541    1.540337861    0.032336282    0.014677118
 1.104466167    2.017026433    1.733506266    1.736307640    0.037902885    0.020700258
 1.135145783    2.141777677    1.937467084    1.952045795    0.042430228    0.025384227
 1.165825399    2.281990826    2.167950130    2.188648601    0.043935733    0.027958961
 1.196505015    2.454355901    2.429546773    2.448417795    0.041386695    0.027901667
 1.227184630    2.672893085    2.724633962    2.734127820    0.034852604    0.024985816
 1.257864246    2.944622751    3.052293980    3.047641404    0.026306398    0.019333688
 1.288543862    3.267359403    3.407812987    3.388296911    0.022330142    0.011487772
 1.319223478    3.630327274    3.782756841    3.751594429    0.030354316    0.003559020
 1.349903093    4.016582951    4.165476182    4.128581971    0.044858060    0.009283966
 1.380582709    4.405816100    4.541870037    4.506073294    0.059177514    0.018423448
 1.411262325    4.776727084    4.896283887    4.867579837    0.069687894    0.025892911
 1.441941941    5.108825717    5.212471111    5.194712796    0.074015853    0.030451273
 1.472621556    5.383762512    5.474577060    5.468799785    0.070629231    0.031319562
 1.503301172    5.586320099    5.668112602    5.672504907    0.058886233    0.028355264
 1.533980788    5.705136455    5.780878683    5.791294406    0.039216307    0.022758015
 1.564660404    5.733183903    5.803794842    5.814634280    0.014588214    0.019418193
 1.595340019    5.668004138    5.731578868    5.736841508    0.023149907    0.026131720
 1.626019635    5.511694733    5.563224951    5.557541766    0.055950871    0.040627355
 1.656699251    5.270648704    5.302234921    5.281716961    0.088549299    0.057275508
 1.687378867    4.955060192    4.956571053    4.919356242    0.116789256    0.072772716
 1.718058482    4.578222505    4.538318167    4.484752881    0.137425271    0.084828038
 1.748738098    4.155657401    4.063065323    3.995514586    0.147928659    0.091821526
 1.779417714    3.704125198    3.549040898    3.471374028    0.146795476    0.093061300
 1.810097330    3.240573602    3.016056823    2.932898201    0.133891699    0.089410198
 1.840776945    2.781089421    2.484335968    2.400198600    0.110908029    0.084387715
 1.871456561    2.339923494    1.973309699    1.891739144    0.082490970    0.085021754
 1.902136177    1.928668857    1.500480369    1.423326036    0.060246389    0.098462084
 1.932815793    1.555690472    1.080449525    1.007344817    0.064072334    0.124992739
 1.963495408    1.225936403    0.724232937    0.652287485    0.089765979    0.159279885
 1.994175024    0.941306056    0.439093405    0.362593325    0.117379720    0.195610032
 2.024854640    0.701812733    0.229769211    0.138877869    0.136873397    0.229549154
 2.055534256    0.507876662    0.105869520    0.025318698    0.144457864    0.258188880
 2.086213872    0.364053388    0.083861605    0.128009362    0.141456248    0.280604402
 2.116893487    0.281478521    0.095453296    0.184294473    0.137152991    0.298667025
 2.147573103    0.263552669    0.089977592    0.202226991    0.150501590    0.317846981
 2.178252719    0.282023897    0.080537556    0.192261774    0.195694057    0.346922610
 2.208932335    0.298850861    0.101187111    0.165057760    0.267515328    0.395153739
 2.239611950    0.289849621    0.155736231    0.131194051    0.353166938    0.467861550
 2.270291566    0.242669705    0.228916634    0.101343474    0.441248108    0.564405144
 2.300971182    0.158356220    0.318054526    0.085231241    0.522538804    0.679741773
 2.331650798    0.119944911    0.429843530    0.084922732    0.590254768    0.806805635
 2.362330413    0.283827083    0.574019171    0.091868779    0.641237542    0.937969713
 2.393010029    0.543290900    0.758231334    0.097587263    0.677979514    1.065743781
 2.423689645    0.858837409    0.985357865    0.098736562    0.711031954    1.183170387
 2.454369261    1.216623718    1.253281898    0.095446838    0.759918852    1.284134466
 2.485048876    1.603405742    1.555814976    0.089521711    0.848522070    1.363634155
