# Results for GP17_station5_19119_7cm_018_A_fl.avg.csv "Mar-10 12:33": |chi(R)|
# =================== FEFFIT RESULTS ====================
# [[Statistics]]
#   n_function_calls     = 141
#   n_variables          = 10
#   n_data_points        = 196
#   n_independent        = 25.1597204
#   chi_square           = 8.32878037
#   reduced chi_square   = 0.54940198
#   r-factor             = 0.02063584
#   Akaike info crit     = -7.81475736
#   Bayesian info crit   = 4.43768581
#  
# [[Parameters]]
#   N_Mg302              =  1.9099998 +/- 5.6308898  (init= 3.0200000)
#   N_O203               =  6.0638845 +/- 1.5545389  (init= 4.8600000)
#   N_Si328              =  2.9957430 +/- 3.9801188  (init= 6.0000000)
#   delr_Mg302           = -0.0036105 +/- 0.1257618  (init= 0.0060000)
#   delr_O203            = -0.0091664 +/- 0.0201108  (init=-0.0175000)
#   delr_Si328           = -0.0114609 +/- 0.0277136  (init=-0.0163000)
#   e0                   =  6.6455707 +/- 3.2742145  (init= 5.7000000)
#   s02                  =  0.7000000 (fixed)
#   sigma2_Mg302         =  0.0062646 +/- 0.0227159  (init= 0.0050000)
#   sigma2_O203          =  0.0080058 +/- 0.0027874  (init= 0.0093500)
#   sigma2_Si328         =  0.0010000 +/- 2.1719e-4  (init= 0.0050000)
#  
# [[Correlations]] (unreported correlations are <  0.100)
#   N_Mg302, sigma2_Mg302 =  0.922
#   N_Si328, sigma2_Si328 = -0.914
#   N_Mg302, delr_Mg302  =  0.905
#   N_Si328, delr_Mg302  =  0.889
#   N_O203, sigma2_O203  =  0.884
#   delr_O203, e0        =  0.872
#   N_Mg302, N_Si328     =  0.839
#   delr_Mg302, sigma2_Mg302 =  0.807
#   delr_Si328, e0       =  0.721
#   N_Si328, delr_Si328  = -0.690
#   delr_Mg302, sigma2_Si328 = -0.680
#   delr_Mg302, delr_Si328 = -0.655
#   N_Si328, sigma2_Mg302 =  0.653
#   N_Mg302, sigma2_Si328 = -0.624
#   delr_O203, delr_Si328 =  0.619
#   N_Mg302, delr_Si328  = -0.616
#   delr_Si328, sigma2_Si328 =  0.589
#   delr_Si328, sigma2_Mg302 = -0.458
#   N_Si328, e0          = -0.406
#   e0, sigma2_Mg302     = -0.399
#   delr_Mg302, e0       = -0.390
#   N_Mg302, e0          = -0.364
#   sigma2_Mg302, sigma2_Si328 = -0.359
#   N_Si328, delr_O203   = -0.344
#   delr_O203, sigma2_Mg302 = -0.332
#   delr_Mg302, delr_O203 = -0.330
#   N_Mg302, delr_O203   = -0.299
#   e0, sigma2_Si328     =  0.257
#   N_O203, e0           = -0.232
#   delr_O203, sigma2_Si328 =  0.216
#   N_O203, delr_Si328   = -0.168
#   e0, sigma2_O203      = -0.136
#   N_O203, sigma2_Mg302 =  0.133
#   delr_Si328, sigma2_O203 = -0.118
#   N_Mg302, N_O203      =  0.115
#   sigma2_Mg302, sigma2_O203 =  0.104
#   N_Mg302, sigma2_O203 =  0.101
#  
# [[Dataset]]
#   unique_id            = 'dsb25b6u'
#   fit space            = 'r'
#   r-range              = 0.900, 3.900
#   k-range              = 0.100, 12.750
#   k window, dk         = 'Kaiser-Bessel', 3.000
#   paths used in fit    = ['/Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat', '/Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat']
#   k-weight             = 3
#   epsilon_k            = Array(mean=0.0027735, std=0.0070105)
#   epsilon_r            = 0.4893763
#   n_independent        = 25.160
#  
# [[Paths]]
#  = Path 'Fe_O203' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe1_K_Nontronite_cif7180/feff0002.dat, from feff run 'Fe1_K_Nontronite_cif7180'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#                O       0.6522, -1.5236, -1.1781  1
#      reff   =  2.0334000
#      degen  =  2.0000000
#      n*s02  =  4.2447192 +/- 1.0881772  := 'N_O203 * s02'
#      e0     =  6.6455707 +/- 3.2742145  := 'e0'
#      r      =  2.0242336 +/- 0.0201108  := 'reff + delr_O203'
#      deltar = -0.0091664 +/- 0.0201108  := 'delr_O203'
#      sigma2 =  0.0080058 +/- 0.0027874  := 'sigma2_O203'
# 
#  = Path 'Fe_Si328' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0009.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Si       0.3824, -1.5411, -2.8686  3
#      reff   =  3.2788000
#      degen  =  2.0000000
#      n*s02  =  2.0970201 +/- 2.7860832  := 'N_Si328 * s02'
#      e0     =  6.6455707 +/- 3.2742145  := 'e0'
#      r      =  3.2673391 +/- 0.0277136  := 'reff + delr_Si328'
#      deltar = -0.0114609 +/- 0.0277136  := 'delr_Si328'
#      sigma2 =  0.0010000 +/- 2.1719e-4  := 'sigma2_Si328'
# 
#  = Path 'Fe_Mg302' Fe K Edge
#     feffdat file = /Users/christiandewey/.larch/feff/Fe2_K_Biotite_cif861/feff0004.dat, from feff run 'Fe2_K_Biotite_cif861'
#     geometry  atom      x        y        z      ipot
#               Fe      -0.0000, -0.0000, -0.0000  0 (absorber)
#               Mg      -2.6190, -1.4241,  0.4666  5
#      reff   =  3.0174000
#      degen  =  2.0000000
#      n*s02  =  1.3369999 +/- 3.9416229  := 'N_Mg302 * s02'
#      e0     =  6.6455707 +/- 3.2742145  := 'e0'
#      r      =  3.0137895 +/- 0.1257618  := 'reff + delr_Mg302'
#      deltar = -0.0036105 +/- 0.1257618  := 'delr_Mg302'
#      sigma2 =  0.0062646 +/- 0.0227159  := 'sigma2_Mg302'
# 
# =======================================================
## 
#---------------------------------------------------------------------------
# r              expdata        model        
 0.000000000    0.008712770    0.030760386
 0.030679616    0.007966683    0.030333713
 0.061359232    0.006252775    0.029399288
 0.092038847    0.005611792    0.028869547
 0.122718463    0.007862523    0.029730711
 0.153398079    0.011153715    0.032275090
 0.184077695    0.013650645    0.035868092
 0.214757310    0.014426016    0.039520366
 0.245436926    0.013115165    0.042496091
 0.276116542    0.009891829    0.044586227
 0.306796158    0.005705895    0.046148963
 0.337475773    0.004267987    0.047955755
 0.368155389    0.007776693    0.050802521
 0.398835005    0.011068351    0.055024802
 0.429514621    0.012373469    0.060299477
 0.460194236    0.011384002    0.065900837
 0.490873852    0.008790789    0.071146802
 0.521553468    0.006257260    0.075756625
 0.552233084    0.004603367    0.080036349
 0.582912699    0.003302072    0.084859385
 0.613592315    0.014767307    0.091385565
 0.644271931    0.040796615    0.100567437
 0.674951547    0.084392799    0.112737231
 0.705631162    0.148958967    0.127585515
 0.736310778    0.236761913    0.144487784
 0.766990394    0.348444546    0.162891676
 0.797670010    0.482716218    0.182567097
 0.828349625    0.636241857    0.203673079
 0.859029241    0.803774828    0.226663120
 0.889708857    0.978564332    0.252083739
 0.920388473    1.153048479    0.280353721
 0.951068088    1.319822825    0.311620504
 0.981747704    1.472850010    0.345751052
 1.012427320    1.608839968    0.382447331
 1.043106936    1.728657731    0.421425268
 1.073786552    1.838465474    0.462582030
 1.104466167    1.950054080    0.506089871
 1.135145783    2.079596584    0.552380122
 1.165825399    2.244312594    0.602012247
 1.196505015    2.457730670    0.655457533
 1.227184630    2.725701723    0.712856342
 1.257864246    3.045190726    0.773817533
 1.288543862    3.405873197    0.837311574
 1.319223478    3.792944740    0.901674191
 1.349903093    4.189672959    0.964704674
 1.380582709    4.579137604    1.023826259
 1.411262325    4.945228263    1.076275896
 1.441941941    5.273149216    1.119299454
 1.472621556    5.549657794    1.150337961
 1.503301172    5.763199984    1.167196947
 1.533980788    5.904052182    1.168193815
 1.564660404    5.964530886    1.152278601
 1.595340019    5.939287743    1.119122937
 1.626019635    5.825666266    1.069171635
 1.656699251    5.624063777    1.003651796
 1.687378867    5.338223168    0.924535991
 1.718058482    4.975376779    0.834458934
 1.748738098    4.546178349    0.736590766
 1.779417714    4.064384697    0.634474459
 1.810097330    3.546281055    0.531839338
 1.840776945    3.009876787    0.432407389
 1.871456561    2.473926914    0.339713980
 1.902136177    1.956856171    0.256970156
 1.932815793    1.475675714    0.186995561
 1.963495408    1.044992303    0.132208893
 1.994175024    0.676237248    0.094373051
 2.024854640    0.377423962    0.073022171
 2.055534256    0.155664706    0.062925163
 2.086213872    0.064680439    0.056246606
 2.116893487    0.128637653    0.047905378
 2.147573103    0.165111079    0.036619377
 2.178252719    0.162166590    0.023893300
 2.208932335    0.130525593    0.016071870
 2.239611950    0.081574982    0.023149827
 2.270291566    0.025790462    0.037195475
 2.300971182    0.055217716    0.052086628
 2.331650798    0.145947258    0.067044013
 2.362330413    0.271785950    0.082895757
 2.393010029    0.443128008    0.101102273
 2.423689645    0.665583303    0.123113960
 2.454369261    0.938615498    0.149869227
 2.485048876    1.256114728    0.181591288
 2.515728492    1.607377007    0.217853711
 2.546408108    1.978234239    0.257743789
 2.577087724    2.352314795    0.300003238
 2.607767339    2.712406661    0.343120994
 2.638446955    3.041854296    0.385398823
 2.669126571    3.325892482    0.425015902
 2.699806187    3.552809715    0.460109255
 2.730485802    3.714837628    0.488875763
 2.761165418    3.808678665    0.509692059
 2.791845034    3.835609244    0.521242014
 2.822524650    3.801127989    0.522637901
 2.853204265    3.714157996    0.513520523
 2.883883881    3.585860645    0.494125284
 2.914563497    3.428179887    0.465304725
 2.945243113    3.252310218    0.428502830
 2.975922728    3.067353489    0.385681435
 3.006602344    2.879458633    0.339203396
 3.037281960    2.691669968    0.291678917
 3.067961576    2.504523079    0.245777497
 3.098641192    2.317184563    0.203993856
 3.129320807    2.128759274    0.168332526
 3.160000423    1.939378272    0.139878284
 3.190680039    1.750814119    0.118354925
 3.221359655    1.566548444    0.102058501
 3.252039270    1.391348753    0.088514249
 3.282718886    1.230468486    0.075513919
 3.313398502    1.088599091    0.061808263
 3.344078118    0.968746238    0.047252010
 3.374757733    0.871327966    0.032762887
 3.405437349    0.793917310    0.020859054
 3.436116965    0.731913218    0.017293151
 3.466796581    0.679921797    0.023052260
 3.497476196    0.633196692    0.030515893
 3.528155812    0.588593786    0.036051164
 3.558835428    0.544953110    0.038724224
 3.589515044    0.503130705    0.038523332
 3.620194659    0.465881564    0.035914575
 3.650874275    0.437531197    0.031681453
 3.681553891    0.423043086    0.026821369
 3.712233507    0.426178324    0.022420479
 3.742913122    0.447545031    0.019373748
 3.773592738    0.484254042    0.017876418
 3.804272354    0.531452517    0.017223199
 3.834951970    0.584148054    0.016410335
 3.865631585    0.638197279    0.014767070
 3.896311201    0.690516637    0.012091876
 3.926990817    0.738905924    0.008584189
 3.957670433    0.781736384    0.004968467
 3.988350049    0.817626573    0.003908050
 4.019029664    0.845180904    0.006802919
 4.049709280    0.862845533    0.010178212
 4.080388896    0.868909644    0.012831245
 4.111068512    0.861643958    0.014404373
 4.141748127    0.839534498    0.014786378
 4.172427743    0.801550489    0.014023770
 4.203107359    0.747384378    0.012286950
 4.233786975    0.677615201    0.009843918
 4.264466590    0.593766594    0.007049326
 4.295146206    0.498252098    0.004417099
 4.325825822    0.394221081    0.003035457
 4.356505438    0.285345761    0.003871777
 4.387185053    0.175685791    0.005390460
 4.417864669    0.070978363    0.006560606
 4.448544285    0.046680517    0.007125534
 4.479223901    0.135051508    0.007050799
 4.509903516    0.218952910    0.006396408
 4.540583132    0.292971896    0.005280150
 4.571262748    0.356481944    0.003868004
 4.601942364    0.409693749    0.002417435
 4.632621979    0.453115166    0.001591509
 4.663301595    0.487228597    0.002233728
 4.693981211    0.512278563    0.003375210
 4.724660827    0.528195104    0.004343599
