#saved Sat Mar  7 13:33:27 2026
#saving x array=k, y array=chi
#GP17_station5_19119_1cm_015_A.001: GP17_station5_19119_1cm_015_A.001
#------------------------------------------
# k, GP17_station5_19119_1cm_015_A.001
 5.35000000, -0.02795032
 5.40000000, -0.02541979
 5.45000000, -0.02597045
 5.50000000, -0.02328218
 5.55000000, -0.01827877
 5.60000000, -0.00979148
 5.65000000, -0.00753797
 5.70000000, -0.00242921
 5.75000000,  1.14322e-4
 5.80000000,  0.00613107
 5.85000000,  0.00944126
 5.90000000,  0.01203919
 5.95000000,  0.01609314
 6.00000000,  0.01866594
 6.05000000,  0.01985788
 6.10000000,  0.02043331
 6.15000000,  0.02460057
 6.20000000,  0.01886740
 6.25000000,  0.01810211
 6.30000000,  0.01951010
 6.35000000,  0.01478702
 6.40000000,  0.01402128
 6.45000000,  0.01174994
 6.50000000,  0.00705991
 6.55000000,  0.00190230
 6.60000000,  0.00196364
 6.65000000,  0.00523209
 6.70000000, -0.00492532
 6.75000000, -0.00398733
 6.80000000, -0.00192923
 6.85000000, -0.00602064
 6.90000000, -0.00869237
 6.95000000, -0.01126717
 7.00000000, -0.01069677
 7.05000000, -0.01004312
 7.10000000, -0.00940133
 7.15000000, -0.00666942
 7.20000000, -0.00545967
 7.25000000, -0.00198887
 7.30000000, -0.00101822
 7.35000000,  0.00159757
 7.40000000,  0.00270412
 7.45000000,  0.00372892
 7.50000000, -4.81744e-4
 7.55000000,  1.61003e-4
 7.60000000,  0.00247539
 7.65000000, -0.00137145
 7.70000000,  3.39774e-4
 7.75000000, -6.83065e-4
 7.80000000,  9.92037e-4
 7.85000000, -0.00236468
 7.90000000, -0.00151985
 7.95000000, -0.00291567
 8.00000000, -0.00199763
 8.05000000, -0.00297945
 8.10000000, -0.00333756
 8.15000000,  0.00177743
 8.20000000,  5.00021e-4
 8.25000000,  0.00477444
 8.30000000,  0.00425912
 8.35000000,  0.00292904
 8.40000000,  0.00596993
 8.45000000,  0.00495730
 8.50000000,  0.00514157
 8.55000000,  0.00321957
 8.60000000,  2.05465e-4
 8.65000000,  0.00195333
 8.70000000,  0.00119841
 8.75000000, -0.00269091
 8.80000000, -0.00471858
 8.85000000, -0.00578925
 8.90000000, -9.58568e-4
 8.95000000, -0.00378293
 9.00000000, -0.00451392
 9.05000000, -0.00497697
 9.10000000, -0.00599686
 9.15000000, -0.00714344
 9.20000000, -0.00533931
 9.25000000, -5.20766e-4
 9.30000000,  1.94870e-5
 9.35000000,  6.90815e-4
 9.40000000,  0.00280238
 9.45000000,  0.00262849
 9.50000000,  0.00388634
 9.55000000,  0.00496993
 9.60000000,  0.00688062
 9.65000000,  0.00584689
 9.70000000,  0.00356477
 9.75000000,  0.00286436
 9.80000000,  0.00252047
 9.85000000,  0.00158491
 9.90000000, -0.00331442
 9.95000000, -0.00161650
 10.0000000, -6.77385e-4
 10.0500000, -6.45191e-4
 10.1000000, -0.00140084
 10.1500000, -0.00118447
 10.2000000, -0.00158557
 10.2500000, -0.00303523
 10.3000000,  2.91469e-4
 10.3500000,  3.98032e-4
 10.4000000,  5.23122e-4
 10.4500000,  8.88713e-4
 10.5000000,  1.82385e-4
 10.5500000,  0.00122772
 10.6000000,  6.99941e-4
 10.6500000,  6.19262e-4
 10.7000000, -2.70209e-4
 10.7500000,  5.01372e-4
 10.8000000,  9.91242e-4
 10.8500000,  9.46406e-4
 10.9000000, -5.98075e-4
 10.9500000,  3.75977e-4
 11.0000000, -4.13274e-4
 11.0500000, -0.00207347
 11.1000000, -0.00176996
 11.1500000, -4.62210e-4
 11.2000000, -0.00120567
 11.2500000,  2.54530e-4
 11.3000000, -0.00146569
 11.3500000, -0.00138243
 11.4000000, -5.20083e-4
 11.4500000, -9.49885e-4
 11.5000000,  9.35857e-4
 11.5500000,  3.55981e-4
 11.6000000,  1.89019e-4
 11.6500000,  0.00170379
 11.7000000,  2.24324e-4
 11.7500000, -5.25229e-4
 11.8000000,  0.00144031
 11.8500000,  5.66570e-4
 11.9000000, -0.00159121
 11.9500000, -3.01914e-5
 12.0000000,  0.00115363
 12.0500000, -1.39145e-4
 12.1000000,  3.00416e-4
 12.1500000, -3.90646e-4
 12.2000000, -5.63028e-4
 12.2500000, -6.02250e-4
 12.3000000, -0.00109515
 12.3500000, -7.52120e-5
 12.4000000, -0.00121651
 12.4500000, -1.10992e-4
 12.5000000,  7.65352e-4
 12.5500000,  1.49810e-4
 12.6000000, -0.00253576
 12.6500000,  9.73395e-4
 12.7000000,  4.44504e-4
 12.7500000, -6.78809e-4
 12.8000000,  0.00187195
 12.8500000,  0.00153487
 12.9000000,  9.88092e-4
 12.9500000,  0.00188509
 13.0000000,  0.00114511
 13.0500000, -0.00113834
