#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky_nodule_Fe.001: FeXANES_GT5_flaky_nodule_Fe.001
#------------------------------------------
# energy, FeXANES_GT5_flaky_nodule_Fe.001
 7117.35000,  0.45380995
 7117.65000,  0.46477562
 7117.95000,  0.48473946
 7118.25000,  0.50062633
 7118.55000,  0.51453562
 7118.85000,  0.55296600
 7119.15000,  0.57458807
 7119.45000,  0.59134049
 7119.75000,  0.61927181
 7120.05000,  0.63941207
 7120.35000,  0.66123336
 7120.65000,  0.66069853
 7120.95000,  0.70142593
 7121.25000,  0.71559915
 7121.55000,  0.73084767
 7121.85000,  0.75415131
 7122.15000,  0.77301706
 7122.45000,  0.79200782
 7122.75000,  0.80948523
 7123.05000,  0.81673286
 7123.35000,  0.83708070
 7123.65000,  0.85838357
 7123.95000,  0.86797833
 7124.25000,  0.87906733
 7124.55000,  0.89380252
 7124.85000,  0.90252202
 7125.15000,  0.91677555
 7125.45000,  0.93050272
 7125.75000,  0.94359512
 7126.05000,  0.95861141
 7126.35000,  0.97097270
 7126.65000,  0.97849247
 7126.95000,  1.00244846
 7127.25000,  1.01499405
 7127.55000,  1.02843677
 7127.85000,  1.04247716
 7128.15000,  1.05911715
 7128.45000,  1.06721261
 7128.75000,  1.07476309
 7129.05000,  1.07552796
 7129.35000,  1.08922384
 7129.65000,  1.09177345
 7129.95000,  1.09457243
 7130.25000,  1.09272724
 7130.55000,  1.09012086
 7130.85000,  1.08536733
 7131.15000,  1.07616070
 7131.45000,  1.07036048
 7131.75000,  1.06777804
 7132.05000,  1.06519717
 7133.05000,  1.03556158
 7134.05000,  1.02523285
 7135.05000,  1.00522931
 7136.05000,  0.99722260
 7137.05000,  0.99418626
 7138.05000,  0.99757313
 7139.05000,  1.00000528
 7140.05000,  1.00288787
 7141.05000,  1.00402760
 7142.05000,  0.99773769
 7143.05000,  0.99602824
 7144.05000,  0.99326820
 7145.05000,  0.99544247
 7146.05000,  0.99724367
 7147.05000,  1.00327265
 7148.05000,  1.00852380
 7149.05000,  1.01108326
 7150.05000,  1.00903592
 7151.05000,  1.00900428
 7152.05000,  1.00797932
 7153.05000,  1.00713272
 7154.05000,  1.00678045
 7155.05000,  1.00664206
 7156.05000,  1.00259878
 7157.05000,  1.00244923
 7158.05000,  1.00030890
 7159.05000,  0.99776290
 7160.05000,  1.00104125
 7161.05000,  0.99636084
 7162.05000,  0.99702760
 7163.05000,  0.99269296
 7164.05000,  0.99445518
 7165.05000,  0.99369953
 7166.05000,  0.99441179
 7167.05000,  0.99555137
 7168.05000,  0.99431360
 7169.05000,  0.99935886
 7170.05000,  0.99651089
 7171.05000,  0.99606735
 7172.05000,  0.99356108
 7173.05000,  0.99387465
 7174.05000,  0.98621276
 7175.05000,  0.98663017
 7176.05000,  0.98114898
 7177.05000,  0.97771726
 7178.05000,  0.96916092
 7179.05000,  0.95887628
 7180.05000,  0.95846087
 7181.05000,  0.95528524
 7182.05000,  0.95499831
 7183.05000,  0.95216710
 7184.05000,  0.94996018
 7185.05000,  0.94392851
 7186.05000,  0.94522237
 7187.05000,  0.95242914
 7188.05000,  0.96366277
 7189.05000,  0.96916098
 7190.05000,  0.98020300
 7191.05000,  0.97763798
 7192.05000,  0.98797265
 7193.05000,  0.99059766
 7194.05000,  0.99711062
 7195.05000,  0.99426037
 7196.05000,  0.99122055
 7197.05000,  0.98692131
 7198.05000,  0.98290218
 7199.05000,  0.97533718
 7200.05000,  0.97065617
 7201.05000,  0.96882538
 7202.05000,  0.96869677
 7203.05000,  0.96696446
 7204.05000,  0.96483878
 7205.05000,  0.95716478
 7206.05000,  0.95932219
 7207.05000,  0.96016912
 7208.05000,  0.95808344
 7209.05000,  0.96334961
 7210.05000,  0.97144805
 7211.05000,  0.98181216
 7212.05000,  0.98496015
 7213.05000,  1.00612973
