#saved Fri Feb 13 15:41:48 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_rectangles_Fe_2.001: FeXANES_GT15_rectangles_Fe_2.001
#------------------------------------------
# energy, FeXANES_GT15_rectangles_Fe_2.001
 7207.05000,  0.98763999
 7208.05000,  0.98750200
 7209.05000,  0.99284802
 7210.05000,  0.99292947
 7211.05000,  0.99298796
 7212.05000,  0.99278189
 7213.05000,  0.99622804
 7214.05000,  0.99948775
 7215.05000,  1.00021315
 7216.05000,  1.00006475
 7217.05000,  1.00536741
 7218.05000,  1.00229393
 7219.05000,  1.00728324
 7220.05000,  1.00685648
 7221.05000,  1.00770834
 7222.05000,  1.00658374
 7223.05000,  1.00519575
 7224.05000,  1.00661430
 7225.05000,  1.00713535
 7226.05000,  1.00729301
 7227.05000,  1.00527596
 7228.05000,  1.00457454
 7229.05000,  1.00561989
 7230.05000,  1.00293977
 7231.05000,  0.99856606
 7232.05000,  0.99849076
 7233.05000,  0.99842120
 7234.05000,  0.99623907
 7235.05000,  0.99570128
 7236.05000,  0.99469224
 7237.05000,  0.99614269
 7238.05000,  0.99680266
 7239.05000,  0.99481296
 7240.05000,  0.99896041
 7241.05000,  1.00069191
 7242.05000,  1.00075866
 7243.05000,  1.00157342
 7244.05000,  1.00440186
 7245.05000,  1.00847572
 7246.05000,  1.00865315
 7247.05000,  1.01642877
 7248.05000,  1.01503705
 7249.05000,  1.01203966
 7250.05000,  1.01623283
 7251.05000,  1.01279882
 7252.05000,  1.01614068
 7253.05000,  1.01296297
 7254.05000,  1.02041638
 7255.05000,  1.02151785
 7256.05000,  1.01528302
 7257.05000,  1.01565735
 7258.05000,  1.01508070
 7259.05000,  1.01756111
 7260.05000,  1.01284626
 7261.05000,  1.01303160
 7262.05000,  1.01481169
 7263.05000,  1.04147694
 7264.05000,  1.04638444
 7265.05000,  1.00925717
 7266.05000,  1.00942636
 7267.05000,  1.00843820
 7268.05000,  1.01389534
 7269.05000,  1.00390580
 7270.05000,  1.00311050
 7271.05000,  1.00706002
 7272.05000,  1.00962843
 7273.05000,  1.00872279
 7274.05000,  0.99494424
 7275.05000,  0.99955435
 7276.05000,  0.99929132
 7277.05000,  0.99865636
 7278.05000,  0.99874785
 7279.05000,  1.00060773
 7280.05000,  0.99730565
 7281.05000,  0.99794391
 7282.05000,  0.99581779
 7283.05000,  0.99756772
 7284.05000,  0.99563682
 7285.05000,  0.99253533
 7286.05000,  0.99520684
 7287.05000,  0.99664702
 7288.05000,  0.99517584
 7289.05000,  0.99126241
 7290.05000,  0.99438020
 7291.05000,  0.99097623
 7292.05000,  0.99208928
 7293.05000,  0.98910581
 7294.05000,  0.99301097
 7295.05000,  0.99134266
 7296.05000,  0.98563160
 7297.05000,  0.99051677
 7298.05000,  0.99224509
 7299.05000,  0.98923122
 7300.05000,  0.98975622
 7301.05000,  0.98825902
 7302.05000,  0.98767483
 7303.05000,  0.99277100
 7304.05000,  0.99112815
 7305.05000,  0.98934754
 7306.05000,  0.99210241
 7307.05000,  0.98970310
 7308.05000,  0.99083922
 7309.05000,  0.99056378
 7310.05000,  0.99021833
 7311.05000,  0.99204587
 7312.05000,  0.98905086
