#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_super_dark_Fe_22.001: FeXANES_GT15_super_dark_Fe_22.001
#------------------------------------------
# energy, FeXANES_GT15_super_dark_Fe_22.001
 7032.05000, -0.00201832
 7037.05000,  6.33222e-4
 7042.05000,  4.45505e-4
 7047.05000,  2.49577e-4
 7052.05000, -3.24603e-5
 7057.05000, -2.10141e-4
 7062.05000, -4.60870e-4
 7067.05000, -2.90304e-4
 7072.05000, -2.20003e-4
 7077.05000, -2.82322e-4
 7082.05000,  1.72125e-4
 7087.05000,  6.28893e-4
 7092.05000,  0.00145877
 7097.05000,  0.00301086
 7102.05000,  0.00403355
 7102.35000,  0.00557429
 7102.65000,  0.00558314
 7102.95000,  0.00570887
 7103.25000,  0.00569115
 7103.55000,  0.00614205
 7103.85000,  0.00647107
 7104.15000,  0.00685432
 7104.45000,  0.00708544
 7104.75000,  0.00727711
 7105.05000,  0.00746248
 7105.35000,  0.00764178
 7105.65000,  0.00772686
 7105.95000,  0.00828872
 7106.25000,  0.00822020
 7106.55000,  0.00909781
 7106.85000,  0.00924123
 7107.15000,  0.01013876
 7107.45000,  0.01028207
 7107.75000,  0.01054871
 7108.05000,  0.01095372
 7108.35000,  0.01184309
 7108.65000,  0.01287031
 7108.95000,  0.01374120
 7109.25000,  0.01568250
 7109.55000,  0.01711113
 7109.85000,  0.01975176
 7110.15000,  0.02262331
 7110.45000,  0.02400663
 7110.75000,  0.02846690
 7111.05000,  0.03136893
 7111.35000,  0.03335413
 7111.65000,  0.03753847
 7111.95000,  0.04150053
 7112.25000,  0.04484432
 7112.55000,  0.04857507
 7112.85000,  0.05216149
 7113.15000,  0.05370005
 7113.45000,  0.05555740
 7113.75000,  0.05667109
 7114.05000,  0.05562522
 7114.35000,  0.05350600
 7114.65000,  0.05289091
 7114.95000,  0.05210848
 7115.25000,  0.05257440
 7115.55000,  0.05560348
 7115.85000,  0.05929186
 7116.15000,  0.06600949
 7116.45000,  0.07023191
 7116.75000,  0.08451646
 7117.05000,  0.09414621
 7117.35000,  0.11138360
 7117.65000,  0.13003012
 7117.95000,  0.13574155
 7118.25000,  0.17496790
 7118.55000,  0.18177031
 7118.85000,  0.22657880
 7119.15000,  0.27065710
 7119.45000,  0.29142306
 7119.75000,  0.33973103
 7120.05000,  0.38597344
 7120.35000,  0.41903357
 7120.65000,  0.42617329
