#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_flaky_gray_mix_Fe_4.001: FeXANES_GT15_flaky_gray_mix_Fe_4.001
#------------------------------------------
# energy, FeXANES_GT15_flaky_gray_mix_Fe_4.001
 7032.05000,  8.84105e-4
 7037.05000,  5.98478e-4
 7042.05000,  3.55269e-4
 7047.05000,  1.99053e-4
 7052.05000,  6.22196e-5
 7057.05000, -1.71740e-4
 7062.05000, -1.67257e-4
 7067.05000, -4.72545e-4
 7072.05000, -5.07674e-4
 7077.05000, -1.02311e-4
 7082.05000,  2.59162e-4
 7087.05000,  5.45823e-4
 7092.05000,  0.00122266
 7097.05000,  0.00246556
 7102.05000,  0.00519561
 7102.35000,  0.00537502
 7102.65000,  0.00563349
 7102.95000,  0.00559504
 7103.25000,  0.00596051
 7103.55000,  0.00643904
 7103.85000,  0.00664040
 7104.15000,  0.00666500
 7104.45000,  0.00678992
 7104.75000,  0.00703746
 7105.05000,  0.00749132
 7105.35000,  0.00784751
 7105.65000,  0.00842196
 7105.95000,  0.00878749
 7106.25000,  0.00915092
 7106.55000,  0.00934941
 7106.85000,  0.01017365
 7107.15000,  0.01059576
 7107.45000,  0.01089886
 7107.75000,  0.01151290
 7108.05000,  0.01198425
 7108.35000,  0.01268197
 7108.65000,  0.01364564
 7108.95000,  0.01498914
 7109.25000,  0.01612259
 7109.55000,  0.01809552
 7109.85000,  0.01914712
 7110.15000,  0.02143801
 7110.45000,  0.02688184
 7110.75000,  0.02922519
 7111.05000,  0.03366142
 7111.35000,  0.03657397
 7111.65000,  0.04137533
 7111.95000,  0.04354920
 7112.25000,  0.05012386
 7112.55000,  0.05341108
 7112.85000,  0.05691564
 7113.15000,  0.05906400
 7113.45000,  0.05969337
 7113.75000,  0.05967290
 7114.05000,  0.05812408
 7114.35000,  0.05554123
 7114.65000,  0.05506993
 7114.95000,  0.05516349
 7115.25000,  0.05633473
 7115.55000,  0.05948991
 7115.85000,  0.06469574
 7116.15000,  0.07165466
 7116.45000,  0.07618915
 7116.75000,  0.08992417
 7117.05000,  0.10316915
 7117.35000,  0.11854209
 7117.65000,  0.13568184
 7117.95000,  0.15440706
 7118.25000,  0.17610106
 7118.55000,  0.18916231
 7118.85000,  0.22556703
 7119.15000,  0.26910496
 7119.45000,  0.30767567
 7119.75000,  0.34568488
 7120.05000,  0.37457679
 7120.35000,  0.41769029
 7120.65000,  0.43347966
 7120.95000,  0.47948044
 7121.25000,  0.50718164
 7121.55000,  0.52326801
 7121.85000,  0.57258011
 7122.15000,  0.61502702
 7122.45000,  0.65106104
 7122.75000,  0.68992417
 7123.05000,  0.76277717
 7123.35000,  0.81611332
 7123.65000,  0.86144208
 7123.95000,  0.89204969
 7124.25000,  0.92301093
 7124.55000,  0.97417630
 7124.85000,  1.00113327
 7125.15000,  1.01190594
 7125.45000,  1.04685110
 7125.75000,  1.07273265
 7126.05000,  1.09756469
 7126.35000,  1.13568664
 7126.65000,  1.17020458
 7126.95000,  1.20308304
 7127.25000,  1.23521823
 7127.55000,  1.25825540
 7127.85000,  1.28948186
 7128.15000,  1.32712654
 7128.45000,  1.35788894
