#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_FeTiXRD_striated2_8.001: FeXANES_GT15_FeTiXRD_striated2_8.001
#------------------------------------------
# energy, FeXANES_GT15_FeTiXRD_striated2_8.001
 7032.05000, -1.46766e-4
 7037.05000,  6.41631e-4
 7042.05000,  3.96012e-4
 7047.05000, -2.27796e-4
 7052.05000, -8.67557e-5
 7057.05000, -4.32647e-4
 7062.05000, -7.87535e-4
 7067.05000, -4.32948e-4
 7072.05000, -2.33847e-4
 7077.05000,  2.52248e-4
 7082.05000,  9.11638e-4
 7087.05000,  0.00202994
 7092.05000,  0.00418642
 7097.05000,  0.00633644
 7102.05000,  0.01158853
 7102.35000,  0.01350160
 7102.65000,  0.01397668
 7102.95000,  0.01430809
 7103.25000,  0.01485394
 7103.55000,  0.01568803
 7103.85000,  0.01623964
 7104.15000,  0.01692322
 7104.45000,  0.01740971
 7104.75000,  0.01836031
 7105.05000,  0.01912613
 7105.35000,  0.01956163
 7105.65000,  0.02056294
 7105.95000,  0.02050538
 7106.25000,  0.02212110
 7106.55000,  0.02321908
 7106.85000,  0.02357288
 7107.15000,  0.02545440
 7107.45000,  0.02670360
 7107.75000,  0.02835773
 7108.05000,  0.02920464
 7108.35000,  0.03133248
 7108.65000,  0.03313937
 7108.95000,  0.03676940
 7109.25000,  0.03964401
 7109.55000,  0.04418566
 7109.85000,  0.04896291
 7110.15000,  0.05896781
 7110.45000,  0.06961718
 7110.75000,  0.07906900
 7111.05000,  0.08584853
 7111.35000,  0.08839775
 7111.65000,  0.08819384
 7111.95000,  0.08513799
 7112.25000,  0.08482695
 7112.55000,  0.08544495
 7112.85000,  0.08711551
 7113.15000,  0.08951812
 7113.45000,  0.08927814
 7113.75000,  0.08912572
 7114.05000,  0.09093899
 7114.35000,  0.09330986
 7114.65000,  0.10124360
 7114.95000,  0.10983337
 7115.25000,  0.12008357
 7115.55000,  0.13440581
 7115.85000,  0.15010683
 7116.15000,  0.17328398
 7116.45000,  0.20174805
 7116.75000,  0.23627319
 7117.05000,  0.26923505
 7117.35000,  0.33147788
 7117.65000,  0.33130144
 7117.95000,  0.44410367
 7118.25000,  0.53379050
 7118.55000,  0.60647319
 7118.85000,  0.65663833
 7119.15000,  0.71497693
 7119.45000,  0.76043807
 7119.75000,  0.79990458
 7120.05000,  0.83213310
 7120.35000,  0.86996364
 7120.65000,  0.89393931
 7120.95000,  0.91927622
 7121.25000,  0.95501841
 7121.55000,  0.98513349
 7121.85000,  1.01083965
 7122.15000,  1.04421486
 7122.45000,  1.06415603
 7122.75000,  1.07993359
 7123.05000,  1.12422867
 7123.35000,  1.14808415
 7123.65000,  1.16414870
 7123.95000,  1.18077403
 7124.25000,  1.19195522
 7124.55000,  1.20292573
 7124.85000,  1.20639435
 7125.15000,  1.21332424
 7125.45000,  1.21282622
 7125.75000,  1.21651231
 7126.05000,  1.21933093
 7126.35000,  1.22066354
 7126.65000,  1.22347316
 7126.95000,  1.22429261
 7127.25000,  1.22596792
 7127.55000,  1.22385429
 7127.85000,  1.22179152
 7128.15000,  1.22281121
 7128.45000,  1.21611253
 7128.75000,  1.21172878
 7129.05000,  1.20464856
 7129.35000,  1.19507818
 7129.65000,  1.18933395
 7129.95000,  1.17285845
 7130.25000,  1.16248893
 7130.55000,  1.14299031
 7130.85000,  1.12722910
 7131.15000,  1.10756384
 7131.45000,  1.09541333
 7131.75000,  1.07700971
 7132.05000,  1.06451063
 7133.05000,  1.04092151
 7134.05000,  1.02540127
 7135.05000,  1.01046934
 7136.05000,  0.99297774
 7137.05000,  0.98401685
 7138.05000,  0.98286738
 7139.05000,  0.98577209
 7140.05000,  0.98650782
 7141.05000,  0.98414742
 7142.05000,  0.97946957
 7143.05000,  0.97114310
 7144.05000,  0.96811284
 7145.05000,  0.95383605
 7146.05000,  0.94840792
 7147.05000,  0.93009865
 7148.05000,  0.92339515
 7149.05000,  0.92037783
 7150.05000,  0.92000155
 7151.05000,  0.92314955
 7152.05000,  0.93084023
