#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky_nodule_Fe_8.001: FeXANES_GT5_flaky_nodule_Fe_8.001
#------------------------------------------
# energy, FeXANES_GT5_flaky_nodule_Fe_8.001
 7032.05000,  2.27121e-4
 7037.05000,  9.54911e-4
 7042.05000,  6.08451e-4
 7047.05000,  2.19197e-4
 7052.05000, -2.50534e-5
 7057.05000, -8.48487e-5
 7062.05000, -6.17214e-4
 7067.05000, -4.38111e-4
 7072.05000, -3.13708e-4
 7077.05000, -4.57947e-4
 7082.05000,  1.50355e-4
 7087.05000,  9.58877e-4
 7092.05000,  0.00167619
 7097.05000,  0.00420211
 7102.05000,  0.00716284
 7102.35000,  0.00760459
 7102.65000,  0.00770870
 7102.95000,  0.00816515
 7103.25000,  0.00838315
 7103.55000,  0.00858242
 7103.85000,  0.00899736
 7104.15000,  0.00924948
 7104.45000,  0.00952015
 7104.75000,  0.00982875
 7105.05000,  0.01022399
 7105.35000,  0.01078405
 7105.65000,  0.01105216
 7105.95000,  0.01170744
 7106.25000,  0.01224289
 7106.55000,  0.01265896
 7106.85000,  0.01323510
 7107.15000,  0.01356550
 7107.45000,  0.01388506
 7107.75000,  0.01482138
 7108.05000,  0.01569225
 7108.35000,  0.01636631
 7108.65000,  0.01721527
 7108.95000,  0.01827343
 7109.25000,  0.01934864
 7109.55000,  0.02074924
 7109.85000,  0.02189048
 7110.15000,  0.02398837
 7110.45000,  0.02612828
 7110.75000,  0.02849113
 7111.05000,  0.03375018
 7111.35000,  0.03980607
 7111.65000,  0.04816706
 7111.95000,  0.05542855
 7112.25000,  0.06927002
 7112.55000,  0.07498045
 7112.85000,  0.08001545
 7113.15000,  0.08632804
 7113.45000,  0.09186539
 7113.75000,  0.09195520
 7114.05000,  0.08893387
 7114.35000,  0.08385212
 7114.65000,  0.07741530
 7114.95000,  0.07502716
 7115.25000,  0.07498575
 7115.55000,  0.07712952
 7115.85000,  0.08071560
 7116.15000,  0.08394614
 7116.45000,  0.08789096
 7116.75000,  0.09227215
 7117.05000,  0.09746713
 7117.35000,  0.10127932
 7117.65000,  0.10889072
 7117.95000,  0.11433392
 7118.25000,  0.12232622
 7118.55000,  0.12828934
 7118.85000,  0.14210629
 7119.15000,  0.16420503
 7119.45000,  0.18360362
 7119.75000,  0.20076853
 7120.05000,  0.23030514
 7120.35000,  0.25780302
 7120.65000,  0.28953029
 7120.95000,  0.32254951
 7121.25000,  0.36075450
 7121.55000,  0.39137457
 7121.85000,  0.43223978
 7122.15000,  0.48585153
 7122.45000,  0.51764063
 7122.75000,  0.56977050
 7123.05000,  0.60874978
 7123.35000,  0.63771515
 7123.65000,  0.68318229
 7123.95000,  0.71769072
 7124.25000,  0.74563988
 7124.55000,  0.78080735
 7124.85000,  0.81369895
 7125.15000,  0.85803152
 7125.45000,  0.88182260
 7125.75000,  0.92882256
 7126.05000,  0.95979921
 7126.35000,  0.99455571
