#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_Fe_5.001: FeXANES_GT15_Fe_5.001
#------------------------------------------
# energy, FeXANES_GT15_Fe_5.001
 7032.05000,  5.41612e-4
 7037.05000,  0.00139640
 7042.05000,  9.68270e-4
 7047.05000,  2.62476e-4
 7052.05000, -1.05490e-4
 7057.05000, -3.10479e-4
 7062.05000, -7.08227e-4
 7067.05000, -5.70073e-4
 7072.05000, -7.04055e-4
 7077.05000, -1.81299e-4
 7082.05000,  8.32537e-5
 7087.05000,  0.00126562
 7092.05000,  0.00234334
 7097.05000,  0.00481674
 7102.05000,  0.01052960
 7102.35000,  0.01056194
 7102.65000,  0.01082441
 7102.95000,  0.01160914
 7103.25000,  0.01210137
 7103.55000,  0.01244249
 7103.85000,  0.01286480
 7104.15000,  0.01325820
 7104.45000,  0.01384719
 7104.75000,  0.01445578
 7105.05000,  0.01506348
 7105.35000,  0.01558047
 7105.65000,  0.01608186
 7105.95000,  0.01660879
 7106.25000,  0.01746192
 7106.55000,  0.01774130
 7106.85000,  0.01852497
 7107.15000,  0.01901383
 7107.45000,  0.01980969
 7107.75000,  0.02078513
 7108.05000,  0.02223051
 7108.35000,  0.02323861
 7108.65000,  0.02465916
 7108.95000,  0.02645370
 7109.25000,  0.02765512
 7109.55000,  0.02947219
 7109.85000,  0.03160788
 7110.15000,  0.03576114
 7110.45000,  0.03845863
 7110.75000,  0.04210687
 7111.05000,  0.05252295
 7111.35000,  0.06414541
 7111.65000,  0.07546587
 7111.95000,  0.09163358
 7112.25000,  0.10538029
 7112.55000,  0.11666959
 7112.85000,  0.12295717
 7113.15000,  0.13511917
 7113.45000,  0.14714769
 7113.75000,  0.14793671
 7114.05000,  0.14333400
 7114.35000,  0.13767028
 7114.65000,  0.13518603
 7114.95000,  0.13441028
 7115.25000,  0.13575517
 7115.55000,  0.13892404
 7115.85000,  0.14288563
 7116.15000,  0.14732859
 7116.45000,  0.15009421
 7116.75000,  0.15399945
 7117.05000,  0.15563415
 7117.35000,  0.15825077
 7117.65000,  0.16459674
 7117.95000,  0.17332658
 7118.25000,  0.18327009
 7118.55000,  0.19263816
 7118.85000,  0.21096605
 7119.15000,  0.22928762
 7119.45000,  0.25127784
 7119.75000,  0.27838632
 7120.05000,  0.31027640
 7120.35000,  0.33829588
 7120.65000,  0.37907032
 7120.95000,  0.43687377
 7121.25000,  0.47765314
 7121.55000,  0.53300167
 7121.85000,  0.58785984
 7122.15000,  0.63926152
 7122.45000,  0.69374477
 7122.75000,  0.71697986
 7123.05000,  0.76707059
 7123.35000,  0.79422943
 7123.65000,  0.80600214
 7123.95000,  0.84667506
 7124.25000,  0.85979777
 7124.55000,  0.89387235
 7124.85000,  0.92040962
 7125.15000,  0.93896422
 7125.45000,  0.97256123
 7125.75000,  0.98865421
 7126.05000,  1.01036367
 7126.35000,  1.03154831
 7126.65000,  1.04765717
 7126.95000,  1.06490373
 7127.25000,  1.07357656
 7127.55000,  1.08723850
 7127.85000,  1.09756409
 7128.15000,  1.10700113
 7128.45000,  1.11457050
 7128.75000,  1.12224484
 7129.05000,  1.12609403
 7129.35000,  1.12728214
 7129.65000,  1.12829240
 7129.95000,  1.12950916
 7130.25000,  1.12698777
 7130.55000,  1.12996495
 7130.85000,  1.12836836
 7131.15000,  1.13212751
 7131.45000,  1.13422828
 7131.75000,  1.13449785
 7132.05000,  1.13945796
 7133.05000,  1.14018915
 7134.05000,  1.13059826
 7135.05000,  1.11730099
 7136.05000,  1.10840888
 7137.05000,  1.10429781
 7138.05000,  1.09552515
 7139.05000,  1.07277756
 7140.05000,  1.05939826
 7141.05000,  1.04782405
 7142.05000,  1.04158408
 7143.05000,  1.03123789
 7144.05000,  1.03079523
 7145.05000,  1.03109616
 7146.05000,  1.02867867
 7147.05000,  1.02699944
 7148.05000,  1.02003162
 7149.05000,  1.01167649
 7150.05000,  1.00638276
 7151.05000,  0.99541036
 7152.05000,  0.98774829
 7153.05000,  0.98035718
 7154.05000,  0.97421420
 7155.05000,  0.97082183
 7156.05000,  0.95988477
 7157.05000,  0.95236804
 7158.05000,  0.94716481
 7159.05000,  0.94524872
 7160.05000,  0.94260024
 7161.05000,  0.94596343
 7162.05000,  0.94729061
 7163.05000,  0.94900361
 7164.05000,  0.95445861
 7165.05000,  0.95661272
 7166.05000,  0.96114309
 7167.05000,  0.96620273
 7168.05000,  0.97146216
 7169.05000,  0.97714919
 7170.05000,  0.98578252
 7171.05000,  0.99233890
 7172.05000,  1.00388990
 7173.05000,  1.01003376
 7174.05000,  1.01989245
 7175.05000,  1.02631317
 7176.05000,  1.03134505
 7177.05000,  1.03576818
 7178.05000,  1.03619972
 7179.05000,  1.04027521
 7180.05000,  1.03626621
 7181.05000,  1.03807718
 7182.05000,  1.04160651
 7183.05000,  1.04013200
 7184.05000,  1.03706295
