#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_concentric_gray1_Fe_4.001: FeXANES_GT5_concentric_gray1_Fe_4.001
#------------------------------------------
# energy, FeXANES_GT5_concentric_gray1_Fe_4.001
 7032.05000,  8.93093e-4
 7037.05000,  5.62761e-4
 7042.05000,  2.97000e-4
 7047.05000,  1.77414e-4
 7052.05000, -1.34852e-4
 7057.05000, -3.61971e-4
 7062.05000, -5.79866e-4
 7067.05000, -4.42351e-4
 7072.05000, -7.95947e-4
 7077.05000,  1.42310e-4
 7082.05000,  1.67832e-4
 7087.05000,  9.67671e-4
 7092.05000,  0.00221966
 7097.05000,  0.00409415
 7102.05000,  0.00643441
 7102.35000,  0.00748842
 7102.65000,  0.00803340
 7102.95000,  0.00827223
 7103.25000,  0.00865458
 7103.55000,  0.00908838
 7103.85000,  0.00963481
 7104.15000,  0.00989330
 7104.45000,  0.01028277
 7104.75000,  0.01092133
 7105.05000,  0.01140329
 7105.35000,  0.01214152
 7105.65000,  0.01252204
 7105.95000,  0.01314833
 7106.25000,  0.01338742
 7106.55000,  0.01406935
 7106.85000,  0.01550010
 7107.15000,  0.01610014
 7107.45000,  0.01685227
 7107.75000,  0.01750102
 7108.05000,  0.01840471
 7108.35000,  0.01966038
 7108.65000,  0.02165092
 7108.95000,  0.02321009
 7109.25000,  0.02473820
 7109.55000,  0.02630147
 7109.85000,  0.03196798
 7110.15000,  0.03775000
 7110.45000,  0.04273697
 7110.75000,  0.04943610
 7111.05000,  0.05793453
 7111.35000,  0.05927491
 7111.65000,  0.06821004
 7111.95000,  0.07463498
 7112.25000,  0.08090798
 7112.55000,  0.09220499
 7112.85000,  0.09702350
 7113.15000,  0.09714702
 7113.45000,  0.09510193
 7113.75000,  0.09529338
 7114.05000,  0.09542996
 7114.35000,  0.09663597
 7114.65000,  0.09853158
 7114.95000,  0.10176761
 7115.25000,  0.10633634
 7115.55000,  0.11069954
 7115.85000,  0.11634004
 7116.15000,  0.12284300
 7116.45000,  0.13790648
 7116.75000,  0.14929514
 7117.05000,  0.17627608
 7117.35000,  0.19668921
 7117.65000,  0.22396033
 7117.95000,  0.25188459
 7118.25000,  0.26736726
 7118.55000,  0.32437061
 7118.85000,  0.36918323
 7119.15000,  0.41832589
