#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky2_FeXRD_4.001: FeXANES_GT5_flaky2_FeXRD_4.001
#------------------------------------------
# energy, FeXANES_GT5_flaky2_FeXRD_4.001
 7032.05000, -1.58664e-4
 7037.05000,  4.53825e-4
 7042.05000,  2.04533e-4
 7047.05000, -3.08960e-5
 7052.05000, -3.15138e-4
 7057.05000, -2.50570e-4
 7062.05000, -3.51679e-4
 7067.05000, -4.02935e-4
 7072.05000,  1.21572e-4
 7077.05000,  1.16368e-5
 7082.05000,  5.59651e-4
 7087.05000,  0.00178722
 7092.05000,  0.00182058
 7097.05000,  0.00263523
 7102.05000,  0.00861741
 7102.35000,  0.00891403
 7102.65000,  0.00925854
 7102.95000,  0.00959572
 7103.25000,  0.00979384
 7103.55000,  0.01051673
 7103.85000,  0.01099089
 7104.15000,  0.01110217
 7104.45000,  0.01149347
 7104.75000,  0.01209080
 7105.05000,  0.01212584
 7105.35000,  0.01293461
 7105.65000,  0.01327663
 7105.95000,  0.01393952
 7106.25000,  0.01471577
 7106.55000,  0.01500535
 7106.85000,  0.01579998
 7107.15000,  0.01672711
 7107.45000,  0.01751760
 7107.75000,  0.01825487
 7108.05000,  0.01898376
 7108.35000,  0.02013765
 7108.65000,  0.02215663
 7108.95000,  0.02375883
 7109.25000,  0.02608497
 7109.55000,  0.02876210
 7109.85000,  0.03299880
 7110.15000,  0.03905258
 7110.45000,  0.04459603
 7110.75000,  0.05309506
 7111.05000,  0.06124214
 7111.35000,  0.06925330
 7111.65000,  0.07378333
 7111.95000,  0.07607541
 7112.25000,  0.08621901
 7112.55000,  0.09270011
 7112.85000,  0.09479243
 7113.15000,  0.09884951
 7113.45000,  0.09911702
 7113.75000,  0.09897828
 7114.05000,  0.09978044
 7114.35000,  0.10138682
 7114.65000,  0.10322209
 7114.95000,  0.10881323
 7115.25000,  0.11337452
 7115.55000,  0.12319885
 7115.85000,  0.13153872
 7116.15000,  0.14045135
 7116.45000,  0.15700142
 7116.75000,  0.16179377
 7117.05000,  0.19499729
 7117.35000,  0.21856563
 7117.65000,  0.24435747
 7117.95000,  0.27669000
 7118.25000,  0.31146418
 7118.55000,  0.32163461
 7118.85000,  0.39187255
 7119.15000,  0.42509883
 7119.45000,  0.48167021
 7119.75000,  0.51486240
 7120.05000,  0.55618758
 7120.35000,  0.60157789
 7120.65000,  0.62917824
 7120.95000,  0.65783686
 7121.25000,  0.69012239
 7121.55000,  0.70753248
 7121.85000,  0.74866765
 7122.15000,  0.77792688
 7122.45000,  0.81038354
 7122.75000,  0.84795687
 7123.05000,  0.87506637
 7123.35000,  0.92023126
 7123.65000,  0.95190276
 7123.95000,  0.97789551
 7124.25000,  0.98461636
 7124.55000,  1.00290307
 7124.85000,  1.02034729
 7125.15000,  1.04009585
 7125.45000,  1.05352571
 7125.75000,  1.07022146
 7126.05000,  1.08335474
 7126.35000,  1.10074510
 7126.65000,  1.11442874
 7126.95000,  1.14058904
 7127.25000,  1.15990424
 7127.55000,  1.17783787
 7127.85000,  1.19478095
 7128.15000,  1.21734194
 7128.45000,  1.23272798
 7128.75000,  1.24210440
 7129.05000,  1.24871075
 7129.35000,  1.25609997
 7129.65000,  1.25180171
 7129.95000,  1.24337671
 7130.25000,  1.23957073
 7130.55000,  1.23684161
 7130.85000,  1.22675081
 7131.15000,  1.22212049
 7131.45000,  1.21428548
 7131.75000,  1.20535756
 7132.05000,  1.19825761
 7133.05000,  1.17774249
 7134.05000,  1.11675541
 7135.05000,  1.10206096
 7136.05000,  1.07890278
 7137.05000,  1.05480511
 7138.05000,  1.04390498
 7139.05000,  1.03089850
 7140.05000,  1.02971200
 7141.05000,  1.02402049
 7142.05000,  1.01402150
 7143.05000,  1.01400041
 7144.05000,  1.00314003
 7145.05000,  1.00141459
 7146.05000,  0.98276605
 7147.05000,  0.97099511
 7148.05000,  0.95358721
 7149.05000,  0.94711369
 7150.05000,  0.92927359
 7151.05000,  0.92160251
 7152.05000,  0.92027607
 7153.05000,  0.90662835
 7154.05000,  0.89947592
 7155.05000,  0.89508864
 7156.05000,  0.89457742
 7157.05000,  0.89316868
 7158.05000,  0.90117442
 7159.05000,  0.90559710
 7160.05000,  0.91233431
 7161.05000,  0.91601591
 7162.05000,  0.92613773
 7163.05000,  0.93089838
 7164.05000,  0.93786018
 7165.05000,  0.94500213
 7166.05000,  0.95611345
 7167.05000,  0.96356957
 7168.05000,  0.96701479
 7169.05000,  0.97263160
 7170.05000,  0.98025062
 7171.05000,  0.98681627
 7172.05000,  0.99849961
 7173.05000,  1.00757055
 7174.05000,  1.01321795
 7175.05000,  1.02267783
 7176.05000,  1.02718718
 7177.05000,  1.03231996
 7178.05000,  1.04027805
 7179.05000,  1.04168441
 7180.05000,  1.04537223
 7181.05000,  1.04697292
 7182.05000,  1.04313217
 7183.05000,  1.03868726
 7184.05000,  1.03945053
 7185.05000,  1.03977194
 7186.05000,  1.03841256
 7187.05000,  1.03750114
 7188.05000,  1.03547490
 7189.05000,  1.03609442
 7190.05000,  1.03386832
 7191.05000,  1.03014022
 7192.05000,  1.02570127
 7193.05000,  1.02310682
 7194.05000,  1.01900199
 7195.05000,  1.01205193
 7196.05000,  1.00961461
 7197.05000,  1.00417024
 7198.05000,  0.99796774
 7199.05000,  0.99198230
 7200.05000,  0.98643111
 7201.05000,  0.98168955
 7202.05000,  0.97957665
 7203.05000,  0.97930638
 7204.05000,  0.97775238
 7205.05000,  0.97972369
 7206.05000,  0.97939618
 7207.05000,  0.97990715
 7208.05000,  0.98136964
 7209.05000,  0.98191523
 7210.05000,  0.98251078
 7211.05000,  0.98343549
 7212.05000,  0.98526108
 7213.05000,  0.98692437
 7214.05000,  0.98478422
 7215.05000,  0.98500521
 7216.05000,  0.98647200
 7217.05000,  0.98727262
 7218.05000,  0.98926285
 7219.05000,  0.99293587
 7220.05000,  0.98986235
 7221.05000,  0.99325097
 7222.05000,  0.99798096
 7223.05000,  0.99838241
 7224.05000,  0.99743555
 7225.05000,  0.99723109
 7226.05000,  0.99483436
 7227.05000,  0.99508207
 7228.05000,  0.99339409
 7229.05000,  0.99355078
 7230.05000,  0.99329562
 7231.05000,  0.98878056
 7232.05000,  0.98848603
 7233.05000,  0.99370873
 7234.05000,  0.99073091
 7235.05000,  0.98823455
 7236.05000,  0.98642612
 7237.05000,  0.98665047
 7238.05000,  0.98367033
 7239.05000,  0.98288232
 7240.05000,  0.98006321
 7241.05000,  0.98046476
 7242.05000,  0.97726200
 7243.05000,  0.97826085
 7244.05000,  0.97910130
 7245.05000,  0.98095692
 7246.05000,  0.98181463
 7247.05000,  0.98636872
 7248.05000,  0.98819986
 7249.05000,  0.98432524
 7250.05000,  0.98846203
 7251.05000,  0.98938946
 7252.05000,  0.99674886
 7253.05000,  1.00448846
 7254.05000,  1.00979325
 7255.05000,  1.01523641
 7256.05000,  1.00317010
 7257.05000,  1.01539749
 7258.05000,  1.01800952
 7259.05000,  1.01961805
 7260.05000,  1.01266931
 7261.05000,  1.02086837
 7262.05000,  1.02405951
 7263.05000,  1.03607152
 7264.05000,  1.03540946
 7265.05000,  1.02387562
 7266.05000,  1.02208076
 7267.05000,  1.02275255
 7268.05000,  1.02679739
 7269.05000,  1.02247859
 7270.05000,  1.02414603
 7271.05000,  1.02775945
 7272.05000,  1.03011867
 7273.05000,  1.02422158
 7274.05000,  1.01884805
 7275.05000,  1.02124755
 7276.05000,  1.02084041
 7277.05000,  1.01782766
 7278.05000,  1.01906046
 7279.05000,  1.01876952
 7280.05000,  1.01734415
 7281.05000,  1.00866861
 7282.05000,  1.00793833
 7283.05000,  1.00688708
 7284.05000,  1.00628691
 7285.05000,  1.00569250
 7286.05000,  1.00513292
 7287.05000,  1.00352507
 7288.05000,  1.00154576
 7289.05000,  1.00241752
 7290.05000,  1.00098398
 7291.05000,  0.99931831
 7292.05000,  0.99876036
 7293.05000,  0.99755055
 7294.05000,  0.99860098
 7295.05000,  0.99907328
 7296.05000,  0.99853960
 7297.05000,  0.99440062
 7298.05000,  0.99139361
 7299.05000,  0.99063067
 7300.05000,  0.98910384
 7301.05000,  0.98804655
 7302.05000,  0.98974670
 7303.05000,  0.98893228
 7304.05000,  0.98564490
 7305.05000,  0.98284705
 7306.05000,  0.98308654
 7307.05000,  0.98349596
 7308.05000,  0.97996474
 7309.05000,  0.98011735
 7310.05000,  0.98331495
 7311.05000,  0.98408357
 7312.05000,  0.98476602
