#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_Fe_1.001: FeXANES_GT15_Fe_1.001
#------------------------------------------
# energy, FeXANES_GT15_Fe_1.001
 7032.05000, -0.00128204
 7037.05000,  5.61323e-4
 7042.05000,  1.97463e-4
 7047.05000, -6.13398e-5
 7052.05000, -2.77381e-4
 7057.05000, -2.96837e-4
 7062.05000, -4.11226e-4
 7067.05000, -4.30156e-4
 7072.05000, -1.16832e-4
 7077.05000,  1.15273e-4
 7082.05000,  7.19712e-4
 7087.05000,  0.00139010
 7092.05000,  0.00377264
 7097.05000,  0.00756425
 7102.05000,  0.01308078
 7102.35000,  0.01344633
 7102.65000,  0.01396544
 7102.95000,  0.01452681
 7103.25000,  0.01508150
 7103.55000,  0.01574942
 7103.85000,  0.01619879
 7104.15000,  0.01656885
 7104.45000,  0.01739864
 7104.75000,  0.01797828
 7105.05000,  0.01875552
 7105.35000,  0.01985394
 7105.65000,  0.02042880
 7105.95000,  0.02101384
 7106.25000,  0.02199360
 7106.55000,  0.02271016
 7106.85000,  0.02416889
 7107.15000,  0.02516282
 7107.45000,  0.02624608
 7107.75000,  0.02748145
 7108.05000,  0.02820315
 7108.35000,  0.03103674
 7108.65000,  0.03365222
 7108.95000,  0.03626632
 7109.25000,  0.03942383
 7109.55000,  0.04295674
 7109.85000,  0.04699202
 7110.15000,  0.05907696
 7110.45000,  0.06987006
 7110.75000,  0.07680792
 7111.05000,  0.08543488
 7111.35000,  0.08627770
 7111.65000,  0.08722596
 7111.95000,  0.08564028
 7112.25000,  0.08547690
 7112.55000,  0.08631770
 7112.85000,  0.08965888
 7113.15000,  0.09002326
 7113.45000,  0.09000359
 7113.75000,  0.09001760
 7114.05000,  0.09309537
 7114.35000,  0.09702546
 7114.65000,  0.10306238
 7114.95000,  0.11152879
 7115.25000,  0.11649243
 7115.55000,  0.13191101
 7115.85000,  0.15222441
 7116.15000,  0.17400578
 7116.45000,  0.20110126
 7116.75000,  0.23616313
 7117.05000,  0.25608303
 7117.35000,  0.32753783
 7117.65000,  0.38626698
 7117.95000,  0.42109491
 7118.25000,  0.48521320
 7118.55000,  0.59184635
 7118.85000,  0.65599513
 7119.15000,  0.71114595
 7119.45000,  0.75355651
 7119.75000,  0.79186448
 7120.05000,  0.82630663
 7120.35000,  0.85575545
 7120.65000,  0.88666369
 7120.95000,  0.90827269
 7121.25000,  0.93546778
 7121.55000,  0.96769429
 7121.85000,  0.99698747
 7122.15000,  1.02103153
 7122.45000,  1.05016333
 7122.75000,  1.06787164
 7123.05000,  1.10994664
 7123.35000,  1.12472034
 7123.65000,  1.15270345
 7123.95000,  1.16517085
 7124.25000,  1.18418365
