#saved Fri Feb 13 15:41:48 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_rectangles_Fe_3.001: FeXANES_GT15_rectangles_Fe_3.001
#------------------------------------------
# energy, FeXANES_GT15_rectangles_Fe_3.001
 7032.05000, -2.57958e-4
 7037.05000,  3.98336e-4
 7042.05000,  5.21724e-5
 7047.05000,  5.07891e-6
 7052.05000, -1.77056e-4
 7057.05000, -1.91461e-4
 7062.05000, -3.49119e-4
 7067.05000, -3.56280e-4
 7072.05000,  2.44144e-5
 7077.05000,  3.98173e-4
 7082.05000,  1.95742e-4
 7087.05000,  0.00206375
 7092.05000,  0.00357968
 7097.05000,  0.00626407
 7102.05000,  0.01086703
 7102.35000,  0.01116303
 7102.65000,  0.01158994
 7102.95000,  0.01196336
 7103.25000,  0.01243092
 7103.55000,  0.01274736
 7103.85000,  0.01333318
 7104.15000,  0.01360162
 7104.45000,  0.01416272
 7104.75000,  0.01450541
 7105.05000,  0.01542897
 7105.35000,  0.01591853
 7105.65000,  0.01693326
 7105.95000,  0.01747778
 7106.25000,  0.01802839
 7106.55000,  0.01920717
 7106.85000,  0.01947009
 7107.15000,  0.02045208
 7107.45000,  0.02170425
 7107.75000,  0.02279261
 7108.05000,  0.02421743
 7108.35000,  0.02472169
 7108.65000,  0.02727601
 7108.95000,  0.02924174
 7109.25000,  0.03036275
 7109.55000,  0.03529787
 7109.85000,  0.04058635
 7110.15000,  0.04676984
 7110.45000,  0.05276973
 7110.75000,  0.05981176
 7111.05000,  0.06230626
 7111.35000,  0.06471822
 7111.65000,  0.06505588
 7111.95000,  0.06592134
 7112.25000,  0.06678916
 7112.55000,  0.06823316
 7112.85000,  0.07261843
 7113.15000,  0.07503408
 7113.45000,  0.07583870
 7113.75000,  0.07769177
 7114.05000,  0.07940029
 7114.35000,  0.08202868
 7114.65000,  0.08729140
 7114.95000,  0.09336247
 7115.25000,  0.09952769
 7115.55000,  0.11207643
 7115.85000,  0.11919169
 7116.15000,  0.13858477
 7116.45000,  0.16566028
 7116.75000,  0.19253668
 7117.05000,  0.21917998
 7117.35000,  0.27067157
 7117.65000,  0.32010001
 7117.95000,  0.37421841
 7118.25000,  0.43614519
 7118.55000,  0.49770186
 7118.85000,  0.55719802
 7119.15000,  0.60915209
 7119.45000,  0.65863622
 7119.75000,  0.69049752
 7120.05000,  0.73665256
 7120.35000,  0.76331317
 7120.65000,  0.80052326
 7120.95000,  0.84026344
 7121.25000,  0.85899047
 7121.55000,  0.90468717
 7121.85000,  0.93658992
 7122.15000,  0.96433849
 7122.45000,  1.01094645
 7122.75000,  1.04909269
 7123.05000,  1.08012584
 7123.35000,  1.11953060
 7123.65000,  1.14754720
 7123.95000,  1.16048256
 7124.25000,  1.19174705
 7124.55000,  1.20818363
 7124.85000,  1.21881122
 7125.15000,  1.23044123
 7125.45000,  1.23843815
 7125.75000,  1.24099625
 7126.05000,  1.24511844
 7126.35000,  1.24167437
 7126.65000,  1.23765394
 7126.95000,  1.22249308
 7127.25000,  1.21804153
 7127.55000,  1.20818265
 7127.85000,  1.20129238
 7128.15000,  1.19445837
 7128.45000,  1.19135301
 7128.75000,  1.18098066
 7129.05000,  1.17877813
 7129.35000,  1.16952742
 7129.65000,  1.15904513
 7129.95000,  1.15330974
 7130.25000,  1.14209344
 7130.55000,  1.13106297
 7130.85000,  1.11418226
 7131.15000,  1.09875463
 7131.45000,  1.08537548
 7131.75000,  1.07642872
 7132.05000,  1.06330613
 7133.05000,  1.03508447
 7134.05000,  1.00626744
 7135.05000,  0.99465678
 7136.05000,  0.98771318
 7137.05000,  0.98920549
 7138.05000,  0.98878912
 7139.05000,  0.99216368
 7140.05000,  0.98734295
 7141.05000,  0.97487118
 7142.05000,  0.97059182
 7143.05000,  0.95935659
 7144.05000,  0.95432109
 7145.05000,  0.95013975
 7146.05000,  0.93703374
 7147.05000,  0.92131146
 7148.05000,  0.90809543
 7149.05000,  0.90485796
 7150.05000,  0.90242551
 7151.05000,  0.90257726
 7152.05000,  0.90689120
 7153.05000,  0.91367305
 7154.05000,  0.91954247
 7155.05000,  0.92871544
 7156.05000,  0.93271210
 7157.05000,  0.93857730
 7158.05000,  0.94064130
 7159.05000,  0.94789499
 7160.05000,  0.95949395
 7161.05000,  0.96947986
 7162.05000,  0.98123691
 7163.05000,  0.99095560
 7164.05000,  0.99819141
 7165.05000,  1.00999079
 7166.05000,  1.01998474
 7167.05000,  1.02776505
 7168.05000,  1.03253903
 7169.05000,  1.03774894
 7170.05000,  1.04141209
 7171.05000,  1.04496673
 7172.05000,  1.04751617
 7173.05000,  1.04453184
 7174.05000,  1.04290090
 7175.05000,  1.04274252
 7176.05000,  1.03971660
 7177.05000,  1.03872066
 7178.05000,  1.03706871
 7179.05000,  1.03355085
 7180.05000,  1.03215721
 7181.05000,  1.02994025
 7182.05000,  1.02335748
 7183.05000,  1.02242440
 7184.05000,  1.02271196
 7185.05000,  1.01924635
 7186.05000,  1.01521594
 7187.05000,  1.01163370
 7188.05000,  1.01180372
 7189.05000,  1.00681170
 7190.05000,  1.00492044
 7191.05000,  0.99707963
 7192.05000,  0.99221038
 7193.05000,  0.99163089
 7194.05000,  0.98880335
 7195.05000,  0.98958821
 7196.05000,  0.98484111
 7197.05000,  0.98332730
 7198.05000,  0.98195063
 7199.05000,  0.98431125
 7200.05000,  0.98116489
 7201.05000,  0.98037118
 7202.05000,  0.97883920
 7203.05000,  0.98216873
 7204.05000,  0.97987435
 7205.05000,  0.97868584
 7206.05000,  0.98220235
 7207.05000,  0.98398760
 7208.05000,  0.98694366
 7209.05000,  0.98685999
 7210.05000,  0.99033068
 7211.05000,  0.98971647
 7212.05000,  0.99315431
 7213.05000,  0.99755085
 7214.05000,  0.99594503
 7215.05000,  1.00063516
 7216.05000,  1.00376907
 7217.05000,  1.00225282
 7218.05000,  1.00511861
 7219.05000,  1.00276335
 7220.05000,  1.00636142
 7221.05000,  1.00696185
 7222.05000,  1.00331622
 7223.05000,  1.00488899
 7224.05000,  1.00476716
 7225.05000,  1.00681864
 7226.05000,  1.00390703
 7227.05000,  1.00304735
 7228.05000,  1.00395166
 7229.05000,  1.00289228
 7230.05000,  1.00227656
 7231.05000,  0.99855542
 7232.05000,  0.99517947
 7233.05000,  0.99462451
 7234.05000,  0.99384712
 7235.05000,  0.99449996
 7236.05000,  0.99561664
 7237.05000,  0.99559918
 7238.05000,  0.99439899
 7239.05000,  0.99499070
 7240.05000,  1.00140310
 7241.05000,  1.00097400
 7242.05000,  1.00110749
 7243.05000,  1.00433636
 7244.05000,  1.00669090
 7245.05000,  1.01142146
 7246.05000,  1.01312877
 7247.05000,  1.02223148
 7248.05000,  1.01979770
 7249.05000,  1.01505869
 7250.05000,  1.01842193
 7251.05000,  1.02068945
 7252.05000,  1.01775352
 7253.05000,  1.01780345
 7254.05000,  1.01856504
 7255.05000,  1.02416960
 7256.05000,  1.01397844
 7257.05000,  1.01209567
 7258.05000,  1.01678004
 7259.05000,  1.02137922
 7260.05000,  1.01370369
 7261.05000,  1.01534420
 7262.05000,  1.01597140
 7263.05000,  1.03606989
 7264.05000,  1.05060548
 7265.05000,  1.01377033
 7266.05000,  1.01268576
 7267.05000,  1.01122887
 7268.05000,  1.01524768
 7269.05000,  1.00198595
 7270.05000,  1.00896663
 7271.05000,  1.00733020
 7272.05000,  1.01019523
 7273.05000,  1.01020796
 7274.05000,  1.00193033
 7275.05000,  1.00047031
 7276.05000,  1.00003720
 7277.05000,  0.99966049
 7278.05000,  0.99753603
 7279.05000,  1.00073336
 7280.05000,  1.00212767
 7281.05000,  0.99923292
 7282.05000,  0.99998219
 7283.05000,  0.99648596
 7284.05000,  0.99783103
 7285.05000,  0.99724128
 7286.05000,  0.99358493
 7287.05000,  0.99368397
 7288.05000,  0.99218821
 7289.05000,  0.99375896
 7290.05000,  0.99389043
 7291.05000,  0.99277175
 7292.05000,  0.99120939
 7293.05000,  0.99167102
 7294.05000,  0.99075080
 7295.05000,  0.99026451
 7296.05000,  0.98852137
 7297.05000,  0.98955334
 7298.05000,  0.98913415
 7299.05000,  0.98541566
 7300.05000,  0.98731116
 7301.05000,  0.99000606
 7302.05000,  0.98610507
 7303.05000,  0.99024778
 7304.05000,  0.98715340
 7305.05000,  0.98622767
 7306.05000,  0.98908311
 7307.05000,  0.98892080
