#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_white_gray_particles_Fe_3.001: FeXANES_GT5_white_gray_particles_Fe_3.001
#------------------------------------------
# energy, FeXANES_GT5_white_gray_particles_Fe_3.001
 7032.05000,  0.00149441
 7037.05000,  0.00111800
 7042.05000,  4.83752e-4
 7047.05000,  3.50924e-4
 7052.05000,  1.61958e-5
 7057.05000, -1.73475e-4
 7062.05000, -3.96599e-4
 7067.05000, -4.91436e-4
 7072.05000, -3.47009e-4
 7077.05000, -7.66677e-4
 7082.05000,  2.89438e-4
 7087.05000,  0.00103489
 7092.05000,  0.00192593
 7097.05000,  0.00466921
 7102.05000,  0.00737286
 7102.35000,  0.00861745
 7102.65000,  0.00888083
 7102.95000,  0.00939300
 7103.25000,  0.00967292
 7103.55000,  0.01002657
 7103.85000,  0.01043929
 7104.15000,  0.01072549
 7104.45000,  0.01119936
 7104.75000,  0.01159362
 7105.05000,  0.01220217
 7105.35000,  0.01239162
 7105.65000,  0.01277484
 7105.95000,  0.01345829
 7106.25000,  0.01417530
 7106.55000,  0.01467467
 7106.85000,  0.01529521
 7107.15000,  0.01630015
 7107.45000,  0.01704681
 7107.75000,  0.01782801
 7108.05000,  0.01850140
 7108.35000,  0.01915852
 7108.65000,  0.02003657
 7108.95000,  0.02087036
 7109.25000,  0.02340184
 7109.55000,  0.02443173
 7109.85000,  0.02661926
 7110.15000,  0.02997161
 7110.45000,  0.03359181
 7110.75000,  0.03682513
 7111.05000,  0.03772511
 7111.35000,  0.05197330
 7111.65000,  0.06146848
 7111.95000,  0.07118954
 7112.25000,  0.08730722
 7112.55000,  0.09738080
 7112.85000,  0.10468483
 7113.15000,  0.11015581
 7113.45000,  0.11303670
 7113.75000,  0.11293862
 7114.05000,  0.10747953
 7114.35000,  0.09874203
 7114.65000,  0.09342215
 7114.95000,  0.09135486
 7115.25000,  0.09192262
 7115.55000,  0.09406915
 7115.85000,  0.09820409
 7116.15000,  0.10243916
 7116.45000,  0.10744373
 7116.75000,  0.11001522
 7117.05000,  0.11872430
 7117.35000,  0.12604299
 7117.65000,  0.13345506
 7117.95000,  0.14268328
 7118.25000,  0.15103441
 7118.55000,  0.15780878
 7118.85000,  0.17549965
 7119.15000,  0.20289511
 7119.45000,  0.22019525
 7119.75000,  0.25117397
 7120.05000,  0.25922094
 7120.35000,  0.30761220
 7120.65000,  0.34279455
 7120.95000,  0.37342789
 7121.25000,  0.43493766
 7121.55000,  0.47195803
 7121.85000,  0.53058395
 7122.15000,  0.57721974
 7122.45000,  0.60980009
 7122.75000,  0.65102114
 7123.05000,  0.67089625
 7123.35000,  0.72097292
 7123.65000,  0.76119718
 7123.95000,  0.77959061
 7124.25000,  0.80713511
 7124.55000,  0.84573464
 7124.85000,  0.87542320
 7125.15000,  0.90321393
 7125.45000,  0.93074692
 7125.75000,  0.95146169
 7126.05000,  0.97787748
 7126.35000,  0.99754571
 7126.65000,  1.02946576
 7126.95000,  1.05210321
 7127.25000,  1.07636053
 7127.55000,  1.08401076
 7127.85000,  1.11172757
 7128.15000,  1.12604641
 7128.45000,  1.13664184
 7128.75000,  1.14852932
 7129.05000,  1.15426501
 7129.35000,  1.16044168
 7129.65000,  1.16219528
 7129.95000,  1.16805881
 7130.25000,  1.16585694
 7130.55000,  1.16799921
 7130.85000,  1.16608559
 7131.15000,  1.16387598
 7131.45000,  1.16565730
 7131.75000,  1.16423025
 7132.05000,  1.16214882
 7133.05000,  1.15513044
 7134.05000,  1.14505157
 7135.05000,  1.13510816
 7136.05000,  1.12484196
 7137.05000,  1.11698988
 7138.05000,  1.10696141
 7139.05000,  1.08681175
 7140.05000,  1.07457082
 7141.05000,  1.06942483
 7142.05000,  1.05046205
 7143.05000,  1.03991044
