#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_super_dark_Fe_11.001: FeXANES_GT15_super_dark_Fe_11.001
#------------------------------------------
# energy, FeXANES_GT15_super_dark_Fe_11.001
 7032.05000,  6.86865e-4
 7037.05000,  3.95777e-4
 7042.05000,  2.67878e-4
 7047.05000,  2.11023e-4
 7052.05000, -1.51070e-5
 7057.05000, -5.14893e-5
 7062.05000, -2.31932e-4
 7067.05000, -4.61195e-4
 7072.05000, -1.03722e-4
 7077.05000, -2.50793e-4
 7082.05000,  1.32798e-4
 7087.05000,  5.02541e-4
 7092.05000,  0.00226744
 7097.05000,  0.00339179
 7102.05000,  0.00493953
 7102.35000,  0.00717420
 7102.65000,  0.00759786
 7102.95000,  0.00770953
 7103.25000,  0.00787993
 7103.55000,  0.00808319
 7103.85000,  0.00836343
 7104.15000,  0.00877676
 7104.45000,  0.00873830
 7104.75000,  0.00897069
 7105.05000,  0.00951708
 7105.35000,  0.00957966
 7105.65000,  0.00953726
 7105.95000,  0.00982382
 7106.25000,  0.00995001
 7106.55000,  0.01010726
 7106.85000,  0.01136603
 7107.15000,  0.01192261
 7107.45000,  0.01259921
 7107.75000,  0.01272778
 7108.05000,  0.01458159
 7108.35000,  0.01574577
 7108.65000,  0.01746786
 7108.95000,  0.01885732
 7109.25000,  0.02162310
 7109.55000,  0.02342086
 7109.85000,  0.02683709
 7110.15000,  0.03108470
 7110.45000,  0.03511173
 7110.75000,  0.03995467
 7111.05000,  0.04809963
 7111.35000,  0.05504258
 7111.65000,  0.06301491
 7111.95000,  0.07028241
 7112.25000,  0.08468362
 7112.55000,  0.08951467
 7112.85000,  0.09840871
 7113.15000,  0.09885764
 7113.45000,  0.09800535
 7113.75000,  0.09459704
 7114.05000,  0.09237048
 7114.35000,  0.09114417
 7114.65000,  0.09015186
 7114.95000,  0.09223059
 7115.25000,  0.09425719
 7115.55000,  0.10122775
 7115.85000,  0.10656381
 7116.15000,  0.11387173
 7116.45000,  0.12810070
 7116.75000,  0.14143310
 7117.05000,  0.15499208
 7117.35000,  0.17031558
 7117.65000,  0.18774999
 7117.95000,  0.20452840
 7118.25000,  0.24002612
 7118.55000,  0.26448113
 7118.85000,  0.31091239
 7119.15000,  0.34124395
 7119.45000,  0.36396808
 7119.75000,  0.42777451
 7120.05000,  0.46982530
 7120.35000,  0.51601461
 7120.65000,  0.54978547
 7120.95000,  0.60178262
 7121.25000,  0.61358764
 7121.55000,  0.68507130
 7121.85000,  0.72733879
 7122.15000,  0.74696145
 7122.45000,  0.80842014
 7122.75000,  0.84063644
 7123.05000,  0.88489349
 7123.35000,  0.94768920
 7123.65000,  0.98709084
 7123.95000,  1.01296002
 7124.25000,  1.03492767
 7124.55000,  1.05228933
 7124.85000,  1.07049974
 7125.15000,  1.08894279
 7125.45000,  1.11447438
 7125.75000,  1.13096674
 7126.05000,  1.15216205
 7126.35000,  1.16855042
 7126.65000,  1.18255149
 7126.95000,  1.19738938
